0,2,5,6,20,24,26
F40D4.13,ceh-20,W05H12.2,C18D4.6,par-5,W09B7.2,gfat-2
C04G6.6,pan-1,F39E9.7,citk-1,hil-4,W09B7.1,rme-2
his-24,,Y37E11B.2,,hmg-12,,mrp-4
Y48G1BM.6,,H09G03.1,,rpn-9,,puf-3
glit-1,,K02E2.6,,cdk-1,,cpg-1
spe-41,,W04B5.2,,cdc-48.1,,wago-4
C38D9.2,,Y17D7B.4,,spd-5,,egg-6
gly-13,,E01G4.5,,pod-1,,cey-2
F58H7.5,,W04B5.1,,ani-2,,mex-5
F41G4.7,,F39F10.4,,wago-1,,mcm-7
scrm-4,,ZK402.3,,hsp-90,,klp-15
fbxb-97,,,,eel-1,,
F15D4.5,,,,top-2,,
bath-45,,,,klp-7,,
C08F11.7,,,,tba-2,,
rnh-1.3,,,,hsp-4,,
saeg-2,,,,vig-1,,
timm-17B.2,,,,ima-3,,
lin-15B,,,,idh-1,,
fkb-8,,,,set-2,,
,,,,deps-1,,
,,,,tbb-2,,
,,,,hrde-1,,
,,,,csr-1,,
,,,,pgl-3,,
,,,,hsp-1,,
