,timm-17B.2,C55C3.3,ceh-20,C38D9.2,C09G5.7,C38C3.3,E01G4.5,C18D4.6,C08F11.7,K02E2.6,spe-41,T02G5.4,F15D4.5,R03H10.6,his-24,F39E9.7,rnh-1.3,F40D4.13,C04G6.6,fbxa-192,K09H9.7,W04B5.1,gly-13,bath-45,F39F10.4,R06C1.4,pyk-1,Y48G1BM.6,fbxb-97,F58H7.5,clp-6,F41G4.7,saeg-1,Y17D7B.4,glit-1,pan-1,saeg-2,scrm-4,T16G12.4,W04B5.2,Y47H10A.5,H09G03.1,ZK402.3,pdfr-1,T20F7.1,Y20F4.4,lin-15B,hsp-4,W05H12.2,par-5,fkb-8,hrde-1,pgl-3,tba-2,tbb-2,W06A11.4,qdpr-1,F34D10.4,Y37E11B.2,W09B7.2,vig-1,hil-4,csr-1,citk-1,R03D7.2,deps-1,cdk-1,klp-7,hsp-90,mrp-4,cdc-48.1,W09B7.1,elf-1,idh-1,hsp-1,ani-2,eel-1,sea-2,mcm-7,ima-3,daf-18,mex-5,rpn-9,cey-2,cpg-1,wago-1,rme-2,simr-1,set-2,mut-16,top-2,spd-5,wago-4,egg-6,puf-3,gfat-2,ani-1,pod-1,klp-15,hmg-12
timm-17B.2,0.0,0.9972158079275412,0.8736197677330269,0.8488261068129048,0.9645293018794072,0.9507448490463417,0.9893178601030185,0.9537935787150383,0.8005181903348842,0.9914120949266286,0.9179352058284564,0.8397419146722046,0.9094010335772946,0.9337887647564627,0.9359231736526833,0.9911675948682207,0.8098744394855646,0.8270960533328726,0.8002332749199417,0.9021150901885282,0.7878429532387318,0.9976834785358423,0.8493257814879968,0.8125845248289725,0.9989460134761686,0.9297694464894963,0.9863627644291715,0.9021150901885282,0.6501967045523902,0.8338444645819497,0.9686014903987946,0.8822723943648424,0.8989611541631715,0.9908159081933585,0.8173554070915349,0.9504079083626575,0.8736197677330269,0.8736197677330269,0.9224022478197298,0.9916750127044699,0.9969310816038732,0.9912409058643876,0.9940730307278008,0.7985247922625573,0.8424430539928909,0.9375556139927351,0.9419422158769042,0.9705928384200948,0.9946265748455426,0.9733078945679011,0.9908540347307356,0.9999753528083329,0.983876380650418,0.9657923149969958,0.9673980062816708,0.9191925090863855,0.8727758285032121,0.9949195810318775,0.9916750127044699,0.971200194882163,0.964181578037934,0.9657923149969958,0.9896135321535273,0.9587958495890379,0.930635807859063,0.9689983195102303,0.9979455581150255,0.9874506000596617,0.9657923149969958,0.998893354894744,0.985761680013408,0.9385380366321261,0.9164081386665401,0.9907907893974599,0.9673980062816708,0.9973264444307262,0.993828751843946,0.998802277217976,0.9951342175690604,0.9547338574431603,0.9919240770718479,0.9984992320659672,0.9895532126594668,0.971854987751016,0.9885805356827647,0.9775955557955711,0.9850905660523588,0.9996352766396446,0.9928550966573134,0.9947579349844664,0.999380902955594,0.9384619250475376,0.9906181007878868,0.9984992320659672,0.9870523954329569,0.9784560691290338,0.9815317231887394,0.9708203576345021,0.9928550966573134,0.9895532126594668
C55C3.3,0.9972158079275412,0.0,0.9595944315635647,0.9962742189533267,0.8675976560452914,0.968356842964745,0.9997403408253668,0.9504896514354076,0.9892034368856596,0.9998399436228557,0.9146293207442597,0.9884281544628716,0.9934706990447449,0.989726425192477,0.9968444340878011,0.9998335162875722,0.9979126369965045,0.9994967326284241,0.965966546249613,0.9908574526010507,0.999997255419362,0.9998335162875722,0.9955857029738044,0.9997403408253668,0.9961180652713016,0.959593807506384,0.9814382193675251,0.999997255419362,0.9998249549261866,0.9983408481570976,0.9273115948923272,0.9992534678750078,0.9884281544628716,0.9986035489277121,0.9991875475885891,0.9999953467749906,0.9916807598124238,0.9504896514354076,0.9424987407788814,0.9996678924847694,0.96469004812194,0.9719364873365878,0.988502222943709,0.9976192871328012,0.9858281838927677,0.9923638072754437,0.997127299920168,0.988265478417087,0.9841841627010356,0.9981797234424203,0.9884405945419126,0.9972233637486388,0.9985954102761195,0.9869190974286077,0.9911346507912291,0.9961436296684322,0.9985563256720502,0.9999932759504354,0.998190733059971,0.9547812761060601,0.997127299920168,0.9964121722396382,0.9997981788544826,0.9402591032032581,0.9871747508897767,0.9980323701287478,0.980496493569992,0.999553105983519,0.9992858493808957,0.9951917361377105,0.9999145092349705,0.9991144202579706,0.9987302923569373,0.9966749682097743,0.999553105983519,0.9896117992276892,0.9997470625246184,0.9744822454336046,0.977944821885821,0.9982909698200018,0.9999043734127009,0.9998788664625042,0.996035156364466,0.9940032467768284,0.9940032467768284,0.9992858493808957,0.9910318373888385,0.993470399441205,0.9910034259322983,0.9978480477952185,0.9999932759504354,0.996035156364466,0.9954126183304648,0.9978480477952185,0.9831557726371384,0.9929513662171245,0.994980634008464,0.9971859213606661,0.9910034259322983,0.99998126712068
ceh-20,0.8736197677330269,0.9595944315635647,0.0,0.8765247824529071,0.9715663786834814,0.8560397159495194,0.980282065079261,0.8287430160939931,0.8288910887880386,0.9999779957438758,0.9174253192741628,0.7679348903123331,0.9263669388907905,0.9081724129020616,0.807913770995262,0.9995582484708592,0.8461806435407591,0.8782125339196782,0.849675583610856,0.8986022862691059,0.8837196881154177,0.9974556757393503,0.7595182606774618,0.8980400131042233,0.9999753006639345,0.8190379239761442,0.9978934468038972,0.9253997913362062,0.827813564836411,0.8971864848381952,0.9028491676460143,0.9155587339030986,0.8934908285021588,0.9999972238690926,0.8938247552156462,0.7494673464945614,0.8287430160939931,0.8928326121998303,0.9081724129020616,0.9934682305707735,0.9671434435341182,0.9999753006639345,0.9995442303372291,0.9451914375669228,0.8140674010578712,0.9028491676460143,0.8751804521947308,0.9803091927558026,0.9992966340283672,0.9727944322513019,0.9487958736137333,0.9948908181376854,0.974062928074013,0.9614967403748511,0.9629253279587289,0.8768792733126264,0.8796901226679441,0.98670768953692,0.9989951662727224,0.9680649963134158,0.9600695494956543,0.9765820603353698,0.9836030099910752,0.8448447061864155,0.9989951662727224,0.9372228168728362,0.9934822779475886,0.9877887877311271,0.9765820603353698,0.999356464481761,0.9433213313726588,0.972583311898133,0.9542608535385045,0.9964331830027285,0.9778318595554454,0.9925964861848295,0.9934822779475886,0.9696132670571052,0.9803091927558026,0.9803091927558026,0.9966700139277052,0.9986343517222691,0.9479981904938837,0.9715204254421711,0.9902902226992467,0.9342181234505934,0.9753255977165822,0.9972719810099395,0.9998171904577612,0.9863331671531103,0.9959348083863446,0.9479981904938837,0.991988670681378,0.9943364248552419,0.9851522171282968,0.9464276460728986,0.9758618568688198,0.9908844726557356,0.9925964861848295,0.974417537885321
C38D9.2,0.8488261068129048,0.9962742189533267,0.8765247824529071,0.0,0.9949119234484556,0.9735266443178944,0.9996402003269288,0.9039427971366997,0.7979573302177279,0.9953296653291043,0.7746204196872504,0.8899643070394615,0.5466552723857026,0.9029735184717298,0.8010295364940384,0.9908948289188184,0.6068720528987754,0.8456532257725227,0.742446430156938,0.9322226389580368,0.8474644919942798,0.999999662479497,0.9244511371564547,0.6877295830883199,0.997909101710763,0.8678153087098772,0.9980731472638735,0.7500876538421006,0.7683910893295542,0.5002371363720342,0.9943847728622275,0.6740199214062389,0.807930102910062,0.9837902081566401,0.8577522125467036,0.9664840608779725,0.63408244726805,0.7310409598568586,0.9161516965273259,0.9980731472638735,0.9890574697322835,0.997909101710763,0.9999851469047529,0.9500865463118705,0.9621752191832498,0.8921288714883299,0.9270493349546114,0.9859122098922495,0.9994097891294605,0.9785931235500056,0.8463547173410204,0.9981011582905265,0.9881335269721916,0.971273154936238,0.9571059175399944,0.9943682932021787,0.9817799749769465,0.984751766407144,0.9908148536043244,0.9278224581663375,0.9539152839836464,0.971273154936238,0.999377987441953,0.9471696638470174,0.9463596311462436,0.9967750339293489,0.9999680590828824,0.9989999714683026,0.9823209374925165,0.9997218418421105,0.9893285061989456,0.757953302583216,0.9978593042537149,0.9979351299625703,0.9571059175399944,0.9954671399942344,0.9999680590828824,0.9854918989756495,0.9973793393409148,0.9755368813052183,0.994460937558792,0.9914811277091562,0.9975837493382961,0.9923238773178777,0.9655082829486721,0.971273154936238,0.9810920279608103,0.9891495653677268,0.9999989131713665,0.9969299745717829,0.9992612272348951,0.9925114313841503,0.9999305464953137,0.9998418971966936,0.99926346424538,0.9824826988845802,0.9851799134754667,0.9953705186883908,0.9988826314328243,0.9975837493382961
C09G5.7,0.9645293018794072,0.8675976560452914,0.9715663786834814,0.9949119234484556,0.0,0.8775553569669678,0.9874274249304172,0.9636458457651674,0.9602231288329773,0.9955631542028985,0.9208750861142933,0.9465233022914389,0.9995048447798193,0.947858958611831,0.9864148958379647,0.991718324191367,0.9938421691779429,0.9548144890232819,0.9027542507913626,0.9933795618458484,0.9767252207560696,0.9953214431385129,0.9201667232623089,0.9957212858537061,0.9378390509954465,0.9801036112350444,0.9322947926903431,0.9967522830067362,0.9465233022914389,0.9995546933564086,0.8338502264475254,0.9998438947331028,0.9732153047988366,0.9978285884998963,0.9248795738399023,0.9659520949762445,0.9897247858507825,0.9715663786834814,0.9668526843261337,0.978506844330947,0.9690979319865693,0.9833388962108159,0.9997117944708351,0.9668526843261337,0.9508499390517491,0.9774272381400129,0.9618531840950613,0.9863226108817116,0.9848834779659524,0.9999631935219885,0.9511536473557296,0.9997259632759286,0.9999995964101771,0.9984150958430756,0.9978861868203036,0.925964354278641,0.9306466947969261,0.999239306296739,0.9847904205548333,0.9606005556037245,0.996161630924063,0.9984150958430756,0.9956907194186151,0.9481708258719302,0.978506844330947,0.9999332331251274,0.992400193580896,0.9978861868203036,0.9998867211263018,0.9960338022769623,0.9976444146902103,0.9894730803512618,0.915323787961033,0.9999860252205937,0.9998073661874377,0.9976444146902103,0.9860725446481541,0.9919917173343061,0.9795260100891424,0.9988080951642276,0.9995610753512414,0.9991067288254379,0.989408610591192,0.9950416829539231,0.9983727425549846,0.9998867211263018,0.9993822931952208,0.9993822931952208,0.9832665585429312,0.9722076184389269,0.9999148652077402,0.99999457287975,0.9913775653320627,0.9999813073870782,0.9998844067159868,0.9999813073870782,0.9980297015971451,0.9909669796978091,0.9920751363673004,0.9988457644392649
C38C3.3,0.9507448490463417,0.968356842964745,0.8560397159495194,0.9735266443178944,0.8775553569669678,0.0,0.9825039717863743,0.8888009061679247,0.9243569070660559,0.9874534749750716,0.9321439893329597,0.9329289413679607,0.9874445116005791,0.9225206961637908,0.9658992539213392,0.9815054597863176,0.9526874847766834,0.9174253192741628,0.8833909426507905,0.9698487765521501,0.9261597812924909,0.974503329817669,0.941817123977508,0.957886495610322,0.9704070764673137,0.9041110264434535,0.9984287036833704,0.9905207054606697,0.9200553726820755,0.9863196087828511,0.7594469938016697,0.9973178015965023,0.9810709650006187,0.9962444316119876,0.9474197621821507,0.8898974850525027,0.978622038039744,0.9623837346749544,0.9677811569245359,0.9718036730545295,0.9980256793650171,0.995821956901152,0.9883263467308065,0.9581744613176431,0.9261597812924909,0.9518112571910482,0.9550025104828194,0.9983581764317044,0.9724625613004626,0.9987542018644805,0.9902515875865091,0.9980191314423502,0.9999965590105905,0.9969464577223511,0.9997594784804195,0.9403811254440682,0.9036070590349643,0.9999996592595585,0.986127704122308,0.9729967583154748,0.9993421623908545,0.9825494574853326,0.9890380098732717,0.9260724047749739,0.9984287036833704,0.9998952590413853,0.9965662382632784,0.9923173073640389,0.9969464577223511,0.9945639308643425,0.9994000846466263,0.9806433593215571,0.9041717525574848,0.9953270568881774,0.9974524381180391,0.9994000846466263,0.9970545663818515,0.9902515875865091,0.9856417878538216,0.9721108486321512,0.9999645970838479,0.9971657213781864,0.9977248531045817,0.9783156326732729,0.9994952035097485,0.9969464577223511,0.9964087404908242,0.9907129261714984,0.9959304893231036,0.9783023164444964,0.9982389116167416,0.9795421594981545,0.9659414148078302,0.9971657213781864,0.9896111424684034,0.9783023164444964,0.9924229744246963,0.999837538947476,0.9959304893231036,0.9795421594981545
E01G4.5,0.9893178601030185,0.9997403408253668,0.980282065079261,0.9996402003269288,0.9874274249304172,0.9825039717863743,0.0,0.9565426573846311,0.9999789239130774,0.8209402548319346,0.996808715827793,0.9821649612045209,0.9986393347148581,0.9993608277276492,0.9667137993465078,0.7696517677654812,0.9950564101764592,0.9978564884842899,0.998741418944405,0.99073605216028,0.998905353609201,0.8096151485174303,0.9734555220015298,0.9891088512648201,0.6648925231023912,0.996808715827793,0.9998859604941844,0.9789938624331419,0.9879636155067214,0.9997012454126943,0.981093235479132,0.9973858115948896,0.9962712611410625,0.7521908958814753,0.9772536695620111,0.9375202130686514,0.9995214672162461,0.9970139788909472,0.9896445541740908,0.6945057534268004,0.99073605216028,0.7903957077089042,0.8453179678405172,0.9840116164606053,0.9999637392383197,0.9879716630070055,0.9893640151248471,0.9983494858498553,0.618923276450065,0.9994338172583578,0.9998196836736026,0.9938114284906099,0.9983542155894634,0.9999352156523402,0.9991904075862552,0.942469366943668,0.9216035166449428,0.951480811751893,0.7196142221364121,0.9967203849796776,0.9979781670706164,0.9946313038477272,0.998781835060891,0.9999193713777599,0.9997600050253729,0.9988130772387673,0.9900875149993739,0.9991904075862552,0.9984083523098969,0.9977919250711412,0.9992398350331703,0.9866384814702912,0.9616915493901735,0.9997754024023258,0.9991904075862552,0.9963589943140133,0.9988319004972618,0.9829239177929187,0.9994298571166308,0.9965997391709147,0.9992843109241363,0.9952069821578913,0.9998372988674121,0.9916063165288201,0.996463055355997,0.9984083523098969,0.9998196836736026,0.9943648238272546,0.9999585258964864,0.9875738687002693,0.9918944496093672,0.9959534383609181,0.9975087216514192,0.9990756237655298,0.9986798098486964,0.9990756237655298,0.951098689946597,0.9999799466088205,0.9936080794489175,0.9959534383609181
C18D4.6,0.9537935787150383,0.9504896514354076,0.8287430160939931,0.9039427971366997,0.9636458457651674,0.8888009061679247,0.9565426573846311,0.0,0.8615263359504404,0.9948296500273623,0.8888009061679247,0.9205211290398871,0.9013551688001344,0.9338548791940532,0.9510209925974178,0.9801188153733293,0.8626657104016193,0.9065347326412644,0.849675583610856,0.9253997913362062,0.8509459958255565,0.9801188153733293,0.929093313905185,0.924252457046614,0.9880953477677761,0.7988971216326529,0.9946345188020161,0.9124940218769553,0.9205211290398871,0.9450807448354439,0.9322885008584122,0.9495503040891043,0.9074831838822405,0.9849054119838797,0.9081724129020616,0.9179908943599874,0.9312069983137751,0.8103355299534127,0.7860437908527238,0.989013407876517,0.9750724605200911,0.9929793412176694,0.9947430339940526,0.8938247552156462,0.9124940218769553,0.7834086737808381,0.9365273325272819,0.9803091927558026,0.9992966340283672,0.9727944322513019,0.9911733714997525,0.981425373657469,0.9846721054705202,0.9765820603353698,0.9877887877311271,0.8592657690522636,0.9641437427010893,0.999840495075303,0.9989951662727224,0.8768792733126264,0.9753255977165822,0.9765820603353698,0.9727944322513019,0.7480373478271112,0.9968115452857195,0.9950780590374158,0.9934822779475886,0.9629253279587289,0.9765820603353698,0.9964331830027285,0.9700940232776584,0.9371290108782125,0.9751787448494813,0.999356464481761,0.9778318595554454,0.983957984774437,0.9715334157382232,0.923032734363554,0.9803091927558026,0.9387352157477697,0.9996832288824344,0.9943364248552419,0.9479981904938837,0.9715204254421711,0.9902902226992467,0.9614967403748511,0.9928023316712148,0.9972719810099395,0.9925964861848295,0.9729746397506589,0.9758618568688198,0.974417537885321,0.974062928074013,0.9863331671531103,0.9934822779475886,0.9863331671531103,0.9758618568688198,0.9787531247471789,0.9700940232776584,0.974417537885321
C08F11.7,0.8005181903348842,0.9892034368856596,0.8288910887880386,0.7979573302177279,0.9602231288329773,0.9243569070660559,0.9999789239130774,0.8615263359504404,0.0,0.9953296653291043,0.7746204196872504,0.8262156441761683,0.8246125541377549,0.8888542689083935,0.9542855294813392,0.9949788418777482,0.7310409598568586,0.8112228948652659,0.6388592792354575,0.9076797748773608,0.7921471688342638,0.997797577328632,0.8989487051114702,0.8498224565909709,0.9989713758885141,0.9116635976583788,0.9908148536043244,0.89402999079255,0.8435438736911317,0.7809598038091485,0.9679944053362691,0.8712510202453205,0.8435438736911317,0.9899700025783963,0.9283950073868683,0.9108169137490699,0.8615263359504404,0.7310409598568586,0.9161516965273259,0.995174199600531,0.9890574697322835,0.9896820611579225,0.9969208287780384,0.8737846586856503,0.89402999079255,0.8921288714883299,0.9396878322954546,0.9755368813052183,0.9974339648529823,0.9669570901518688,0.9997974010540842,0.9987355682097454,0.9798491138881276,0.971273154936238,0.9727007661395457,0.8686685053473188,0.9548702761689676,0.9999514776444972,0.9668052208970563,0.9004051591436064,0.9698397812367694,0.9901416500738802,0.9669570901518688,0.9205478621213845,0.9852672314841928,0.984732335303989,0.9904190640040471,0.9571059175399944,0.9555097216773831,0.9870728019466122,0.9651205983554304,0.873465744395944,0.9655375595030176,0.9979351299625703,0.9571059175399944,0.9893285061989456,0.9667313553311465,0.9786952990993443,0.9859122098922495,0.9755368813052183,0.9987053367999861,0.9969299745717829,0.9699611598891485,0.9923238773178777,0.9773248670728502,0.971273154936238,0.9810920279608103,0.9981738785111278,0.9893285061989456,0.9914811277091562,0.9715800344865498,0.9699611598891485,0.9881335269721916,0.9995738037460599,0.9962226763042878,0.9824826988845802,0.9935061781288811,0.987809423388362,0.9954671399942344,0.9925114313841503
K02E2.6,0.9914120949266286,0.9998399436228557,0.9999779957438758,0.9953296653291043,0.9955631542028985,0.9874534749750716,0.8209402548319346,0.9948296500273623,0.9953296653291043,0.0,0.9926026828322612,0.9956658523118013,0.9973953616951542,0.9987234585230015,0.9998483346040284,0.5873374346652598,0.999660514186965,0.9864640920900829,0.9880261673717996,0.9670471353992464,0.9981509200058184,0.5281978968866525,0.9946404645378617,0.9932492596294793,0.875741944680104,0.9999386178577045,0.9993754529856614,0.9952916293794131,0.9992230341411484,0.9909605570407974,0.9949705160175643,0.9962017814169977,0.9996088956268713,0.604990838850689,0.9987234585230015,0.9884874335376841,0.999248283888464,0.9999779957438758,0.9834251036937428,0.527542613251322,0.9350612983218737,0.6327026926174583,0.6615115449218942,0.9998653262232776,0.9952916293794131,0.9895249048855158,0.999889797657777,0.9915428797640924,0.7714842646009621,0.9991848619266356,0.999889797657777,0.9984635833829986,0.999469092546519,0.9998651611650049,0.9994804024677494,0.9949802493717614,0.9974444361474051,0.992158762842933,0.45691092002504663,0.9979320562766196,0.9978695270508681,0.9983469608880232,0.9999986033882765,0.9970422042580832,0.9976614308619646,0.9999998184152781,0.9911336459188561,0.9939587389647313,0.9998651611650049,0.9933504298731541,0.9992877249778653,0.9981779031174974,0.9998268558484201,0.999705350647568,0.9994804024677494,0.9992877249778653,0.9847719184565767,0.9865095783311948,0.9924403333890475,0.985238714713342,0.9859405178669495,0.9818234605634841,0.9997292700888378,0.9917340228680697,0.9988485201416734,0.9983469608880232,0.9985794331848084,0.9802916425868492,0.9887533971073325,0.9909736697177222,0.9967869527150229,0.9920385527748862,0.9973451526180621,0.9965974899904599,0.9958526800269878,0.9909736697177222,0.9442459332739245,0.998983710830032,0.9950603086582257,0.9997292700888378
