,Gene,Count
5083,WBGene00021107,164
5082,WBGene00021106,127
4299,WBGene00017069,104
6954,WBGene00016953,103
2433,WBGene00007454,96
2552,WBGene00008010,95
198,WBGene00007675,94
6,WBGene00010507,93
65,WBGene00008447,92
3139,WBGene00011059,92
2711,WBGene00008862,91
2437,WBGene00007489,90
2678,WBGene00008681,88
40,WBGene00021018,88
5103,WBGene00021239,88
15,WBGene00018199,87
4264,WBGene00016885,87
2408,WBGene00007303,87
3299,WBGene00011805,86
2110,WBGene00004976,86
41,WBGene00022730,85
4678,WBGene00019070,85
531,WBGene00007624,85
30,WBGene00021019,84
2793,WBGene00009247,84
2923,WBGene00010012,84
4773,WBGene00019598,84
16,WBGene00044258,83
373,WBGene00009572,82
1851,WBGene00003915,82
3120,WBGene00010989,82
1500,WBGene00001638,82
2956,WBGene00010212,81
1217,WBGene00000443,81
38,WBGene00018204,81
5585,WBGene00044502,81
946,WBGene00004751,81
3966,WBGene00015456,80
4888,WBGene00020164,80
47,WBGene00019174,80
1226,WBGene00000473,79
60,WBGene00012452,79
7,WBGene00021375,79
1543,WBGene00001855,79
4512,WBGene00018223,79
5218,WBGene00021671,79
3382,WBGene00012198,78
4198,WBGene00016512,78
838,WBGene00006537,78
1387,WBGene00001119,78
4407,WBGene00017641,78
1745,WBGene00003235,78
3544,WBGene00012961,77
311,WBGene00009126,77
4064,WBGene00015988,77
3821,WBGene00014082,77
4525,WBGene00018310,77
1727,WBGene00003159,77
836,WBGene00011964,77
20,WBGene00013638,77
776,WBGene00003920,76
4637,WBGene00018878,76
1103,WBGene00000405,76
4983,WBGene00020630,76
359,WBGene00002219,75
3276,WBGene00011712,75
158,WBGene00022834,75
3302,WBGene00011809,75
11,WBGene00012290,75
1222,WBGene00000465,75
1554,WBGene00001898,75
4141,WBGene00016273,75
106,WBGene00000915,75
5063,WBGene00021036,74
4830,WBGene00019858,74
5560,WBGene00044249,74
4630,WBGene00018850,74
4895,WBGene00020183,74
4073,WBGene00016029,74
159,WBGene00003994,74
4314,WBGene00017101,74
4020,WBGene00015735,74
5301,WBGene00021968,74
1253,WBGene00000546,74
2965,WBGene00010263,74
1997,WBGene00004374,74
3140,WBGene00011061,74
3218,WBGene00011398,73
2668,WBGene00008622,73
2193,WBGene00006529,73
3035,WBGene00010585,73
96,WBGene00007307,73
2284,WBGene00006902,73
5534,WBGene00023497,73
14,WBGene00010100,73
3592,WBGene00013152,73
3843,WBGene00014148,73
1449,WBGene00001433,72
1583,WBGene00002005,72
885,WBGene00002225,72
1923,WBGene00004178,72
5068,WBGene00021055,72
3982,WBGene00015504,72
2806,WBGene00009299,72
2712,WBGene00008863,72
5326,WBGene00022069,72
3728,WBGene00013613,72
3394,WBGene00012237,72
4549,WBGene00018439,72
3303,WBGene00011812,72
4364,WBGene00017344,71
3071,WBGene00010734,71
1452,WBGene00001480,71
3390,WBGene00012228,71
4203,WBGene00016561,71
3893,WBGene00015096,71
1291,WBGene00000819,71
3456,WBGene00012564,71
923,WBGene00010785,71
1132,WBGene00000140,71
962,WBGene00003230,71
5224,WBGene00021678,71
0,WBGene00045410,71
5455,WBGene00022519,71
75,WBGene00044478,71
5530,WBGene00023421,71
101,WBGene00022034,71
26,WBGene00016635,71
814,WBGene00001977,70
2845,WBGene00009511,70
167,WBGene00006924,70
1761,WBGene00003410,70
2188,WBGene00006513,70
2997,WBGene00010433,70
5273,WBGene00021886,70
4146,WBGene00016299,70
4205,WBGene00016565,70
1033,WBGene00007352,70
1325,WBGene00000913,70
349,WBGene00002008,70
3361,WBGene00012103,70
4957,WBGene00020457,69
1860,WBGene00003941,69
2822,WBGene00009374,69
3281,WBGene00011733,69
23,WBGene00018688,69
4583,WBGene00018647,69
5559,WBGene00044213,69
3418,WBGene00012374,69
3442,WBGene00012492,69
1514,WBGene00001686,69
1776,WBGene00003508,69
3171,WBGene00011236,69
3076,WBGene00010768,69
5199,WBGene00021607,69
5485,WBGene00022712,69
3267,WBGene00011638,69
302,WBGene00010317,69
5220,WBGene00021673,69
2565,WBGene00008111,69
426,WBGene00013500,69
1607,WBGene00002074,69
74,WBGene00044167,69
1649,WBGene00002248,69
