0,1,2
C04G6.6,E01G4.5,cdk-1
R06C1.4,Y105C5A.14,klp-7
Y57G7A.5,ZK402.3,pgl-3
C55C3.3,Y17D7B.4,hil-4
dyf-3,F39F10.4,hrde-1
mif-2,W04B5.2,klp-15
citk-1,K02E2.6,tba-2
T16G12.8,F55C9.3,csr-1
C18D4.6,W04B5.1,cpg-1
K05C4.9,Y37E11B.2,rme-2
W09B7.1,F39E9.7,hsp-1
Y20F4.4,W05H12.2,cey-2
saeg-1,Y47H10A.5,tbb-2
C08F11.7,H09G03.1,wago-1
saeg-2,,wago-4
W09B7.2,,mcm-7
W05F2.4,,hsp-90
spch-1,,par-5
T16G12.4,,
T02G5.4,,
spe-41,,
ZK973.8,,
bath-13,,
pan-1,,
lido-18,,
T20F7.1,,
F40D4.13,,
C30G12.1,,
E02H9.3,,
gpx-8,,
T03D3.5,,
Y57G11C.51,,
ZK909.3,,
C46G7.5,,
F09C8.2,,
C38D9.2,,
C38C3.3,,
rnh-1.3,,
scrm-4,,
clp-6,,
elf-1,,
K09H9.7,,
F55B11.6,,
T11F9.10,,
ZK795.2,,
lin-15B,,
bath-45,,
his-24,,
vet-6,,
C09G5.7,,
Y48G1BM.6,,
F58H7.5,,
sea-2,,
fbxa-192,,
glit-1,,
ceh-20,,
R03H10.6,,
fbxb-97,,
fkb-8,,
qdpr-1,,
Y53F4B.5,,
F41G4.7,,
gly-13,,
F15D4.5,,
timm-17B.2,,
pdfr-1,,
