,C55C3.3,timm-17B.2,Y20F4.4,C08F11.7,E01G4.5,ZK402.3,C09G5.7,hrde-1,C18D4.6,R06C1.4,C38D9.2,F15D4.5,Y57G11C.51,pan-1,hil-4,cdk-1,T16G12.4,fbxb-97,F39F10.4,K09H9.7,tbb-2,saeg-1,W04B5.1,spe-41,csr-1,mif-2,ZK973.8,scrm-4,F39E9.7,K02E2.6,mcm-7,sea-2,W04B5.2,klp-7,rnh-1.3,fbxa-192,bath-45,ZK795.2,par-5,hsp-90,gly-13,klp-15,cey-2,C46G7.5,bath-13,citk-1,T03D3.5,E02H9.3,ZK909.3,H09G03.1,Y47H10A.5,C38C3.3,F58H7.5,F40D4.13,elf-1,vet-6,pyk-1,lin-15B,clp-6,T02G5.4,hsp-1,rme-2,ceh-20,T11F9.10,lido-18,Y17D7B.4,C04G6.6,C30G12.1,wago-1,cpg-1,T16G12.8,pgl-3,Y57G7A.5,K05C4.9,F09C8.2,wago-4,Y48G1BM.6,fkb-8,tba-2,dyf-3,Y105C5A.14,F55B11.6,Y37E11B.2,T20F7.1,gpx-8,his-24,qdpr-1,W05F2.4,R03H10.6,W09B7.2,R03D7.2,saeg-2,pdfr-1,glit-1,W05H12.2,F41G4.7,Y53F4B.5,F55C9.3,spch-1,W09B7.1
C55C3.3,0.0,0.9871827042149908,0.9227815855547389,0.9528336487463903,0.9964191029902454,0.9586977607454723,0.854859301965779,0.9977080239562043,0.9029202662970196,0.8969119555371656,0.9702354621030316,0.9641544948954721,0.9160696000492164,0.9872752372439247,0.987362544730676,0.9626863680375204,0.9098475423576244,0.9756151428618385,0.9940408968232205,0.9794389372092885,0.983043137881307,0.9513186608294133,0.9898070996166017,0.867571626417642,0.9941927755034924,0.8827358565414626,0.880151091293429,0.9003830781968424,0.9937244833503689,0.9933904082224311,0.9998747392367746,0.9020465067165258,0.9862091879476151,0.9920675426126091,0.9714824909092422,0.9712034118648233,0.9755634688210326,0.9207574640611793,0.9999990224941927,0.9962387900838608,0.972714696090042,0.9978997817777471,0.9993912701876264,0.9319129208398449,0.9463498359740732,0.9001931217913697,0.9406261025811035,0.9113219137005518,0.9904134151032381,0.9648774719858172,0.9416176395917929,0.9501105292146578,0.9637310171297273,0.976854517772197,0.9818184306301475,0.9842022968216011,0.9818535020381894,0.9673390177925216,0.8854390430109693,0.9696313134559764,0.9963895549341825,0.9987997637812819,0.9563698369167266,0.9552484079635568,0.8693362415549479,0.9901984022654757,0.9424892210166657,0.9752059836931564,0.9985991217370067,0.9999756655371708,0.9894239024043261,0.9999203889755772,0.9030716150939696,0.9765054996736167,0.9842022968216011,0.9985991217370067,0.9767729427054139,0.9421103072432886,0.9805384140398066,0.8537835821484853,0.9993649163190031,0.9690812034653972,0.9901984022654757,0.9676962785320301,0.9736894238859538,0.9493676364626725,0.9721052874439562,0.919199719667267,0.9818184306301475,0.8788266643899104,0.972714696090042,0.9537693734231463,0.9956983074303066,0.9766576421485809,0.9977573931068636,0.9645262857309976,0.9842022968216011,0.9951140464119692,0.8994885801807739,0.9718811913822941
timm-17B.2,0.9871827042149908,0.0,0.8865942494343156,0.7670576865089762,0.9754753018020248,0.9929511284535482,0.9232882408364906,0.9929511284535482,0.8977984833954583,0.8915528989512493,0.8292968152012833,0.871052673042638,0.9508452355135224,0.8996210940103995,0.9982608340122257,0.9909194591311886,0.8795355104928652,0.6524154449135702,0.9803742513948583,0.7210051760181087,0.9985560648772749,0.8216077829791602,0.9989012134390658,0.9121796864660005,0.9996672255038446,0.9871048295986143,0.9166905611954796,0.8500268068173368,0.9999934698605176,0.9992510072903192,0.9999317355979704,0.9678485069300856,0.9961787694543668,0.9998501541994586,0.8029242988953484,0.8695124076401739,0.7745561563339602,0.9299905497566091,0.9964531283691236,0.99928957106472,0.7998561598786574,0.9999999030157705,0.9968654975784069,0.8876743654624544,0.7427692216251256,0.9025606010366878,0.9423122556736707,0.9891470734811303,0.89307600658366,0.9973720973544491,0.9827206773369365,0.9106265780077702,0.8154630801858291,0.8227718576015272,0.8690405981148799,0.9180926842086226,0.9986954475141391,0.874481067532239,0.9286211144634017,0.7630076406951877,0.9991194321636159,0.9986016433682345,0.8598936611271126,0.8317279770055328,0.8721207870594744,0.9999998012128573,0.7213330971210019,0.8827555033773524,0.9999309405392207,0.9997358281770288,0.8533253318478919,0.9955070894439502,0.9053401345449907,0.9101316270450819,0.8543051523205312,0.9995871665274906,0.8611727268741982,0.9226294529932612,0.9996434445618109,0.9899766218063686,0.9705486441318977,0.7770613709885626,0.9969366625008613,0.8021336390409538,0.7351472773678853,0.900465924891305,0.7965743527155308,0.9545581633442081,0.8879551732774,0.9494578697326391,0.959746548463647,0.8417583087116355,0.8264411734180994,0.8021336390409538,0.9671655944356305,0.8721207870594744,0.8436084755468307,0.9985047615680094,0.9976606289834404,0.9005636633169095
Y20F4.4,0.9227815855547389,0.8865942494343156,0.0,0.8810452824404019,0.976465008524646,0.967230815129177,0.9647918386045257,0.9949534511911341,0.7898412121687575,0.7679484624871074,0.9114280946727501,0.9008444218856437,0.8455301773123167,0.8999121729859377,0.9995575851797235,0.9888107958387568,0.8016313154662635,0.889070913251033,0.966135705814362,0.8162141702866046,0.993059352271203,0.8697819038456563,0.983478813993687,0.8671139561980064,0.9973517231255802,0.8675086786472609,0.9429127821161608,0.8921354074676725,0.991647209387846,0.9968250908944221,0.9923891402233936,0.802045024396501,0.9830069342405561,0.9995720910253935,0.8608192601556028,0.8968223330231117,0.9426831191575386,0.9594126366219835,0.9941173083507298,0.9982936054784374,0.8911145286607891,0.9977563388593516,0.9994244818225093,0.802045024396501,0.8810139451643948,0.7453516477749804,0.9406035075036343,0.8399729143275637,0.8785197711789371,0.9919184801640833,0.9747077319402052,0.949380641990095,0.9241614399155154,0.9314006013935794,0.816265956972253,0.8976067068212552,0.9896497178179199,0.8976067068212552,0.9009415501281833,0.9108095370481696,0.9990497006242249,0.9994036372962466,0.9136436137716084,0.9041680124031367,0.8928181773055964,0.9850384187092261,0.7970363576675609,0.9429127821161608,0.9999591345538131,0.9995720910253935,0.8554580404680572,0.9985671622506159,0.933464898526334,0.9308948865457378,0.8353126867679491,0.9999591345538131,0.9078869505654471,0.9203278847011885,0.9998362835764079,0.9288367326057825,0.9829672338517252,0.9180000629032345,0.9957783935018707,0.8798802245608314,0.8619593392412117,0.8859000464395633,0.8976067068212552,0.8037503073654435,0.9259308059834966,0.830773297333298,0.9768404953436778,0.9103143281060733,0.9406035075036343,0.8894143114246423,0.9807034557552522,0.9336551890216035,0.9577681806614146,0.9981103118223164,0.9981103118223164,0.8830829104654573
C08F11.7,0.9528336487463903,0.7670576865089762,0.8810452824404019,0.0,0.9816177552551911,0.9904564465985887,0.9330631022967274,0.9997326170770784,0.8359839854559629,0.8766657750893408,0.7343557319390757,0.7774003165674335,0.9604000765236459,0.8687258955257797,0.9989036486203563,0.9995036836262873,0.8740947496657432,0.7688968678552386,0.9621214397053635,0.7517928858779028,0.9964802340934389,0.814110023070584,0.9947005165245654,0.8234234153209158,0.9919358222642722,0.9671712921320128,0.9303504988980751,0.7348081751725419,0.9994802066459756,0.9999970799062001,0.9925265637349945,0.9171711311363033,0.9896655171443004,0.9936562876661289,0.7688968678552386,0.8837331391176324,0.8024485777814773,0.9486170855904146,0.9902505262200614,0.9909005012060905,0.8589215374742407,0.9999470661343471,0.993938638923678,0.8548359673386986,0.638575666009938,0.9082227254678313,0.919990552330205,0.9600605194622804,0.8912008988396123,0.9995652954581817,0.9602312416101095,0.8998605900521927,0.744211726467916,0.7921111238710059,0.9036074529015906,0.9001782781499832,0.9978278961022283,0.9087638712468205,0.9119903940551287,0.805899096640686,0.9927505495368052,0.9915341467846497,0.8225422279592606,0.7777622730342548,0.814206750732875,0.999892587573872,0.6640686044211169,0.9069209857362173,0.994194279496098,0.9958892164617673,0.9069209857362173,0.9845289133700086,0.8856809134914679,0.9169609253215194,0.8912008988396123,0.9963284679556638,0.8242604878450235,0.9294508277732566,0.9921509954374821,0.950757782106098,0.9893991279776423,0.7433785954386198,0.9996579107340068,0.8743637998538114,0.6973742298473176,0.9229165043145745,0.9247721917633871,0.941716901895789,0.8450705540077699,0.878255902613153,0.9848131904416254,0.814206750732875,0.8450705540077699,0.8838771590524249,0.9905202706814313,0.837156897873895,0.9001782781499832,0.9976745227943074,0.9993113228328542,0.8230447693865023
E01G4.5,0.9964191029902454,0.9754753018020248,0.976465008524646,0.9816177552551911,0.0,0.8024809353755831,0.9499614041638278,0.9679773494910925,0.9458134791861266,0.9772664267205455,0.9871070502796996,0.9866804869298481,0.8695417689082147,0.9104612564881917,0.977509926583948,0.9521091116777012,0.985271311804484,0.9661838244707708,0.6810226800914446,0.9866069432782283,0.9803081522631898,0.9664526879998049,0.7929488401598391,0.988358106118468,0.9873847494053704,0.9903522716122131,0.9500119298828217,0.9964228758372587,0.7213385399764776,0.7925584941746737,0.9895329292099299,0.9615429914709754,0.7456369578450031,0.9670429463225494,0.9708701895914796,0.975898345523766,0.9755685826143172,0.9652357829419311,0.9959881469065143,0.9806357487885327,0.9632375316774746,0.984739452909789,0.9973321752862022,0.975898345523766,0.9684715575344675,0.9873847494053704,0.970423112226065,0.970423112226065,0.8898795401542199,0.7631177276052132,0.954132446370252,0.9668841714643068,0.9842977212743032,0.9811159259629797,0.9190980123646331,0.9161146009705667,0.9702284862596857,0.9519770720917228,0.941230639926823,0.9597875935211432,0.9809456731784113,0.9926128400064967,0.975898345523766,0.9670429463225494,0.954132446370252,0.7431163372920472,0.9891489838469213,0.9670429463225494,0.9926128400064967,0.987760122793296,0.921981157106043,0.9832977526354331,0.9478378207032471,0.9890424030091738,0.9077670621315659,0.9926128400064967,0.9521711773280342,0.984739452909789,0.9890424030091738,0.9999923418353025,0.7149021378044504,0.975104740419747,0.7431163372920472,0.9976184502940938,0.9793971637186929,0.9500119298828217,0.9077670621315659,0.9598999438255515,0.9832977526354331,0.9979817808989155,0.9953174689620612,0.9864353750440817,0.975104740419747,0.9635239974546759,0.7001922152162944,0.9864353750440817,0.9890424030091738,0.7167894302317239,0.999043867845251,0.9759466158736694
ZK402.3,0.9586977607454723,0.9929511284535482,0.967230815129177,0.9904564465985887,0.8024809353755831,0.0,0.9824019291081002,0.9993967280466141,0.965916291578284,0.9903523835619131,0.9923032900343468,0.9833680954594216,0.9270004814047088,0.9684347985373861,0.994328462834093,0.9743673731093464,0.9938863569648857,0.9864513180864869,0.8785553658183842,0.9967586594705593,0.988255376397104,0.9926917113353486,0.599064000712517,0.991491249914553,0.993741683583412,0.9848988381116768,0.9506185785313425,0.9803554020806784,0.709555411145631,0.6681130760112068,0.9838903814425728,0.9669459007169735,0.6907292244006833,0.9942509486893012,0.9706379434123538,0.9906422771223921,0.9967586594705593,0.9799965541229311,0.9998731481468,0.9990823389408693,0.9852569037359525,0.9923032297822421,0.9999995201380184,0.9805321240429062,0.9782134775798651,0.9724296055202586,0.9762650814330478,0.9879634373812356,0.9590332302508956,0.6455070521014501,0.884014218394543,0.981139839460322,0.9907981664380903,0.9938226362474265,0.948543928329195,0.9463947447937325,0.9904563902364357,0.9749141318930258,0.9663967800633633,0.9967610430302727,0.996742756497432,0.9988436344482562,0.9876642935210523,0.9917582655748939,0.9757009278277207,0.6724052882023221,0.9948801664956587,0.9626021758545172,0.9996574730828532,0.9979217824409876,0.9729796565790665,0.9999918104633279,0.9762650814330478,0.9647387405895251,0.9590332302508956,0.9988436344482562,0.9858629524681869,0.9735060361618426,0.9985740117734999,0.9958597490736402,0.780498138796496,0.9988436344482562,0.7356257932480694,0.996756024697528,0.991018201316916,0.9679925365333419,0.9700331197829326,0.960850799994706,0.9879634373812356,0.9953589225841588,0.9993909269511425,0.9838903814425728,0.9975626919827252,0.9864585977504562,0.8448849470112627,0.9904563902364357,0.9953064703328898,0.7422698912273493,0.9953064703328898,0.9787918808662998
C09G5.7,0.854859301965779,0.9232882408364906,0.9647918386045257,0.9330631022967274,0.9499614041638278,0.9824019291081002,0.0,0.9974900505616342,0.9417654151942699,0.9609046077700141,0.960488909875649,0.9848846910766378,0.9619290312712516,0.9356585344509365,0.989784797158955,0.9756436546753373,0.9616258152672867,0.9114423943930261,0.9261034174257685,0.9334185189244816,0.9977360966099773,0.9110899222467913,0.9695923251155114,0.8830536611199611,0.9989126248680417,0.9528299191057795,0.7649358497866825,0.9541687455152579,0.972746181027207,0.9760468920607371,0.9985197028051457,0.9584764720519855,0.9635684363417384,0.9862029303798959,0.9681628114464345,0.9688898764543125,0.958242696190599,0.7491469963960382,0.9999808792816488,0.9921715610795536,0.9053259312851479,0.9998910310011654,0.9941863760088515,0.9261034174257685,0.9208319803875925,0.9330945166628429,0.9678971700109962,0.9939330011529455,0.9028158935980866,0.9566589950108542,0.9152141959022178,0.819846833355172,0.9824019291081002,0.928617679646468,0.8972398717597174,0.9713102807002173,0.9152141959022178,0.9196802713042371,0.7992408795229374,0.9157784711330348,0.9983148619307575,0.9999913088933279,0.952726061219652,0.9174637111891372,0.838220642465646,0.979473441335399,0.8992046469510648,0.8723026067481368,0.998892772826125,0.9997427788924773,0.9092201263775512,0.9999913088933279,0.7861892708852642,0.9196802713042371,0.9275151114896161,0.999669581207254,0.9657700063915725,0.9167130612706811,0.9954941580370589,0.9822018795701182,0.956801321730194,0.9060715703295996,0.9657700063915725,0.920323834515039,0.8972398717597174,0.9465616369700481,0.9196802713042371,0.9225471824355116,0.9145065252208662,0.9769733839192075,0.9862835971663372,0.9676457180265862,0.9443206881888734,0.920323834515039,0.9643385434840857,0.9810637155416246,0.9419986183488552,0.960769342069241,0.96623779770936,0.9685256273627123
hrde-1,0.9977080239562043,0.9929511284535482,0.9949534511911341,0.9997326170770784,0.9679773494910925,0.9993967280466141,0.9974900505616342,0.0,0.9977133422684811,0.9949723936640282,0.9977858477061233,0.997819975533973,0.9787803458046324,0.9938226362474265,0.7356257932480694,0.7002544720567101,0.9987364664592756,0.9978507979777841,0.9842928705689892,0.9870632053614297,0.8235406926742526,0.9900700995263766,0.9927767561274194,0.9938863569648857,0.681825302993381,0.9988094666237375,0.9729796565790665,0.9965282903238489,0.9921504353779589,0.9934209916578769,0.7526457794618823,0.9906422771223921,0.9926917113353486,0.7402236087125609,0.9894876338771553,0.9999212790403172,0.9992153163172227,0.9953589225841588,0.7884186313631594,0.7092734639556652,0.9975357674664236,0.7507284284940969,0.7642973341923583,0.9994343244990086,0.9963267460529147,0.9996233435830947,0.991018201316916,0.991018201316916,0.997170097512534,0.9948801664956587,0.9971701703742455,0.9996233435830947,0.9999000490205486,0.9999087767566885,0.9879634373812356,0.9793788956332123,0.9545560366433081,0.9749141318930258,0.9958254267046944,0.9925863163552747,0.7507284284940969,0.7772655469452525,0.9999212790403172,0.9963081826153777,0.9799965541229311,0.9979019223774436,0.9998475420666854,0.9963081826153777,0.6683670139956484,0.8448849470112627,0.9942509486893012,0.702114329414373,0.9958254267046944,0.9993514263590292,0.9929924704384692,0.763232959705023,0.9858629524681869,0.9947499528497931,0.7570875708438425,0.9965939959073893,0.9904563902364357,0.9979635660104479,0.982235885386365,0.999981981962637,0.9958254267046944,0.9817337856916192,0.9647387405895251,0.9988436344482562,0.9999918104633279,0.9994712096961333,0.9995885064835667,0.9953589225841588,0.9998323692812932,0.9924579169170435,0.9817337856916192,0.9999400976332098,0.999507459486146,0.9929924704384692,0.9929924704384692,0.9961148276125311
C18D4.6,0.9029202662970196,0.8977984833954583,0.7898412121687575,0.8359839854559629,0.9458134791861266,0.965916291578284,0.9417654151942699,0.9977133422684811,0.0,0.7852062368000108,0.8522914646008792,0.8848292487033889,0.9255219241054466,0.9229041769794204,0.9992608190613963,0.9949221581649242,0.7537056816351178,0.8805706304424371,0.9693388290098609,0.8176539590848864,0.9999214728906574,0.8699874525960638,0.9703909715401955,0.8267261973603911,0.9971262434022445,0.885652998885341,0.9532760161690287,0.7516764705191283,0.984748551923662,0.9898968867279734,0.9987742022413301,0.8683624999450391,0.9736621505045171,0.9965728335799039,0.871385385628588,0.8683624999450391,0.8883474755198106,0.9627644895209211,0.996154635364995,0.9992249304243526,0.8721341866909252,0.9959348859691223,0.9947853540927141,0.826352410154097,0.8501255691212737,0.7171934306133831,0.8494404280316916,0.8494404280316916,0.8951528107451685,0.9768143803460362,0.9451748158698168,0.8664876070004842,0.9159978497007635,0.8624001394287829,0.9073137672576791,0.8951528107451685,0.9908638860090827,0.8762392082310401,0.8896137437989244,0.8836007071480703,0.9959348859691223,0.9984374184745142,0.8584330242211056,0.9105050626933557,0.8912180113884997,0.9710096367846504,0.8216224750264023,0.918578622812634,0.9924915113093727,0.9999950173313822,0.8201852617116021,0.9984374184745142,0.9448110335048489,0.9489794025715589,0.8858965801824592,0.9969709514671753,0.8891833616306464,0.9400008816282727,0.9995792773626857,0.919462230245814,0.9810639504923049,0.8801734525890152,0.9946094459899739,0.868440852507607,0.8801734525890152,0.9105050626933557,0.9424497695117682,0.8268876865743853,0.8986593175377154,0.8520554933114858,0.9708343092821917,0.9000469082182149,0.8494404280316916,0.8876570462160315,0.9860435143230644,0.9242790904259115,0.955125324796686,0.9758650950426385,0.9903759395256734,0.91672984908093
R06C1.4,0.8969119555371656,0.8915528989512493,0.7679484624871074,0.8766657750893408,0.9772664267205455,0.9903523835619131,0.9609046077700141,0.9949723936640282,0.7852062368000108,0.0,0.8642437224715356,0.8694026832151952,0.8790236212226983,0.902259850474188,0.9986084959476995,0.993949133922349,0.7829895530137434,0.8834611342775347,0.9799632720405361,0.8095363381520639,0.9992933003057138,0.8210991136950143,0.9803497065688875,0.8801289100073457,0.9969194996590734,0.8158319518901486,0.9500119298828217,0.8587327207607095,0.9975183633561394,0.9883501726838941,0.9979817808989155,0.8619496001104161,0.9921811404476167,0.9972202391503984,0.8549779297406688,0.8904049500731677,0.9307624049700701,0.9652357829419311,0.9948158921320179,0.9999314652757727,0.902259850474188,0.9996116117845361,0.9973768617455746,0.818649874853544,0.8641478747049329,0.8387925688097659,0.941230639926823,0.7946014652502952,0.9240682074724778,0.9961509964370646,0.954132446370252,0.879904340707487,0.9030005138318278,0.902259850474188,0.9342389547107544,0.9519770720917228,0.9964718990976478,0.9077670621315659,0.8537081311293975,0.8366983964028085,0.9999803202320873,0.9996629519764039,0.8517081787747481,0.887805164991157,0.8948007188475982,0.9994775920176497,0.8475345110909862,0.9670429463225494,0.9999904789901588,0.9999540014272851,0.8580381779619843,0.9996629519764039,0.9190980123646331,0.9316299299355723,0.8703792482617321,0.9992687148302679,0.9097228334117881,0.9044777202827372,0.999043867845251,0.9066781778081441,0.9790891718388325,0.8934652926982892,0.9911290141717659,0.8723340612878008,0.9109455721183495,0.8473062814925771,0.8803329677433321,0.7946014652502952,0.9478378207032471,0.845306288422361,0.9461039742114942,0.9118880720548972,0.9268618656444632,0.9088299931518862,0.9764895810604584,0.9035345818926588,0.9455835127396084,0.9943066501452369,0.9918807082967385,0.9031406008950398
