gene,"fold change (rrf-3, eri-1 average)",Fold change rrf-3 vs. N2,Fold change eri-1 vs. N2,Annotation,Input,Suggested Match,History
Y106G6G.3,8.91,9.39,8.43,Dynein light chain motif,Y106G6G.3,WBGene00013712,Sequence name for WBGene00013712(dlc-6). History: N.A.
F59A6.2,6.53,7.49,5.57,,F59A6.2,WBGene00019084,Public name for WBGene00019084. History: N.A.
Y39E4B.11,6.38,7.02,5.74,,Y39E4B.11,WBGene00012720,Public name for WBGene00012720. History: N.A.
Y54G11A.13,6.48,6.13,6.83,"ctl-3, catalase",Y54G11A.13,WBGene00013220,Sequence name for WBGene00013220(ctl-3). History: N.A.
T27A3.3,6.155,5.93,6.38,"ssp-16, sperm-specific class P protein 16",T27A3.3,WBGene00006044,Sequence name for WBGene00006044(ssp-16). History: N.A.
T16G12.7,5.66,5.61,5.71,Protein phosphatase 1,T16G12.7,WBGene00011808,Public name for WBGene00011808. History: N.A.
W08E3.4,4.835,5.14,4.53,,W08E3.4,WBGene00012345,Public name for WBGene00012345. History: N.A.
ZK666.8,4.28,4.54,4.02,Serine/threonine kinase,ZK666.8,WBGene00014048,Public name for WBGene00014048. History: N.A.
F25B3.4,4.53,4.54,4.52,Serine/threonine protein phosphatase,F25B3.4,WBGene00009101,Public name for WBGene00009101. History: N.A.
C38C10.3,4.2,4.52,3.88,,C38C10.3,WBGene00008001,Public name for WBGene00008001. History: N.A.
T01C3.5,4.37,4.51,4.23,,T01C3.5,WBGene00011322,Sequence name for WBGene00011322(irld-14). History: N.A.
Y54G11A.6,4.74,4.47,5.01,"ctl-1, catalase",Y54G11A.6,WBGene00000830,Sequence name for WBGene00000830(ctl-1). History: N.A.
F09C12.8,4.015,4.35,3.68,Phosphoglyserate mutase motif,F09C12.8,WBGene00017279,Public name for WBGene00017279. History: N.A.
Y6E2A.9,3.64,4.28,3.0,Proton or iron transport? Sideroflexin?,Y6E2A.9,WBGene00012402,Sequence name for WBGene00012402(sfxn-1.3). History: N.A.
F47B3.5,4.115,4.27,3.96,,F47B3.5,WBGene00018529,Public name for WBGene00018529. History: N.A.
Y38H6C.15,3.82,4.24,3.4,,Y38H6C.15,WBGene00012627,Public name for WBGene00012627. History: N.A.
