# Curated list of genes misregulated in the dcr-1(-/-);unc-32(-/-) relative to unc-32(-/-). The uncurated output from the microarray analysis software package GeneSifter is presented in worksheet ""dcr-1 raw data""
gene,affy_id,fold change,direction,Input,Suggested Match,History
K11H12.6,184418_at,58.48,Up,K11H12.6,WBGene00019662,Public name for WBGene00019662. History: N.A.
ZK970.7,190585_at,40.07,Up,ZK970.7,WBGene00014173,Public name for WBGene00014173. History: N.A.
C45G7.3,180946_at,39.24,Up,C45G7.3,WBGene00016670,Sequence name for WBGene00016670(ilys-3). History: N.A.
C50F7.5,183381_at,39.11,Up,C50F7.5,WBGene00016845,Public name for WBGene00016845. History: N.A.
K10D11.2,183442_at,24.14,Up,K10D11.2,WBGene00010746,Public name for WBGene00010746. History: N.A.
F15E11.12,186519_at,23.51,Up,F15E11.12,WBGene00017498,Sequence name for WBGene00017498(pud-4). History: N.A.
C13D9.1,182667_at,22.83,Up,C13D9.1,WBGene00005657,Sequence name for WBGene00005657(srr-6). History: N.A.
T26F2.2,179301_at,21.65,Up,T26F2.2,WBGene00012058,"Public name for WBGene00012058. History: Split into eol-1(WBGene00045401). History of WBGene00012058: Split into ""WBGene00045401"" on 2007-04-27"
F55G11.5,183624_at,21.01,Up,F55G11.5,WBGene00010125,Sequence name for WBGene00010125(dod-22). History: N.A.
F09B9.1,177903_s_at,20.29,Up,F09B9.1,WBGene00008602,Sequence name for WBGene00008602(oac-14). History: N.A.
F40E10.1,191394_s_at,19.46,Up,F40E10.1,WBGene00001828,Sequence name for WBGene00001828(hch-1). History: N.A.
F53B6.8,194157_s_at,17.39,Up,F53B6.8,WBGene00009963,Sequence name for WBGene00009963(fipr-26). History: N.A.
F36G9.12,179909_at,16.53,Up,F36G9.12,WBGene00009488,Sequence name for WBGene00009488(oac-20). History: N.A.
Y22F5A.6,182428_s_at,16.37,Up,Y22F5A.6,WBGene00003092,Sequence name for WBGene00003092(lys-3). History: Renamed on 2015-02-20
B0507.10,180569_at,14.52,Up,B0507.10,WBGene00015227,Sequence name for WBGene00015227(ddn-1). History: N.A.
Y110A2AL.4,175367_s_at,14.27,Up,Y110A2AL.4,WBGene00022441,Public name for WBGene00022441. History: N.A.
F15E11.15,175239_at,13.33,Up,F15E11.15,WBGene00017501,Sequence name for WBGene00017501(pud-3). History: N.A.
C49G7.10,184711_at,12.75,Up,C49G7.10,WBGene00016788,Public name for WBGene00016788. History: N.A.
F22B7.4,190713_at,12.63,Up,F22B7.4,WBGene00017695,Sequence name for WBGene00017695(fip-1). History: N.A.
T01G9.3,189945_at,12.09,Up,T01G9.3,WBGene00011345,Sequence name for WBGene00011345(dma-1). History: N.A.
C45G7.2,180721_at,11.94,Up,C45G7.2,WBGene00016669,Sequence name for WBGene00016669(ilys-2). History: N.A.
C31A11.5,182733_at,11.9,Up,C31A11.5,WBGene00007833,Sequence name for WBGene00007833(oac-6). History: N.A.
C02F5.8,191038_at,11.73,Up,C02F5.8,WBGene00006627,Sequence name for WBGene00006627(tsp-1). History: N.A.
B0507.8,174215_s_at,11.72,Up,B0507.8,WBGene00015225,Public name for WBGene00015225. History: N.A.
F18G5.2,182320_at,11.68,Up,F18G5.2,WBGene00003981,Sequence name for WBGene00003981(pes-8). History: N.A.
Y51A2B.1,179786_at,11.58,Up,Y51A2B.1,WBGene00007440,"Public name for Dead gene WBGene00013065. History of WBGene00013065: Merged into ""WBGene00007440"" on 2008-07-18"
F49E11.10,192737_at,11.45,Up,F49E11.10,WBGene00009895,Sequence name for WBGene00009895(scl-2). History: N.A.
K11G9.6,172744_at,11.38,Up,K11G9.6,WBGene00003473,Sequence name for WBGene00003473(mtl-1). History: N.A.
K09D9.1,184107_at,11.37,Up,K09D9.1,WBGene00019564,Public name for WBGene00019564. History: N.A.
Y58A7A.5,176209_at,10.94,Up,Y58A7A.5,WBGene00021979,Public name for WBGene00021979. History: N.A.
Y40B10A.6,176851_at,10.51,Up,Y40B10A.6,WBGene00021491,Sequence name for WBGene00021491(comt-4). History: N.A.
C10C5.2,178767_at,10.43,Up,C10C5.2,WBGene00007506,Sequence name for WBGene00007506(fbxc-58). History: N.A.
C24B9.9,173335_s_at,10.41,Up,C24B9.9,WBGene00016052,Sequence name for WBGene00016052(dod-3). History: N.A.
F15E6.8,181270_at,10.34,Up,F15E6.8,WBGene00017488,Sequence name for WBGene00017488(dct-7). History: N.A.
F39H12.4,186202_s_at,10.31,Up,F39H12.4,WBGene00018215,Sequence name for WBGene00018215(igcm-1). History: N.A.
Y47H10A.5,186390_at,10.3,Up,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
T21C9.8,190830_at,10.28,Up,T21C9.8,WBGene00011894,Sequence name for WBGene00011894(ttr-23). History: N.A.
Y6E2A.4,179418_at,10.02,Up,Y6E2A.4,WBGene00012398,Public name for WBGene00012398. History: N.A.
Y51H7C.1,186349_at,9.98,Up,Y51H7C.1,WBGene00021779,Public name for WBGene00021779. History: N.A.
F53C3.6,174167_at,9.58,Up,F53C3.6,WBGene00018750,Public name for WBGene00018750. History: N.A.
F15B9.1,193272_s_at,9.38,Up,F15B9.1,WBGene00001387,Sequence name for WBGene00001387(far-3). History: N.A.
F56D6.2,181565_at,9.34,Up,F56D6.2,WBGene00018971,Sequence name for WBGene00018971(clec-67). History: N.A.
Y34F4.4,175870_s_at,9.29,Up,Y34F4.4,WBGene00021339,Public name for WBGene00021339. History: N.A.
C08F11.13,175229_at,9.27,Up,C08F11.13,WBGene00007460,Public name for WBGene00007460. History: N.A.
Y51A2D.11,191333_at,9.22,Up,Y51A2D.11,WBGene00013079,Sequence name for WBGene00013079(ttr-26). History: N.A.
C09H5.2,188162_at,9.12,Up,C09H5.2,WBGene00015660,Sequence name for WBGene00015660(catp-3). History: N.A.
C44H4.3,193344_at,8.81,Up,C44H4.3,WBGene00006366,Sequence name for WBGene00006366(sym-1). History: N.A.
Y55D5A.6,177041_at,8.7,Up,Y55D5A.6,WBGene00021919,Sequence name for WBGene00021919(cutl-25). History: N.A.
H27M09.4,184551_at,8.64,Up,H27M09.4,WBGene00001075,"Sequence name for WBGene00001075(dpy-14). History: N.A.. Public name for Dead gene WBGene00000635. History of WBGene00000635: Merged into ""WBGene00001075"" on 2005-02-01"
C55A1.6,178619_at,8.52,Up,C55A1.6,WBGene00008323,Public name for WBGene00008323. History: N.A.
F53A9.2,180642_at,8.52,Up,F53A9.2,WBGene00018725,Sequence name for WBGene00018725(kreg-1). History: N.A.
C02A12.4,185557_s_at,8.46,Up,C02A12.4,WBGene00003096,Sequence name for WBGene00003096(lys-7). History: N.A.
K06A1.3,174360_at,8.45,Up,K06A1.3,WBGene00019426,Sequence name for WBGene00019426(cutl-16). History: N.A.
K08F9.3,188380_at,8.34,Up,K08F9.3,WBGene00010686,Public name for WBGene00010686. History: N.A.
B0222.3,189799_at,8.28,Up,B0222.3,WBGene00015055,Sequence name for WBGene00015055(pitr-3). History: N.A.
Y46E12A.1,177156_at,8.2,Up,Y46E12A.1,WBGene00000560,Sequence name for WBGene00000560(cnc-6). History: N.A.
K10D6.2,171905_x_at,7.76,Up,K10D6.2,WBGene00010742,Sequence name for WBGene00010742(clc-6). History: N.A.
F13A7.11,183639_at,7.74,Up,F13A7.11,WBGene00008726,Public name for WBGene00008726. History: N.A.
W04A8.4,178654_s_at,7.7,Up,W04A8.4,WBGene00012239,Public name for WBGene00012239. History: N.A.
K08B4.2,182720_s_at,7.44,Up,K08B4.2,WBGene00019514,Sequence name for WBGene00019514(cpg-20). History: N.A.
Y48E1B.16,191784_s_at,7.44,Up,Y48E1B.16,WBGene00013013,Sequence name for WBGene00013013(clec-145). History: N.A.
C44H4.2,173271_s_at,7.17,Up,C44H4.2,WBGene00002282,"Sequence name for WBGene00002282(let-4). History: Renamed on 2011-09-23. Public name for Dead gene WBGene00006370. History of WBGene00006370: Merged into ""WBGene00002282"" on 2011-09-23"
C49G7.5,180192_at,7.15,Up,C49G7.5,WBGene00016783,Sequence name for WBGene00016783(irg-2). History: N.A.
M02D8.4,190094_s_at,7.14,Up,M02D8.4,WBGene00019730,Sequence name for WBGene00019730(asns-2). History: N.A.
C54F6.6,184173_at,7.13,Up,C54F6.6,WBGene00016924,"Public name for WBGene00016924. History: Split into C54F6.20(WBGene00271796). History of WBGene00016924: Split into ""WBGene00271796"" on 2017-09-21"
C26D10.5,175006_at,6.99,Up,C26D10.5,WBGene00001159,Sequence name for WBGene00001159(eff-1). History: N.A.
C24G7.2,183713_at,6.96,Up,C24G7.2,WBGene00016064,Sequence name for WBGene00016064(acd-1). History: N.A.
F15B9.7,190264_s_at,6.96,Up,F15B9.7,WBGene00001475,"Sequence name for WBGene00001475(fmi-1). History: N.A.. Public name for Dead gene WBGene00000398. History of WBGene00000398: Merged into ""WBGene00001475"" on 2009-09-30"
T24B8.5,178297_at,6.91,Up,T24B8.5,WBGene00011979,Sequence name for WBGene00011979(sysm-1). History: N.A.
F52E4.5,180261_s_at,6.83,Up,F52E4.5,WBGene00018702,Public name for WBGene00018702. History: N.A.
Y102A5C.6,174109_at,6.83,Up,Y102A5C.6,WBGene00014955,Public name for WBGene00014955. History: N.A.
C06B3.7,179226_at,6.77,Up,C06B3.7,WBGene00007366,Public name for WBGene00007366. History: N.A.
F58E2.3,183371_at,6.64,Up,F58E2.3,WBGene00019047,Public name for WBGene00019047. History: N.A.
F15E6.3,180424_at,6.63,Up,F15E6.3,WBGene00017484,Public name for WBGene00017484. History: N.A.
T27F2.4,179204_s_at,6.54,Up,T27F2.4,WBGene00012101,Sequence name for WBGene00012101(zip-10). History: N.A.
T20D4.7,180602_at,6.53,Up,T20D4.7,WBGene00020613,Public name for WBGene00020613. History: N.A.
T24C4.4,182815_at,6.51,Up,T24C4.4,WBGene00020760,Public name for WBGene00020760. History: N.A.
R10D12.9,180810_at,6.49,Up,R10D12.9,WBGene00011190,Sequence name for WBGene00011190(swt-6). History: N.A.
C25B8.4,191626_s_at,6.45,Up,C25B8.4,WBGene00016088,Sequence name for WBGene00016088(clec-266). History: N.A.
B0416.3,187512_at,6.27,Up,B0416.3,WBGene00015179,Public name for WBGene00015179. History: N.A.
R09B5.9,184191_at,6.25,Up,R09B5.9,WBGene00000558,Sequence name for WBGene00000558(cnc-4). History: N.A.
B0365.6,189915_s_at,6.23,Up,B0365.6,WBGene00007153,Sequence name for WBGene00007153(clec-41). History: N.A.
R09B5.3,172437_x_at,6.21,Up,R09B5.3,WBGene00000556,Sequence name for WBGene00000556(cnc-2). History: N.A.
C30F12.6,187951_at,6.15,Up,C30F12.6,WBGene00016265,Sequence name for WBGene00016265(trhr-1). History: Renamed on 2016-11-29
Y53F4B.32,191303_at,6.15,Up,Y53F4B.32,WBGene00001777,Sequence name for WBGene00001777(gst-29). History: N.A.
F53B2.8,174012_s_at,6.13,Up,F53B2.8,WBGene00009957,Public name for WBGene00009957. History: N.A.
C37E2.2,193164_at,6.11,Up,C37E2.2,WBGene00007994,Public name for WBGene00007994. History: N.A.
C08E8.4,179069_at,5.99,Up,C08E8.4,WBGene00007440,Public name for WBGene00007440. History: N.A.
F25B3.4,192721_at,5.98,Up,F25B3.4,WBGene00009101,Public name for WBGene00009101. History: N.A.
F54D8.1,181096_at,5.95,Up,F54D8.1,WBGene00001076,"Sequence name for WBGene00001076(dpy-17). History: N.A.. Public name for Dead gene WBGene00018799. History of WBGene00018799: Merged into ""WBGene00001076"" on 2004-07-02"
C17H12.8,184533_at,5.92,Up,C17H12.8,WBGene00015933,Public name for WBGene00015933. History: N.A.
F57H12.3,188116_at,5.88,Up,F57H12.3,WBGene00003879,Sequence name for WBGene00003879(ora-1). History: N.A.
C06C6.4,193566_at,5.83,Up,C06C6.4,WBGene00003653,Sequence name for WBGene00003653(nhr-63). History: N.A.
Y53C12B.6,184927_s_at,5.81,Up,Y53C12B.6,WBGene00013145,Sequence name for WBGene00013145(cutl-2). History: N.A.
Y58A7A.3,176141_s_at,5.8,Up,Y58A7A.3,WBGene00021977,Public name for WBGene00021977. History: N.A.
C17G1.5,179127_s_at,5.77,Up,C17G1.5,WBGene00007652,Public name for WBGene00007652. History: N.A.
R08F11.3,189519_at,5.69,Up,R08F11.3,WBGene00019967,Sequence name for WBGene00019967(cyp-33C8). History: N.A.
Y41D4B.10,176055_at,5.68,Up,Y41D4B.10,WBGene00001105,Sequence name for WBGene00001105(dsl-3). History: N.A.
Y110A2AL.9,187234_s_at,5.65,Up,Y110A2AL.9,WBGene00022445,Public name for WBGene00022445. History: N.A.
Y46G5A.20,184840_at,5.63,Up,Y46G5A.20,WBGene00012910,Public name for WBGene00012910. History: N.A.
Y102A11A.8,176506_s_at,5.62,Up,Y102A11A.8,WBGene00022418,Sequence name for WBGene00022418(igcm-4). History: N.A.
R03H10.2,186220_at,5.6,Up,R03H10.2,WBGene00019855,Public name for WBGene00019855. History: N.A.
F47H4.10,187992_at,5.58,Up,F47H4.10,WBGene00004811,Sequence name for WBGene00004811(skr-5). History: N.A.
F52F10.4,185076_at,5.57,Up,F52F10.4,WBGene00018708,Sequence name for WBGene00018708(oac-32). History: N.A.
H03E18.2,185155_at,5.52,Up,H03E18.2,WBGene00019149,Public name for WBGene00019149. History: N.A.
T17A3.2,183048_at,5.45,Up,T17A3.2,WBGene00020540,Sequence name for WBGene00020540(pals-25). History: N.A.
C04A11.1,175540_at,5.44,Up,C04A11.1,WBGene00007285,Public name for WBGene00007285. History: N.A.
T19D12.4,186383_at,5.4,Up,T19D12.4,WBGene00020579,Public name for WBGene00020579. History: N.A.
K04B12.1,188084_s_at,5.38,Up,K04B12.1,WBGene00004048,Sequence name for WBGene00004048(plx-2). History: N.A.
ZK75.2,188243_at,5.28,Up,ZK75.2,WBGene00002085,Sequence name for WBGene00002085(ins-2). History: N.A.
C18A11.1,184853_at,5.27,Up,C18A11.1,WBGene00015947,Public name for WBGene00015947. History: N.A.
Y41D4B.26,173109_s_at,5.27,Up,Y41D4B.26,WBGene00021525,Sequence name for WBGene00021525(cpg-24). History: N.A.
F52B11.3,181136_s_at,5.26,Up,F52B11.3,WBGene00009926,Sequence name for WBGene00009926(noah-2). History: Renamed on 2005-03-17
C05E11.4,190834_at,5.23,Up,C05E11.4,WBGene00000133,Sequence name for WBGene00000133(amt-1). History: N.A.
C45B2.7,180485_s_at,5.19,Up,C45B2.7,WBGene00004219,Sequence name for WBGene00004219(ptr-4). History: N.A.
C10B5.3,180052_at,5.17,Up,C10B5.3,WBGene00015671,Public name for WBGene00015671. History: N.A.
C34G6.6,174240_at,5.16,Up,C34G6.6,WBGene00016422,Sequence name for WBGene00016422(noah-1). History: N.A.
T02C5.3,173680_at,5.16,Up,T02C5.3,WBGene00020160,Sequence name for WBGene00020160(igcm-3). History: N.A.
F56C3.9,180704_at,5.15,Up,F56C3.9,WBGene00018946,Public name for WBGene00018946. History: N.A.
D1044.2,171935_s_at,5.14,Up,D1044.2,WBGene00017028,Sequence name for WBGene00017028(dex-1). History: N.A.
F32H2.6,192242_at,5.12,Up,F32H2.6,WBGene00009343,Public name for WBGene00009343. History: Renamed on 2005-03-17
ZK783.1,174252_at,5.12,Up,ZK783.1,WBGene00022816,Sequence name for WBGene00022816(fbn-1). History: Renamed on 2019-05-20
F56D5.1,173071_s_at,5.07,Up,F56D5.1,WBGene00000695,Sequence name for WBGene00000695(col-121). History: Renamed on 2006-06-15
R13A5.3,175990_at,5.07,Up,R13A5.3,WBGene00020047,Sequence name for WBGene00020047(ttr-32). History: N.A.
C49G7.7,181695_at,5.03,Up,C49G7.7,WBGene00016785,"Public name for WBGene00016785. History: Split into C49G7.12(WBGene00077593), C49G7.13(WBGene00269425). History of WBGene00016785: Split into ""WBGene00077593"" on 2008-02-08; Split into ""WBGene00269425"" on 2016-04-19"
Y39A3CL.5,187153_s_at,5.01,Up,Y39A3CL.5,WBGene00000545,Sequence name for WBGene00000545(clp-4). History: N.A.
F09F9.3,181041_at,4.99,Up,F09F9.3,WBGene00017308,Public name for WBGene00017308. History: N.A.
C42D4.1,180644_at,4.98,Up,C42D4.1,WBGene00016594,Public name for WBGene00016594. History: N.A.
F44G3.2,189178_at,4.9,Up,F44G3.2,WBGene00009706,Sequence name for WBGene00009706(argk-1). History: N.A.
W08A12.4,184569_at,4.9,Up,W08A12.4,WBGene00021081,Sequence name for WBGene00021081(pals-33). History: N.A.
C01B10.5,171921_x_at,4.85,Up,C01B10.5,WBGene00001858,Sequence name for WBGene00001858(hil-7). History: Renamed on 2010-11-12
Y4C6B.2,183287_at,4.83,Up,Y4C6B.2,WBGene00021156,Public name for WBGene00021156. History: N.A.
C52B9.7,180855_s_at,4.82,Up,C52B9.7,WBGene00003907,Sequence name for WBGene00003907(paf-2). History: N.A.
C29E6.1,193058_at,4.79,Up,C29E6.1,WBGene00002827,Sequence name for WBGene00002827(let-653). History: N.A.
F13E9.11,174195_at,4.77,Up,F13E9.11,WBGene00008760,Public name for WBGene00008760. History: N.A.
F53F1.6,179015_at,4.72,Up,F53F1.6,WBGene00009984,Public name for WBGene00009984. History: N.A.
Y22F5A.5,183028_s_at,4.7,Up,Y22F5A.5,WBGene00003091,Sequence name for WBGene00003091(lys-2). History: N.A.
D1086.3,177920_at,4.69,Up,D1086.3,WBGene00008390,Public name for WBGene00008390. History: N.A.
F08H9.3,189643_at,4.67,Up,F08H9.3,WBGene00008591,Public name for WBGene00008591. History: N.A.
F53H2.2,172240_x_at,4.66,Up,F53H2.2,WBGene00010005,Sequence name for WBGene00010005(cnc-7). History: N.A.
F11C1.6,175663_at,4.65,Up,F11C1.6,WBGene00003623,Sequence name for WBGene00003623(nhr-25). History: N.A.
ZK1290.8,184676_s_at,4.65,Up,ZK1290.8,WBGene00006956,Sequence name for WBGene00006956(wrt-10). History: N.A.
F54H5.5,183063_at,4.62,Up,F54H5.5,WBGene00018841,"Public name for WBGene00018841. History: Split into F54H5.14(WBGene00255600). History of WBGene00018841: Split into ""WBGene00255600"" on 2014-11-13"
Y58A7A.4,176256_s_at,4.61,Up,Y58A7A.4,WBGene00021978,Public name for WBGene00021978. History: N.A.
F21G4.1,192451_s_at,4.58,Up,F21G4.1,WBGene00009023,Public name for WBGene00009023. History: N.A.
T23B3.2,182950_at,4.55,Up,T23B3.2,WBGene00020710,Public name for WBGene00020710. History: N.A.
F52F10.3,174957_s_at,4.54,Up,F52F10.3,WBGene00018707,Sequence name for WBGene00018707(oac-31). History: N.A.
Y51H7C.13,186760_at,4.54,Up,Y51H7C.13,WBGene00021791,Public name for WBGene00021791. History: N.A.
K11C4.4,192924_s_at,4.52,Up,K11C4.4,WBGene00003844,Sequence name for WBGene00003844(odc-1). History: N.A.
M28.1,173172_s_at,4.5,Up,M28.1,WBGene00010893,Sequence name for WBGene00010893(cutl-9). History: N.A.
Y41G9A.5,186214_at,4.49,Up,Y41G9A.5,WBGene00021529,Public name for WBGene00021529. History: N.A.
ZC204.12,184174_at,4.47,Up,ZC204.12,WBGene00022562,Public name for WBGene00022562. History: N.A.
K08D8.5,175126_s_at,4.46,Up,K08D8.5,WBGene00010659,Public name for WBGene00010659. History: N.A.
C53D6.2,193393_at,4.32,Up,C53D6.2,WBGene00006852,Sequence name for WBGene00006852(unc-129). History: N.A.
W01F3.3,171847_s_at,4.32,Up,W01F3.3,WBGene00012186,Sequence name for WBGene00012186(mlt-11). History: Renamed on 2005-03-17
C05B5.4,186804_at,4.31,Up,C05B5.4,WBGene00007321,Public name for WBGene00007321. History: N.A.
C05B5.8,186950_at,4.28,Up,C05B5.8,WBGene00007324,Public name for WBGene00007324. History: N.A.
T13B5.5,179688_at,4.25,Up,T13B5.5,WBGene00020472,Sequence name for WBGene00020472(lips-11). History: N.A.
C04F6.3,171912_x_at,4.24,Up,C04F6.3,WBGene00000503,Sequence name for WBGene00000503(cht-1). History: N.A.
W09G12.7,184508_s_at,4.24,Up,W09G12.7,WBGene00021121,Public name for WBGene00021121. History: N.A.
ZK1251.2,188538_at,4.23,Up,ZK1251.2,WBGene00002090,Sequence name for WBGene00002090(ins-7). History: N.A.
F01G10.3,189971_at,4.18,Up,F01G10.3,WBGene00001158,Sequence name for WBGene00001158(ech-9). History: N.A.
F08F3.7,189344_s_at,4.17,Up,F08F3.7,WBGene00000373,Sequence name for WBGene00000373(cyp-14A5). History: N.A.
D2096.5,182770_at,4.16,Up,D2096.5,WBGene00017072,Public name for WBGene00017072. History: N.A.
