# Curated list of genes misregulated in the rde-1 [ne219 and ne300] strains relative to the N2 strain. The uncurated output from the microarray analysis software package GeneSifter is presented in worksheet ""rde-1 raw data""
gene,affy_id,fold change,direction,Input,Suggested Match,History
H19N07.3,173560_s_at,2.96,Up,H19N07.3,WBGene00010407,Sequence name for WBGene00010407(scb-1). History: N.A.
Y47H10A.5,186390_at,2.81,Up,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
C13B9.4,191912_at,2.51,Up,C13B9.4,WBGene00015735,Sequence name for WBGene00015735(pdfr-1). History: Renamed on 2012-08-29
F01D5.5,178262_at,2.32,Up,F01D5.5,WBGene00008495,Public name for WBGene00008495. History: N.A.
Y22F5A.5,183028_s_at,2.22,Up,Y22F5A.5,WBGene00003091,Sequence name for WBGene00003091(lys-2). History: N.A.
ZK6.10,177463_at,2.14,Up,ZK6.10,WBGene00022644,Sequence name for WBGene00022644(dod-19). History: N.A.
F35E12.8,179914_at,2.05,Up,F35E12.8,WBGene00009432,Sequence name for WBGene00009432(cld-9). History: N.A.
Y54E5A.1,180039_at,2.02,Up,Y54E5A.1,WBGene00013197,Sequence name for WBGene00013197(ttm-5). History: N.A.
M110.1,188132_at,2.0,Up,M110.1,WBGene00000652,Sequence name for WBGene00000652(col-76). History: N.A.
C34H4.2,183115_at,1.93,Up,C34H4.2,WBGene00016425,Public name for WBGene00016425. History: N.A.
W03G9.1,174045_s_at,1.93,Up,W03G9.1,WBGene00004900,Sequence name for WBGene00004900(snf-1). History: Renamed on 2010-09-28
H17B01.3,184456_at,1.91,Up,H17B01.3,WBGene00019208,Sequence name for WBGene00019208(lips-14). History: N.A.
W05H9.3,172303_x_at,1.91,Up,W05H9.3,WBGene00021050,Public name for WBGene00021050. History: N.A.
F57G4.8,178456_at,1.89,Up,F57G4.8,WBGene00010212,Sequence name for WBGene00010212(fbxa-192). History: N.A.
C40A11.8,184860_at,1.84,Up,C40A11.8,WBGene00016551,Public name for WBGene00016551. History: N.A.
F31F6.3,192969_at,1.83,Up,F31F6.3,WBGene00009302,Public name for WBGene00009302. History: N.A.
F35C5.5,194056_s_at,1.83,Up,F35C5.5,WBGene00009393,Sequence name for WBGene00009393(clec-62). History: N.A.
