# Each entry in the table below appears as one point in figure 6C of
# Batista et al 2008.
#
# Gene = gene name as provided by wormbase
# prgVsWt = P / (P + W), for the normalized siRNA counts (see
# Table S2 or methods) from the wt (W) or prg-1 mutant (P)
# adult samples, for each gene.
# ipVsIn = IP / (IP + IN), for the normalized siRNA counts (see
# Table S2 or methods) from the Input (IN) or PRG-1 IP (IP)
# samples, for each gene.
#
Gene,prgVsWt,ipVsIn,Input,Suggested Match,History
Y48G1BM.5,0.536187851,0.248017719,Y48G1BM.5,WBGene00021671,"Public name for Dead gene WBGene00021670. History of WBGene00021670: Merged into ""WBGene00021671"" on 2009-01-09"
Y48G1BM.8,0.406882468,0.276351587,Y48G1BM.8,WBGene00021673,Public name for WBGene00021673. History: N.A.
Y71G12B.28,0.008709651,0.271483194,Y71G12B.28,WBGene00022163,Public name for WBGene00022163. History: N.A.
Y39G10AR.7,0.671444967,0.282672074,Y39G10AR.7,WBGene00021465,Sequence name for WBGene00021465(ekl-7). History: N.A.
Y23H5A.1b,0.420839376,0.411378616,Y23H5A.1b,WBGene00000801,Molecule name for WBGene00000801(cars-2). History: Renamed on 2010-01-29
Y23H5A.1a,0.416502036,0.419830235,Y23H5A.1a,WBGene00000801,Molecule name for WBGene00000801(cars-2). History: Renamed on 2010-01-29
F32B5.6b,0.011189064,0.230348528,F32B5.6b,WBGene00017979,Molecule name for WBGene00017979(F32B5.6). History: N.A.
F32B5.6a,0.011156178,0.230094121,F32B5.6a,WBGene00017979,Molecule name for WBGene00017979(F32B5.6). History: N.A.
W05F2.2,0.271371145,0.474452799,W05F2.2,WBGene00021034,Sequence name for WBGene00021034(enu-3.4). History: N.A.
W05F2.5,0.007823884,0.314050688,W05F2.5,WBGene00021037,Sequence name for WBGene00021037(fbxa-203). History: N.A.
Y47G6A.31,0.003004607,0.362607652,Y47G6A.31,WBGene00044436,Public name for WBGene00044436. History: N.A.
T28F2.4a,0.015419609,0.305051168,T28F2.4a,WBGene00020902,Molecule name for WBGene00020902(jmjc-1). History: N.A.
T12F5.3,0.665769403,0.255642728,T12F5.3,WBGene00001601,Sequence name for WBGene00001601(glh-4). History: N.A.
T21E12.4,0.639594695,0.190487946,T21E12.4,WBGene00000962,Sequence name for WBGene00000962(dhc-1). History: N.A.
C41D11.6,0.50206412,0.244060616,C41D11.6,WBGene00016565,Sequence name for WBGene00016565(sosi-1). History: N.A.
T01A4.3,0.44553606,0.135902639,T01A4.3,WBGene00016561,"Public name for Dead gene WBGene00020133. History of WBGene00020133: Merged into ""WBGene00016561"" on 2009-05-07"
B0041.7,0.326500602,0.573368524,B0041.7,WBGene00006961,Sequence name for WBGene00006961(xnp-1). History: Renamed on 2004-09-10
T04D1.2,0.003903608,0.149665212,T04D1.2,WBGene00020212,Public name for WBGene00020212. History: N.A.
W03G9.3,0.174742023,0.600711245,W03G9.3,WBGene00021015,Sequence name for WBGene00021015(enu-3.3). History: N.A.
Y110A7A.21,0.099085911,0.123236446,Y110A7A.21,WBGene00045212,Public name for WBGene00045212. History: N.A.
Y110A7A.18,0.587617067,0.28345359,Y110A7A.18,WBGene00004094,Sequence name for WBGene00004094(ppw-2). History: Renamed on 2011-10-14
T05E8.2,0.525819531,0.2318134,T05E8.2,WBGene00001859,Sequence name for WBGene00001859(hil-8). History: N.A.
