# Each entry in the table below appears as one point in figure 6D of,,,,,
# Batista et al 2008.,,,,,
#,,,,,
# Gene = gene name as provided by wormbase,,,,,
# siWt = number of reads antisense to and overlapping exons of the,,,,,
#      indicated gene from a wt adult library.  Read counts are ,,,,,
#      normalized to the number of times each sequence perfectly ,,,,,
#      matches the ce4 genome assembly.,,,,,
# siPrg1 = number of reads antisense to and overlapping exons of the,,,,,
#      indicated gene from a prg-1 mutant adult library.  Read counts,,,,,
#      are normalized to the number of times each sequence perfectly ,,,,,
#      matches the ce4 genome assembly.,,,,,
# siWtNorm = siWt divided by total reads in the wt library.,,,,,
# siPrg1Norm = siPrg1 divided by total reads in the prg-1 mutant library.,,,,,
# array_change = median signal change for array probes whose Affymetrix-defined,,,,,
#      coordinate overlap exons of the indicated gene (mutant signal / wt signal).,,,,,
#,,,,,
Gene,siWt,siPrg1,siWtNorm,siPrg1Norm,array_change,Input,Suggested Match,History
Y38H6C.5,60019.16628,5284.472633,0.027603256,0.001925936,1.0,Y38H6C.5,WBGene00012618,Sequence name for WBGene00012618(dct-10). History: N.A.
W05F2.5,1256.16335,12.5,0.000577719,4.56e-06,0.83277,W05F2.5,WBGene00021037,Sequence name for WBGene00021037(fbxa-203). History: N.A.
T12E12.3,1117.631503,2342.282297,0.000514007,0.000853649,0.87107,T12E12.3,WBGene00020464,Sequence name for WBGene00020464(tebp-2). History: Renamed on 2021-04-19
F34D10.4.1,903.6827967,1578.957498,0.00041561,0.000575454,0.80845,F34D10.4.1,WBGene00009374,Molecule name for WBGene00009374(F34D10.4). History: N.A.
F54C9.1.2,1279.302082,2424.197059,0.00058836,0.000883503,1.55541,F54C9.1.2,WBGene00002065,Molecule name for WBGene00002065(iff-2). History: N.A.
Y76B12C.8.1,868.4674941,775.7399857,0.000399415,0.00028272,1.0,Y76B12C.8.1,WBGene00022302,Molecule name for WBGene00022302(Y76B12C.8). History: N.A.
C01G5.2,631.7732247,733.4783835,0.000290557,0.000267318,1.00749,C01G5.2,WBGene00004179,"Sequence name for WBGene00004179(prg-2). History: Renamed on 2007-11-05. Public name for Dead gene WBGene00015304. History of WBGene00015304: Merged into ""WBGene00004179"" on 2007-11-05"
Y71G12B.28,584.3715387,6.479166667,0.000268757,2.36e-06,0.920585,Y71G12B.28,WBGene00022163,Public name for WBGene00022163. History: N.A.
Y37E11B.2,2755.241734,5786.170635,0.001267156,0.00210878,1.0,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
F32D1.1,535.1347801,1216.766667,0.000246112,0.000443453,0.75447,F32D1.1,WBGene00017981,Sequence name for WBGene00017981(figl-1). History: N.A.
C05C8.4,694.5,2473.021739,0.000319406,0.000901297,0.676395,C05C8.4,WBGene00001563,Sequence name for WBGene00001563(gei-6). History: N.A.
T03F6.1,840.2987013,42.0,0.00038646,1.53e-05,1.18539,T03F6.1,WBGene00011398,Sequence name for WBGene00011398(qdpr-1). History: N.A.
Y57G11C.7,2893.054217,717.5685112,0.001330537,0.000261519,1.0,Y57G11C.7,WBGene00013305,"Public name for WBGene00013305. History: Split into Y57G11C.499(WBGene00077762). History of WBGene00013305: Split into ""WBGene00077762"" on 2008-06-03"
K03D10.1,629.7875,9.033333333,0.000289644,3.29e-06,1.0,K03D10.1,WBGene00002181,Sequence name for WBGene00002181(kal-1). History: N.A.
F36D4.3a,640.4097308,1571.277922,0.000294529,0.000572655,0.93332,F36D4.3a,WBGene00002036,Molecule name for WBGene00002036(hum-2). History: N.A.
Y47H9C.6,762.6114719,7.0,0.000350731,2.55e-06,1.0,Y47H9C.6,WBGene00000821,Sequence name for WBGene00000821(csp-3). History: N.A.
Y76B12C.8.2,939.8210898,808.9047619,0.000432231,0.000294807,1.0,,,
F59H6.12,1786.320335,1517.089394,0.000821542,0.000552906,0.79308,F59H6.12,WBGene00019142,Sequence name for WBGene00019142(btb-4). History: N.A.
K08E3.5c,684.6666667,347.0,0.000314883,0.000126465,0.637995,K08E3.5c,WBGene00010665,Molecule name for WBGene00010665(rml-1). History: N.A.
T20D3.11,745.7761905,1579.610714,0.000342988,0.000575692,1.0,T20D3.11,WBGene00007505,"Public name for Dead gene WBGene00011862. History of WBGene00011862: Merged into ""WBGene00007505"" on 2014-05-28"
C18H2.1,825.1041285,1002.162043,0.000379471,0.00036524,1.0,C18H2.1,WBGene00015988,"Sequence name for WBGene00015988(lido-18). History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
T22B2.2,1275.515903,5.0,0.000586619,1.82e-06,1.0,T22B2.2,WBGene00020666,Public name for WBGene00020666. History: N.A.
Y54G2A.21,1934.488797,4709.603342,0.000889686,0.001716423,0.76429,Y54G2A.21,WBGene00021886,Public name for WBGene00021886. History: N.A.
ZK757.4a,1140.809273,1543.222222,0.000524667,0.00056243,0.81494,ZK757.4a,WBGene00014075,Molecule name for WBGene00014075(dhhc-4). History: N.A.
C33H5.4a,565.7528139,685.2946571,0.000260194,0.000249757,0.76216,,,
B0047.1a,3584.833836,2627.795273,0.001648691,0.000957705,1.0,,,
F18A11.2,562.40282,4.0,0.000258653,1.46e-06,1.08692,F18A11.2,WBGene00008929,Public name for WBGene00008929. History: N.A.
D2030.6.1,10999.24847,3830.126851,0.005058635,0.001395897,1.0,D2030.6.1,WBGene00004178,Molecule name for WBGene00004178(prg-1). History: N.A.
K11D9.1a,709.9444444,1810.881287,0.000326509,0.000659979,0.77597,K11D9.1a,WBGene00002219,Molecule name for WBGene00002219(klp-7). History: N.A.
Y53F4B.5,1009.328553,3.7,0.000464198,1.35e-06,1.493875,Y53F4B.5,WBGene00013152,Public name for WBGene00013152. History: N.A.
W08F4.9,748.8245396,685.6001082,0.00034439,0.000249868,1.0,W08F4.9,WBGene00021098,Sequence name for WBGene00021098(fbxb-14). History: N.A.
Y71H2B.11,613.0576757,11.0,0.00028195,4.01e-06,0.574295,Y71H2B.11,WBGene00022198,Public name for WBGene00022198. History: N.A.
F15B9.4,503.3959092,1079.693209,0.000231515,0.000393496,0.79413,F15B9.4,WBGene00008848,Sequence name for WBGene00008848(inft-2). History: N.A.
K02H11.4,571.3333333,348.3,0.00026276,0.000126939,1.0,K02H11.4,WBGene00019348,Public name for WBGene00019348. History: N.A.
F49D11.8,618.7833654,1447.295014,0.000284583,0.000527469,1.08089,F49D11.8,WBGene00000780,Sequence name for WBGene00000780(cpn-4). History: N.A.
R151.5b,637.5382082,2521.460446,0.000293209,0.000918951,1.19826,R151.5b,WBGene00006592,Molecule name for WBGene00006592(dpy-31). History: Renamed on 2005-06-13
C27H5.3.1,731.2479836,1137.227778,0.000336306,0.000414465,1.0,,,
R09G11.2c.1,1546.332928,15.16054677,0.00071117,5.53e-06,1.08423,R09G11.2c.1,WBGene00003600,Molecule name for WBGene00003600(nhr-1). History: N.A.
M02F4.1,684.8775742,7.636363636,0.00031498,2.78e-06,1.0,M02F4.1,WBGene00019735,Public name for WBGene00019735. History: N.A.
F37D6.1,541.6326316,739.8669302,0.000249101,0.000269646,0.77337,F37D6.1,WBGene00009507,Sequence name for WBGene00009507(mus-101). History: Renamed on 2015-03-25; Renamed on 2015-03-25
K10F12.3b,517.8690476,295.1590149,0.000238172,0.000107571,1.0,K10F12.3b,WBGene00004045,Molecule name for WBGene00004045(pll-1). History: N.A.
R09G11.2a.1,1546.332928,15.16054677,0.00071117,5.53e-06,1.12712,R09G11.2a.1,WBGene00003600,Molecule name for WBGene00003600(nhr-1). History: N.A.
T12G3.1.1,3576.897619,11487.35714,0.001645041,0.004186588,1.254835,,,
Y61A9LA.3a,668.2857143,129.5,0.00030735,4.72e-05,1.06225,Y61A9LA.3a,WBGene00022015,Molecule name for WBGene00022015(Y61A9LA.3). History: N.A.
F02C12.3,8247.980128,370.5340909,0.003793307,0.000135042,0.95941,F02C12.3,WBGene00008517,Public name for WBGene00008517. History: N.A.
F56D12.1c.2,1503.85562,99.44105691,0.000691634,3.62e-05,1.103395,,,
