# Supplemental Table S2.  Genes enriched for antisense 22G-RNAs in the CSR-1 IP.  A list of 4191 genes for which there are at least 25 small RNA reads per million and an enrichment of two-fold or greater in the CSR-1 IP when compared to the wild-type Input sample.
# Reads = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Reads - norm = reads per million, excluding reads considered to be degradation products
# Ratio is calculated as: input/(input+IP) using the normalized read -norm value
gene name,cosmid ID,Input reads,Input reads - norm,CSR-1 IP reads,CSR-1 IP reads - norm,RATIO,Input,Suggested Match,History
E01G4.5,E01G4.5,2267.0,709.943245251726,6449.0,3583.40288250284,0.834641041246998,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
CD4.8,CD4.8,943.414000000001,295.443492181699,2084.7999,1158.42424734093,0.796787916706434,CD4.8,WBGene00016993,Public name for WBGene00016993. History: N.A.
cls-2,R107.6,650.0,203.556731104377,1456.5,809.307845924233,0.799028679923292,cls-2,WBGene00000549,Public name for WBGene00000549. History: N.A.
prg-1,D2030.6,582.0,182.261565388842,989.4999,549.818079376069,0.751035878825219,prg-1,WBGene00004178,Public name for WBGene00004178. History: N.A.
F39F10.4,F39F10.4,565.0,176.937773959958,1100.5,611.495560892289,0.775583088463508,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
klp-7,K11D9.1,507.5,158.930832362263,3272.0,1818.09493433855,0.919611147695115,klp-7,WBGene00002219,Public name for WBGene00002219. History: N.A.
T12E12.3,T12E12.3,503.0,157.521593454618,1743.0,968.502283176065,0.860108123172345,T12E12.3,WBGene00020464,Sequence name for WBGene00020464(tebp-2). History: Renamed on 2021-04-19
Y116F11A.1,Y116F11A.1,481.5,150.788563118088,633.5,352.005849909373,0.700098968462777,Y116F11A.1,WBGene00013816,Public name for WBGene00013816. History: N.A.
T01E8.5,T01E8.5,471.5,147.656921101098,936.0,520.090726937921,0.778873169325683,T01E8.5,WBGene00011333,Sequence name for WBGene00011333(nrde-2). History: N.A.
Y46G5A.4,Y46G5A.4,458.7166,143.653617845098,3477.1667,1932.09632124715,0.93079435285547,Y46G5A.4,WBGene00012896,Sequence name for WBGene00012896(snrp-200). History: Renamed on 2005-03-17
C16C10.3,C16C10.3,455.0,142.489711773064,1893.0,1051.85015608278,0.880695842441507,C16C10.3,WBGene00007624,Sequence name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
Y53F4B.9,Y53F4B.9,436.7358,136.770018160392,7371.5833,4096.03858673124,0.967688116584734,Y53F4B.9,WBGene00013156,Public name for WBGene00013156. History: N.A.
