# Supplemental Table S6.  Tiling microarray expression data for Wild Type and csr-1(tm892) adult animals,,,,,,,,,,,,,,,
# probe number - number of probes included in the gene,,,,,,,,,,,,,,,
# Intensity - Intensity value obtained by geometric average for all the probes included in each gene. NA represents the absence of detected signal for a given gene,,,,,,,,,,,,,,,
# Normalized Intensity - Intensity value divided by the total intensity for the actin genes,,,,,,,,,,,,,,,
# Ratio is calculated as: wild type/(wild type+csr-1(tm892)) using the normalized intensity value,,,,,,,,,,,,,,,
# IP enriched - genes with a two fold increase for siRNAs in the CSR-1 IP are indicated,,,,,,,,,,,,,,,
# over cut off - genes with >25 reads per million in the input sample or IP sample are indicated,,,,,,,,,,,,,,,
# >10 probes - genes with signal for at least 10 probes in wild type or csr-1(tm892) are indicated,,,,,,,,,,,,,,,
# germ line siRNAs - genes that are depleted over two fold for siRNAs in the absence of a germline are indicated,,,,,,,,,,,,,,,
Gene name,Cosmid ID,Wild Type - probe number,Wild type - intensity,Wild type - normalized intensity,csr-1(tm892) - probe number,csr-1(tm892) - intensity,csr-1(tm872) - normalized intensity,RATIO (norm),RATIO,IP enriched?,>10 probes,germ line siRNA,Input,Suggested Match,History
vab-10,ZK1151.1,722,398.8387956,0.012167153,745,752.6452681,0.018340452,0.601176398,0.653630642,yes,yes,yes,vab-10,WBGene00006876,Public name for WBGene00006876. History: Renamed on 2011-07-12
dhc-1,T21E12.4,527,2468.765117,0.075313242,528,2825.844731,0.068860155,0.477620397,0.533721051,yes,yes,yes,dhc-1,WBGene00000962,Public name for WBGene00000962. History: N.A.
F55F10.1,F55F10.1,481,1191.484335,0.036347949,484,1585.118126,0.038626142,0.515193204,0.570884074,yes,yes,yes,F55F10.1,WBGene00018898,Public name for WBGene00018898. History: N.A.
eel-1,Y67D8C.5,474,1637.62664,0.049958164,474,2006.418576,0.048892387,0.494609153,0.550601998,yes,yes,yes,eel-1,WBGene00022069,Public name for WBGene00022069. History: N.A.
trr-1,C47D12.1,454,509.1242561,0.01553157,441,555.4838974,0.013536026,0.465674076,0.521773101,yes,yes,yes,trr-1,WBGene00007028,Public name for WBGene00007028. History: N.A.
F54B3.1,F54B3.1,378,868.605059,0.026498051,374,1041.16067,0.025370993,0.489135541,0.545177167,yes,yes,yes,F54B3.1,WBGene00010013,Public name for WBGene00010013. History: N.A.
rbc-1,F54E4.1,329,456.1770843,0.01391634,317,459.8037656,0.011204493,0.44602395,0.501979671,yes,yes,yes,rbc-1,WBGene00004313,Public name for WBGene00004313. History: N.A.
T08G11.1,T08G11.1,319,840.120714,0.025629095,322,1214.799477,0.029602221,0.53596806,0.591166257,yes,yes,yes,T08G11.1,WBGene00011629,Public name for WBGene00011629. History: N.A.
T24B8.7,T24B8.7,315,593.8274291,0.018115563,313,745.770403,0.018172926,0.500790374,0.55671216,yes,yes,yes,T24B8.7,WBGene00011980,Public name for WBGene00011980. History: N.A.
C34D4.14,C34D4.14,312,920.3888444,0.02807779,309,1468.650244,0.035788054,0.560362972,0.614745172,yes,yes,yes,C34D4.14,WBGene00016405,Sequence name for WBGene00016405(hecd-1). History: N.A.
let-363,B0261.2,302,1033.507287,0.031528631,302,900.2827739,0.021938081,0.410312891,0.465553522,yes,yes,yes,let-363,WBGene00002583,Public name for WBGene00002583. History: Renamed on 2014-09-04; Renamed on 2014-10-09; Renamed on 2015-01-08; Renamed on 2015-03-05; Renamed on 2015-03-10
let-711,F57B9.2,299,2630.69157,0.080253042,298,2303.581901,0.05613366,0.411577222,0.46685331,yes,yes,yes,let-711,WBGene00002845,Public name for WBGene00002845. History: Renamed on 2007-04-12
C44E4.1,C44E4.1,296,506.6664277,0.01545659,300,708.3601697,0.017261313,0.52758005,0.582999723,yes,yes,yes,C44E4.1,WBGene00016650,Sequence name for WBGene00016650(ubr-4). History: N.A.
Y48G9A.3,Y48G9A.3,296,1303.939676,0.039778561,294,1678.20877,0.040894574,0.50691688,0.562751587,yes,yes,yes,Y48G9A.3,WBGene00021697,Sequence name for WBGene00021697(gcn-1). History: N.A.
set-16,T12D8.1,294,1146.168233,0.034965516,287,829.3124555,0.020208677,0.366270465,0.419802866,yes,yes,yes,set-16,WBGene00011729,Public name for WBGene00011729. History: Renamed on 2007-05-03
R11A8.7,R11A8.7,293,1610.75462,0.049138394,290,2003.905837,0.048831157,0.498431977,0.55438287,yes,yes,yes,R11A8.7,WBGene00011240,Sequence name for WBGene00011240(mask-1). History: N.A.
F36A2.13,F36A2.13,291,743.2667548,0.022674425,286,739.849631,0.018028648,0.442930886,0.498847992,yes,yes,yes,F36A2.13,WBGene00009460,Sequence name for WBGene00009460(ubr-5). History: Renamed on 2016-11-04
Y32H12A.8,Y32H12A.8,279,135.2670129,0.004126515,278,146.3026263,0.003565101,0.463504776,0.519596597,yes,yes,yes,Y32H12A.8,WBGene00021316,Public name for WBGene00021316. History: N.A.
prp-8,C50C3.6,274,2539.951369,0.077484882,272,3345.996183,0.081535201,0.512735244,0.568471967,yes,yes,yes,prp-8,WBGene00004187,Public name for WBGene00004187. History: N.A.
nurf-1,F26H11.2,265,1079.358831,0.032927399,259,1272.358055,0.031004808,0.484963834,0.541033686,yes,yes,yes,nurf-1,WBGene00009180,Public name for WBGene00009180. History: N.A.
din-1,F07A11.6,264,209.5490613,0.006392596,233,163.7116121,0.003989323,0.384256778,0.438598609,yes,yes,yes,din-1,WBGene00008549,Public name for WBGene00008549. History: N.A.
sel-2,F10F2.1,264,418.0025215,0.01275177,270,512.831556,0.012496674,0.494948283,0.550937668,yes,yes,yes,sel-2,WBGene00004760,Public name for WBGene00004760. History: N.A.
rig-4,Y42H9B.2,261,499.2577202,0.015230577,257,447.5323119,0.010905463,0.417257657,0.472683802,yes,yes,yes,rig-4,WBGene00004371,Public name for WBGene00004371. History: N.A.
ssl-1,Y111B2A.22,260,1897.211255,0.057877167,255,1783.566127,0.043461921,0.428876181,0.484562347,yes,yes,yes,ssl-1,WBGene00007027,Public name for WBGene00007027. History: N.A.
atl-1,T06E4.3,255,320.0076444,0.009762295,271,589.3882534,0.014362207,0.595336931,0.648109646,yes,yes,yes,atl-1,WBGene00000226,Public name for WBGene00000226. History: N.A.
W07E11.1,W07E11.1,254,807.1674164,0.024623807,248,402.3610824,0.009804731,0.284784991,0.332659448,yes,yes,yes,W07E11.1,WBGene00012326,Public name for WBGene00012326. History: N.A.
pyr-1,D2085.1,250,623.244192,0.019012963,246,628.2101649,0.015308219,0.446028308,0.501984081,yes,yes,yes,pyr-1,WBGene00004259,Public name for WBGene00004259. History: N.A.
Y47G6A.29,Y47G6A.29,250,397.6244121,0.012130106,260,574.0625189,0.01398875,0.535580485,0.590789585,yes,yes,yes,Y47G6A.29,WBGene00003060,"Public name for Dead gene WBGene00021652. History of WBGene00021652: Merged into ""WBGene00003060"" on 2014-09-03"
cbp-1,R10E11.1,248,1730.649467,0.052795959,247,1957.676699,0.047704646,0.474670234,0.530776458,yes,yes,yes,cbp-1,WBGene00000366,Public name for WBGene00000366. History: N.A.
spat-3,T13H2.5,248,267.6302263,0.008164446,141,128.7755473,0.003138001,0.277639089,0.3248579,yes,yes,yes,spat-3,WBGene00020496,Public name for WBGene00020496. History: N.A.
Y46G5A.4,Y46G5A.4,244,899.3218888,0.027435112,241,1914.218066,0.046645646,0.629659407,0.680359297,yes,yes,yes,Y46G5A.4,WBGene00012896,Sequence name for WBGene00012896(snrp-200). History: Renamed on 2005-03-17
ZK1067.2,ZK1067.2,242,1030.558292,0.031438668,246,2856.758822,0.06961347,0.688886662,0.734892148,yes,yes,yes,ZK1067.2,WBGene00014208,Sequence name for WBGene00014208(znfx-1). History: N.A.
C25H3.8,C25H3.8,240,348.7804765,0.010640052,242,530.7576726,0.012933498,0.548644474,0.603450428,yes,yes,yes,C25H3.8,WBGene00016120,"Public name for Dead gene WBGene00016117. History of WBGene00016117: Merged into ""WBGene00016120"" on 2018-01-11"
pqn-85,Y43H11AL.3,240,532.2496383,0.016237043,233,651.0482501,0.015864737,0.49420116,0.5501981,yes,yes,yes,pqn-85,WBGene00004166,Other name for WBGene00004166(scc-2). History: Renamed on 2021-02-16; Renamed on 2021-03-11
lin-13,C03B8.4,239,590.6706011,0.018019259,245,784.8592031,0.019125441,0.514890173,0.570586839,yes,yes,yes,lin-13,WBGene00003002,Public name for WBGene00003002. History: N.A.
sma-9,T05A10.1,238,494.4704423,0.015084534,245,668.6911124,0.016294658,0.519282265,0.574891003,yes,yes,yes,sma-9,WBGene00004862,Public name for WBGene00004862. History: N.A.
C14C10.5,C14C10.5,233,2336.137791,0.071267254,234,2399.110527,0.058461501,0.450644121,0.506649359,yes,yes,yes,C14C10.5,WBGene00007588,Public name for WBGene00007588. History: N.A.
C32E8.11,C32E8.11,233,486.8768203,0.01485288,234,736.721554,0.017952423,0.547241498,0.602094257,yes,yes,yes,C32E8.11,WBGene00016326,Sequence name for WBGene00016326(ubr-1). History: N.A.
pad-1,Y18D10A.13,233,877.1522436,0.026758795,233,1057.568165,0.02577081,0.490595925,0.546625838,yes,yes,yes,pad-1,WBGene00003905,Public name for WBGene00003905. History: N.A.
rod-1,F55G1.4,231,1676.730265,0.051151076,228,1666.161876,0.040601016,0.442507792,0.498419275,yes,yes,yes,rod-1,WBGene00018900,Public name for WBGene00018900. History: N.A.
wnk-1,C46C2.1,230,1811.3031,0.055256415,230,2490.817776,0.060696222,0.523457023,0.578974382,yes,yes,yes,wnk-1,WBGene00006941,Public name for WBGene00006941. History: N.A.
rme-8,F18C12.2,227,881.4872506,0.026891041,216,919.3244197,0.022402088,0.454466752,0.510505588,yes,yes,yes,rme-8,WBGene00004378,Public name for WBGene00004378. History: N.A.
Y75B8A.24,Y75B8A.24,226,420.7003527,0.012834071,220,450.5837711,0.010979821,0.46106788,0.517149066,yes,yes,yes,Y75B8A.24,WBGene00013557,Public name for WBGene00013557. History: N.A.
F33H2.5,F33H2.5,225,495.0317641,0.015101658,219,406.9278345,0.009916013,0.396360359,0.451159714,yes,yes,yes,F33H2.5,WBGene00009368,Sequence name for WBGene00009368(pole-1). History: N.A.
npp-21,R07G3.3,224,1892.723752,0.057740269,220,1899.623552,0.046290007,0.444966685,0.5009097,yes,yes,yes,npp-21,WBGene00019940,Public name for WBGene00019940. History: N.A.
hum-2,F36D4.3,221,1249.63965,0.038122061,221,2590.332805,0.063121203,0.623460769,0.674570674,yes,yes,yes,hum-2,WBGene00002036,Public name for WBGene00002036. History: N.A.
ret-1,W06A7.3,221,218.5273235,0.006666491,305,243.2703869,0.00592801,0.470682403,0.526789937,yes,yes,yes,ret-1,WBGene00004336,Public name for WBGene00004336. History: N.A.
ama-1,F36A4.7,219,2160.461718,0.065908002,216,3652.860234,0.089012861,0.574569874,0.628360215,yes,yes,yes,ama-1,WBGene00000123,Public name for WBGene00000123. History: Renamed on 2007-10-04
C13F10.4,C13F10.4,217,344.4717366,0.010508607,216,338.004766,0.008236497,0.439394556,0.49526213,yes,yes,yes,C13F10.4,WBGene00015743,Sequence name for WBGene00015743(soap-1). History: N.A.
nmy-2,F20G4.3,216,1358.034595,0.041428805,213,1069.412505,0.026059433,0.386132959,0.440550282,yes,yes,yes,nmy-2,WBGene00003777,Public name for WBGene00003777. History: N.A.
