Gene Name,spermatogenic cell alignment counts,whole males alignment counts (set 1)_rrf-3; him-8 ,whole males alignment counts (set 1)_him-8 ,whole males alignment counts (set 2)_rrf-3; him-8,whole males alignment counts (set 2)_him-8 ,statistics (set 1)_P-value ,statistics (set 1)_fold change,statistics (set 2)_P-value ,statistics (set 2)_fold change,Input,Suggested Match,History
K09G1.2,141,28,377,9,61,2.1700000000000002e-56,0.116430107,1.52e-12,0.085192183,K09G1.2,WBGene00010728,Public name for WBGene00010728. History: N.A.
Y47D3A.30,91,12,75,0,20,1.93e-08,0.250823716,3.87e-06,0.0,Y47D3A.30,WBGene00001246,"Sequence name for WBGene00001246(elo-8). History: Split into Y47D3A.34(WBGene00206461). History of WBGene00001246: Split into ""WBGene00206461"" on 2011-03-28"
C05C12.5,31,23,175,20,49,3.36e-20,0.206033767,2.58e-07,0.235679055,C05C12.5,WBGene00007337,Public name for WBGene00007337. History: N.A.
R10F2.1,29,47,237,87,166,1.66e-18,0.310883826,5.58e-17,0.302620425,R10F2.1,WBGene00019994,Sequence name for WBGene00019994(cdh-1). History: N.A.
C36H8.1,25,19,90,12,50,1.3e-07,0.330947959,2.29e-09,0.138579284,C36H8.1,WBGene00007987,Public name for WBGene00007987. History: N.A.
B0523.1,22,11,65,0,24,3.21e-07,0.265294315,4.81e-07,0.0,B0523.1,WBGene00002212,Sequence name for WBGene00002212(kin-31). History: N.A.
W09G10.6,22,31,278,13,32,1.74e-34,0.174809694,2.42e-05,0.234574309,W09G10.6,WBGene00021118,Sequence name for WBGene00021118(clec-125). History: N.A.
C44B11.6,17,25,9246,32,1480,0.0,0.00423872,0.0,0.01248462,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
B0348.5,15,89,518,197,387,1.64e-44,0.269344966,4.34e-38,0.29392893,B0348.5,WBGene00015153,Sequence name for WBGene00015153(idpp-2). History: N.A.
F18C5.4,12,30,157,15,54,2.24e-13,0.299550617,1.78e-09,0.16039269,F18C5.4,WBGene00017559,Sequence name for WBGene00017559(mpz-3). History: N.A.
K02E2.6,11,69,6442,18,10705,0.0,0.016791016,0.0,0.000970896,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
Y41C4A.13,11,88,483,31,66,3.13e-39,0.285617068,1.84e-08,0.271209458,Y41C4A.13,WBGene00012759,Sequence name for WBGene00012759(sup-1). History: N.A.
F37E3.3,11,7,33,0,7,0.000939368,0.332531442,0.004075165,0.0,F37E3.3,WBGene00018158,Sequence name for WBGene00018158(comp-1). History: N.A.
F55H12.1,10,14,73,8,26,4.19e-07,0.300644865,3.26e-05,0.177665749,F55H12.1,WBGene00004901,Sequence name for WBGene00004901(snf-2). History: N.A.
E01G4.7,8,62,498,50,262,5.53e-56,0.195169056,1.18e-44,0.110193451,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
K11C4.1,7,4,48,8,31,2.04e-08,0.130637352,2.72e-06,0.149009983,K11C4.1,WBGene00019642,Public name for WBGene00019642. History: N.A.
K08D10.7,6,5,57,0,9,1.75e-09,0.137513002,0.001349726,0.0,K08D10.7,WBGene00019530,Sequence name for WBGene00019530(scrm-8). History: N.A.
W05H12.2,5,23,892,13,161,1.91e-170,0.040421423,3.66e-33,0.046623465,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
Y82E9BL.18,4,2,100,0,24,1.5800000000000001e-21,0.031352965,4.81e-07,0.0,Y82E9BL.18,WBGene00044402,"Public name for WBGene00044402. History: Split into Y82E9BL.19(WBGene00194735). History of WBGene00044402: Split into ""WBGene00194735"" on 2009-08-21"
