# Table S2. Genes with More Than 25 Reads per Million of Antisense 22G-RNAs in the fem-1 Oocyte Library
# Reads = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Normalized reads = reads per million, excluding reads considered to be degradation products
gene name,cosmid ID,fem-1 oocyte - Reads,fem-1 oocyte - Normalized reads,Input,Suggested Match,History
E01G4.5,E01G4.5,12837.6667,5630.72844341712,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
E01G4.7,E01G4.7,12785.3691,5607.79019531301,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
Y116A8B.1,Y116A8B.1,7944.9262,3484.72374151838,Y116A8B.1,WBGene00013779,Public name for WBGene00013779. History: N.A.
F02C12.3,F02C12.3,7241.004,3175.97645541749,F02C12.3,WBGene00008517,Public name for WBGene00008517. History: N.A.
F39E9.7,F39E9.7,4777.0833,2095.27630234262,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
T12G3.1,T12G3.1,4031.3333,1768.1829266688,T12G3.1,WBGene00011737,Sequence name for WBGene00011737(sqst-1). History: N.A.
Y57G11C.51,Y57G11C.51,4011.5594,1759.50989723369,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
crs-2,Y23H5A.1,3854.9997,1690.84125389815,crs-2,WBGene00000801,Other name for WBGene00000801(cars-2). History: Renamed on 2010-01-29
F37H8.2,F37H8.2,3795.5,1664.7440930204,F37H8.2,WBGene00009511,Public name for WBGene00009511. History: N.A.
B0001.5,B0001.5,3776.0,1656.1911988526,B0001.5,WBGene00007090,Public name for WBGene00007090. History: N.A.
T01C8.5,T01C8.5,3699.5,1622.63753711737,T01C8.5,WBGene00020146,Sequence name for WBGene00020146(got-1.2). History: N.A.
T01A4.3,T01A4.3,3696.5332,1621.33626909598,T01A4.3,WBGene00016561,"Public name for Dead gene WBGene00020133. History of WBGene00020133: Merged into ""WBGene00016561"" on 2009-05-07"
zip-2,K02F3.4,3654.2576,1602.79376998417,zip-2,WBGene00019327,Public name for WBGene00019327. History: N.A.
W04A8.6,W04A8.6,3371.6667,1478.84658739523,W04A8.6,WBGene00012241,"Public name for WBGene00012241. History: Split into W04A8.9(WBGene00195155). History of WBGene00012241: Split into ""WBGene00195155"" on 2010-05-21"
F13B9.1,F13B9.1,3298.0,1446.53563925208,F13B9.1,WBGene00017419,Sequence name for WBGene00017419(sec-16A.2). History: N.A.
F09C8.2,F09C8.2,2984.8182,1309.17098331966,F09C8.2,WBGene00008622,Public name for WBGene00008622. History: N.A.
F15D4.5,F15D4.5,2972.0,1303.5487931647,F15D4.5,WBGene00008862,Public name for WBGene00008862. History: N.A.
T23G5.6,T23G5.6,2796.5,1226.57274565447,T23G5.6,WBGene00011964,Sequence name for WBGene00011964(saeg-2). History: N.A.
fkb-8,Y18D10A.25,2744.5,1203.76502787366,fkb-8,WBGene00001433,Public name for WBGene00001433. History: N.A.
bath-45,F29C12.5,2732.8333,1198.64789708456,bath-45,WBGene00009247,Public name for WBGene00009247. History: N.A.
F37D6.3,F37D6.3,2714.0,1190.3874241753,F37D6.3,WBGene00009509,Public name for WBGene00009509. History: N.A.
unc-10,T10A3.1,2579.25,1131.284732426,unc-10,WBGene00006750,Public name for WBGene00006750. History: N.A.
lin-15B,ZK662.4,2492.8332,1093.38146346598,lin-15B,WBGene00023497,Public name for WBGene00023497. History: N.A.
Y106G6D.1,Y106G6D.1,2488.45,1091.45894830104,Y106G6D.1,WBGene00013698,Public name for WBGene00013698. History: N.A.
B0250.8,B0250.8,2443.1429,1071.5868031036,B0250.8,WBGene00007125,Public name for WBGene00007125. History: N.A.
Y43D4A.6,Y43D4A.6,2420.0,1061.43609672227,Y43D4A.6,WBGene00012792,Public name for WBGene00012792. History: N.A.
K08A2.1,K08A2.1,2398.0,1051.78667766116,K08A2.1,WBGene00019511,Sequence name for WBGene00019511(lido-8). History: N.A.
pmk-3,F42G8.4,2254.5,988.84614878527,pmk-3,WBGene00004057,Public name for WBGene00004057. History: N.A.
his-24,M163.3,2254.0,988.626843806608,his-24,WBGene00001898,Public name for WBGene00001898. History: Renamed on 2010-11-12
Y110A2AL.1,Y110A2AL.1,2252.5,987.968928870623,Y110A2AL.1,WBGene00022438,Public name for WBGene00022438. History: N.A.
K10B3.5,K10B3.5,2173.5,953.318742242087,K10B3.5,WBGene00019611,Public name for WBGene00019611. History: N.A.
T22B2.2,T22B2.2,2110.0,925.46700995206,T22B2.2,WBGene00020666,Public name for WBGene00020666. History: N.A.
Y57G11C.499,Y57G11C.499,2033.8334,892.059580776603,Y57G11C.499,WBGene00077762,Public name for WBGene00077762. History: N.A.
Y71A12B.10,Y71A12B.10,1988.3877,872.126644239078,Y71A12B.10,WBGene00013507,Public name for WBGene00013507. History: N.A.
F46F2.4,F46F2.4,1962.6665,860.845069804775,F46F2.4,WBGene00009788,Public name for WBGene00009788. History: N.A.
