# Table S1. Genes Enriched or Depleted for Antisense 22G-RNAs in glp-4(bn2),,,,,,,,,,
# Reads = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.,,,,,,,,,
# Reads - norm = reads per million, excluding reads considered to be degradation products,,,,,,,,,
# Ratio is calculated as: glp-4(bn2) / (glp-4(bn2) + wild-type) using the normalized read-norm value,,,,,,,,,,
# enriched / depleted - genes with a ratio <0.333 (2-fold or more depletion) are considered depleted. Genes with a ratio > 0.666 (2 fold or more enrichment) are considered enriched.,,,,,,,,,,
gene name,cosmid ID,wild-type - reads,glp-4(bn2) - reads,wild-type reads - norm,glp-4(bn2) reads - norm,RATIO,enriched / depleted,Input,Suggested Match,History
F53H4.6,F53H4.6,164.5,110,42.06688814,83.9666454,0.666224639,enriched,F53H4.6,WBGene00010011,Public name for WBGene00010011. History: N.A.
ZK402.1,ZK402.1,205.0818,141.3332,52.44469994,107.8843153,0.67289327,enriched,ZK402.1,WBGene00022728,Public name for WBGene00022728. History: N.A.
M01F1.7,M01F1.7,48.5,36,12.40269954,27.47999304,0.689020506,enriched,M01F1.7,WBGene00010813,Sequence name for WBGene00010813(pitp-1). History: N.A.
atg-2,M03A8.2,63,47,16.11072312,35.87665758,0.690103196,enriched,atg-2,WBGene00019748,Public name for WBGene00019748. History: N.A.. Other name for WBGene00000225(atgp-2). History: Renamed on 2008-02-28
Y71G12B.11,Y71G12B.11,300.3333,229,76.80296253,174.803289,0.694749387,enriched,Y71G12B.11,WBGene00006771,"Sequence name for WBGene00006771(tln-1). History: Renamed on 2011-08-12. Public name for Dead gene WBGene00022151. History of WBGene00022151: Merged into ""WBGene00006771"" on 2013-01-31"
Y54G11B.1,Y54G11B.1,211,168,53.95813616,128.2399675,0.703849079,enriched,Y54G11B.1,WBGene00013222,Sequence name for WBGene00013222(dmsr-6). History: N.A.
sma-1,R31.1,238,192,60.86273178,146.5599629,0.706576313,enriched,sma-1,WBGene00004855,Public name for WBGene00004855. History: N.A.
unc-103,C30D11.1,136.7272,112,34.96466765,85.49331168,0.709735562,enriched,unc-103,WBGene00006830,Public name for WBGene00006830. History: N.A.
fbxa-59,T12B5.8,75.6831,62.4166,19.35411855,47.64465926,0.711127289,enriched,fbxa-59,WBGene00020455,Public name for WBGene00020455. History: N.A.
let-805,H19M22.2,54,45,13.80919124,34.3499913,0.713259434,enriched,let-805,WBGene00002915,Public name for WBGene00002915. History: N.A.
C37A5.1,C37A5.1,55,48,14.06491701,36.63999072,0.722612314,enriched,C37A5.1,WBGene00007988,Sequence name for WBGene00007988(best-8). History: N.A.
Y71H2AM.12,Y71H2AM.12,41.1676,36.3333,10.52761595,27.73441197,0.724854731,enriched,Y71H2AM.12,WBGene00022177,Public name for WBGene00022177. History: N.A.
F55C9.3,F55C9.3,3752,3622.2777,959.4830657,2765.004611,0.742385222,enriched,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
unc-41,C27H6.1,50,49,12.78628819,37.40332386,0.745240346,enriched,unc-41,WBGene00006777,Public name for WBGene00006777. History: Renamed on 2008-02-06
