# Supplemental Table S5 - Abundance of 22G-RNAs for loci targeted by alg-3; alg-4 dependent 26G-RNAs
# Reads Wild type = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Reads Wild type - norm = reads per million, excluding reads considered to be degradation products
# Reads alg-3; alg-4 double mutant = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Reads alg-3; alg-4 double mutant - norm = reads per million, excluding reads considered to be degradation products
# RATIO is calculated as (alg-3; alg-4) / ((alg-3;alg-4)+Wild type)
Gene,Gene ID,Reads Wild type,Reads wild type - norm,Reads alg-3; alg-4,Reads alg-3; alg-4 - norm,RATIO,Input,Suggested Match,History
F55C9.3,F55C9.3,82.0,32.95472904,209.5,92.53643926,0.737394037,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
nspa-8,W06A7.5,416.7646,167.4922496,54.2694,23.97086891,0.125198362,nspa-8,WBGene00012294,Public name for WBGene00012294. History: N.A.
C09B9.4,C09B9.4,100.0,40.18869396,15.0,6.625520711,0.141527969,C09B9.4,WBGene00015629,Public name for WBGene00015629. History: N.A.
msp-56,K07F5.3,123.1696,49.50025359,26.9935,11.92306622,0.194113022,msp-56,WBGene00003449,Public name for WBGene00003449. History: N.A.
B0244.9,B0244.9,63.0,25.31887719,11.0,4.858715188,0.16100407,B0244.9,WBGene00015084,Public name for WBGene00015084. History: N.A.
F37C12.18,F37C12.18,110.0,44.20756335,23.0,10.15913176,0.186863147,F37C12.18,WBGene00044005,Public name for WBGene00044005. History: N.A.
bre-3,B0464.4,110.0,44.20756335,35.0,15.45954833,0.259096643,bre-3,WBGene00000268,Public name for WBGene00000268. History: N.A.
Y57E12AL.6,Y57E12AL.6,101.0,40.5905809,14.0,6.18381933,0.132205208,Y57E12AL.6,WBGene00021959,Public name for WBGene00021959. History: N.A.
C28C12.1,C28C12.1,100.0,40.18869396,51.0,22.52677042,0.359190044,C28C12.1,WBGene00016177,Public name for WBGene00016177. History: N.A.
enol-1,T21B10.2,96.0,38.5811462,31.0,13.6927428,0.261942302,enol-1,WBGene00011884,Public name for WBGene00011884. History: N.A.
C06G4.4,C06G4.4,105.0,42.19812865,25.0,11.04253452,0.207407907,C06G4.4,WBGene00015558,Public name for WBGene00015558. History: N.A.
ZK1127.2,ZK1127.2,67.0,26.92642495,27.0,11.92593728,0.306955268,ZK1127.2,WBGene00022849,Sequence name for WBGene00022849(acs-6). History: N.A.
C34F11.1,C34F11.1,37.0,14.86981676,6.0,2.650208284,0.15126738,C34F11.1,WBGene00016413,Public name for WBGene00016413. History: N.A.
C07H6.9,C07H6.9,66.0,26.52453801,9.0,3.975312426,0.130338751,C07H6.9,WBGene00015582,Public name for WBGene00015582. History: N.A.
C30G7.3,C30G7.3,133.5,53.65190643,15.1667,6.699152331,0.111003062,C30G7.3,WBGene00044177,Public name for WBGene00044177. History: N.A.
ssq-2,T28H11.5,73.5,29.53869006,17.5,7.729774163,0.207407907,ssq-2,WBGene00006051,Public name for WBGene00006051. History: N.A.
ubc-24,F49E12.4,48.0,19.2905731,4.0,1.766805523,0.083904343,ubc-24,WBGene00006719,Public name for WBGene00006719. History: N.A.
rpn-8,R12E2.3,128.0,51.44152826,34.0,15.01784694,0.22597033,rpn-8,WBGene00004464,Public name for WBGene00004464. History: N.A.
M04G7.2,M04G7.2,145.0,58.27360624,54.0,23.85187456,0.290432084,M04G7.2,WBGene00019773,Public name for WBGene00019773. History: N.A.
F35H10.2,F35H10.2,57.0,22.90755555,4.0,1.766805523,0.071604915,F35H10.2,WBGene00018068,Public name for WBGene00018068. History: N.A.
F23H11.5,F23H11.5,61.0,24.51510331,12.0,5.300416569,0.177773743,F23H11.5,WBGene00000263,Public name for WBGene00000263. History: N.A.
T28C6.5,T28C6.5,81.0,32.5528421,13.0,5.742117949,0.149944482,T28C6.5,WBGene00012120,Public name for WBGene00012120. History: N.A.
F43E2.7,F43E2.7,170.0,68.32077972,44.0,19.43486075,0.221465659,F43E2.7,WBGene00018395,Sequence name for WBGene00018395(mtch-1). History: N.A.
F13E9.5,F13E9.5,78.0,31.34718129,11.0,4.858715188,0.134196793,F13E9.5,WBGene00008754,Public name for WBGene00008754. History: N.A.
Y71H2AM.1,Y71H2AM.1,145.0,58.27360624,24.0,10.60083314,0.153915346,Y71H2AM.1,WBGene00022166,Public name for WBGene00022166. History: N.A.
F17C11.9,F17C11.9,146.0,58.67549318,41.0,18.10975661,0.23584942,F17C11.9,WBGene00008920,Sequence name for WBGene00008920(eef-1G). History: N.A.
nspd-5,F11G11.8,122.5832,49.26458709,15.2333,6.728569643,0.120167714,nspd-5,WBGene00017386,Public name for WBGene00017386. History: N.A.
F44D12.6,F44D12.6,106.0,42.60001559,18.0,7.950624853,0.157280398,F44D12.6,WBGene00009683,Public name for WBGene00009683. History: N.A.
F36A2.14,F36A2.14,56.0,22.50566862,16.0,7.067222091,0.238976371,F36A2.14,WBGene00023490,Public name for WBGene00023490. History: N.A.
F49F1.12,F49F1.12,95.5,38.38020273,12.5,5.521267259,0.125764975,F49F1.12,WBGene00018652,Public name for WBGene00018652. History: N.A.
B0205.10,B0205.10,210.5148,84.6031487,26.0,11.4842359,0.119518665,B0205.10,WBGene00015024,Public name for WBGene00015024. History: N.A.
C31H1.1,C31H1.1,117.5,47.2217154,59.5,26.28123215,0.357553446,C31H1.1,WBGene00016286,Public name for WBGene00016286. History: N.A.
T22C1.8,T22C1.8,133.5,53.65190643,18.0,7.950624853,0.129063282,T22C1.8,WBGene00011918,Public name for WBGene00011918. History: N.A.
tag-164,Y76A2A.1,118.0,47.42265887,6.0,2.650208284,0.052927033,tag-164,WBGene00006509,Public name for WBGene00006509. History: N.A.
C15H11.13,C15H11.13,95.0,38.17925926,16.0,7.067222091,0.156193849,C15H11.13,WBGene00077576,Public name for WBGene00077576. History: N.A.
lbp-9,Y40B10A.1,181.0,72.74153606,34.5,15.23869763,0.173205924,lbp-9,WBGene00021486,Public name for WBGene00021486. History: N.A.
tag-277,ZK652.3,61.0,24.51510331,9.0,3.975312426,0.13953157,tag-277,WBGene00044324,Other name for WBGene00044324(ufm-1). History: Renamed on 2013-03-15
T27C10.8,T27C10.8,117.0,47.02077193,7.0,3.091909665,0.061699146,T27C10.8,WBGene00077519,Public name for WBGene00077519. History: N.A.
ssp-31,ZK1225.6,135.0,54.25473684,32.0,14.13444418,0.206676611,ssp-31,WBGene00006048,Public name for WBGene00006048. History: N.A.
clic-1,T05B11.3,73.0,29.33774659,21.0,9.275728995,0.240219997,clic-1,WBGene00020246,Public name for WBGene00020246. History: Renamed on 2008-04-30
trap-3,Y38F2AR.2,62.5,25.11793372,13.0,5.742117949,0.186069616,trap-3,WBGene00021420,Public name for WBGene00021420. History: N.A.
K01D12.15,K01D12.15,135.75,54.55615205,7.1666,3.165497115,0.054840725,K01D12.15,WBGene00010474,Public name for WBGene00010474. History: N.A.
C41G7.3,C41G7.3,96.0,38.5811462,40.0,17.66805523,0.314103219,C41G7.3,WBGene00008061,"Sequence name for WBGene00008061(mina-1). History: Split into tspo-1(WBGene00077771). History of WBGene00008061: Split into ""WBGene00077771"" on 2008-06-10"
hmg-12,Y17G7A.1,179.0,71.93776218,95.0,41.96163117,0.368409611,hmg-12,WBGene00001977,Public name for WBGene00001977. History: N.A.
C35E7.9,C35E7.9,111.0,44.60945029,7.0,3.091909665,0.064818061,C35E7.9,WBGene00016461,Public name for WBGene00016461. History: N.A.
F56A8.3,F56A8.3,108.6,43.64492164,59.0,26.06038146,0.373865119,F56A8.3,WBGene00010139,Public name for WBGene00010139. History: N.A.
cey-4,Y39A1C.3,69.0,27.73019883,9.0,3.975312426,0.125382379,cey-4,WBGene00000475,Public name for WBGene00000475. History: N.A.
W03D8.2,W03D8.2,105.0,42.19812865,19.0,8.392326234,0.165887542,W03D8.2,WBGene00020985,Public name for WBGene00020985. History: N.A.
Y53C10A.15,Y53C10A.15,73.0,29.33774659,7.0,3.091909665,0.095342043,Y53C10A.15,WBGene00044805,Public name for WBGene00044805. History: N.A.
ssp-16,T27A3.3,699.0,280.9189708,63.5,28.04803768,0.090780041,ssp-16,WBGene00006044,Public name for WBGene00006044. History: N.A.
ssq-1,K07F5.11,80.0,32.15095516,10.5,4.637864498,0.126067227,ssq-1,WBGene00006050,Public name for WBGene00006050. History: N.A.
smo-1,K12C11.2,87.0,34.96416374,22.0,9.717430376,0.21748173,smo-1,WBGene00004888,Public name for WBGene00004888. History: N.A.
C56G2.1,C56G2.1,150.0,60.28304093,56.0,24.73527732,0.290940562,C56G2.1,WBGene00016977,Sequence name for WBGene00016977(akap-1). History: N.A.
F13D12.9,F13D12.9,159.5,64.10096686,28.0,12.36763866,0.161734853,F13D12.9,WBGene00008743,Sequence name for WBGene00008743(fcmt-1). History: N.A.
ned-8,F45H11.2,59.0,23.71132943,16.0,7.067222091,0.229615162,ned-8,WBGene00003587,Public name for WBGene00003587. History: N.A.
nspd-4,T23B7.1,131.6666,52.91508692,12.7333,5.624316191,0.096077443,nspd-4,WBGene00020715,Public name for WBGene00020715. History: N.A.
rsp-6,C33H5.12,109.0,43.80567641,34.0,15.01784694,0.255303424,rsp-6,WBGene00004703,Public name for WBGene00004703. History: N.A.
tba-2,C47B2.3,76.5,30.74435088,44.8333,19.80293051,0.391770437,tba-2,WBGene00006529,Public name for WBGene00006529. History: N.A.
Y62F5A.10,Y62F5A.10,111.0,44.60945029,19.0,8.392326234,0.158340471,Y62F5A.10,WBGene00013388,Public name for WBGene00013388. History: N.A.
F55D12.6,F55D12.6,60.0,24.11321637,5.0,2.208506904,0.083904343,F55D12.6,WBGene00010114,Public name for WBGene00010114. History: N.A.
Y38C1AA.7,Y38C1AA.7,65.0,26.12265107,7.0,3.091909665,0.105834542,Y38C1AA.7,WBGene00021398,Public name for WBGene00021398. History: N.A.
vha-2,R10E11.2,132.0,53.04907602,27.0,11.92593728,0.183546515,vha-2,WBGene00006911,Public name for WBGene00006911. History: N.A.
C17H12.3,C17H12.3,149.5,60.08209746,16.0,7.067222091,0.105246369,C17H12.3,WBGene00015929,Public name for WBGene00015929. History: N.A.
Y38F1A.1,Y38F1A.1,169.0,67.91889279,23.0,10.15913176,0.130115123,Y38F1A.1,WBGene00012605,Public name for WBGene00012605. History: N.A.
C17G10.3,C17G10.3,63.0,25.31887719,13.5,5.96296864,0.190620741,C17G10.3,WBGene00015917,Public name for WBGene00015917. History: N.A.
