# Supplemental Table S2 - Genes targeted by 26G-RNAs in the alg-3; alg-4 double mutant worms
# Reads = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Reads - norm = reads per million, excluding reads considered to be degradation products
Gene ID,Cosmid Name,Antisense Reads,Reads - norm,Input,Suggested Match,History
K02E2.6,K02E2.6,88.0,38.8697215,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
C44B11.6,C44B11.6,52.0,22.9684718,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
nspa-8,W06A7.5,33.3889,14.74792323,nspa-8,WBGene00012294,Public name for WBGene00012294. History: N.A.
Y37E11B.2,Y37E11B.2,26.3333,11.63145497,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
C40A11.10,C40A11.10,20.0,8.834027614,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
H16D19.4,H16D19.4,13.0,5.742117949,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
W04B5.1,W04B5.1,12.5,5.521267259,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
ssp-16,T27A3.3,11.0,4.858715188,ssp-16,WBGene00006044,Public name for WBGene00006044. History: N.A.
msp-56,K07F5.3,10.5667,4.66732598,msp-56,WBGene00003449,Public name for WBGene00003449. History: N.A.
F55C9.3,F55C9.3,10.0,4.417013807,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
Y105C5A.14,Y105C5A.14,9.0,3.975312426,Y105C5A.14,WBGene00013638,"Public name for WBGene00013638. History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
sip-1,F43D9.4,9.0,3.975312426,sip-1,WBGene00004798,Public name for WBGene00004798. History: N.A.
F55C9.5,F55C9.5,9.0,3.975312426,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
F59A6.2,F59A6.2,8.0,3.533611046,F59A6.2,WBGene00019084,Public name for WBGene00019084. History: N.A.
F52D2.6,F52D2.6,8.0,3.533611046,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
E01G4.7,E01G4.7,8.0,3.533611046,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
ZK380.5,ZK380.5,7.5,3.312760355,ZK380.5,WBGene00044559,Public name for WBGene00044559. History: N.A.
F39E9.7,F39E9.7,7.5,3.312760355,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
W03D8.9,W03D8.9,7.5,3.312760355,W03D8.9,WBGene00020990,Public name for WBGene00020990. History: N.A.
Y71H2AM.1,Y71H2AM.1,7.0,3.091909665,Y71H2AM.1,WBGene00022166,Public name for WBGene00022166. History: N.A.
lbp-9,Y40B10A.1,7.0,3.091909665,lbp-9,WBGene00021486,Public name for WBGene00021486. History: N.A.
W05H12.2,W05H12.2,7.0,3.091909665,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
Y57G11C.51,Y57G11C.51,7.0,3.091909665,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
Y106G6H.13,Y106G6H.13,6.0,2.650208284,Y106G6H.13,WBGene00013723,Public name for WBGene00013723. History: N.A.
