# Supplemental Table S1 - Genes targeted by 26G-RNAs in wild type
# Reads = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Reads - norm = reads per million, excluding reads considered to be degradation products
Gene ID,Cosmid Name,Antisense reads,Reads - norm,Input,Suggested Match,History
F59A6.2,F59A6.2,390.0,156.7359064,F59A6.2,WBGene00019084,Public name for WBGene00019084. History: N.A.
F36H12.4,F36H12.4,250.0,100.4717349,F36H12.4,WBGene00018120,Public name for WBGene00018120. History: N.A.
W08E3.4,W08E3.4,227.0,91.22833528,W08E3.4,WBGene00012345,Public name for WBGene00012345. History: N.A.
C38C10.3,C38C10.3,201.5,80.98021832,C38C10.3,WBGene00008001,Public name for WBGene00008001. History: N.A.
ssp-16,T27A3.3,165.0,66.31134503,ssp-16,WBGene00006044,Public name for WBGene00006044. History: N.A.
ZK973.8,ZK973.8,146.0,58.67549318,ZK973.8,WBGene00022834,Public name for WBGene00022834. History: N.A.
eft-3,F31E3.5,144.0,57.8717193,eft-3,WBGene00001168,Other name for WBGene00001168(eef-1A.1). History: Renamed on 2005-09-08; Renamed on 2010-08-03
C04G2.8,C04G2.8,140.6667,56.53210956,C04G2.8,WBGene00007307,Sequence name for WBGene00007307(spch-1). History: N.A.
nspd-3,C24D10.7,136.3333,54.7905727,nspd-3,WBGene00016058,Public name for WBGene00016058. History: N.A.
C06A5.2,C06A5.2,136.0,54.65662378,C06A5.2,WBGene00015500,Public name for WBGene00015500. History: N.A.
K08F4.3,K08F4.3,135.0,54.25473684,K08F4.3,WBGene00010678,Public name for WBGene00010678. History: N.A.
F14H8.8,F14H8.8,133.0,53.45096296,F14H8.8,WBGene00077582,Public name for WBGene00077582. History: N.A.
K08F4.5,K08F4.5,124.0,49.83398051,K08F4.5,WBGene00010679,Public name for WBGene00010679. History: N.A.
K03H1.12,K03H1.12,121.0,48.62831969,K03H1.12,WBGene00010547,Public name for WBGene00010547. History: N.A.
T11F8.4,T11F8.4,121.0,48.62831969,T11F8.4,WBGene00020435,Public name for WBGene00020435. History: N.A.
ZK484.5,ZK484.5,115.0,46.21699805,ZK484.5,WBGene00022751,Sequence name for WBGene00022751(msrp-2). History: N.A.
H20J04.1,H20J04.1,112.0,45.01133723,H20J04.1,WBGene00019216,Public name for WBGene00019216. History: N.A.
W02B12.15,W02B12.15,108.0,43.40378947,W02B12.15,WBGene00044026,Sequence name for WBGene00044026(cisd-1). History: N.A.
fkb-2,Y18D10A.19,103.0,41.39435477,fkb-2,WBGene00001427,Public name for WBGene00001427. History: N.A.
nspa-8,W06A7.5,101.1763,40.66143356,nspa-8,WBGene00012294,Public name for WBGene00012294. History: N.A.
gpd-4,F33H1.2,99.0,39.78680702,gpd-4,WBGene00001686,Public name for WBGene00001686. History: N.A.
ZK354.8,ZK354.8,96.5,38.78208967,ZK354.8,WBGene00022709,Public name for WBGene00022709. History: N.A.
R13A5.11,R13A5.11,95.0,38.17925926,R13A5.11,WBGene00020053,Public name for WBGene00020053. History: N.A.
lbp-9,Y40B10A.1,94.0,37.77737232,lbp-9,WBGene00021486,Public name for WBGene00021486. History: N.A.
Y49E10.10,Y49E10.10,94.0,37.77737232,Y49E10.10,WBGene00013033,Public name for WBGene00013033. History: N.A.
C35E7.10,C35E7.10,92.5,37.17454191,C35E7.10,WBGene00016462,Public name for WBGene00016462. History: N.A.
M117.4,M117.4,89.5,35.96888109,M117.4,WBGene00010920,Public name for WBGene00010920. History: N.A.
Y38F1A.1,Y38F1A.1,89.0,35.76793762,Y38F1A.1,WBGene00012605,Public name for WBGene00012605. History: N.A.
