ProbeName,Fold change([1] vs Zero),Regulation([1] vs Zero),[1](normalized),Common name,GeneSymbol,Description,GenbankAccession,ControlType,Input,Suggested Match,History,Input,Suggested Match,History
A_12_P113596,2.178381,down,-1.1232563,3R5.1,3R5.1,,,False,,,,,,
A_12_P114605,2.4196823,down,-1.2748176,3R5.2,3R5.2,,,False,,,,,,
A_12_P117055,3.6431158,down,-1.8651729,AH6.5.2,AH6.5.2,zinc finger protein [AH6.5.2],,False,,,,,,
A_12_P100128,2.140828,down,-1.0981688,A_12_P100128,A_12_P100128,,,False,,,,,,
A_12_P100632,3.427768,down,-1.7772695,A_12_P100632,A_12_P100632,,,False,,,,,,
A_12_P100741,2.5991025,down,-1.3780135,A_12_P100741,A_12_P100741,,,False,,,,,,
A_12_P102919,4.7476015,down,-2.2471988,A_12_P102919,A_12_P102919,,,False,,,,,,
A_12_P103335,2.7476976,down,-1.4582232,A_12_P103335,A_12_P103335,,,False,,,,,,
A_12_P103477,3.1790762,down,-1.6686076,A_12_P103477,A_12_P103477,,,False,,,,,,
A_12_P105792,2.2021074,down,-1.1388849,A_12_P105792,A_12_P105792,,,False,,,,,,
A_12_P107060,2.888554,down,-1.5303475,A_12_P107060,A_12_P107060,,,False,,,,,,
A_12_P108330,2.435498,down,-1.2842168,A_12_P108330,A_12_P108330,,,False,,,,,,
A_12_P108604,3.487176,down,-1.8020592,A_12_P108604,A_12_P108604,,,False,,,,,,
A_12_P108807,2.354001,down,-1.2351149,A_12_P108807,A_12_P108807,,,False,,,,,,
A_12_P109257,2.185344,down,-1.1278604,A_12_P109257,A_12_P109257,,,False,,,,,,
A_12_P109775,4.600314,down,-2.2017324,A_12_P109775,A_12_P109775,,,False,,,,,,
A_12_P109892,7.178287,down,-2.8436396,A_12_P109892,A_12_P109892,,,False,,,,,,
A_12_P111211,4.270458,down,-2.0943909,A_12_P111211,A_12_P111211,,,False,,,,,,
A_12_P111769,2.3064885,down,-1.2056981,A_12_P111769,A_12_P111769,,,False,,,,,,
A_12_P113001,2.149289,down,-1.1038594,A_12_P113001,A_12_P113001,,,False,,,,,,
A_12_P114223,5.432746,down,-2.4416816,A_12_P114223,A_12_P114223,,,False,,,,,,
