#Table S4: Genes depleted of 22G-RNAs in rrf-1, rrf-3 and ergo-1 mutants,,,,,,,
#Total Reads = number of antisense reads (including exon juntions) normalized to the number of perfect genome matches,,,,,,,,
#Normalized Reads = Total reads normalized to the sample size (reads per million), excluding structural RNA degradation products,,,,,,,
#Enrichment factor = mutant / (wild-type + mutant), using normalized reads,,,,,,,
#Wild-type sample size = 2.06692860050001 million reads,,,,,,,,
#ergo-1 sample size = 2.471996685 million reads,,,,,,,,
#rrf-3 sample size = 2.40395249619999 million reads,,,,,,,,
#rrf-1 sample size = 2.962051767 million reads,,,,,,,,
#Fold Depletion = Wild-type / mutant, using normalized reads,,,,,,,
#rrf-1 (260 genes),,,,,,,,
Cosmid Name,Gene ID,Wild-type Total Reads,Wild-type Normalized Reads,rrf-1 Total Reads,rrf-1 Normalized Reads ,Enrichment Factor,Fold Depletion,fold change,Input,Suggested Match,History
Y47H10A.5,Y47H10A.5,9637.5,4662.72,61.5,20.76,0.0,224.57,0.004452955,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
Y102A11A.3,Y102A11A.3,75.0,36.29,0.5,0.17,0.0,214.96,0.004652028,Y102A11A.3,WBGene00022413,Public name for WBGene00022413. History: N.A.
F20D6.10,F20D6.10,198.0,95.79,6.5,2.19,0.02,43.65,0.022909507,F20D6.10,WBGene00017639,Public name for WBGene00017639. History: N.A.
mps-2,K01A2.8,203.85,98.62,7.06,2.38,0.02,41.38,0.024166264,mps-2,WBGene00019282,Public name for WBGene00019282. History: N.A.
B0001.6,B0001.6,424.33,205.3,20.33,6.86,0.03,29.91,0.033433634,B0001.6,WBGene00007091,Sequence name for WBGene00007091(eri-12). History: N.A.
Y46D2A.1,Y46D2A.1,191.33,92.57,12.68,4.28,0.04,21.62,0.046253469,Y46D2A.1,WBGene00021589,Public name for WBGene00021589. History: N.A.
W04B5.1,W04B5.1,1254.03,606.71,105.83,35.73,0.06,16.98,0.058892815,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
F11D11.12,F11D11.12,59.0,28.54,6.0,2.03,0.07,14.09,0.070972321,F11D11.12,WBGene00045362,Public name for WBGene00045362. History: N.A.
F36G3.2,F36G3.2,63.0,30.48,7.5,2.53,0.08,12.04,0.083056478,F36G3.2,WBGene00009483,Public name for WBGene00009483. History: N.A.
T08B6.2,T08B6.2,394.0,190.62,48.5,16.37,0.08,11.64,0.085910653,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
