#Wild-type and glp-4(bn2) data from Gu et al. (ref. 9) were used to generate this table.
#Depletion factor  = bn2 / (wild-type + bn2), using rpm
#Fold Depletion = depletion in glp-4 (bn2) as calculated by wild-type / glp-4(bn2)
#Loci/clusters in gray had <25 normalized rpm and were not further analyzed
26G-RNAs enriched in both ERGO-1 IP and ß-elimination (48),Normalized reads (rpm)_Wild-type,Normalized reads (rpm)_glp-4(bn2),Depletion Factor,Fold Depletion,fold change,germline/soma,Input,Suggested Match,History
Y57G11C.51,412.7,53.84,0.88,7.67,0.130378096,germline,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
Y116F11A.1,172.87,31.85,0.84,5.43,0.184162063,germline,Y116F11A.1,WBGene00013816,Public name for WBGene00013816. History: N.A.
Y71A12B.2,140.88,30.46,0.82,4.63,0.215982721,germline,Y71A12B.2,WBGene00013500,Public name for WBGene00013500. History: N.A.
F39F10.4,625.63,162.53,0.79,3.85,0.25974026,germline,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
Y71A12B.3,152.01,39.56,0.79,3.84,0.260416667,germline,Y71A12B.3,WBGene00013501,Public name for WBGene00013501. History: N.A.
F31A9.4,227.51,59.53,0.79,3.82,0.261780105,germline,F31A9.4,WBGene00017942,Sequence name for WBGene00017942(fbxc-37). History: N.A.
Y116A8B.1,354.09,106.16,0.77,3.34,0.299401198,germline,Y116A8B.1,WBGene00013779,Public name for WBGene00013779. History: N.A.
C11G6.2,43.6,13.27,0.77,3.29,0.303951368,germline,C11G6.2,WBGene00007523,Public name for WBGene00007523. History: N.A.
C02B8.2,128.97,48.91,0.73,2.64,0.378787879,germline,C02B8.2,WBGene00015321,Sequence name for WBGene00015321(fbxc-38). History: N.A.
fbxb-37,588.99,301.04,0.66,1.96,0.510204082,,fbxb-37,WBGene00020537,"Public name for WBGene00020537. History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
ZC132.4,231.99,119.37,0.66,1.94,0.515463918,,ZC132.4,,Sequence name for Suppressed gene WBGene00022523. Molecular name for Suppressed gene WBGene00022523. Public name for Suppressed gene WBGene00022523. History of WBGene00022523: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
fbxa-46,318.83,170.49,0.65,1.87,0.534759358,,fbxa-46,WBGene00018690,Public name for WBGene00018690. History: N.A.
C40A11.10,529.52,325.31,0.62,1.63,0.613496933,,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
E01G4.5,2344.53,1681.13,0.58,1.39,0.71942446,,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
C01A2.1,425.99,337.5,0.56,1.26,0.793650794,,C01A2.1,WBGene00007213,Public name for WBGene00007213. History: N.A.
