#Table S1: Genes targeted by 26G-RNAs enriched in ERGO-IP and ß-elimination experiments.
#Genes with at least at least 10rpm and >1.5-fold enriched 26G-RNAs
#Normalized Reads (rpm) = Total number of antisense 26mer reads normalized to the sample size (reads per million), excluding structural RNA degradation products
#Fold Enrichment = (ß-eliminated / untreated) or (ERGO-1 IP / Input), normalized reads
#ERGO-1 IP (57 genes)
Gene Name,Cosmid Name,ERGO-IP_Normalized (rpm),Input Control_Normalized (rpm),fold change,Input,Suggested Match,History
Y57G11C.51,Y57G11C.51,2762.151,536.4946,5.1485,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
F49B2.3,F49B2.3,56.9522,12.3256,4.6206,F49B2.3,WBGene00009863,Public name for WBGene00009863. History: N.A.
C39B5.2,C39B5.2,23.9187,5.8335,4.1002,C39B5.2,WBGene00016520,Public name for WBGene00016520. History: N.A.
Y7A5A.8,Y7A5A.8,29.492,7.3389,4.0186,Y7A5A.8,WBGene00012414,Public name for WBGene00012414. History: N.A.
Y82E9BR.20,Y82E9BR.20,313.7497,78.2819,4.0079,Y82E9BR.20,WBGene00022352,Public name for WBGene00022352. History: N.A.
Y41C4A.17,Y41C4A.17,13.9333,3.7636,3.7022,Y41C4A.17,WBGene00012760,Public name for WBGene00012760. History: N.A.
F52D2.5,F52D2.5,26.0087,7.1508,3.6372,F52D2.5,WBGene00018687,Public name for WBGene00018687. History: N.A.
F58F9.1,F58F9.1,18.5777,5.269,3.5259,F58F9.1,WBGene00019055,Public name for WBGene00019055. History: N.A.
fbxb-37,T16A1.8,1467.6358,429.986,3.4132,fbxb-37,WBGene00020537,"Public name for WBGene00020537. History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
C35D6.3,C35D6.3,246.1541,75.8356,3.2459,C35D6.3,WBGene00007960,Public name for WBGene00007960. History: N.A.
Y43F8B.9,Y43F8B.9,271.6984,83.9273,3.2373,Y43F8B.9,WBGene00012819,Public name for WBGene00012819. History: N.A.
E01G4.5,E01G4.5,1105.9519,343.7066,3.2177,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
Y116F11A.1,Y116F11A.1,2127.6075,663.0441,3.2088,Y116F11A.1,WBGene00013816,Public name for WBGene00013816. History: N.A.
CD4.8,CD4.8,130.1212,43.1397,3.0163,CD4.8,WBGene00016993,Public name for WBGene00016993. History: N.A.
F52D2.6,F52D2.6,1217.8823,405.617,3.0025,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
Y17D7B.4,Y17D7B.4,262.6418,91.8307,2.8601,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
ZK402.2,ZK402.2,159.1487,56.4062,2.8215,ZK402.2,WBGene00022729,Public name for WBGene00022729. History: N.A.
ZK380.5,ZK380.5,485.9996,176.4166,2.7548,ZK380.5,WBGene00044559,Public name for WBGene00044559. History: N.A.
Y43F8B.6,Y43F8B.6,29.0276,10.538,2.7546,Y43F8B.6,WBGene00012817,Public name for WBGene00012817. History: N.A.
T05E12.8,T05E12.8,1222.1784,445.793,2.7416,T05E12.8,WBGene00045382,Public name for WBGene00045382. History: N.A.
F55C9.5,F55C9.5,3934.2858,1442.382,2.7276,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
Y71A12B.2,Y71A12B.2,40.987,15.6187,2.6242,Y71A12B.2,WBGene00013500,Public name for WBGene00013500. History: N.A.
ZK402.5,ZK402.5,190.1502,73.844,2.575,ZK402.5,WBGene00022731,Public name for WBGene00022731. History: N.A.
T08B6.2,T08B6.2,68.7374,27.4739,2.5019,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
Y71A12B.3,Y71A12B.3,42.4964,17.0301,2.4954,Y71A12B.3,WBGene00013501,Public name for WBGene00013501. History: N.A.
W05H12.2,W05H12.2,1425.8361,576.3883,2.4737,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
C01A2.1,C01A2.1,548.2735,223.7433,2.4505,C01A2.1,WBGene00007213,Public name for WBGene00007213. History: N.A.
W04B5.1,W04B5.1,579.1202,236.508,2.4486,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
F31A9.2,F31A9.2,256.604,106.5713,2.4078,F31A9.2,WBGene00017941,Public name for WBGene00017941. History: N.A.
F55A4.4,F55A4.4,93.4689,38.9528,2.3995,F55A4.4,WBGene00018856,Public name for WBGene00018856. History: N.A.
H16D19.4,H16D19.4,76.6329,32.7429,2.3404,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
ZC132.4,ZC132.4,189.26,80.9164,2.339,ZC132.4,,Sequence name for Suppressed gene WBGene00022523. Molecular name for Suppressed gene WBGene00022523. Public name for Suppressed gene WBGene00022523. History of WBGene00022523: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F39F10.4,F39F10.4,388.9699,166.7254,2.333,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
K02E2.6,K02E2.6,5391.704,2348.834,2.2955,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
Y37E11B.2,Y37E11B.2,3337.5169,1491.6532,2.2375,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
Y7A5A.9,Y7A5A.9,21.3643,9.5971,2.2261,Y7A5A.9,WBGene00012415,Public name for WBGene00012415. History: N.A.
ZK402.3,ZK402.3,267.4411,124.307,2.1515,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
C02B8.2,C02B8.2,431.5825,200.7856,2.1495,C02B8.2,WBGene00015321,Sequence name for WBGene00015321(fbxc-38). History: N.A.
Y82E9BR.6,Y82E9BR.6,78.9551,36.8828,2.1407,Y82E9BR.6,WBGene00022339,Public name for WBGene00022339. History: N.A.
C11G6.2,C11G6.2,161.6257,75.7415,2.1339,C11G6.2,WBGene00007523,Public name for WBGene00007523. History: N.A.
F39E9.7,F39E9.7,2699.2966,1276.033,2.1154,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
F31A9.4,F31A9.4,1255.7343,604.0504,2.0789,F31A9.4,WBGene00017942,Sequence name for WBGene00017942(fbxc-37). History: N.A.
T02G6.4,T02G6.4,22.9899,11.2907,2.0362,T02G6.4,WBGene00011387,Public name for WBGene00011387. History: N.A.
Y116A8B.1,Y116A8B.1,2125.3434,1052.4779,2.0194,Y116A8B.1,WBGene00013779,Public name for WBGene00013779. History: N.A.
C40A11.10,C40A11.10,5549.6142,2789.7344,1.9893,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
F55C9.3,F55C9.3,6370.7471,3342.9768,1.9057,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
W04B5.2,W04B5.2,702.9326,371.8391,1.8904,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
fbxa-52,F07G6.6,42.3803,23.1459,1.831,fbxa-52,WBGene00017225,Public name for WBGene00017225. History: N.A.
F52G3.4,F52G3.4,218.8682,122.5037,1.7866,F52G3.4,WBGene00018712,Public name for WBGene00018712. History: N.A.
