# Analysis of coding loci targeted by 26G-RNAs in eri-5 and rrf-3 adults.,,,,,,,,,,,
# Coding 26G-RNA loci were defined in Vasale et al. (2010). The number of normalized antisense reads targeting the indicated 26G-RNA loci are presented as reads per million (rpm) for each sample. Enrichment values were calculated by dividing the mutant rpm value by the sum of mutant plus N2 wild-type (wt) rpm values. Highlighted rows indicate 44 loci with at least 10 rpm (total reads) in N2 or mutant sample; the corresponding enrichment values were used to generate the box and whisker plots in Figure 3C.,,,,,,,,,,,
Gene,Locus ID,N2 rpm_total...3,eri-5 rpm_total,eri-5 enrichment_m/(m+wt),N2 rpm_total...6,rrf-3 rpm_total,rrf-3 enrichment_m/(m+wt),Highlighted,Input,Suggested Match,History
K02E2.6,K02E2.6,1309.4308,166.6227,0.112883916,1309.4308,11.8181,0.008944643,Yes,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
Y37E11B.2,Y37E11B.2,1206.097,307.609,0.203215816,1206.097,18.8577,0.01539461,Yes,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
E01G4.5,E01G4.5,1199.1222,16.9278,0.013920316,1199.1222,11.0235,0.009109234,Yes,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
E01G4.7,E01G4.7,664.5126,94.585,0.124601896,664.5126,79.0365,0.106296276,Yes,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
W04B5.1,W04B5.1,606.7127,66.0759,0.098211979,606.7127,0.9706,0.001597214,Yes,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
F55C9.3,F55C9.3,566.4067,66.937,0.10568827,566.4067,1.4713,0.002590873,Yes,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
Y105C5A.14,Y105C5A.14,545.2535,123.783,0.185016811,545.2535,154.6758,0.220987748,Yes,Y105C5A.14,WBGene00013638,"Public name for WBGene00013638. History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
F39F10.4,F39F10.4,506.3068,40.5361,0.074127505,506.3068,74.5127,0.128288909,Yes,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
W04B5.2,W04B5.2,464.4573,42.9933,0.084724109,464.4573,6.2432,0.013263636,Yes,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
C40A11.10,C40A11.10,449.7011,9.4026,0.02048034,449.7011,358.5761,0.443630106,Yes,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
Y17D7B.4,Y17D7B.4,421.753,7.4157,0.017279219,421.753,2.9416,0.006926389,Yes,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
F39E9.7,F39E9.7,381.9677,21.6401,0.053616655,381.9677,3.7438,0.009706218,Yes,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
C01A2.1,C01A2.1,348.101,40.3012,0.103761513,348.101,68.6023,0.164631046,Yes,C01A2.1,WBGene00007213,Public name for WBGene00007213. History: N.A.
CD4.8,CD4.8,342.1893,65.0531,0.159740489,342.1893,68.9276,0.167659369,Yes,CD4.8,WBGene00016993,Public name for WBGene00016993. History: N.A.
W05H12.2,W05H12.2,321.7334,104.2346,0.244700541,321.7334,152.2493,0.321212778,Yes,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
K06B9.6,K06B9.6,287.6248,160.7035,0.358450493,287.6248,3.9518,0.013553214,Yes,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
C36A4.11,C36A4.11,269.4013,125.1581,0.317209779,269.4013,3.9518,0.014456759,Yes,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
Y116A8B.1,Y116A8B.1,236.9631,44.3065,0.157523245,236.9631,30.4499,0.113868436,Yes,Y116A8B.1,WBGene00013779,Public name for WBGene00013779. History: N.A.
Y57G11C.51,Y57G11C.51,235.5117,140.6594,0.373923994,235.5117,102.0789,0.302374829,Yes,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
F31A9.4,F31A9.4,201.668,44.3613,0.180309012,201.668,88.7427,0.305576551,Yes,F31A9.4,WBGene00017942,Sequence name for WBGene00017942(fbxc-37). History: N.A.
F55C9.5,F55C9.5,198.362,24.6721,0.110620304,198.362,0,0,Yes,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
T08B6.2,T08B6.2,190.621,0.2816,0.001475098,190.621,0.832,0.004345714,Yes,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
fbxb-37,T16A1.8,180.461,26.7623,0.129147157,180.461,38.5615,0.17606182,Yes,fbxb-37,WBGene00020537,"Public name for WBGene00020537. History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
Y71A12B.3,Y71A12B.3,168.3657,68.5309,0.289286127,168.3657,83.6065,0.33180843,Yes,Y71A12B.3,WBGene00013501,Public name for WBGene00013501. History: N.A.
