gene,Overlap Region,Overlap Size,Gene.Public.Name,Avg log2 Fold change (BB4.L4),Max p-value,Input,Suggested Match,History
Y46D2A.5,3'UTR + Exon,500,Y46D2A.5,7.13525595,1.86e-137,Y46D2A.5,WBGene00021590,"Public name for Dead gene WBGene00195076. History of WBGene00195076: Merged into ""WBGene00021590"" on 2012-10-31"
F39E9.22,3'UTR + Exon,700,F39E9.22,6.983404403,1.23e-130,F39E9.22,WBGene00018194,"Public name for Dead gene WBGene00195075. History of WBGene00195075: Merged into ""WBGene00018194"" on 2013-02-19"
Y105C5A.24,0,0,Y105C5A.24,6.218026892,5.05e-86,Y105C5A.24,WBGene00013643,Public name for WBGene00013643. History: N.A.
R12C12.7,5'UTR + Exon + 3'UTR,500,R12C12.7,6.01792535,7.89e-68,R12C12.7,WBGene00020027,Public name for WBGene00020027. History: N.A.
F39E9.1,3'UTR + Exon,100,F39E9.1,4.356511632,1.2500000000000001e-22,F39E9.1,WBGene00018194,"Public name for WBGene00018194. History: Split into ""WBGene00195075"" on 2010-04-22"
Y46D2A.2,3'UTR + Exon,100,Y46D2A.2,4.218261408,1.42e-19,Y46D2A.2,WBGene00021590,"Public name for WBGene00021590. History: Split into ""WBGene00195076"" on 2010-04-22"
W05F2.4a,0,0,W05F2.4,3.721712752,7.6e-09,W05F2.4a,WBGene00021036,"Molecule name for WBGene00021036(W05F2.4). History: Merged into ""WBGene00019363"" on 2004-12-23; Resurrected on 2005-09-13. History of Dead gene WBGene00019363: Killed on 2005-09-13; Merged into ""WBGene00021036"" on 2005-09-13. Remark: Killed in favour of W05F2.4 (WBGene00021036) which has an isoform (W05F2.4b) located entirely in clone W05F2 and therefore should be named with respect to the clone in which it appears."
C04F12.9,0,0,rnh-1.3,3.306654452,5.32e-10,C04F12.9,WBGene00007303,Sequence name for WBGene00007303(rnh-1.3). History: N.A.
K11D12.4,0,0,cpt-4,3.254716361,2.33e-09,K11D12.4,WBGene00019644,Sequence name for WBGene00019644(cpt-4). History: N.A.
K08B4.5,0,0,K08B4.5,3.19505058,2.33e-09,K08B4.5,WBGene00019517,Public name for WBGene00019517. History: N.A.
W03A5.7,0,0,dnj-24,3.175537745,2.46e-08,W03A5.7,WBGene00001042,Sequence name for WBGene00001042(dnj-24). History: N.A.
F45H10.1,0,0,alh-7,3.147532829,1.29e-05,F45H10.1,WBGene00000113,Sequence name for WBGene00000113(alh-7). History: N.A.
Y42G9A.1,0,0,Y42G9A.1,2.993166418,2.43e-06,Y42G9A.1,WBGene00021531,Public name for WBGene00021531. History: N.A.
T10C6.12,5'UTR + Exon,600,his-3,2.945422535,0.010621938,T10C6.12,WBGene00001877,Sequence name for WBGene00001877(his-3). History: N.A.
F39G3.2,0,0,F39G3.2,2.879518233,2.07e-13,F39G3.2,WBGene00018207,Public name for WBGene00018207. History: N.A.
ZK892.6,0,0,ZK892.6,2.787886705,0.026603543,ZK892.6,WBGene00014130,Public name for WBGene00014130. History: N.A.
Y48G9A.6,0,0,Y48G9A.6,2.705268177,0.000546103,Y48G9A.6,WBGene00021700,Public name for WBGene00021700. History: N.A.
F14H12.4a,Exon,1900,cst-1,2.618815721,0.000324908,F14H12.4a,WBGene00017472,Molecule name for WBGene00017472(cst-1). History: N.A.
F54F2.2a.2,0,0,zfp-1,2.613485708,0.000116164,F54F2.2a.2,WBGene00006975,Molecule name for WBGene00006975(zfp-1). History: N.A.
C24A8.4,Exon,2200,cst-2,2.60009718,0.000324908,C24A8.4,WBGene00016038,Sequence name for WBGene00016038(cst-2). History: Renamed on 2006-06-30
F14H12.4b,Exon,1900,cst-1,2.60009718,0.000324908,F14H12.4b,WBGene00017472,Molecule name for WBGene00017472(cst-1). History: N.A.
R07B1.3,0,0,scav-5,2.559494813,0.010621938,R07B1.3,WBGene00011076,Sequence name for WBGene00011076(scav-5). History: N.A.
