# Dataset S5.  Annotated features with ten or more siRNA reads per million total small RNA reads and depleted by 2/3 or more in mut-16(mg461), relative to wild type (N2).
gene,Reads Per Million Total_wt,Reads Per Million Total_mg461,Reads Per Million Total_mg461/wt,Depletion,Annotation,Input,Suggested Match,History
F19G12.4,10.02,0.0,0.0,,Gene,F19G12.4,WBGene00017612,Public name for WBGene00017612. History: N.A.
C18D4.4,54.36,0.52,0.01,-104.06,Gene,C18D4.4,WBGene00007674,"Public name for WBGene00007674. History: Split into C18D4.12(WBGene00219493). History of WBGene00007674: Split into ""WBGene00219493"" on 2012-05-18"
R52.2,13.73,0.17,0.01,-78.85,Transposon,R52.2,,Sequence name for Suppressed gene WBGene00020074. Molecular name for Suppressed gene WBGene00020074. Public name for Suppressed gene WBGene00020074. History of WBGene00020074: Killed on 2008-09-11; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
W04B5.1,220.66,7.66,0.03,-28.8,Gene,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
Y119D3B.8,61.3,2.18,0.04,-28.14,Gene,Y119D3B.8,WBGene00022486,Sequence name for WBGene00022486(fbxa-61). History: N.A.
H09G03.1,305.81,11.06,0.04,-27.65,Gene,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
T08B6.2,166.43,7.92,0.05,-21.01,Gene,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
B0001.6,56.38,3.2,0.06,-17.63,Gene,B0001.6,WBGene00007091,Sequence name for WBGene00007091(eri-12). History: N.A.
C44B11.6,650.31,39.01,0.06,-16.67,Gene,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
F07H5.5,43.42,2.96,0.07,-14.67,Pseudogene,F07H5.5,WBGene00014309,Public name for WBGene00014309. History: N.A.
Y102A11A.3,46.77,3.21,0.07,-14.56,Gene,Y102A11A.3,WBGene00022413,Public name for WBGene00022413. History: N.A.
Y17D7B.7,172.36,15.9,0.09,-10.84,Pseudogene,Y17D7B.7,WBGene00014562,Public name for WBGene00014562. History: N.A.
F39E9.1,145.35,13.48,0.09,-10.78,Gene,F39E9.1,WBGene00018194,"Public name for WBGene00018194. History: Split into ""WBGene00195075"" on 2010-04-22"
C36A4.11,116.15,11.06,0.1,-10.5,Gene,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
K06B9.6,116.15,11.06,0.1,-10.5,Gene,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
T05G5.4,15.12,1.74,0.12,-8.68,Gene,T05G5.4,WBGene00011499,Public name for WBGene00011499. History: N.A.
Y47H10A.5,1403.27,165.49,0.12,-8.48,Gene,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
R31.1,36.74,4.53,0.12,-8.11,Gene,R31.1,WBGene00004855,Sequence name for WBGene00004855(sma-1). History: N.A.
F14F7.5,18.21,2.24,0.12,-8.11,Gene,F14F7.5,WBGene00008812,"Public name for WBGene00008812. History: Split into F14F7.7(WBGene00206390). History of WBGene00008812: Split into ""WBGene00206390"" on 2011-01-21"
Y53F4B.15,76.93,9.58,0.12,-8.03,Gene,Y53F4B.15,WBGene00000208,Sequence name for WBGene00000208(trip-4). History: Renamed on 2017-11-13
W01A11.3,19.3,2.79,0.14,-6.93,Gene,W01A11.3,WBGene00006815,Sequence name for WBGene00006815(unc-83). History: N.A.
F07G6.6,88.63,12.97,0.15,-6.83,Gene,F07G6.6,WBGene00017225,Sequence name for WBGene00017225(fbxa-52). History: N.A.
R09B3.2,16.33,2.44,0.15,-6.7,Gene,R09B3.2,WBGene00011155,Sequence name for WBGene00011155(rbm-3.1). History: N.A.
F25B5.4,19.23,2.87,0.15,-6.69,Gene,F25B5.4,WBGene00006727,Sequence name for WBGene00006727(ubq-1). History: N.A.
M117.2,17.81,2.79,0.16,-6.39,Gene,M117.2,WBGene00003920,Sequence name for WBGene00003920(par-5). History: N.A.
C47E8.5,34.88,5.57,0.16,-6.26,Gene,C47E8.5,WBGene00000915,Sequence name for WBGene00000915(hsp-90). History: Renamed on 2017-08-01
K02E2.6,731.04,119.64,0.16,-6.11,Gene,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
K04D7.1,13.54,2.26,0.17,-5.98,Gene,K04D7.1,WBGene00010556,Sequence name for WBGene00010556(rack-1). History: N.A.
C03D6.8,13.36,2.26,0.17,-5.9,Gene,C03D6.8,WBGene00004437,Sequence name for WBGene00004437(rpl-24.2). History: N.A.
B0280.5,14.19,2.44,0.17,-5.82,Gene,B0280.5,WBGene00015102,Sequence name for WBGene00015102(cpg-2). History: N.A.
C26D10.1,18.0,3.13,0.17,-5.74,Gene,C26D10.1,WBGene00004304,Sequence name for WBGene00004304(ran-3). History: N.A.
ZC404.8,13.54,2.44,0.18,-5.56,Gene,ZC404.8,WBGene00004984,Sequence name for WBGene00004984(spn-4). History: N.A.
F01G4.6,11.5,2.09,0.18,-5.51,Gene,F01G4.6,WBGene00008505,Public name for WBGene00008505. History: N.A.
C07G2.1,18.0,3.31,0.18,-5.44,Gene,C07G2.1,WBGene00000465,Sequence name for WBGene00000465(cpg-1). History: Renamed on 2006-06-16; Renamed on 2008-01-14
Y17D7B.4,339.53,62.69,0.18,-5.42,Gene,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
ZK384.4,234.31,44.06,0.19,-5.32,Pseudogene,ZK384.4,,Public name for Dead gene WBGene00014985. History of WBGene00014985: Killed on 2016-02-22. Remark: lack of evidence
C13B9.1,26.32,4.96,0.19,-5.3,Transposon,C13B9.1,,Sequence name for Suppressed gene WBGene00015732. Molecular name for Suppressed gene WBGene00015732. Public name for Suppressed gene WBGene00015732. History of WBGene00015732: Killed on 2009-04-15; Suppressed on 2013-03-14. Remark: converted to a Transposon CDS...This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y59H11AR.6,3600.28,683.29,0.19,-5.27,Pseudogene,Y59H11AR.6,WBGene00077437,Public name for WBGene00077437. History: N.A.
M01F1.2,15.03,2.87,0.19,-5.23,Gene,M01F1.2,WBGene00004428,Sequence name for WBGene00004428(rpl-16). History: N.A.
W04B5.2,957.11,185.34,0.19,-5.16,Gene,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
