# Dataset S4.  Annotated features with ten or more siRNA  reads per million total small RNA reads and depleted by 2/3 or more in mut-16(pk710), relative to wild type (N2).
gene,Reads Per Million Total_wt,Reads Per Million Total_pk710,Reads Per Million Total_pk710/wt,Depletion,Annotation,Input,Suggested Match,History
F54E7.7,220.97,0.0,0.0,undefined,Gene,F54E7.7,WBGene00004321,Sequence name for WBGene00004321(rcan-1). History: Renamed on 2015-09-03
F49E7.2,161.79,0.0,0.0,undefined,Gene,F49E7.2,WBGene00018634,Sequence name for WBGene00018634(pigx-1). History: N.A.
F48G7.4,121.34,0.0,0.0,undefined,Gene,F48G7.4,WBGene00018615,Public name for WBGene00018615. History: N.A.
F49B2.7,91.66,0.0,0.0,undefined,Gene,F49B2.7,WBGene00086555,Public name for WBGene00086555. History: N.A.
Y81B9A.1,90.73,0.0,0.0,undefined,Gene,Y81B9A.1,WBGene00022315,Public name for WBGene00022315. History: N.A.
F16D3.7,87.57,0.0,0.0,undefined,Gene,F16D3.7,WBGene00008890,Sequence name for WBGene00008890(ser-5). History: N.A.
F16F9.4,87.39,0.0,0.0,undefined,Gene,F16F9.4,WBGene00017515,Public name for WBGene00017515. History: N.A.
F13A7.11,87.02,0.0,0.0,undefined,Gene,F13A7.11,WBGene00008726,Public name for WBGene00008726. History: N.A.
F55C10.1,72.54,0.0,0.0,undefined,Gene,F55C10.1,WBGene00000554,Sequence name for WBGene00000554(cnb-1). History: N.A.
Y41D4B.27,71.25,0.0,0.0,undefined,Gene,Y41D4B.27,WBGene00045255,Sequence name for WBGene00045255(nhr-146). History: N.A.
Y37H2A.15,69.58,0.0,0.0,undefined,Pseudogene,Y37H2A.15,WBGene00050935,"Public name for Dead gene WBGene00050925. History of WBGene00050925: Merged into ""WBGene00050935"" on 2009-08-12"
C08E3.9,66.24,0.0,0.0,undefined,Gene,C08E3.9,WBGene00015601,Sequence name for WBGene00015601(fbxa-166). History: N.A.
ZC123.1,65.87,0.0,0.0,undefined,Gene,ZC123.1,WBGene00022517,Public name for WBGene00022517. History: N.A.
Y54G2A.29,61.41,0.0,0.0,undefined,Gene,Y54G2A.29,WBGene00021893,Sequence name for WBGene00021893(ndnf-1). History: N.A.
Y119D3B.8,61.23,0.0,0.0,undefined,Gene,Y119D3B.8,WBGene00022486,Sequence name for WBGene00022486(fbxa-61). History: N.A.
C05D11.6,59.37,0.0,0.0,undefined,Gene,C05D11.6,WBGene00003523,Sequence name for WBGene00003523(nas-4). History: N.A.
K02D10.2,57.15,0.0,0.0,undefined,Gene,K02D10.2,WBGene00019302,Public name for WBGene00019302. History: N.A.
B0205.5,56.4,0.0,0.0,undefined,Gene,B0205.5,WBGene00015020,Public name for WBGene00015020. History: N.A.
F54D10.3,55.29,0.0,0.0,undefined,Gene,F54D10.3,WBGene00018804,Sequence name for WBGene00018804(lido-15). History: N.A.
M162.11,51.76,0.0,0.0,undefined,Gene,M162.11,WBGene00044655,Sequence name for WBGene00044655(fbxa-194). History: N.A.
M02D8.7,49.17,0.0,0.0,undefined,Gene,M02D8.7,WBGene00044313,Public name for WBGene00044313. History: N.A.
Y16B4A.2,47.13,0.0,0.0,undefined,Gene,Y16B4A.2,WBGene00012445,Public name for WBGene00012445. History: N.A.
B0391.9,46.76,0.0,0.0,undefined,Gene,B0391.9,WBGene00007164,Sequence name for WBGene00007164(fbxa-139). History: N.A.
T20H12.1,46.38,0.0,0.0,undefined,Gene,T20H12.1,WBGene00004751,"Public name for Dead gene WBGene00020643. History of WBGene00020643: Merged into ""WBGene00004751"" on 2014-11-13"
Y54G2A.42,46.2,0.0,0.0,undefined,Gene,Y54G2A.42,WBGene00044486,Public name for WBGene00044486. History: N.A.
C24H10.1,44.34,0.0,0.0,undefined,Gene,C24H10.1,WBGene00016067,Sequence name for WBGene00016067(clc-7). History: N.A.
ZK909.4,42.86,0.0,0.0,undefined,Gene,ZK909.4,WBGene00000469,Sequence name for WBGene00000469(ces-2). History: N.A.
F29B9.12,42.49,0.0,0.0,undefined,Gene,F29B9.12,WBGene00044482,Public name for WBGene00044482. History: N.A.
F22H10.1,38.96,0.0,0.0,undefined,Gene,F22H10.1,WBGene00017725,Public name for WBGene00017725. History: N.A.
Y110A2AL.4,38.03,0.0,0.0,undefined,Gene,Y110A2AL.4,WBGene00022441,Public name for WBGene00022441. History: N.A.
