# Dataset S4.  Annotated features with ten or more siRNA reads per million total small RNA reads and elevated by 3 fold or more in mut-16(pk710), relative to wild type.
gene,Reads Per Million Total_wt,Reads Per Million Total_pk710,Reads Per Million Total_pk710/wt,Annotation,Input,Suggested Match,History
R04E5.7,1.4,99.11,70.63,Gene,R04E5.7,WBGene00019870,Public name for WBGene00019870. History: N.A.
F17H10.3,2.7,99.76,36.92,Gene,F17H10.3,WBGene00008927,Sequence name for WBGene00008927(snx-17). History: N.A.
T22A3.4,4.35,100.5,23.13,Gene,T22A3.4,WBGene00044070,"Sequence name for WBGene00044070(set-18). History: Renamed on 2005-10-05; Renamed on 2007-05-03. Public name for Dead gene WBGene00011907. History of WBGene00011907: Merged into ""WBGene00044070"" on 2005-10-05"
F12B6.1,5.16,99.52,19.29,Gene,F12B6.1,WBGene00000020,Sequence name for WBGene00000020(abt-2). History: N.A.
ZC455.1,5.27,69.19,13.12,Gene,ZC455.1,WBGene00013902,Public name for WBGene00013902. History: N.A.
B0361.11,40.45,525.93,13.0,Gene,B0361.11,WBGene00015165,Public name for WBGene00015165. History: N.A.
R09E10.3,1.34,16.97,12.71,Gene,R09E10.3,WBGene00011173,Sequence name for WBGene00011173(acs-18). History: N.A.
H08J11.2,6.38,76.1,11.92,Gene,H08J11.2,WBGene00000100,"Public name for Dead gene WBGene00019173. History of WBGene00019173: Merged into ""WBGene00000100"" on 2016-07-01"
T03G6.3,8.48,99.12,11.69,Gene,T03G6.3,WBGene00020195,Public name for WBGene00020195. History: N.A.
Y51H7BR.8,4.9,53.71,10.95,Gene,Y51H7BR.8,WBGene00044645,Public name for WBGene00044645. History: N.A.
T06H11.1,6.6,71.04,10.76,Gene,T06H11.1,WBGene00006792,Sequence name for WBGene00006792(unc-58). History: N.A.
F46F5.6,1.11,11.81,10.61,Gene,F46F5.6,WBGene00018497,Sequence name for WBGene00018497(msrp-3). History: N.A.
Y4C6B.3,1.51,15.83,10.51,Gene,Y4C6B.3,WBGene00021157,Public name for WBGene00021157. History: N.A.
K11H3.7,10.46,109.05,10.43,Gene,K11H3.7,WBGene00010784,Sequence name for WBGene00010784(twk-48). History: N.A.
F38E11.12,1.11,11.48,10.32,Gene,F38E11.12,WBGene00000563,Sequence name for WBGene00000563(cng-3). History: N.A.
D2062.6,1.76,16.57,9.4,Gene,D2062.6,WBGene00017058,Sequence name for WBGene00017058(msrp-6). History: N.A.
