Gene,wt (N2) RPM,mut-16(pk710) RPM,fold change,Input,Suggested Match,History
F39E9.7,526.6,48.92,0.09,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
Y116A8B.1,499.42,135.13,0.27,Y116A8B.1,WBGene00013779,Public name for WBGene00013779. History: N.A.
F55C9.3,386.45,47.53,0.12,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
F52D2.6,307.17,48.5,0.16,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
F55C9.5,237.99,27.6,0.12,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
T05E12.8,213.44,15.75,0.07,T05E12.8,WBGene00045382,Public name for WBGene00045382. History: N.A.
Y105C5A.14,195.79,10.55,0.05,Y105C5A.14,WBGene00013638,"Public name for WBGene00013638. History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
F31A9.4,191.41,16.45,0.09,F31A9.4,WBGene00017942,Sequence name for WBGene00017942(fbxc-37). History: N.A.
C01A2.1,178.61,5.3,0.03,C01A2.1,WBGene00007213,Public name for WBGene00007213. History: N.A.
K02E2.6,158.39,15.05,0.1,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
E01G4.5,147.11,5.3,0.04,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
Y57G11C.51,144.95,30.32,0.21,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
W05H12.2,128.29,3.28,0.03,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
C40A11.10,122.39,2.93,0.02,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
Y37E11B.2,94.22,10.87,0.12,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
T16A1.8,78.9,3.76,0.05,T16A1.8,WBGene00020537,"Sequence name for WBGene00020537(fbxb-37). History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
W04B5.2,78.9,3.35,0.04,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
ZK402.3,77.25,15.7,0.2,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
E01G4.7,74.34,9.76,0.13,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
Y116F11A.1,74.28,2.3,0.03,Y116F11A.1,WBGene00013816,Public name for WBGene00013816. History: N.A.
T02G6.4,62.07,11.57,0.19,T02G6.4,WBGene00011387,Public name for WBGene00011387. History: N.A.
H16D19.4,53.42,7.67,0.14,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
C02B8.2,50.15,4.6,0.09,C02B8.2,WBGene00015321,Sequence name for WBGene00015321(fbxc-38). History: N.A.
ZK380.5,46.54,12.13,0.26,ZK380.5,WBGene00044559,Public name for WBGene00044559. History: N.A.
ZK402.5,43.56,6.55,0.15,ZK402.5,WBGene00022731,Public name for WBGene00022731. History: N.A.
F52D2.8,33.84,1.67,0.05,F52D2.8,WBGene00018690,Sequence name for WBGene00018690(fbxa-46). History: N.A.
F52G3.4,31.21,22.51,0.72,F52G3.4,WBGene00018712,Public name for WBGene00018712. History: N.A.
C35D6.3,30.39,1.12,0.04,C35D6.3,WBGene00007960,Public name for WBGene00007960. History: N.A.
F39F10.4,28.29,0.0,0.0,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
ZK402.2,28.27,5.3,0.19,ZK402.2,WBGene00022729,Public name for WBGene00022729. History: N.A.
F49B2.3,26.48,2.72,0.1,F49B2.3,WBGene00009863,Public name for WBGene00009863. History: N.A.
Y17D7C.1,23.96,1.12,0.05,Y17D7C.1,WBGene00012455,"Public name for WBGene00012455. History: Split into Y17D7C.6(WBGene00194680). History of WBGene00012455: Split into ""WBGene00194680"" on 2009-06-15"
C11G6.2,22.85,0.63,0.03,C11G6.2,WBGene00007523,Public name for WBGene00007523. History: N.A.
CD4.8,19.07,3.07,0.16,CD4.8,WBGene00016993,Public name for WBGene00016993. History: N.A.
F55A4.4,17.83,1.05,0.06,F55A4.4,WBGene00018856,Public name for WBGene00018856. History: N.A.
Y43F8B.9,17.53,0.28,0.02,Y43F8B.9,WBGene00012819,Public name for WBGene00012819. History: N.A.
W04B5.1,16.6,0.14,0.01,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
Y17D7B.4,15.55,0.56,0.04,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
ZC132.4,13.27,0.35,0.03,ZC132.4,,Sequence name for Suppressed gene WBGene00022523. Molecular name for Suppressed gene WBGene00022523. Public name for Suppressed gene WBGene00022523. History of WBGene00022523: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F31A9.2,8.53,2.79,0.33,F31A9.2,WBGene00017941,Public name for WBGene00017941. History: N.A.
