geneName,FINN1coIPsiRNA(rpkm),H3K9me3_N2,H3K9me3_nrde2,H3K9me3_nrde4,nrde-2/4 dependent H3K9me,Input,Suggested Match,History
T26E3.7,9282.548844,6.105,8.869,5.18,no,T26E3.7,WBGene00012040,Public name for WBGene00012040. History: N.A.
F02C12.3,7672.872937,10.066,3.114,2.858,yes,F02C12.3,WBGene00008517,Public name for WBGene00008517. History: N.A.
F59C12.4,6163.830835,0.78,1.51,1.43,no,F59C12.4,WBGene00045272,Public name for WBGene00045272. History: N.A.
Y46H3C.6,5993.534265,74.482,35.095,48.93,no,Y46H3C.6,WBGene00021606,Public name for WBGene00021606. History: N.A.
F37D6.3,5198.996744,25.65,5.284,15.834,no,F37D6.3,WBGene00009509,Public name for WBGene00009509. History: N.A.
Y110A2AL.10,5118.19781,3.767,2.643,5.358,no,Y110A2AL.10,WBGene00022446,Public name for WBGene00022446. History: N.A.
F55A3.6,4535.736232,22.469,2.265,7.025,yes,F55A3.6,WBGene00018851,Public name for WBGene00018851. History: N.A.
Y48G1BM.8,4503.452038,141.012,24.585,42.689,yes,Y48G1BM.8,WBGene00021673,Public name for WBGene00021673. History: N.A.
W03H9.3,4325.946247,10.261,1.51,3.691,yes,W03H9.3,WBGene00012228,"Public name for Dead gene WBGene00012229. History of WBGene00012229: Merged into ""WBGene00012228"" on 2011-04-19"
Y7A5A.6,3753.21226,6.105,4.388,5.021,no,Y7A5A.6,WBGene00012412,"Public name for WBGene00012412. History: Split into Y7A5A.25(WBGene00304824). History of WBGene00012412: Split into ""WBGene00304824"" on 2019-07-25"
ZK892.6,3637.08844,6.884,4.529,3.811,no,ZK892.6,WBGene00014130,Public name for WBGene00014130. History: N.A.
Y105E8A.28,3590.041685,31.17,39.435,31.906,no,Y105E8A.28,WBGene00013685,Public name for WBGene00013685. History: N.A.
C06A5.12,3538.878129,1.3,0.944,0.834,no,C06A5.12,WBGene00044414,Public name for WBGene00044414. History: N.A.
T01C8.5,3496.308271,22.858,13.397,11.311,no,T01C8.5,WBGene00020146,Sequence name for WBGene00020146(got-1.2). History: N.A.
hmg-11,3483.807148,6.754,5.095,2.858,no,hmg-11,WBGene00001976,Public name for WBGene00001976. History: N.A.
Y71G12B.28,3396.542028,8.729,8.822,6.806,no,Y71G12B.28,WBGene00022163,Public name for WBGene00022163. History: N.A.
K08F11.1,3319.934193,14.157,3.397,7.025,yes,K08F11.1,WBGene00019541,Public name for WBGene00019541. History: N.A.
