# Table S2. 22G-RNA levels of 21U-RNA target gene in FLAGPRG-1 (WT); prg-1, FLAGPRG-1 (D583A);prg-1 and prg-1 strain.
# Only targets exhibits 8 fold enrichment of 22G-RNAs in FLAGPRG-1 (WT) over prg-1 are shown.
Gene Name,Gene ID,Transcript,21U RNA,22G-RNA level (rpm)_prg-1,22G-RNA level (rpm)_FLAG::PRG1 (WT),22G-RNA level (rpm)_FLAG::PRG-1 (D583A),Input,Suggested Match,History
W04A8.6,W04A8.6,W04A8.6,21ur-3524|B0513.34,15.4,1690.1,991.0,W04A8.6,WBGene00012241,"Public name for WBGene00012241. History: Split into W04A8.9(WBGene00195155). History of WBGene00012241: Split into ""WBGene00195155"" on 2010-05-21"
Y71A12B.10,Y71A12B.10,Y71A12B.10,21ur-1121|Y105C5B.591,10.1,1310.7,1414.0,Y71A12B.10,WBGene00013507,Public name for WBGene00013507. History: N.A.
bath-45,F29C12.5,F29C12.5,21ur-2084|Y64G10A.47,14.8,1296.0,789.8,bath-45,WBGene00009247,Public name for WBGene00009247. History: N.A.
F02C12.3,F02C12.3,F02C12.3,21ur-12947|F02C12.6,13.9,1226.5,1048.7,F02C12.3,WBGene00008517,Public name for WBGene00008517. History: N.A.
klp-20,Y50D7A.6,Y50D7A.6,21ur-13299|Y105C5A.1146,28.3,1125.8,755.3,klp-20,WBGene00002230,Public name for WBGene00002230. History: N.A.
bath-45,F29C12.5,F29C12.5,21ur-6948|Y116A8C.344,11.9,1098.1,790.6,bath-45,WBGene00009247,Public name for WBGene00009247. History: N.A.
bath-45,F29C12.5,F29C12.5,21ur-7443|C26C9.13,13.0,797.1,782.9,bath-45,WBGene00009247,Public name for WBGene00009247. History: N.A.
bath-45,F29C12.5,F29C12.5,21ur-15520|Y105C5B.712,10.0,541.7,393.8,bath-45,WBGene00009247,Public name for WBGene00009247. History: N.A.
T22B2.2,T22B2.2,T22B2.2,21ur-3595|Y64G10A.107,7.9,532.5,238.3,T22B2.2,WBGene00020666,Public name for WBGene00020666. History: N.A.
C24H10.4,C24H10.4,C24H10.4,21ur-1188|Y116A8C.152,2.9,501.9,303.4,C24H10.4,WBGene00016070,Public name for WBGene00016070. History: N.A.
fbxb-97,C52E2.6,C52E2.6,21ur-6971|Y116A8C.448,4.2,489.2,18.7,fbxb-97,WBGene00016885,Public name for WBGene00016885. History: N.A.
bath-20,B0047.1,B0047.1a,21ur-3946|Y51H4A.310,2.7,432.9,225.6,bath-20,WBGene00015012,Public name for WBGene00015012. History: N.A.
aex-6,Y87G2A.4,Y87G2A.4,21ur-3570|Y105C5B.81,3.2,397.3,249.9,aex-6,WBGene00000089,Public name for WBGene00000089. History: Renamed on 2006-08-30
ceh-20,F31E3.1,F31E3.1,21ur-14960|M04D8.9,4.0,390.4,281.7,ceh-20,WBGene00000443,Public name for WBGene00000443. History: N.A.
C44C10.5,C44C10.5,C44C10.5,21ur-1412|M199.19,4.1,388.3,11.0,C44C10.5,WBGene00008086,Public name for WBGene00008086. History: N.A.
