# Table S5. WAGO 22G-RNA Targets,Related to Experimental Procedures,,,
Gene Name,Gene ID,Input,Suggested Match,History
F39F10.4,F39F10.4,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
hil-3,F22F1.1,hil-3,WBGene00001854,Public name for WBGene00001854. History: Renamed on 2010-11-12
ZK1073.1,ZK1073.1,ZK1073.1,WBGene00014213,Public name for WBGene00014213. History: N.A.
F20H11.6,F20H11.6,F20H11.6,WBGene00198998,"Public name for WBGene00198998. History: N.A.. Other name for Dead gene WBGene00017649. History of WBGene00017649: Merged into ""WBGene00002889"" on 2010-06-24"
pmk-3,F42G8.4,pmk-3,WBGene00004057,Public name for WBGene00004057. History: N.A.
nlp-38,C01A2.7,nlp-38,WBGene00007219,Public name for WBGene00007219. History: Renamed on 2019-11-21
cpx-1,Y73E7A.4,cpx-1,WBGene00022271,Public name for WBGene00022271. History: N.A.
fozi-1,K01B6.1,fozi-1,WBGene00010453,Public name for WBGene00010453. History: N.A.
Y73B3A.7,Y73B3A.7,Y73B3A.7,WBGene00022209,Public name for WBGene00022209. History: N.A.
ZK616.3,ZK616.3,ZK616.3,WBGene00022773,Public name for WBGene00022773. History: N.A.
pvf-1,Y39A3CL.6,pvf-1,WBGene00004249,Public name for WBGene00004249. History: N.A.
Y57A10A.3,Y57A10A.3,Y57A10A.3,WBGene00013248,Public name for WBGene00013248. History: N.A.
F19H6.5,F19H6.5,F19H6.5,WBGene00008960,Public name for WBGene00008960. History: N.A.
scrm-4,F11A6.2,scrm-4,WBGene00008681,Public name for WBGene00008681. History: Renamed on 2007-05-03
B0545.4,B0545.4,B0545.4,WBGene00015247,Public name for WBGene00015247. History: N.A.
syd-2,F59F5.6,syd-2,WBGene00006364,Public name for WBGene00006364. History: Renamed on 2008-01-14
pcp-4,Y116F11B.3,pcp-4,WBGene00003959,Public name for WBGene00003959. History: N.A.
lbp-1,F40F4.3,lbp-1,WBGene00002253,Public name for WBGene00002253. History: N.A.
B0024.3,B0024.3,B0024.3,WBGene00007096,Public name for WBGene00007096. History: N.A.
F17C11.17,F17C11.17,F17C11.17,WBGene00077761,"Sequence name for WBGene00077761(zip-9). History: Split into F17C11.26(WBGene00303011). History of WBGene00077761: Split into ""WBGene00303011"" on 2018-03-06"
gpa-4,T07A9.7,gpa-4,WBGene00001666,Public name for WBGene00001666. History: N.A.
ZC190.8,ZC190.8,ZC190.8,WBGene00022542,Public name for WBGene00022542. History: N.A.
C24H12.12,C24H12.12,C24H12.12,WBGene00044639,Public name for WBGene00044639. History: N.A.
rab-19,Y62E10A.9,rab-19,WBGene00004278,Public name for WBGene00004278. History: N.A.
C32E8.9,C32E8.9,C32E8.9,WBGene00016325,Public name for WBGene00016325. History: N.A.
ZC190.9,ZC190.9,ZC190.9,WBGene00022544,"Public name for Dead gene WBGene00022543. History of WBGene00022543: Merged into ""WBGene00022544"" on 2017-11-14; Merged into ""WBGene00022544"" on 2017-11-14"
sdc-3,C25D7.3,sdc-3,WBGene00004747,Public name for WBGene00004747. History: N.A.
F40D4.17,F40D4.17,F40D4.17,WBGene00194682,Public name for WBGene00194682. History: N.A.
T23G5.6,T23G5.6,T23G5.6,WBGene00011964,Sequence name for WBGene00011964(saeg-2). History: N.A.
sur-5,K03A1.5,sur-5,WBGene00006351,Public name for WBGene00006351. History: N.A.
F25E5.4,F25E5.4,F25E5.4,WBGene00017785,Public name for WBGene00017785. History: N.A.
Y69A2AR.31,Y69A2AR.31,Y69A2AR.31,WBGene00022100,Public name for WBGene00022100. History: N.A.
C34C12.5,C34C12.5,C34C12.5,WBGene00007924,Sequence name for WBGene00007924(rsu-1). History: N.A.
sqt-3,F23H12.4,sqt-3,WBGene00005018,Public name for WBGene00005018. History: Renamed on 2005-08-23
Y53F4B.16,Y53F4B.16,Y53F4B.16,WBGene00013162,Public name for WBGene00013162. History: N.A.
K09H9.5,K09H9.5,K09H9.5,WBGene00019597,"Public name for WBGene00019597. History: Split into K09H9.8(WBGene00045387). History of WBGene00019597: Split into ""WBGene00045387"" on 2007-04-27"
mce-1,D2030.5,mce-1,WBGene00008415,Public name for WBGene00008415. History: N.A.
fbxb-92,F12E12.9,fbxb-92,WBGene00044693,Public name for WBGene00044693. History: N.A.
C46A5.8,C46A5.8,C46A5.8,WBGene00016703,Sequence name for WBGene00016703(rdl-1). History: N.A.
bath-45,F29C12.5,bath-45,WBGene00009247,Public name for WBGene00009247. History: N.A.
AC8.4,AC8.4,AC8.4,WBGene00007076,Public name for WBGene00007076. History: N.A.
K08D12.6,K08D12.6,K08D12.6,WBGene00019540,Sequence name for WBGene00019540(epic-2). History: N.A.
Y39C12A.9,Y39C12A.9,Y39C12A.9,WBGene00012710,Public name for WBGene00012710. History: N.A.
W04C9.5,W04C9.5,W04C9.5,WBGene00021027,Public name for WBGene00021027. History: N.A.
Y7A5A.10,Y7A5A.10,Y7A5A.10,WBGene00044154,Public name for WBGene00044154. History: N.A.
Y82E9BL.5,Y82E9BL.5,Y82E9BL.5,WBGene00022322,Public name for WBGene00022322. History: N.A.
T11F8.5,T11F8.5,T11F8.5,WBGene00044499,Public name for WBGene00044499. History: N.A.
cdk-5,T27E9.3,cdk-5,WBGene00000407,Public name for WBGene00000407. History: N.A.
Y61A9LA.4,Y61A9LA.4,Y61A9LA.4,WBGene00022016,Public name for WBGene00022016. History: N.A.
Y51A2A.6,Y51A2A.6,Y51A2A.6,WBGene00013062,Public name for WBGene00013062. History: N.A.
F18G5.6,F18G5.6,F18G5.6,WBGene00017582,Public name for WBGene00017582. History: N.A.
T25D3.4,T25D3.4,T25D3.4,WBGene00020798,Public name for WBGene00020798. History: N.A.
eng-1,F01F1.10,eng-1,WBGene00017164,Public name for WBGene00017164. History: N.A.
F22B7.9,F22B7.9,F22B7.9,WBGene00017698,Public name for WBGene00017698. History: N.A.
W03F9.2,W03F9.2,W03F9.2,WBGene00021000,Public name for WBGene00021000. History: N.A.
his-64,F22B3.1,his-64,WBGene00001938,Public name for WBGene00001938. History: N.A.
lrx-1,T04H1.6,lrx-1,WBGene00003075,Public name for WBGene00003075. History: N.A.
K08E3.10,K08E3.10,K08E3.10,WBGene00023451,Sequence name for WBGene00023451(mlc-7). History: N.A.
F23D12.1,F23D12.1,F23D12.1,WBGene00009085,"Public name for WBGene00009085. History: Split into F23D12.11(WBGene00194674). History of WBGene00009085: Split into ""WBGene00194674"" on 2009-06-12"
grl-31,T24A6.19,grl-31,WBGene00020755,Public name for WBGene00020755. History: N.A.
T20F10.2,T20F10.2,T20F10.2,WBGene00011864,Public name for WBGene00011864. History: N.A.
nsy-4,Y38F2AL.1,nsy-4,WBGene00021415,Public name for WBGene00021415. History: N.A.
EGAP2.2,EGAP2.2,EGAP2.2,WBGene00017148,Public name for WBGene00017148. History: N.A.
F40G9.5,F40G9.5,F40G9.5,WBGene00018241,"Public name for WBGene00018241. History: Split into F40G9.15(WBGene00077531). History of WBGene00018241: Split into ""WBGene00077531"" on 2008-01-15"
cyn-10,B0252.4,cyn-10,WBGene00000886,Public name for WBGene00000886. History: N.A.
M6.4,M6.4,M6.4,WBGene00019776,Public name for WBGene00019776. History: N.A.
Y42G9A.1,Y42G9A.1,Y42G9A.1,WBGene00021531,Public name for WBGene00021531. History: N.A.
Y37D8A.5,Y37D8A.5,Y37D8A.5,WBGene00012547,Public name for WBGene00012547. History: N.A.
C46F11.6,C46F11.6,C46F11.6,WBGene00008121,Public name for WBGene00008121. History: N.A.
lin-25,F56H9.5,lin-25,WBGene00003011,Public name for WBGene00003011. History: Renamed on 2014-11-12
M01B2.10,M01B2.10,M01B2.10,WBGene00010803,Public name for WBGene00010803. History: N.A.
C35D10.8,C35D10.8,C35D10.8,WBGene00016445,Public name for WBGene00016445. History: N.A.
C52E2.8,C52E2.8,C52E2.8,,Sequence name for Suppressed gene WBGene00016887. Molecular name for Suppressed gene WBGene00016887. Public name for Suppressed gene WBGene00016887. History of WBGene00016887: Killed on 2012-07-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
R10F2.5,R10F2.5,R10F2.5,WBGene00019996,Public name for WBGene00019996. History: N.A.
aat-3,F52H2.2,aat-3,WBGene00000004,Public name for WBGene00000004. History: N.A.
H35N09.2,H35N09.2,H35N09.2,WBGene00019266,Public name for WBGene00019266. History: N.A.
F13H6.5,F13H6.5,F13H6.5,WBGene00017433,Public name for WBGene00017433. History: N.A.
F17A9.4,F17A9.4,F17A9.4,WBGene00017536,Public name for WBGene00017536. History: N.A.
