Gene Name,Gene Isoform,Alternate Name,Fold Change (adr-1;adr-2 vs WT),p-value,Input,Suggested Match,History
2RSSE.1,2RSSE.1,,1.62,0.016,2RSSE.1,WBGene00007064,Sequence name for WBGene00007064(rga-9). History: N.A.
3R5.1,3R5.1,,-1.39,0.043,3R5.1,WBGene00007065,Sequence name for WBGene00007065(pot-3). History: N.A.
3R5.2,3R5.2,,-1.45,0.043,3R5.2,WBGene00007066,Public name for WBGene00007066. History: N.A.
AC3.11,AC3.11,,-1.34,0.05,AC3.11,WBGene00077502,Public name for WBGene00077502. History: N.A.
AC3.8,AC3.8,ugt-2,1.47,0.043,AC3.8,WBGene00007073,Sequence name for WBGene00007073(ugt-2). History: N.A.
AC7.2,AC7.2a.1,soc-2,-1.53,0.018,AC7.2,WBGene00004929,Sequence name for WBGene00004929(soc-2). History: N.A.
AH10.4,AH10.4,,1.41,0.05,AH10.4,WBGene00007085,Public name for WBGene00007085. History: N.A.
AH6.13,AH6.13,sra-16,-1.35,0.049,AH6.13,WBGene00005042,Sequence name for WBGene00005042(sra-16). History: N.A.
AH6.9,AH6.9,sra-5,-1.36,0.045,AH6.9,WBGene00005031,Sequence name for WBGene00005031(sra-5). History: N.A.
B0034.3,B0034.3a,casy-1,-1.38,0.024,B0034.3,WBGene00000403,Sequence name for WBGene00000403(casy-1). History: Renamed on 2006-01-05
B0035.13,B0035.13,,1.76,0.015,B0035.13,WBGene00007112,Public name for WBGene00007112. History: N.A.
B0035.3,B0035.3,,1.42,0.016,B0035.3,WBGene00007106,Public name for WBGene00007106. History: N.A.
B0035.4,B0035.4.1,pfd-4,1.54,0.044,B0035.4,WBGene00007107,"Sequence name for WBGene00007107(pfd-4). History: Split into B0035.22(WBGene00303031). History of WBGene00007107: Renamed on 2006-08-02; Split into ""WBGene00303031"" on 2018-03-01"
B0041.7,B0041.7,xnp-1,4.35,8.6e-06,B0041.7,WBGene00006961,Sequence name for WBGene00006961(xnp-1). History: Renamed on 2004-09-10
B0047.1,B0047.1a,bath-20,1.63,0.031,B0047.1,WBGene00015012,Sequence name for WBGene00015012(bath-20). History: N.A.
B0047.3,B0047.3,bath-24,1.71,0.0035,B0047.3,WBGene00015014,Sequence name for WBGene00015014(bath-24). History: N.A.
B0047.4,B0047.4,math-1,1.5,0.029,B0047.4,WBGene00015015,Sequence name for WBGene00015015(math-1). History: N.A.
B0047.5,B0047.5,bath-14,1.72,0.0085,B0047.5,WBGene00015016,Sequence name for WBGene00015016(bath-14). History: N.A.
B0198.3,B0198.3,,-1.53,0.0085,B0198.3,WBGene00007116,Public name for WBGene00007116. History: N.A.
B0205.1,B0205.1a,,-1.57,0.036,B0205.1,WBGene00015017,Public name for WBGene00015017. History: N.A.
B0205.12,B0205.12,,1.84,0.041,B0205.12,WBGene00044413,Public name for WBGene00044413. History: N.A.
B0205.14,B0205.14,,2.55,0.021,B0205.14,WBGene00044646,Public name for WBGene00044646. History: N.A.
B0207.10,B0207.10,,1.84,0.028,B0207.10,WBGene00015033,Public name for WBGene00015033. History: N.A.
B0207.2,B0207.2,,-1.36,0.042,B0207.2,WBGene00015027,Public name for WBGene00015027. History: N.A.
B0207.5,B0207.5,,-4.63,0.0013,B0207.5,WBGene00015028,Public name for WBGene00015028. History: N.A.
