# Table S3. Genes with antisense small RNAs enriched by FLAG::CSR-1 IP. Related to Figure 5.
# 5574 genes with at least 10 small RNA reads per million and enriched at least two-fold in the FLAG::CSR-1 IP over the Input sample.
# FLAG::CSR-1 IP RPM = FLAG::CSR-1 IP RPM normalized to the total number of genome-matching reads
# Input RPM = Input RPM normalized to the total number of genome-matching reads
# IP Enrichment = Enrichment of small RNA reads in the FLAG::CSR-1 IP relative to the Input (FLAG::CSR-1 IP RPM)/(FLAG::CSR-1 RPM +Input RPM)
Cosmid ID,FLAG::CSR-1 IP RPM,Input RPM,Enrichment IP,ALG-3/4 Targets,Input,Suggested Match,History
AC3.10,51.9271390200016,19.4478368499358,0.727525836430761,Yes,AC3.10,WBGene00004964,"Sequence name for WBGene00004964(spe-10). History: N.A.. Public name for Dead gene WBGene00044023. History of WBGene00044023: Merged into ""WBGene00004964"" on 2005-12-22"
AC7.3,55.2423991887277,17.238346496707,0.762166540455845,Yes,AC7.3,WBGene00014997,Public name for WBGene00014997. History: N.A.
AH10.1,155.157481515163,14.876764086062,0.912507247975494,Yes,AH10.1,WBGene00007082,Sequence name for WBGene00007082(acs-10). History: N.A.
AH6.2,21.899724421581,6.52416749025624,0.770468888972265,Yes,AH6.2,WBGene00007080,Sequence name for WBGene00007080(sfxn-1.1). History: N.A.
AH6.3,58.8863847806373,21.9827044735385,0.728169258782602,Yes,AH6.3,WBGene00007081,Public name for WBGene00007081. History: N.A.
B0025.5,38.0375716630605,10.9913522367693,0.775819019417486,Yes,B0025.5,WBGene00194700,Public name for WBGene00194700. History: N.A.
B0034.4,21.9112022645692,6.5865003006727,0.768876094990685,Yes,B0034.4,WBGene00015004,Public name for WBGene00015004. History: N.A.
B0035.2,44.6598279535612,8.45648461316653,0.84079307834965,Yes,B0035.2,WBGene00001020,Sequence name for WBGene00001020(dnj-2). History: N.A.
B0205.3,116.583665027692,12.9236693596796,0.900208977191799,Yes,B0205.3,WBGene00004466,Sequence name for WBGene00004466(rpn-10). History: N.A.
B0205.7,69.4014662990329,9.4837293288298,0.879778084425767,Yes,B0205.7,WBGene00002191,Sequence name for WBGene00002191(kin-3). History: N.A.
B0207.11,31.257839366761,8.26242179673661,0.790932004154666,Yes,B0207.11,WBGene00015034,Public name for WBGene00015034. History: N.A.
B0207.7,44.4766415794687,4.50873995345734,0.907957439293869,Yes,B0207.7,WBGene00015030,Public name for WBGene00015030. History: N.A.
B0207.9,23.552533811889,8.80970387219314,0.727778284116419,Yes,B0207.9,WBGene00015032,Public name for WBGene00015032. History: N.A.
B0218.5,139.639437795049,22.9314098480771,0.858945129581807,Yes,B0218.5,WBGene00015049,Public name for WBGene00015049. History: N.A.
B0218.7,30.0489929432385,9.41225437288559,0.761481072874255,Yes,B0218.7,WBGene00015051,Public name for WBGene00015051. History: N.A.
