# Supplemental Table 3
# Normalized siRNA counts (reads per million) for 3'UTR of genes with significant gene expression differences between control and postdauer animals (Hall et al 2010). Dauer and L3 siRNA counts normalized to total siRNAs.
Gene,...2,PD1/CON1 ratio,PD2/CON2 ratio,CON1 rpm,CON2 rpm,PD1 rpm,PD2 rpm,Input,Suggested Match,History
far-3,,,0.0,0.0,0.0040846157956542,0.0,0.0,far-3,WBGene00001387,Public name for WBGene00001387. History: N.A.
T24B8.5,,,,0.0,0.0,0.0,0.0,T24B8.5,WBGene00011979,Sequence name for WBGene00011979(sysm-1). History: N.A.
W03F9.4,,,,0.0,0.0,0.0,0.0,W03F9.4,WBGene00021002,Public name for WBGene00021002. History: N.A.
cyp-13A12,,,,0.0,0.0,0.0,0.0,cyp-13A12,WBGene00008810,Public name for WBGene00008810. History: N.A.
lys-10,,1.51739951452399,0.268841497530971,0.0832174072272297,0.0939719944620015,0.126274053326543,0.0252635717171366,lys-10,WBGene00003099,Public name for WBGene00003099. History: N.A.
cyp-29A2,,,,0.0,0.0,0.0,0.0,cyp-29A2,WBGene00011830,Public name for WBGene00011830. History: N.A.
dod-23,,,,0.0,0.0,0.0,0.0678748756532278,dod-23,WBGene00009898,Public name for WBGene00009898. History: N.A.
T24C4.4,,,,0.0,0.0,0.0,0.0,T24C4.4,WBGene00020760,Public name for WBGene00020760. History: N.A.
K07C11.7,,,,0.0,0.0,0.0,0.135749751306456,K07C11.7,WBGene00019479,Public name for WBGene00019479. History: N.A.
ugt-37,,1.61654966358515,0.362856236585836,4.32730062076266,1.64610345785557,6.9952963627257,0.597298905748405,ugt-37,WBGene00017332,Public name for WBGene00017332. History: N.A.
Y41D4B.16,,,,0.0,0.0,0.0,0.0,Y41D4B.16,WBGene00021518,Sequence name for WBGene00021518(hpo-6). History: N.A.
fat-5,,,,0.0,0.0,0.0,0.0,fat-5,WBGene00001397,Public name for WBGene00001397. History: N.A.
lips-10,,1.22857774432472,,0.227752664250666,0.0,0.279811854509028,0.0,lips-10,WBGene00008803,Public name for WBGene00008803. History: N.A.
dod-19,,0.836267889481033,1.83786624948466,0.683257992751999,0.0084414717785692,0.571386719569761,0.0155142960778096,dod-19,WBGene00022644,Public name for WBGene00022644. History: N.A.
clec-41,,,,0.0,0.0,0.0,0.0,clec-41,WBGene00007153,Public name for WBGene00007153. History: N.A.
F08C6.2,,,,0.0,0.0,0.0,0.0,F08C6.2,WBGene00017241,Sequence name for WBGene00017241(pcyt-1). History: N.A.
clec-265,,,,0.0,0.0,0.279811854509028,0.0,clec-265,WBGene00019738,Public name for WBGene00019738. History: N.A.
Y54B9A.1,,1.22986760214926,0.770037154944081,0.662077450482016,0.314228234523652,0.814267606461415,0.241967415715694,Y54B9A.1,WBGene00021821,Public name for WBGene00021821. History: N.A.
hsp-17,,,,0.0,0.0,0.0,0.0,hsp-17,WBGene00002021,Public name for WBGene00002021. History: N.A.
ugt-44,,,,0.0,0.0,0.0,0.0904997437044695,ugt-44,WBGene00008486,Public name for WBGene00008486. History: N.A.
T19D12.4,,,0.0,0.0,0.0844154775257495,0.0,0.0,T19D12.4,WBGene00020579,Public name for WBGene00020579. History: N.A.
K08D8.6,,1.30496031742375,0.272864047324894,0.278963534065422,0.374043075741779,0.364036341963664,0.102062907520753,K08D8.6,WBGene00010660,Public name for WBGene00010660. History: N.A.
lys-2,,0.292094462683532,98.6315142792356,0.0652632091990212,0.0055053297031265,0.0190630220239911,0.542999005225822,lys-2,WBGene00003091,Public name for WBGene00003091. History: N.A.
tbb-6,,,,0.0,0.0,0.0,0.0,tbb-6,WBGene00006539,Public name for WBGene00006539. History: N.A.
vet-6,,0.0,19.9797639193207,0.0207047669543638,0.0061766866672457,0.0,0.123408741415186,vet-6,WBGene00006902,Public name for WBGene00006902. History: N.A.
F49C12.7,,,,0.0,0.0,0.0,0.0,F49C12.7,WBGene00009877,Public name for WBGene00009877. History: N.A.
scl-24,,,,0.0,0.0,0.0,0.0,scl-24,WBGene00008575,Public name for WBGene00008575. History: N.A.
his-48,,2.84489040335648,2.02583934509874,0.159134886059897,0.136179859848219,0.452721310191028,0.275878518090555,his-48,WBGene00001922,Public name for WBGene00001922. History: N.A.
cyp-13A10,,,,0.0,0.0,0.0,0.0,cyp-13A10,WBGene00014254,Public name for WBGene00014254. History: N.A.
F53C11.1,,,,0.0,0.0,0.0,0.0,F53C11.1,WBGene00009971,Public name for WBGene00009971. History: N.A.
F26A1.14,,1.53572218040589,2.57298058669956,0.911010657002666,0.633116714559836,1.39905927254514,1.62899701567747,F26A1.14,WBGene00017811,"Public name for Dead gene WBGene00017812. History of WBGene00017812: Merged into ""WBGene00017811"" on 2018-11-14"
