Ubiquitous genes,Input,Suggested Match,History
2L52.1,2L52.1,WBGene00007063,Public name for WBGene00007063. History: N.A.
B0001.1,B0001.1,WBGene00003010,"Sequence name for WBGene00003010(lin-24). History: N.A.. Public name for Dead gene WBGene00007086. History of WBGene00007086: Merged into ""WBGene00003010"" on 2007-02-05"
B0001.3,B0001.3,WBGene00007088,Public name for WBGene00007088. History: N.A.
B0001.4,B0001.4,WBGene00007089,Public name for WBGene00007089. History: N.A.
B0001.5,B0001.5,WBGene00007090,Public name for WBGene00007090. History: N.A.
B0001.6,B0001.6,WBGene00007091,Sequence name for WBGene00007091(eri-12). History: N.A.
B0001.8,B0001.8,WBGene00007093,Public name for WBGene00007093. History: N.A.
B0024.10,B0024.10,WBGene00007100,Sequence name for WBGene00007100(asps-1). History: N.A.
B0024.11,B0024.11,WBGene00007101,Public name for WBGene00007101. History: N.A.
B0024.9,B0024.9,WBGene00007099,Sequence name for WBGene00007099(trx-2). History: N.A.
B0025.1,B0025.1,WBGene00006932,Sequence name for WBGene00006932(vps-34). History: N.A.
B0025.2,B0025.2,WBGene00000814,Sequence name for WBGene00000814(csn-2). History: N.A.
B0025.4,B0025.4,WBGene00015001,Public name for WBGene00015001. History: N.A.
B0035.1,B0035.1,WBGene00007105,Sequence name for WBGene00007105(znf-207). History: N.A.
B0035.11,B0035.11,WBGene00007110,Sequence name for WBGene00007110(leo-1). History: N.A.
B0035.14,B0035.14,WBGene00001019,Sequence name for WBGene00001019(dnj-1). History: N.A.
B0035.2,B0035.2,WBGene00001020,Sequence name for WBGene00001020(dnj-2). History: N.A.
B0035.4,B0035.4,WBGene00007107,"Sequence name for WBGene00007107(pfd-4). History: Split into B0035.22(WBGene00303031). History of WBGene00007107: Renamed on 2006-08-02; Split into ""WBGene00303031"" on 2018-03-01"
B0041.2,B0041.2,WBGene00015007,Sequence name for WBGene00015007(ain-2). History: N.A.
B0041.4,B0041.4,WBGene00004415,Sequence name for WBGene00004415(rpl-4). History: N.A.
B0205.11,B0205.11,WBGene00015025,Sequence name for WBGene00015025(mrpl-9). History: N.A.
B0205.12,B0205.12,WBGene00044413,Public name for WBGene00044413. History: N.A.
B0205.3,B0205.3,WBGene00004466,Sequence name for WBGene00004466(rpn-10). History: N.A.
B0205.6,B0205.6,WBGene00015021,Sequence name for WBGene00015021(nfs-1). History: N.A.
B0205.7,B0205.7,WBGene00002191,Sequence name for WBGene00002191(kin-3). History: N.A.
B0205.8,B0205.8,WBGene00015022,Public name for WBGene00015022. History: N.A.
B0205.9,B0205.9,WBGene00015023,Public name for WBGene00015023. History: N.A.
B0213.5,B0213.5,WBGene00003768,Sequence name for WBGene00003768(nlp-30). History: N.A.
B0213.6,B0213.6,WBGene00003769,Sequence name for WBGene00003769(nlp-31). History: N.A.
B0228.7,B0228.7,WBGene00015064,Public name for WBGene00015064. History: N.A.
B0238.10,B0238.10,WBGene00015074,Sequence name for WBGene00015074(natc-2). History: N.A.
B0238.11,B0238.11,WBGene00015075,Public name for WBGene00015075. History: N.A.
B0250.1,B0250.1,WBGene00004413,Sequence name for WBGene00004413(rpl-2). History: N.A.
B0250.5,B0250.5,WBGene00007122,Public name for WBGene00007122. History: N.A.
B0252.4,B0252.4,WBGene00000886,Sequence name for WBGene00000886(cyn-10). History: N.A.
B0261.2,B0261.2,WBGene00002583,Sequence name for WBGene00002583(let-363). History: Renamed on 2014-09-04; Renamed on 2014-10-09; Renamed on 2015-01-08; Renamed on 2015-03-05; Renamed on 2015-03-10
B0261.4,B0261.4,WBGene00015092,Sequence name for WBGene00015092(mrpl-47). History: N.A.
B0273.4,B0273.4,WBGene00006745,Sequence name for WBGene00006745(unc-5). History: N.A.
B0280.1,B0280.1,WBGene00015099,Sequence name for WBGene00015099(ggtb-1). History: N.A.
B0280.8,B0280.8,WBGene00003609,Sequence name for WBGene00003609(nhr-10). History: N.A.
B0281.5,B0281.5,WBGene00015112,Public name for WBGene00015112. History: N.A.
B0285.3,B0285.3,WBGene00007136,Public name for WBGene00007136. History: N.A.
B0285.4,B0285.4,WBGene00007137,Sequence name for WBGene00007137(lcmt-1). History: N.A.
B0286.4,B0286.4,WBGene00003825,Sequence name for WBGene00003825(ntl-2). History: N.A.
B0302.1,B0302.1,WBGene00002207,Sequence name for WBGene00002207(sid-3). History: Renamed on 2012-11-07
B0303.15,B0303.15,WBGene00015133,Sequence name for WBGene00015133(mrpl-11). History: N.A.
B0303.7,B0303.7,WBGene00015128,Public name for WBGene00015128. History: N.A.
B0334.3,B0334.3,WBGene00007143,Sequence name for WBGene00007143(hacl-1). History: N.A.
B0334.4,B0334.4,WBGene00007144,Public name for WBGene00007144. History: N.A.
B0334.5,B0334.5,WBGene00007145,Public name for WBGene00007145. History: N.A.
B0336.1,B0336.1,WBGene00006943,Sequence name for WBGene00006943(wrm-1). History: N.A.
B0336.10,B0336.10,WBGene00004435,Sequence name for WBGene00004435(rpl-23). History: N.A.
B0336.2,B0336.2,WBGene00000182,Sequence name for WBGene00000182(arf-1). History: Renamed on 2020-09-10
B0336.3,B0336.3,WBGene00015143,Sequence name for WBGene00015143(rbm-26). History: N.A.
B0336.6,B0336.6,WBGene00015146,Sequence name for WBGene00015146(abi-1). History: N.A.
B0336.9,B0336.9,WBGene00006359,Sequence name for WBGene00006359(swp-1). History: N.A.
B0350.2,B0350.2,WBGene00006780,Sequence name for WBGene00006780(unc-44). History: N.A.
B0361.10,B0361.10,WBGene00015164,Sequence name for WBGene00015164(ykt-6). History: N.A.
B0361.3,B0361.3,WBGene00015157,Public name for WBGene00015157. History: N.A.
B0361.5,B0361.5,WBGene00015159,Sequence name for WBGene00015159(psd-1). History: N.A.
B0361.7,B0361.7,WBGene00015161,Sequence name for WBGene00015161(pho-5). History: N.A.
B0361.8,B0361.8,WBGene00015162,Sequence name for WBGene00015162(algn-11). History: N.A.
