Germline enriched,Input,Suggested Match,History
Y48G1C.7,Y48G1C.7,WBGene00021681,"Public name for Dead gene WBGene00021680. History of WBGene00021680: Merged into ""WBGene00021681"" on 2010-11-23"
R119.7,R119.7,WBGene00020091,Sequence name for WBGene00020091(rnp-8). History: N.A.
W04C9.2,W04C9.2,WBGene00021024,Public name for WBGene00021024. History: N.A.
Y65B4BL.2,Y65B4BL.2,WBGene00022034,Sequence name for WBGene00022034(deps-1). History: N.A.
Y65B4BR.5,Y65B4BR.5,WBGene00022042,Sequence name for WBGene00022042(icd-2). History: N.A.
Y65B4A.3,Y65B4A.3,WBGene00022027,Sequence name for WBGene00022027(vps-20). History: N.A.
Y34D9A.1,Y34D9A.1,WBGene00021327,Sequence name for WBGene00021327(mrpl-38). History: N.A.
Y48G8AL.8,Y48G8AL.8,WBGene00004429,Sequence name for WBGene00004429(rpl-17). History: N.A.
Y48G8AL.15,Y48G8AL.15,WBGene00021692,Public name for WBGene00021692. History: N.A.
Y92H12BR.8,Y92H12BR.8,WBGene00022373,Sequence name for WBGene00022373(mrpl-15). History: N.A.
Y73E7A.6,Y73E7A.6,WBGene00022273,Public name for WBGene00022273. History: N.A.
Y71G12B.14,Y71G12B.14,WBGene00003080,Sequence name for WBGene00003080(lsm-6). History: N.A.
Y71G12B.10,Y71G12B.10,WBGene00022150,Public name for WBGene00022150. History: N.A.
C53H9.1,C53H9.1,WBGene00004441,Sequence name for WBGene00004441(rpl-27). History: N.A.
Y51F10.2,Y51F10.2,WBGene00021763,Public name for WBGene00021763. History: N.A.
Y37E3.1,Y37E3.1,WBGene00021346,Public name for WBGene00021346. History: N.A.
Y37E3.4,Y37E3.4,WBGene00021348,Sequence name for WBGene00021348(moag-4). History: N.A.
Y37E3.9,Y37E3.9,WBGene00004014,Sequence name for WBGene00004014(phb-1). History: N.A.
Y37E3.15,Y37E3.15,WBGene00003799,Sequence name for WBGene00003799(npp-13). History: N.A.
Y37E3.17,Y37E3.17,WBGene00021355,Public name for WBGene00021355. History: N.A.
Y39G10AR.12,Y39G10AR.12,WBGene00021470,Sequence name for WBGene00021470(tpxl-1). History: N.A.
Y39G10AR.13,Y39G10AR.13,WBGene00002047,Sequence name for WBGene00002047(icp-1). History: N.A.
Y39G10AR.9,Y39G10AR.9,WBGene00021467,Public name for WBGene00021467. History: N.A.
Y39G10AR.8,Y39G10AR.8,WBGene00021466,Sequence name for WBGene00021466(eif-2gamma). History: N.A.
Y39G10AR.14,Y39G10AR.14,WBGene00003156,Sequence name for WBGene00003156(mcm-4). History: Renamed on 2015-03-03; Renamed on 2015-03-03
F23C8.5,F23C8.5,WBGene00017734,Public name for WBGene00017734. History: N.A.
Y23H5B.6,Y23H5B.6,WBGene00021277,Sequence name for WBGene00021277(ddx-10). History: N.A.
Y23H5A.3,Y23H5A.3,WBGene00021270,Sequence name for WBGene00021270(pid-3). History: Renamed on 2019-11-21
Y23H5A.2,Y23H5A.2,WBGene00021269,Public name for WBGene00021269. History: N.A.
Y71F9B.4,Y71F9B.4,WBGene00004920,Sequence name for WBGene00004920(snr-7). History: N.A.
Y71F9B.3,Y71F9B.3,WBGene00022127,Sequence name for WBGene00022127(yop-1). History: N.A.
Y71F9B.7,Y71F9B.7,WBGene00004043,Sequence name for WBGene00004043(plk-2). History: N.A.
Y71F9AL.13,Y71F9AL.13,WBGene00004412,Sequence name for WBGene00004412(rpl-1). History: Renamed on 2004-07-05
Y71F9AL.9,Y71F9AL.9,WBGene00022114,Public name for WBGene00022114. History: N.A.
