Germline specific,Input,Suggested Match,History
AH6.5,AH6.5,WBGene00003231,Sequence name for WBGene00003231(mex-6). History: N.A.
B0024.13,B0024.13,WBGene00007102,Public name for WBGene00007102. History: N.A.
B0024.2,B0024.2,WBGene00000723,Sequence name for WBGene00000723(col-150). History: N.A.
B0035.16,B0035.16,WBGene00007114,Sequence name for WBGene00007114(mttu-1). History: N.A.
B0047.2,B0047.2,WBGene00015013,Sequence name for WBGene00015013(btb-3). History: N.A.
B0207.2,B0207.2,WBGene00015027,Public name for WBGene00015027. History: N.A.
B0213.3,B0213.3,WBGene00003766,Sequence name for WBGene00003766(nlp-28). History: N.A.
B0238.9,B0238.9,WBGene00015073,Public name for WBGene00015073. History: N.A.
B0244.8,B0244.8,WBGene00015083,Sequence name for WBGene00015083(egg-1). History: N.A.
B0280.5,B0280.5,WBGene00015102,Sequence name for WBGene00015102(cpg-2). History: N.A.
B0285.1,B0285.1,WBGene00007135,Sequence name for WBGene00007135(cdk-12). History: N.A.
B0304.2,B0304.2,WBGene00015134,Public name for WBGene00015134. History: N.A.
B0379.7,B0379.7,WBGene00007159,Public name for WBGene00007159. History: N.A.
B0393.6,B0393.6,WBGene00007171,Public name for WBGene00007171. History: N.A.
B0414.5,B0414.5,WBGene00000772,Sequence name for WBGene00000772(cpb-3). History: N.A.
B0414.6,B0414.6,WBGene00001600,Sequence name for WBGene00001600(glh-3). History: N.A.
B0416.4,B0416.4,WBGene00015180,Public name for WBGene00015180. History: N.A.
B0464.4,B0464.4,WBGene00000268,Sequence name for WBGene00000268(bre-3). History: N.A.
B0511.6,B0511.6,WBGene00015232,Public name for WBGene00015232. History: N.A.
BE0003N10.1,BE0003N10.1,WBGene00015266,Public name for WBGene00015266. History: N.A.
C01B10.3,C01B10.3,WBGene00015278,Public name for WBGene00015278. History: N.A.
C01G8.1,C01G8.1,WBGene00015312,Public name for WBGene00015312. History: N.A.
C03D6.6,C03D6.6,WBGene00007278,Sequence name for WBGene00007278(lab-1). History: N.A.
C03G5.11,C03G5.11,WBGene00044339,Sequence name for WBGene00044339(nspc-4). History: N.A.
C04F12.9,C04F12.9,WBGene00007303,Sequence name for WBGene00007303(rnh-1.3). History: N.A.
C04G2.9,C04G2.9,WBGene00007308,Sequence name for WBGene00007308(nsph-3.2). History: N.A.
C04H5.7,C04H5.7,WBGene00007315,Public name for WBGene00007315. History: N.A.
C05C10.5,C05C10.5,WBGene00007332,Public name for WBGene00007332. History: N.A.
C05C10.7,C05C10.7,WBGene00007334,Public name for WBGene00007334. History: N.A.
C05D2.5,C05D2.5,WBGene00001514,Sequence name for WBGene00001514(xnd-1). History: Renamed on 2008-09-15
C06A5.6,C06A5.6,WBGene00015504,Sequence name for WBGene00015504(simr-1). History: N.A.
C06A5.8,C06A5.8,WBGene00015505,Public name for WBGene00015505. History: N.A.
C06G4.5,C06G4.5,WBGene00015559,Sequence name for WBGene00015559(npr-17). History: N.A.
C06H2.7,C06H2.7,WBGene00007391,Public name for WBGene00007391. History: N.A.
C07G2.1,C07G2.1,WBGene00000465,Sequence name for WBGene00000465(cpg-1). History: Renamed on 2006-06-16; Renamed on 2008-01-14
C08C3.2,C08C3.2,WBGene00015590,Sequence name for WBGene00015590(bath-15). History: N.A.
C08C3.4,C08C3.4,WBGene00015591,Sequence name for WBGene00015591(cyk-7). History: N.A.
C08F11.11,C08F11.11,WBGene00007458,Sequence name for WBGene00007458(ule-4). History: N.A.
C08F11.12,C08F11.12,WBGene00007459,Public name for WBGene00007459. History: N.A.
C09E7.6,C09E7.6,WBGene00015640,Public name for WBGene00015640. History: N.A.
C09G5.5,C09G5.5,WBGene00000656,Sequence name for WBGene00000656(col-80). History: N.A.
C09H10.2,C09H10.2,WBGene00004454,Sequence name for WBGene00004454(rpl-36.A). History: Renamed on 2015-10-02
C10F3.1,C10F3.1,WBGene00015677,Sequence name for WBGene00015677(cpg-4). History: N.A.
C10G8.4,C10G8.4,WBGene00015683,Public name for WBGene00015683. History: N.A.
C12C8.3,C12C8.3,WBGene00003026,Sequence name for WBGene00003026(lin-41). History: Renamed on 2005-08-24
C12D8.18,C12D8.18,WBGene00044174,Sequence name for WBGene00044174(fipr-5). History: N.A.
C14C11.2,C14C11.2,WBGene00015766,Public name for WBGene00015766. History: N.A.
C16A11.7,C16A11.7,WBGene00015820,Public name for WBGene00015820. History: N.A.
C16C8.13,C16C8.13,WBGene00015851,Public name for WBGene00015851. History: N.A.
C17C3.15,C17C3.15,WBGene00015896,Public name for WBGene00015896. History: N.A.
C17E7.12,C17E7.12,WBGene00015905,Public name for WBGene00015905. History: N.A.
C17E7.9,C17E7.9,WBGene00015903,Public name for WBGene00015903. History: N.A.
C17F4.8,C17F4.8,WBGene00015914,Public name for WBGene00015914. History: N.A.
C17G1.2,C17G1.2,WBGene00007649,Public name for WBGene00007649. History: N.A.
C18B2.1,C18B2.1,WBGene00015952,Public name for WBGene00015952. History: N.A.
C18E3.5,C18E3.5,WBGene00015974,Sequence name for WBGene00015974(snrp-40.2). History: N.A.
C18E3.6,C18E3.6,WBGene00015975,Sequence name for WBGene00015975(cas-2). History: N.A.
C18E3.8,C18E3.8,WBGene00001985,Sequence name for WBGene00001985(hop-1). History: N.A.
C18G1.4,C18G1.4,WBGene00003994,"Sequence name for WBGene00003994(pgl-3). History: Renamed on 2005-10-06. Public name for Dead gene WBGene00015983. History of WBGene00015983: Merged into ""WBGene00003994"" on 2005-09-06"
C18H2.2,C18H2.2,WBGene00015989,Public name for WBGene00015989. History: N.A.
C24D10.7,C24D10.7,WBGene00016058,Sequence name for WBGene00016058(nspd-3). History: N.A.
C24F3.2,C24F3.2,WBGene00007697,Public name for WBGene00007697. History: N.A.
C24G6.1,C24G6.1,WBGene00006376,Sequence name for WBGene00006376(syp-2). History: N.A.
C24H11.5,C24H11.5,WBGene00007702,Public name for WBGene00007702. History: N.A.
C25A11.2,C25A11.2,WBGene00016087,Public name for WBGene00016087. History: N.A.
C25A8.4,C25A8.4,WBGene00016084,Sequence name for WBGene00016084(cht-3). History: N.A.
C25G4.6,C25G4.6,WBGene00007733,Sequence name for WBGene00007733(smz-1). History: N.A.
C25H3.4,C25H3.4,WBGene00016113,Sequence name for WBGene00016113(eif-2D). History: N.A.
C27A7.6,C27A7.6,WBGene00007757,Public name for WBGene00007757. History: N.A.
C27C12.1,C27C12.1,WBGene00007771,Public name for WBGene00007771. History: N.A.
C27C12.3,C27C12.3,WBGene00007773,Public name for WBGene00007773. History: N.A.
C27C7.1,C27C7.1,WBGene00007766,Public name for WBGene00007766. History: N.A.
C27D9.1,C27D9.1,WBGene00016163,Public name for WBGene00016163. History: N.A.
C27H6.3,C27H6.3,WBGene00007785,Sequence name for WBGene00007785(tofu-1). History: N.A.
C28C12.2,C28C12.2,WBGene00016178,Sequence name for WBGene00016178(mesp-1). History: N.A.
C28H8.2,C28H8.2,WBGene00016193,Public name for WBGene00016193. History: N.A.
C29A12.1,C29A12.1,WBGene00007797,Public name for WBGene00007797. History: N.A.
C29H12.5,C29H12.5,WBGene00016236,Sequence name for WBGene00016236(heri-1). History: Renamed on 2018-06-11
C30B5.1,C30B5.1,WBGene00077732,"Sequence name for WBGene00077732(szy-4). History: Renamed on 2012-08-15. Public name for Dead gene WBGene00016243. History of WBGene00016243: Merged into ""WBGene00077732"" on 2012-08-15"
C30F12.4,C30F12.4,WBGene00016263,Public name for WBGene00016263. History: N.A.
C31H1.8,C31H1.8,WBGene00016291,Sequence name for WBGene00016291(oops-1). History: N.A.
C33C12.9,C33C12.9,WBGene00016341,Sequence name for WBGene00016341(mtq-2). History: N.A.
C33F10.9,C33F10.9,WBGene00003435,Sequence name for WBGene00003435(msp-40). History: N.A.
C35B1.1,C35B1.1,WBGene00006701,Sequence name for WBGene00006701(ubc-1). History: N.A.
C36B1.11,C36B1.11,WBGene00007978,Public name for WBGene00007978. History: N.A.
C36C9.1,C36C9.1,WBGene00016485,Sequence name for WBGene00016485(meg-4). History: N.A.
C36F7.2,C36F7.2,WBGene00007985,Sequence name for WBGene00007985(swah-1). History: N.A.
C37A2.6,C37A2.6,WBGene00016492,Public name for WBGene00016492. History: N.A.
C37A5.7,C37A5.7,WBGene00007991,Public name for WBGene00007991. History: N.A.
C37C3.3,C37C3.3,WBGene00016497,Sequence name for WBGene00016497(vps-32.2). History: Renamed on 2005-03-17
C38D4.1,C38D4.1,WBGene00008003,Sequence name for WBGene00008003(enu-3.2). History: N.A.
C38D4.4,C38D4.4,WBGene00008005,Sequence name for WBGene00008005(mip-1). History: Renamed on 2021-12-09
C39D10.7,C39D10.7,WBGene00016534,Public name for WBGene00016534. History: N.A.
C39E9.2,C39E9.2,WBGene00008027,Sequence name for WBGene00008027(scl-5). History: N.A.
C41D11.3,C41D11.3,WBGene00016562,Public name for WBGene00016562. History: N.A.
C42C1.8,C42C1.8,WBGene00016586,Public name for WBGene00016586. History: N.A.
C42D8.2,C42D8.2,WBGene00006926,Sequence name for WBGene00006926(vit-2). History: N.A.
C43H8.1,C43H8.1,WBGene00016621,Sequence name for WBGene00016621(arch-1). History: N.A.
C44B12.1,C44B12.1,WBGene00016636,Sequence name for WBGene00016636(perm-2). History: N.A.
C44B12.5,C44B12.5,WBGene00016638,Sequence name for WBGene00016638(perm-4). History: N.A.
C44B7.5,C44B7.5,WBGene00016627,Public name for WBGene00016627. History: N.A.
C45B2.1,C45B2.1,WBGene00016658,Public name for WBGene00016658. History: N.A.
C45G3.3,C45G3.3,WBGene00001590,"Sequence name for WBGene00001590(lipt-1). History: Split into gip-2(WBGene00044008). History of WBGene00001590: Split into ""WBGene00044008"" on 2004-11-29"
C45H4.14,C45H4.14,WBGene00016695,Public name for WBGene00016695. History: N.A.
C46A5.6,C46A5.6,WBGene00016702,Public name for WBGene00016702. History: N.A.
C47F8.4,C47F8.4,WBGene00008160,Sequence name for WBGene00008160(glct-4). History: N.A.
C49C3.10,C49C3.10,WBGene00008200,Public name for WBGene00008200. History: N.A.
C49F5.6,C49F5.6,WBGene00008210,Public name for WBGene00008210. History: N.A.
C49G7.3,C49G7.3,WBGene00016781,Sequence name for WBGene00016781(phat-7). History: N.A.
C50A2.2,C50A2.2,WBGene00016796,Sequence name for WBGene00016796(cec-2). History: N.A.
C50C3.1,C50C3.1,WBGene00016799,Public name for WBGene00016799. History: N.A.
C50E3.13,C50E3.13,WBGene00016824,Public name for WBGene00016824. History: N.A.
C50F4.4,C50F4.4,WBGene00008232,Public name for WBGene00008232. History: N.A.
C50F4.8,C50F4.8,WBGene00008233,Public name for WBGene00008233. History: N.A.
C52A10.3,C52A10.3,WBGene00016864,Public name for WBGene00016864. History: N.A.
C52B11.3,C52B11.3,WBGene00016872,Sequence name for WBGene00016872(dop-4). History: N.A.
C54C8.2,C54C8.2,WBGene00008290,Sequence name for WBGene00008290(bgnt-1.8). History: N.A.
C54G6.5,C54G6.5,WBGene00005002,Sequence name for WBGene00005002(spp-17). History: N.A.
C55B6.1,C55B6.1,WBGene00016939,Public name for WBGene00016939. History: N.A.
C55B7.1,C55B7.1,WBGene00001599,Sequence name for WBGene00001599(glh-2). History: N.A.
C55C3.1,C55C3.1,WBGene00016951,Public name for WBGene00016951. History: N.A.
C55C3.5,C55C3.5,WBGene00016955,"Sequence name for WBGene00016955(perm-5). History: Split into C55C3.73(WBGene00303049). History of WBGene00016955: Split into ""WBGene00303049"" on 2018-03-02"
C56A3.8,C56A3.8,WBGene00008346,Public name for WBGene00008346. History: N.A.
D1005.1,D1005.1,WBGene00016995,Sequence name for WBGene00016995(acly-1). History: N.A.
D1054.8,D1054.8,WBGene00008375,Public name for WBGene00008375. History: N.A.
D1069.4,D1069.4,WBGene00017038,Sequence name for WBGene00017038(dmsr-4). History: N.A.
D1081.9,D1081.9,WBGene00008387,Sequence name for WBGene00008387(zhp-2). History: N.A.
D1086.11,D1086.11,WBGene00044081,Public name for WBGene00044081. History: N.A.
D1086.4,D1086.4,WBGene00001864,"Sequence name for WBGene00001864(him-5). History: N.A.. Public name for Dead gene WBGene00008391. History of WBGene00008391: Merged into ""WBGene00001864"" on 2008-08-22"
D2096.11,D2096.11,WBGene00017078,Public name for WBGene00017078. History: N.A.
E02H4.6,E02H4.6,WBGene00008464,Public name for WBGene00008464. History: N.A.
E04F6.11,E04F6.11,WBGene00000530,Sequence name for WBGene00000530(clh-3). History: N.A.
EEED8.13,EEED8.13,WBGene00017141,Public name for WBGene00017141. History: N.A.
F01F1.3,F01F1.3,WBGene00017160,Public name for WBGene00017160. History: N.A.
F02E8.4,F02E8.4,WBGene00017177,Public name for WBGene00017177. History: N.A.
F07A5.1,F07A5.1,WBGene00002136,Sequence name for WBGene00002136(inx-14). History: N.A.
F08C6.1,F08C6.1,WBGene00000083,Sequence name for WBGene00000083(adt-2). History: Renamed on 2011-10-20
F08F3.2,F08F3.2,WBGene00017261,Sequence name for WBGene00017261(acl-6). History: N.A.
F08G5.1,F08G5.1,WBGene00008580,Sequence name for WBGene00008580(dsb-1). History: N.A.
F10C2.5,F10C2.5,WBGene00008646,Public name for WBGene00008646. History: N.A.
F10D7.2,F10D7.2,WBGene00017339,Sequence name for WBGene00017339(mfsd-10). History: N.A.
F10E9.7,F10E9.7,WBGene00017358,Public name for WBGene00017358. History: N.A.
F11A5.9,F11A5.9,WBGene00008677,Public name for WBGene00008677. History: N.A.
F11C7.5,F11C7.5,WBGene00003891,"Sequence name for WBGene00003891(osm-11). History: N.A.. Public name for Dead gene WBGene00017377. History of WBGene00017377: Merged into ""WBGene00003891"" on 2007-07-06"
F11E6.3,F11E6.3,WBGene00008707,Sequence name for WBGene00008707(epic-1). History: N.A.
F11G11.11,F11G11.11,WBGene00000609,Sequence name for WBGene00000609(col-20). History: N.A.
F11G11.8,F11G11.8,WBGene00017386,Sequence name for WBGene00017386(nspd-5). History: N.A.
F11H8.3,F11H8.3,WBGene00000597,Sequence name for WBGene00000597(col-8). History: N.A.
F13A2.4,F13A2.4,WBGene00017413,Public name for WBGene00017413. History: N.A.
F14D2.11,F14D2.11,WBGene00017459,Public name for WBGene00017459. History: N.A.
F14D2.15,F14D2.15,WBGene00023427,Public name for WBGene00023427. History: N.A.
F14D7.2,F14D7.2,WBGene00008789,Public name for WBGene00008789. History: N.A.
F14H12.7,F14H12.7,WBGene00017474,Public name for WBGene00017474. History: N.A.
F14H3.4,F14H3.4,WBGene00008823,Public name for WBGene00008823. History: N.A.
F14H3.5,F14H3.5,WBGene00008824,Public name for WBGene00008824. History: N.A.
F15A2.1,F15A2.1,WBGene00000757,Sequence name for WBGene00000757(col-184). History: N.A.
F15H10.3,F15H10.3,WBGene00000144,Sequence name for WBGene00000144(apc-10). History: N.A.
F17E9.5,F17E9.5,WBGene00017542,Public name for WBGene00017542. History: N.A.
F18A1.2,F18A1.2,WBGene00003012,Sequence name for WBGene00003012(lin-26). History: N.A.
F18C5.2,F18C5.2,WBGene00006944,Sequence name for WBGene00006944(wrn-1). History: N.A.
F19H6.4,F19H6.4,WBGene00008959,Public name for WBGene00008959. History: N.A.
F20C5.3,F20C5.3,WBGene00008968,Sequence name for WBGene00008968(elli-1). History: N.A.
F20H11.5,F20H11.5,WBGene00017648,Sequence name for WBGene00017648(ddo-3). History: N.A.
F21A3.5,F21A3.5,WBGene00008995,Sequence name for WBGene00008995(prde-1). History: N.A.
F21F8.4,F21F8.4,WBGene00017678,Sequence name for WBGene00017678(asp-12). History: N.A.
F21H12.5,F21H12.5,WBGene00001402,Sequence name for WBGene00001402(fbf-2). History: N.A.
F22B3.4,F22B3.4,WBGene00009035,Sequence name for WBGene00009035(gfat-2). History: N.A.
F22B3.5,F22B3.5,WBGene00009036,"Public name for WBGene00009036. History: Split into F22B3.10(WBGene00045122). History of WBGene00009036: Split into ""WBGene00045122"" on 2006-11-01"
F22E5.17,F22E5.17,WBGene00017712,Public name for WBGene00017712. History: N.A.
F22H10.4,F22H10.4,WBGene00017729,"Public name for Dead gene WBGene00017728. History of WBGene00017728: Merged into ""WBGene00017729"" on 2014-12-15"
F23B12.4,F23B12.4,WBGene00009081,Public name for WBGene00009081. History: N.A.
F23H12.9,F23H12.9,WBGene00009097,Sequence name for WBGene00009097(fipr-2). History: N.A.
F26B1.1,F26B1.1,WBGene00017815,"Public name for WBGene00017815. History: Split into F26B1.8(WBGene00194703). History of WBGene00017815: Split into ""WBGene00194703"" on 2009-07-23"
F26D10.10,F26D10.10,WBGene00001606,Sequence name for WBGene00001606(gln-5). History: N.A.
F26F12.1,F26F12.1,WBGene00000713,Sequence name for WBGene00000713(col-140). History: N.A.
F26G1.7,F26G1.7,WBGene00003424,Sequence name for WBGene00003424(msp-3). History: N.A.
F26G5.1,F26G5.1,WBGene00017843,Public name for WBGene00017843. History: N.A.
F28C6.2,F28C6.2,WBGene00009203,Sequence name for WBGene00009203(aptf-3). History: N.A.
F28F8.8,F28F8.8,WBGene00009225,Sequence name for WBGene00009225(fbxa-94). History: N.A.
F29G9.7,F29G9.7,WBGene00017933,Public name for WBGene00017933. History: N.A.
F31B9.3,F31B9.3,WBGene00009280,Public name for WBGene00009280. History: N.A.
F31F6.2,F31F6.2,WBGene00009301,Public name for WBGene00009301. History: N.A.
F32A11.2,F32A11.2,WBGene00001998,Sequence name for WBGene00001998(hpr-17). History: N.A.
F32B5.4,F32B5.4,WBGene00017978,Sequence name for WBGene00017978(msrp-1). History: N.A.
F32D1.1,F32D1.1,WBGene00017981,Sequence name for WBGene00017981(figl-1). History: N.A.
F32D1.7,F32D1.7,WBGene00017986,Public name for WBGene00017986. History: N.A.
F33E11.2,F33E11.2,WBGene00018010,Public name for WBGene00018010. History: N.A.
F35C11.5,F35C11.5,WBGene00009404,Public name for WBGene00009404. History: N.A.
F35G12.4,F35G12.4,WBGene00009441,Sequence name for WBGene00009441(wdr-48). History: N.A.
F36H12.2,F36H12.2,WBGene00018118,Public name for WBGene00018118. History: N.A.
F38A3.1,F38A3.1,WBGene00000657,Sequence name for WBGene00000657(col-81). History: N.A.
F38H12.3,F38H12.3,WBGene00018189,Sequence name for WBGene00018189(nhr-181). History: N.A.
F40G12.11,F40G12.11,WBGene00009606,Public name for WBGene00009606. History: N.A.
F41B4.2,F41B4.2,WBGene00018258,Public name for WBGene00018258. History: N.A.
F41F3.4,F41F3.4,WBGene00000712,Sequence name for WBGene00000712(col-139). History: N.A.
F42A8.3,F42A8.3,WBGene00009627,Sequence name for WBGene00009627(cup-15). History: N.A.
F42A9.7,F42A9.7,WBGene00018336,Public name for WBGene00018336. History: N.A.
F42G4.5,F42G4.5,WBGene00009642,Public name for WBGene00009642. History: N.A.
F42H10.9,F42H10.9,WBGene00195791,"Public name for WBGene00195791. History: N.A.. Other name for Dead gene WBGene00018372. History of WBGene00018372: Merged into ""WBGene00015418"" on 2008-11-03"
F43D9.2,F43D9.2,WBGene00004283,Sequence name for WBGene00004283(rab-33). History: N.A.
F43G6.3,F43G6.3,WBGene00009656,Public name for WBGene00009656. History: N.A.
F44E2.10,F44E2.10,WBGene00018423,Public name for WBGene00018423. History: N.A.
F44E7.9,F44E7.9,WBGene00018431,Public name for WBGene00018431. History: N.A.
F44G4.3,F44G4.3,WBGene00009713,Public name for WBGene00009713. History: N.A.
F45C12.12,F45C12.12,WBGene00018443,Sequence name for WBGene00018443(btb-7). History: N.A.
F45C12.2,F45C12.2,WBGene00018433,Sequence name for WBGene00018433(ceh-82). History: N.A.
F45D3.3,F45D3.3,WBGene00009723,Public name for WBGene00009723. History: N.A.
F45F2.11,F45F2.11,WBGene00018483,Public name for WBGene00018483. History: N.A.
F46F11.2,F46F11.2,WBGene00000473,Sequence name for WBGene00000473(cey-2). History: N.A.
F48E3.4,F48E3.4,WBGene00018605,Public name for WBGene00018605. History: N.A.
F49E12.4,F49E12.4,WBGene00006719,Sequence name for WBGene00006719(ubc-24). History: N.A.
F52C12.1,F52C12.1,WBGene00018678,Sequence name for WBGene00018678(tdpo-1). History: N.A.
F52C6.10,F52C6.10,WBGene00018667,Sequence name for WBGene00018667(bath-7). History: N.A.
F52D10.1,F52D10.1,WBGene00009929,Sequence name for WBGene00009929(abts-2). History: N.A.
F52E1.1,F52E1.1,WBGene00004078,Sequence name for WBGene00004078(pos-1). History: N.A.
F52E1.10,F52E1.10,WBGene00018698,Sequence name for WBGene00018698(vha-18). History: N.A.
F53F8.3,F53F8.3,WBGene00010000,Public name for WBGene00010000. History: N.A.
F53G2.6,F53G2.6,WBGene00006647,Sequence name for WBGene00006647(tsr-1). History: N.A.
F54C4.4,F54C4.4,WBGene00018795,Public name for WBGene00018795. History: N.A.
F54C9.8,F54C9.8,WBGene00004241,Sequence name for WBGene00004241(puf-5). History: N.A.
F54D10.7,F54D10.7,WBGene00018808,Public name for WBGene00018808. History: N.A.
F54F7.2,F54F7.2,WBGene00010064,Public name for WBGene00010064. History: N.A.
F55A12.1,F55A12.1,WBGene00018862,Sequence name for WBGene00018862(wago-2). History: N.A.
F55B11.2,F55B11.2,WBGene00010084,Public name for WBGene00010084. History: N.A.
F55B11.3,F55B11.3,WBGene00010085,Public name for WBGene00010085. History: N.A.
F55G1.6,F55G1.6,WBGene00018902,Public name for WBGene00018902. History: N.A.
F55G1.8,F55G1.8,WBGene00004044,Sequence name for WBGene00004044(plk-3). History: N.A.
F56B3.1,F56B3.1,WBGene00000677,Sequence name for WBGene00000677(col-103). History: N.A.
F56C9.3,F56C9.3,WBGene00018948,Public name for WBGene00018948. History: N.A.
F56C9.6,F56C9.6,WBGene00018950,Public name for WBGene00018950. History: N.A.
