Serpentine genes,Input,Suggested Match,History
AC3.1,AC3.1,WBGene00005532,Sequence name for WBGene00005532(sri-20). History: N.A.
AH6.10,AH6.10,WBGene00005032,Sequence name for WBGene00005032(sra-6). History: N.A.
AH6.11,AH6.11,WBGene00005033,Sequence name for WBGene00005033(sra-7). History: N.A.
AH6.12,AH6.12,WBGene00005034,Sequence name for WBGene00005034(sra-8). History: N.A.
AH6.14,AH6.14,WBGene00005035,Sequence name for WBGene00005035(sra-9). History: N.A.
AH6.4,AH6.4,WBGene00005027,Sequence name for WBGene00005027(sra-1). History: N.A.
AH6.7,AH6.7,WBGene00005029,Sequence name for WBGene00005029(sra-3). History: N.A.
AH6.8,AH6.8,WBGene00005030,Sequence name for WBGene00005030(sra-4). History: N.A.
B0205.2,B0205.2,WBGene00015018,Sequence name for WBGene00015018(srz-85). History: N.A.
B0212.2,B0212.2,WBGene00015036,Sequence name for WBGene00015036(sre-5). History: N.A.
B0238.3,B0238.3,WBGene00015068,Sequence name for WBGene00015068(srt-68). History: N.A.
B0238.5,B0238.5,WBGene00015069,Sequence name for WBGene00015069(srt-67). History: N.A.
B0238.6,B0238.6,WBGene00015070,Sequence name for WBGene00015070(srt-70). History: N.A.
B0238.8,B0238.8,WBGene00015072,Sequence name for WBGene00015072(srt-69). History: N.A.
B0250.10,B0250.10,WBGene00007127,Sequence name for WBGene00007127(srbc-78). History: N.A.
B0304.5,B0304.5,WBGene00005058,Sequence name for WBGene00005058(sra-32). History: N.A.
B0304.6,B0304.6,WBGene00005059,Sequence name for WBGene00005059(sra-33). History: N.A.
B0304.7,B0304.7,WBGene00005060,Sequence name for WBGene00005060(sra-34). History: N.A.
B0304.8,B0304.8,WBGene00005061,Sequence name for WBGene00005061(sra-35). History: N.A.
B0304.9,B0304.9,WBGene00005062,Sequence name for WBGene00005062(sra-36). History: N.A.
B0334.7,B0334.7,WBGene00005267,Sequence name for WBGene00005267(srh-44). History: N.A.
B0414.1,B0414.1,WBGene00015175,Sequence name for WBGene00015175(srz-4). History: N.A.
B0454.10,B0454.10,WBGene00005542,Sequence name for WBGene00005542(sri-30). History: N.A.
B0454.2,B0454.2,WBGene00005543,Sequence name for WBGene00005543(sri-31). History: N.A.
B0454.3,B0454.3,WBGene00005540,Sequence name for WBGene00005540(sri-28). History: N.A.
B0454.4,B0454.4,WBGene00005541,Sequence name for WBGene00005541(sri-29). History: N.A.
C01G10.2,C01G10.2,WBGene00005970,Sequence name for WBGene00005970(srx-79). History: N.A.
C01G10.3,C01G10.3,WBGene00005969,Sequence name for WBGene00005969(srx-78). History: N.A.
C02A12.2,C02A12.2,WBGene00015315,Sequence name for WBGene00015315(srbc-29). History: N.A.
C02A12.5,C02A12.5,WBGene00015317,Sequence name for WBGene00015317(srbc-32). History: N.A.
C02A12.6,C02A12.6,WBGene00015318,Sequence name for WBGene00015318(srbc-36). History: N.A.
C02E7.2,C02E7.2,WBGene00005246,Sequence name for WBGene00005246(srh-21). History: N.A.
C02E7.3,C02E7.3,WBGene00005245,Sequence name for WBGene00005245(srh-20). History: N.A.
C02E7.4,C02E7.4,WBGene00005247,Sequence name for WBGene00005247(srh-22). History: N.A.
C03A7.10,C03A7.10,WBGene00015368,Sequence name for WBGene00015368(srt-65). History: N.A.
C03A7.5,C03A7.5,WBGene00005929,Sequence name for WBGene00005929(srx-38). History: N.A.
C03A7.6,C03A7.6,WBGene00005930,Sequence name for WBGene00005930(srx-39). History: N.A.
C03A7.9,C03A7.9,WBGene00015367,Sequence name for WBGene00015367(srt-64). History: N.A.
C03G6.16,C03G6.16,WBGene00015401,Sequence name for WBGene00015401(srsx-24). History: N.A.
C03G6.3,C03G6.3,WBGene00005602,Sequence name for WBGene00005602(srj-14). History: N.A.
C04C3.1,C04C3.1,WBGene00015411,Sequence name for WBGene00015411(srz-60). History: N.A.
C04E12.8,C04E12.8,WBGene00006012,Sequence name for WBGene00006012(srx-121). History: N.A.
C04E12.9,C04E12.9,WBGene00015438,Sequence name for WBGene00015438(srbc-2). History: N.A.
C04E6.10,C04E6.10,WBGene00005093,Sequence name for WBGene00005093(srd-15). History: N.A.
C04E6.2,C04E6.2,WBGene00015419,Sequence name for WBGene00015419(srsx-18). History: N.A.
C04E6.9,C04E6.9,WBGene00005094,Sequence name for WBGene00005094(srd-16). History: N.A.
C04F2.1,C04F2.1,WBGene00005300,Sequence name for WBGene00005300(srh-79). History: N.A.
C04F2.4,C04F2.4,WBGene00005437,Sequence name for WBGene00005437(srh-229). History: N.A.
C04F5.4,C04F5.4,WBGene00015446,Sequence name for WBGene00015446(srab-1). History: N.A.
C04F5.5,C04F5.5,WBGene00015447,Sequence name for WBGene00015447(srab-2). History: N.A.
C04F5.6,C04F5.6,WBGene00015448,Sequence name for WBGene00015448(srab-3). History: N.A.
C05E4.11,C05E4.11,WBGene00005612,Sequence name for WBGene00005612(srj-24). History: N.A.
C05E4.14,C05E4.14,WBGene00005228,Sequence name for WBGene00005228(srh-2). History: N.A.
C05E4.4,C05E4.4,WBGene00005516,Sequence name for WBGene00005516(sri-4). History: N.A.
C06A8.7,C06A8.7,WBGene00005262,Sequence name for WBGene00005262(srh-39). History: N.A.
C06B8.6,C06B8.6,WBGene00005429,Sequence name for WBGene00005429(srh-219). History: N.A.
C06C3.6,C06C3.6,WBGene00005271,Sequence name for WBGene00005271(srh-48). History: N.A.
C06E7.7,C06E7.7,WBGene00005728,Sequence name for WBGene00005728(srv-17). History: N.A.
C06G8.4,C06G8.4,WBGene00005085,Sequence name for WBGene00005085(srd-7). History: N.A.
C07D10.3,C07D10.3,WBGene00015568,Sequence name for WBGene00015568(sre-3). History: N.A.
C08B6.12,C08B6.12,WBGene00007432,Sequence name for WBGene00007432(srxa-18). History: N.A.
