spermatogenesis genes,Input,Suggested Match,History
AH10.1,AH10.1,WBGene00007082,Sequence name for WBGene00007082(acs-10). History: N.A.
AH6.2,AH6.2,WBGene00007080,Sequence name for WBGene00007080(sfxn-1.1). History: N.A.
AH6.3,AH6.3,WBGene00007081,Public name for WBGene00007081. History: N.A.
B0001.1,B0001.1,WBGene00003010,"Sequence name for WBGene00003010(lin-24). History: N.A.. Public name for Dead gene WBGene00007086. History of WBGene00007086: Merged into ""WBGene00003010"" on 2007-02-05"
B0041.1,B0041.1,WBGene00015006,Public name for WBGene00015006. History: N.A.
B0207.1,B0207.1,WBGene00015026,Public name for WBGene00015026. History: N.A.
B0218.7,B0218.7,WBGene00015051,Public name for WBGene00015051. History: N.A.
B0252.5,B0252.5,WBGene00015089,"Public name for WBGene00015089. History: Split into B0252.11(WBGene00305086). History of WBGene00015089: Split into ""WBGene00305086"" on 2019-10-21"
B0261.6,B0261.6,WBGene00015094,Public name for WBGene00015094. History: N.A.
B0273.1,B0273.1,WBGene00015097,Public name for WBGene00015097. History: N.A.
B0280.11,B0280.11,WBGene00015106,"Public name for WBGene00015106. History: Split into B0280.17(WBGene00044674). History of WBGene00015106: Split into ""WBGene00044674"" on 2005-11-18"
B0379.2,B0379.2,WBGene00007156,Public name for WBGene00007156. History: N.A.
B0379.7,B0379.7,WBGene00007159,Public name for WBGene00007159. History: N.A.
B0393.4,B0393.4,WBGene00007169,Public name for WBGene00007169. History: N.A.
B0432.11,B0432.11,WBGene00015192,Public name for WBGene00015192. History: N.A.
B0432.12,B0432.12,WBGene00015193,Sequence name for WBGene00015193(clec-117). History: N.A.
B0491.3,B0491.3,WBGene00007190,Sequence name for WBGene00007190(rmd-3). History: N.A.
B0496.6,B0496.6,WBGene00015215,Public name for WBGene00015215. History: N.A.
B0511.3,B0511.3,WBGene00015229,Sequence name for WBGene00015229(fbxa-125). History: N.A.
B0511.4,B0511.4,WBGene00015230,Sequence name for WBGene00015230(tag-344). History: N.A.
B0513.6,B0513.6,WBGene00007198,Public name for WBGene00007198. History: N.A.
B0523.1,B0523.1,WBGene00002212,Sequence name for WBGene00002212(kin-31). History: N.A.
BE10.1,BE10.1,WBGene00007209,Public name for WBGene00007209. History: N.A.
C01F6.2,C01F6.2,WBGene00007222,Public name for WBGene00007222. History: N.A.
C01G10.1,C01G10.1,WBGene00007230,Public name for WBGene00007230. History: N.A.
C01G10.14,C01G10.14,WBGene00007239,"Public name for WBGene00007239. History: Split into C01G10.19(WBGene00077584). History of WBGene00007239: Split into ""WBGene00077584"" on 2008-02-06"
C01G12.3,C01G12.3,WBGene00007244,Public name for WBGene00007244. History: N.A.
C01G12.8,C01G12.8,WBGene00007248,Sequence name for WBGene00007248(catp-4). History: N.A.
C01G5.3,C01G5.3,WBGene00015305,Public name for WBGene00015305. History: N.A.
C01G6.2,C01G6.2,WBGene00007224,Public name for WBGene00007224. History: N.A.
C02B10.6,C02B10.6,WBGene00015331,Public name for WBGene00015331. History: N.A.
C02F5.2,C02F5.2,WBGene00015345,Public name for WBGene00015345. History: N.A.
C02F5.5,C02F5.5,WBGene00015348,Public name for WBGene00015348. History: N.A.
C03B8.1,C03B8.1,WBGene00015386,"Public name for Dead gene WBGene00015384. History of WBGene00015384: Merged into ""WBGene00015386"" on 2010-06-24"
C03C11.1,C03C11.1,WBGene00007274,Public name for WBGene00007274. History: N.A.
C04E6.5,C04E6.5,WBGene00015422,Public name for WBGene00015422. History: N.A.
C04F12.7,C04F12.7,WBGene00007301,Public name for WBGene00007301. History: N.A.
C04G2.2,C04G2.2,WBGene00007305,Sequence name for WBGene00007305(ttbk-5). History: N.A.
C04G2.4,C04G2.4,WBGene00003432,Sequence name for WBGene00003432(msp-36). History: N.A.
C04G2.5,C04G2.5,WBGene00007306,Public name for WBGene00007306. History: N.A.
C04G2.9,C04G2.9,WBGene00007308,Sequence name for WBGene00007308(nsph-3.2). History: N.A.
C05B5.1,C05B5.1,WBGene00007319,Public name for WBGene00007319. History: N.A.
C05B5.2,C05B5.2,WBGene00007320,"Public name for WBGene00007320. History: Split into C05B5.17(WBGene00219314). History of WBGene00007320: Split into ""WBGene00219314"" on 2011-11-21"
C05C12.1,C05C12.1,WBGene00007335,Public name for WBGene00007335. History: N.A.
C05C12.5,C05C12.5,WBGene00007337,Public name for WBGene00007337. History: N.A.
C05D2.3,C05D2.3,WBGene00015467,Sequence name for WBGene00015467(basl-1). History: N.A.
C06A1.3,C06A1.3,WBGene00007354,Public name for WBGene00007354. History: N.A.
C06A5.2,C06A5.2,WBGene00015500,Public name for WBGene00015500. History: N.A.
C06A8.6,C06A8.6,WBGene00015516,Public name for WBGene00015516. History: N.A.
C07A9.5,C07A9.5,WBGene00007401,Public name for WBGene00007401. History: N.A.
C07E3.4,C07E3.4,WBGene00007415,"Public name for WBGene00007415. History: Split into emc-5(WBGene00195248). History of WBGene00007415: Split into ""WBGene00195248"" on 2010-08-24"
C07G1.6,C07G1.6,WBGene00015572,Public name for WBGene00015572. History: N.A.
C08F11.10,C08F11.10,WBGene00007457,Public name for WBGene00007457. History: N.A.
C08F8.4,C08F8.4,WBGene00007446,Sequence name for WBGene00007446(mboa-4). History: N.A.
C08F8.6,C08F8.6,WBGene00007448,Public name for WBGene00007448. History: N.A.
C09B9.2,C09B9.2,WBGene00015627,Public name for WBGene00015627. History: N.A.
C09B9.3,C09B9.3,WBGene00015628,"Sequence name for WBGene00015628(best-6). History: Split into C09B9.85(WBGene00220250). History of WBGene00015628: Split into ""WBGene00220250"" on 2012-08-17"
C09B9.4,C09B9.4,WBGene00015629,Public name for WBGene00015629. History: N.A.
C09B9.6,C09B9.6,WBGene00003448,Sequence name for WBGene00003448(msp-55). History: N.A.
C09B9.7,C09B9.7,WBGene00015630,Public name for WBGene00015630. History: N.A.
C09D4.3,C09D4.3,WBGene00015634,Public name for WBGene00015634. History: N.A.
C09F9.1,C09F9.1,WBGene00007478,Public name for WBGene00007478. History: N.A.
C09G5.7,C09G5.7,WBGene00007489,Public name for WBGene00007489. History: N.A.
C09G9.4,C09G9.4,WBGene00006409,Sequence name for WBGene00006409(hdl-2). History: N.A.
