1.5-fold down-regulated genes by tiling array in csr-1(tm892)vs. WT,Input,Suggested Match,History
2L52.1,2L52.1,WBGene00007063,Public name for WBGene00007063. History: N.A.
2RSSE.2,2RSSE.2,WBGene00007064,"Public name for Dead gene WBGene00044165. History of WBGene00044165: Merged into ""WBGene00007064"" on 2013-09-12"
3R5.1,3R5.1,WBGene00007065,Sequence name for WBGene00007065(pot-3). History: N.A.
AC3.8,AC3.8,WBGene00007073,Sequence name for WBGene00007073(ugt-2). History: N.A.
AH6.5,AH6.5,WBGene00003231,Sequence name for WBGene00003231(mex-6). History: N.A.
AH9.1,AH9.1,WBGene00014998,Public name for WBGene00014998. History: N.A.
AH9.2,AH9.2,WBGene00000797,Sequence name for WBGene00000797(crn-4). History: N.A.
B0001.1,B0001.1,WBGene00003010,"Sequence name for WBGene00003010(lin-24). History: N.A.. Public name for Dead gene WBGene00007086. History of WBGene00007086: Merged into ""WBGene00003010"" on 2007-02-05"
B0019.2,B0019.2,WBGene00007094,Public name for WBGene00007094. History: N.A.
B0024.6,B0024.6,WBGene00001533,Sequence name for WBGene00001533(gcy-6). History: N.A.
B0035.7,B0035.7,WBGene00001921,Sequence name for WBGene00001921(his-47). History: N.A.
B0041.8,B0041.8,WBGene00015011,Public name for WBGene00015011. History: N.A.
B0047.1,B0047.1,WBGene00015012,Sequence name for WBGene00015012(bath-20). History: N.A.
B0198.3,B0198.3,WBGene00007116,Public name for WBGene00007116. History: N.A.
B0213.12,B0213.12,WBGene00015042,Sequence name for WBGene00015042(cyp-34A7). History: N.A.
B0222.4,B0222.4,WBGene00006418,Sequence name for WBGene00006418(spl-2). History: Renamed on 2018-06-11
B0228.8,B0228.8,WBGene00015065,Public name for WBGene00015065. History: N.A.
B0244.7,B0244.7,WBGene00015082,Public name for WBGene00015082. History: N.A.
B0244.8,B0244.8,WBGene00015083,Sequence name for WBGene00015083(egg-1). History: N.A.
B0250.4,B0250.4,WBGene00007121,Public name for WBGene00007121. History: N.A.
B0261.4,B0261.4,WBGene00015092,Sequence name for WBGene00015092(mrpl-47). History: N.A.
B0272.2,B0272.2,WBGene00007128,Sequence name for WBGene00007128(memb-1). History: Renamed on 2010-03-26
B0280.1,B0280.1,WBGene00015099,Sequence name for WBGene00015099(ggtb-1). History: N.A.
B0280.5,B0280.5,WBGene00015102,Sequence name for WBGene00015102(cpg-2). History: N.A.
B0284.1,B0284.1,WBGene00007131,Sequence name for WBGene00007131(pals-26). History: N.A.
B0285.1,B0285.1,WBGene00007135,Sequence name for WBGene00007135(cdk-12). History: N.A.
B0303.8,B0303.8,WBGene00015129,Sequence name for WBGene00015129(sdz-1). History: N.A.
B0304.2,B0304.2,WBGene00015134,Public name for WBGene00015134. History: N.A.
B0334.4,B0334.4,WBGene00007144,Public name for WBGene00007144. History: N.A.
B0334.6,B0334.6,WBGene00007146,Public name for WBGene00007146. History: N.A.
B0336.13,B0336.13,WBGene00015150,Public name for WBGene00015150. History: N.A.
B0336.6,B0336.6,WBGene00015146,Sequence name for WBGene00015146(abi-1). History: N.A.
B0336.8,B0336.8,WBGene00002982,Sequence name for WBGene00002982(lgg-3). History: Renamed on 2007-03-15
B0365.1,B0365.1,WBGene00007150,Sequence name for WBGene00007150(acly-2). History: N.A.
B0365.7,B0365.7,WBGene00007154,Sequence name for WBGene00007154(dhc-3). History: N.A.
B0391.10,B0391.10,WBGene00007165,Public name for WBGene00007165. History: N.A.
B0393.2,B0393.2,WBGene00007167,Sequence name for WBGene00007167(rbg-3). History: Renamed on 2008-06-23
B0393.3,B0393.3,WBGene00007168,Public name for WBGene00007168. History: N.A.
B0393.6,B0393.6,WBGene00007171,Public name for WBGene00007171. History: N.A.
B0410.2,B0410.2,WBGene00015171,Sequence name for WBGene00015171(vang-1). History: Renamed on 2016-08-02
B0414.1,B0414.1,WBGene00015175,Sequence name for WBGene00015175(srz-4). History: N.A.
B0416.4,B0416.4,WBGene00015180,Public name for WBGene00015180. History: N.A.
B0464.8,B0464.8,WBGene00007187,Sequence name for WBGene00007187(tag-342). History: N.A.
B0464.9,B0464.9,WBGene00007188,Public name for WBGene00007188. History: N.A.
B0496.8,B0496.8,WBGene00015217,Sequence name for WBGene00015217(tes-1). History: Renamed on 2010-11-23
B0507.11,B0507.11,WBGene00006006,Sequence name for WBGene00006006(srx-115). History: N.A.
B0511.9,B0511.9,WBGene00015235,Sequence name for WBGene00015235(cdc-26). History: Renamed on 2007-02-16; Renamed on 2007-03-06
B0513.1,B0513.1,WBGene00001562,Sequence name for WBGene00001562(lin-66). History: N.A.
B0513.4,B0513.4,WBGene00007196,Public name for WBGene00007196. History: N.A.
BE0003N10.3,BE0003N10.3,WBGene00015268,"Public name for WBGene00015268. History: Split into BE0003N10.6(WBGene00255598). History of WBGene00015268: Split into ""WBGene00255598"" on 2014-10-09"
BE10.3,BE10.3,WBGene00007211,Public name for WBGene00007211. History: N.A.
C01A2.1,C01A2.1,WBGene00007213,Public name for WBGene00007213. History: N.A.
C01A2.4,C01A2.4,WBGene00007216,Public name for WBGene00007216. History: N.A.
C01B10.4,C01B10.4,WBGene00015279,Sequence name for WBGene00015279(cest-5.1). History: N.A.
C01F6.4,C01F6.4,WBGene00001413,Sequence name for WBGene00001413(fem-3). History: N.A.
C01F6.5,C01F6.5,WBGene00000120,Sequence name for WBGene00000120(aly-1). History: Renamed on 2005-04-27
C01F6.8,C01F6.8,WBGene00002046,Sequence name for WBGene00002046(icln-1). History: Renamed on 2010-11-16
C01G10.7,C01G10.7,WBGene00007234,Public name for WBGene00007234. History: N.A.
C01G12.7,C01G12.7,WBGene00007247,Public name for WBGene00007247. History: N.A.
C01G5.5,C01G5.5,WBGene00015307,Public name for WBGene00015307. History: N.A.
C01G5.6,C01G5.6,WBGene00015308,Sequence name for WBGene00015308(ddi-1). History: N.A.
C01G6.3,C01G6.3,WBGene00007225,Public name for WBGene00007225. History: N.A.
C01G6.8,C01G6.8,WBGene00000289,Sequence name for WBGene00000289(cam-1). History: N.A.
C01G8.1,C01G8.1,WBGene00015312,Public name for WBGene00015312. History: N.A.
C01H6.2,C01H6.2,WBGene00007252,Sequence name for WBGene00007252(mlt-2). History: N.A.
C01H6.7,C01H6.7,WBGene00007256,Sequence name for WBGene00007256(swsn-9). History: Renamed on 2012-08-29
C02C6.1,C02C6.1,WBGene00001130,Sequence name for WBGene00001130(dyn-1). History: N.A.
C02D4.2,C02D4.2,WBGene00004777,Sequence name for WBGene00004777(ser-2). History: N.A.
C02F12.4,C02F12.4,WBGene00006431,Sequence name for WBGene00006431(tag-52). History: N.A.
C02F12.8,C02F12.8,WBGene00015357,Public name for WBGene00015357. History: N.A.
C02F5.12,C02F5.12,WBGene00015352,Public name for WBGene00015352. History: N.A.
C02F5.13,C02F5.13,WBGene00015353,Public name for WBGene00015353. History: N.A.
C02F5.4,C02F5.4,WBGene00015347,Sequence name for WBGene00015347(cids-1). History: N.A.
C03B1.7,C03B1.7,WBGene00015378,Public name for WBGene00015378. History: N.A.
C03C10.3,C03C10.3,WBGene00004392,Sequence name for WBGene00004392(rnr-2). History: N.A.
C03E10.5,C03E10.5,WBGene00007282,Sequence name for WBGene00007282(clec-223). History: N.A.
C03E10.6,C03E10.6,WBGene00007283,Sequence name for WBGene00007283(clec-222). History: N.A.
C03G6.10,C03G6.10,WBGene00015396,Sequence name for WBGene00015396(nhr-148). History: N.A.
C03G6.15,C03G6.15,WBGene00015400,Sequence name for WBGene00015400(cyp-35A2). History: N.A.
C04A11.3,C04A11.3,WBGene00007287,Sequence name for WBGene00007287(gck-4). History: Renamed on 2006-04-27
C04A11.4,C04A11.4,WBGene00000074,Sequence name for WBGene00000074(adm-2). History: N.A.
C04B4.2,C04B4.2,WBGene00007290,Public name for WBGene00007290. History: N.A.
C04E7.2,C04E7.2,WBGene00015429,Sequence name for WBGene00015429(sor-3). History: N.A.
C04F12.4,C04F12.4,WBGene00004426,Sequence name for WBGene00004426(rpl-14). History: N.A.
C04F5.1,C04F5.1,WBGene00004795,Sequence name for WBGene00004795(sid-1). History: Renamed on 2013-10-16
C04F6.3,C04F6.3,WBGene00000503,Sequence name for WBGene00000503(cht-1). History: N.A.
C05B10.1,C05B10.1,WBGene00003043,Sequence name for WBGene00003043(lip-1). History: N.A.
C05B5.7,C05B5.7,WBGene00004344,Sequence name for WBGene00004344(rgs-1). History: N.A.
C05C10.5,C05C10.5,WBGene00007332,Public name for WBGene00007332. History: N.A.
C05C8.2,C05C8.2,WBGene00015461,Sequence name for WBGene00015461(krr-1). History: N.A.
C05C8.5,C05C8.5,WBGene00015462,Public name for WBGene00015462. History: N.A.
C05D12.5,C05D12.5,WBGene00007342,Public name for WBGene00007342. History: N.A.
C05D2.5,C05D2.5,WBGene00001514,Sequence name for WBGene00001514(xnd-1). History: Renamed on 2008-09-15
C05D9.1,C05D9.1,WBGene00004927,Sequence name for WBGene00004927(snx-1). History: Renamed on 2014-09-25
C05D9.5,C05D9.5,WBGene00002062,Sequence name for WBGene00002062(ife-4). History: N.A.
C05E11.4,C05E11.4,WBGene00000133,Sequence name for WBGene00000133(amt-1). History: N.A.
C05E11.7,C05E11.7,WBGene00015496,Public name for WBGene00015496. History: N.A.
C05G5.2,C05G5.2,WBGene00007348,Public name for WBGene00007348. History: N.A.
C06B3.3,C06B3.3,WBGene00007362,Sequence name for WBGene00007362(cyp-35C1). History: N.A.
C06B8.4,C06B8.4,WBGene00007370,Sequence name for WBGene00007370(str-264). History: N.A.
C06C6.4,C06C6.4,WBGene00003653,Sequence name for WBGene00003653(nhr-63). History: N.A.
C06E1.1,C06E1.1,WBGene00015518,Public name for WBGene00015518. History: N.A.
C06G3.4,C06G3.4,WBGene00015550,Public name for WBGene00015550. History: N.A.
C06G3.8,C06G3.8,WBGene00015554,Public name for WBGene00015554. History: N.A.
C06H2.6,C06H2.6,WBGene00007390,Sequence name for WBGene00007390(lmtr-3). History: N.A.
C06H2.7,C06H2.7,WBGene00007391,Public name for WBGene00007391. History: N.A.
C07A12.5,C07A12.5,WBGene00005008,Sequence name for WBGene00005008(spr-3). History: N.A.
C07A4.2,C07A4.2,WBGene00007397,Public name for WBGene00007397. History: N.A.
C07D10.5,C07D10.5,WBGene00015569,Public name for WBGene00015569. History: N.A.
C07D8.2,C07D8.2,WBGene00015562,Public name for WBGene00015562. History: N.A.
C07D8.6,C07D8.6,WBGene00015565,Public name for WBGene00015565. History: N.A.
C07E3.6,C07E3.6,WBGene00007417,Sequence name for WBGene00007417(ceh-58). History: N.A.
C07G2.1,C07G2.1,WBGene00000465,Sequence name for WBGene00000465(cpg-1). History: Renamed on 2006-06-16; Renamed on 2008-01-14
C07H4.1,C07H4.1,WBGene00007421,Public name for WBGene00007421. History: N.A.
C07H6.2,C07H6.2,WBGene00015579,Public name for WBGene00015579. History: N.A.
C07H6.6,C07H6.6,WBGene00000537,Sequence name for WBGene00000537(clk-2). History: N.A.
C08A9.3,C08A9.3,WBGene00015583,Public name for WBGene00015583. History: N.A.
C08A9.7,C08A9.7,WBGene00015587,Sequence name for WBGene00015587(lido-2). History: N.A.
C08A9.8,C08A9.8,WBGene00015588,Sequence name for WBGene00015588(lido-3). History: N.A.
C08A9.9,C08A9.9,WBGene00015589,Sequence name for WBGene00015589(lido-4). History: N.A.
C08B11.8,C08B11.8,WBGene00007435,Sequence name for WBGene00007435(algn-6). History: N.A.
C08B6.2,C08B6.2,WBGene00007423,Public name for WBGene00007423. History: N.A.
C08C3.4,C08C3.4,WBGene00015591,Sequence name for WBGene00015591(cyk-7). History: N.A.
C08E3.9,C08E3.9,WBGene00015601,Sequence name for WBGene00015601(fbxa-166). History: N.A.
C08F1.3,C08F1.3,WBGene00015607,Sequence name for WBGene00015607(fbxb-13). History: N.A.
C08F11.9,C08F11.9,WBGene00007456,Sequence name for WBGene00007456(srz-29). History: N.A.
C08F8.5,C08F8.5,WBGene00007447,"Sequence name for WBGene00007447(fbxb-9). History: Split into C08F8.15(WBGene00219217). History of WBGene00007447: Split into ""WBGene00219217"" on 2011-08-24"
C08G9.2,C08G9.2,WBGene00015620,Public name for WBGene00015620. History: N.A.
C08H9.1,C08H9.1,WBGene00007462,Sequence name for WBGene00007462(ctsa-3.2). History: N.A.
C08H9.12,C08H9.12,WBGene00007471,Sequence name for WBGene00007471(chil-6). History: N.A.
C09B7.1,C09B7.1,WBGene00004780,Sequence name for WBGene00004780(ser-7). History: N.A.
C09B8.4,C09B8.4,WBGene00015623,Public name for WBGene00015623. History: N.A.
C09D4.6,C09D4.6,WBGene00015636,Public name for WBGene00015636. History: N.A.
C09G4.3,C09G4.3,WBGene00001051,Sequence name for WBGene00001051(cks-1). History: Renamed on 2007-08-17
C09G9.6,C09G9.6,WBGene00003864,Sequence name for WBGene00003864(oma-1). History: N.A.
C10A4.4,C10A4.4,WBGene00015665,Public name for WBGene00015665. History: N.A.
C10B5.1,C10B5.1,WBGene00015670,Public name for WBGene00015670. History: N.A.
C10C5.2,C10C5.2,WBGene00007506,Sequence name for WBGene00007506(fbxc-58). History: N.A.
C10C5.3,C10C5.3,WBGene00007507,Public name for WBGene00007507. History: N.A.
C10C6.5,C10C6.5,WBGene00007513,Sequence name for WBGene00007513(wht-2). History: N.A.
C10F3.1,C10F3.1,WBGene00015677,Sequence name for WBGene00015677(cpg-4). History: N.A.
C10F3.2,C10F3.2,WBGene00000979,Sequence name for WBGene00000979(dhs-16). History: N.A.
C11D2.4,C11D2.4,WBGene00015702,Public name for WBGene00015702. History: N.A.
C11G6.1,C11G6.1,WBGene00006384,Sequence name for WBGene00006384(taf-3). History: N.A.
C11G6.3,C11G6.3,WBGene00006384,"Public name for Dead gene WBGene00007524. History of WBGene00007524: Merged into ""WBGene00006384"" on 2011-01-21"
C12C8.3,C12C8.3,WBGene00003026,Sequence name for WBGene00003026(lin-41). History: Renamed on 2005-08-24
C12D5.5,C12D5.5,WBGene00015708,Public name for WBGene00015708. History: N.A.
C12D8.8,C12D8.8,WBGene00000721,Sequence name for WBGene00000721(col-148). History: N.A.
C13B7.4,C13B7.4,WBGene00005148,Sequence name for WBGene00005148(srd-71). History: N.A.
C13B9.2,C13B9.2,WBGene00015733,Public name for WBGene00015733. History: N.A.
C13D9.7,C13D9.7,WBGene00003573,Sequence name for WBGene00003573(ncx-8). History: N.A.
