# Table S1,,,,,,,
# Differentially expressed STGs following L1 starvation. First condition: Fed P0, second condition: Starved P0. log2foldChange=log2(starved/fed),,,,,,
# *All of the comparisons were made using triplicates,,,,,,,
gene,baseMean,log2FoldChange,pvalue,padj,Input,Suggested Match,History
T05G5.4,69.83384656,-3.874413362,5.90E-45,8.37E-42,T05G5.4,WBGene00011499,Public name for WBGene00011499. History: N.A.
T10C6.18,62.79623813,-3.477769056,1.53E-35,1.15E-32,T10C6.18,WBGene00195170,Sequence name for WBGene00195170(linc-61). History: N.A.
K07H8.6,211.2033537,-2.602085717,1.10E-42,1.38E-39,K07H8.6,WBGene00006930,Sequence name for WBGene00006930(vit-6). History: N.A.
Y76B12C.4,111.6386294,-2.520404079,2.10E-40,1.99E-37,Y76B12C.4,WBGene00022298,Public name for WBGene00022298. History: N.A.
K08H10.2,171.6324129,-2.519328369,2.47E-37,2.00E-34,K08H10.2,WBGene00002263,"Public name for Dead gene WBGene00010695. History of WBGene00010695: Merged into ""WBGene00002263"" on 2011-01-21"
F01F1.3,134.1483512,2.518892854,1.37E-34,9.73E-32,F01F1.3,WBGene00017160,Public name for WBGene00017160. History: N.A.
C04F6.1,306.8602348,-2.423146905,3.29E-39,2.87E-36,C04F6.1,WBGene00006929,Sequence name for WBGene00006929(vit-5). History: N.A.
W01B6.13,15.08611372,2.371251111,7.89E-11,8.61E-09,W01B6.13,WBGene00167449,Sequence name for WBGene00167449(21ur-14295). History: N.A.
C25D7.2,56.09998433,-2.358427718,3.34E-15,6.42E-13,C25D7.2,WBGene00007715,Public name for WBGene00007715. History: N.A.
F11E6.5,21.42397317,-2.309627398,7.95E-13,1.19E-10,F11E6.5,WBGene00001240,Sequence name for WBGene00001240(elo-2). History: N.A.
F59D8.1,695.0105859,-2.307047477,5.29E-33,3.33E-30,F59D8.1,WBGene00006927,Sequence name for WBGene00006927(vit-3). History: N.A.
F59D8.2,665.0084466,-2.290656056,6.24E-31,3.37E-28,F59D8.2,WBGene00006928,Sequence name for WBGene00006928(vit-4). History: N.A.
F22F1.2,155.3377392,-2.227160812,3.51E-24,1.42E-21,F22F1.2,WBGene00017714,Public name for WBGene00017714. History: N.A.
C25D7.14,47.41872672,-2.223161143,1.22E-10,1.30E-08,C25D7.14,WBGene00014681,Public name for WBGene00014681. History: N.A.
Y17D7B.4,7135.072655,-2.214515208,4.06E-72,2.30E-68,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
C07G1.6,13.71219311,2.209926319,2.53E-09,2.14E-07,C07G1.6,WBGene00015572,Public name for WBGene00015572. History: N.A.
T08B6.2,171.4185712,-2.204986684,1.35E-23,5.12E-21,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
C42D8.2,104.5099429,-2.195770782,5.65E-29,2.79E-26,C42D8.2,WBGene00006926,Sequence name for WBGene00006926(vit-2). History: N.A.
T05C3.6,36.79966264,-2.153653193,3.62E-12,4.89E-10,T05C3.6,WBGene00020256,Public name for WBGene00020256. History: N.A.
R05F9.12,96.40050482,-2.150622491,2.10E-22,7.43E-20,R05F9.12,WBGene00019895,Sequence name for WBGene00019895(aagr-2). History: N.A.
F15E11.1,15.86253751,-2.139807619,3.78E-08,2.56E-06,F15E11.1,WBGene00017490,Sequence name for WBGene00017490(pud-2.1). History: N.A.
C07G1.7,14.59210496,2.10499052,6.42E-09,4.99E-07,C07G1.7,WBGene00015573,Public name for WBGene00015573. History: N.A.
F28B4.3,108.103934,-2.065497673,1.68E-25,7.34E-23,F28B4.3,WBGene00017892,Public name for WBGene00017892. History: N.A.
M01A8.2,18.35984159,-2.057091835,3.08E-09,2.51E-07,M01A8.2,WBGene00010796,Sequence name for WBGene00010796(clip-1). History: N.A.
F57F4.3,302.3318941,-2.005226029,1.53E-41,1.73E-38,F57F4.3,WBGene00001581,Sequence name for WBGene00001581(gfi-1). History: N.A.
F26F12.3,39.50442601,-1.986227508,8.53E-13,1.26E-10,F26F12.3,WBGene00017834,Public name for WBGene00017834. History: N.A.
F57F4.4,299.0970539,-1.985352673,4.32E-41,4.46E-38,F57F4.4,WBGene00019017,Public name for WBGene00019017. History: N.A.
T27E4.9,443.6124278,1.983481399,3.02E-55,8.57E-52,T27E4.9,WBGene00002020,Sequence name for WBGene00002020(hsp-16.49). History: N.A.
Y8G1A.2,183.8300366,1.9723383,1.49E-24,6.27E-22,Y8G1A.2,WBGene00002135,Sequence name for WBGene00002135(inx-13). History: Renamed on 2015-03-05
K09F5.2,97.28956081,-1.96133151,2.26E-18,5.57E-16,K09F5.2,WBGene00006925,Sequence name for WBGene00006925(vit-1). History: N.A.
F38A1.5,47.83786441,-1.945968945,5.43E-11,5.98E-09,F38A1.5,WBGene00009518,Sequence name for WBGene00009518(clec-166). History: N.A.
W04B5.2,1484.527282,-1.943688967,1.35E-27,6.15E-25,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
ZC84.3,133.1740904,1.92487285,6.80E-22,2.21E-19,ZC84.3,WBGene00013847,Sequence name for WBGene00013847(cls-3). History: N.A.
Y105C5A.1276,8.654620248,1.906815918,1.36E-06,6.64E-05,Y105C5A.1276,WBGene00197386,Public name for WBGene00197386. History: N.A.
ZK6.7,6.526204928,-1.892798431,1.72E-06,8.18E-05,ZK6.7,WBGene00022642,Sequence name for WBGene00022642(lipl-5). History: N.A.
B0035.13,7.363387316,-1.869241365,1.63E-06,7.82E-05,B0035.13,WBGene00007112,Public name for WBGene00007112. History: N.A.
K11E4.7,8.40502834,1.859899206,2.56E-06,0.00011844,K11E4.7,WBGene00195273,Public name for WBGene00195273. History: N.A.
E03A3.1,72.51082335,1.857060552,1.05E-16,2.29E-14,E03A3.1,WBGene00014728,Public name for WBGene00014728. History: N.A.
F44C4.3,7.087138324,-1.847592439,2.08E-06,9.82E-05,F44C4.3,WBGene00000784,Sequence name for WBGene00000784(cpr-4). History: N.A.
C51E3.9,16.27668374,1.847350995,1.86E-07,1.10E-05,C51E3.9,WBGene00008254,Public name for WBGene00008254. History: N.A.
K11E4.10,10.4763179,1.822459714,3.24E-06,0.000144242,K11E4.10,WBGene00199433,Public name for WBGene00199433. History: N.A.
W02C12.3,1073.52181,1.821804433,3.92E-32,2.34E-29,W02C12.3,WBGene00020930,Sequence name for WBGene00020930(hlh-30). History: N.A.
T28F3.4,58.00148084,1.814856496,4.78E-14,7.97E-12,T28F3.4,WBGene00012130,"Sequence name for WBGene00012130(slc-17.4). History: Split into T28F3.11(WBGene00303083). History of WBGene00012130: Split into ""WBGene00303083"" on 2018-03-02"
F42H10.10,9.509303901,1.811802043,3.18E-06,0.000142054,F42H10.10,WBGene00195997,Public name for WBGene00195997. History: N.A.
C09G5.7,131.5534314,-1.807710529,6.88E-29,3.25E-26,C09G5.7,WBGene00007489,Public name for WBGene00007489. History: N.A.
F56F4.11,10.17521246,1.793136123,4.77E-06,0.000203525,F56F4.11,WBGene00201096,Public name for WBGene00201096. History: N.A.
Y102A5C.38,65.82809964,1.792561611,8.50E-15,1.58E-12,Y102A5C.38,WBGene00050883,Public name for WBGene00050883. History: N.A.
Y59H11AR.6,10286.27686,-1.791331989,1.12E-124,1.27E-120,Y59H11AR.6,WBGene00077437,Public name for WBGene00077437. History: N.A.
F11D11.12,98.5054974,-1.776500599,2.47E-22,8.48E-20,F11D11.12,WBGene00045362,Public name for WBGene00045362. History: N.A.
K11E4.11,9.253619918,1.770803823,5.59E-06,0.000233288,K11E4.11,WBGene00202433,Public name for WBGene00202433. History: N.A.
F15E11.14,5.908692531,-1.756671336,9.05E-06,0.00035409,F15E11.14,WBGene00017500,Sequence name for WBGene00017500(pud-2.2). History: N.A.
F31E9.11,556.3908565,-1.756649912,2.32E-15,4.62E-13,F31E9.11,WBGene00195233,Public name for WBGene00195233. History: N.A.
Y17D7C.4,13.19073853,-1.752784518,1.67E-06,8.00E-05,Y17D7C.4,WBGene00050903,Public name for WBGene00050903. History: N.A.
