# Inheritance comparison (log2foldChange=log2(F3 of starved worms/fed)),,,,,,,
gene,baseMean,log2FoldChange,pvalue,padj,Input,Suggested Match,History
B0035.13,12.92142351,-0.96186277,0.008939224,0.044838379,B0035.13,WBGene00007112,Public name for WBGene00007112. History: N.A.
B0207.4,535.4378941,-0.452728165,0.001703186,0.012410364,B0207.4,WBGene00000099,Sequence name for WBGene00000099(air-2). History: N.A.
B0250.7,1758.461405,0.240745634,0.006610627,0.035780284,B0250.7,WBGene00007124,Public name for WBGene00007124. History: N.A.
B0280.8,110.4082335,-0.621525409,0.000544988,0.005021155,B0280.8,WBGene00003609,Sequence name for WBGene00003609(nhr-10). History: N.A.
B0303.2,4559.798261,-0.8704252,5.91E-05,0.000804093,B0303.2,WBGene00015124,Sequence name for WBGene00015124(anmt-1). History: N.A.
B0348.4,264.3522112,-0.604415508,0.000166419,0.001927763,B0348.4,WBGene00001177,Sequence name for WBGene00001177(egl-8). History: N.A.
B0365.3,516.686989,-0.372848506,0.004948527,0.028600167,B0365.3,WBGene00001137,Sequence name for WBGene00001137(eat-6). History: N.A.
B0454.9,364.1062082,0.463170534,0.001143261,0.009093081,B0454.9,WBGene00015200,Sequence name for WBGene00015200(lido-13). History: N.A.
B0511.5,39.52433926,-1.615855605,3.13E-05,0.000461468,B0511.5,WBGene00015231,Sequence name for WBGene00015231(cutl-14). History: N.A.
C01A2.6,168.217234,0.804567142,3.29E-05,0.000482863,C01A2.6,WBGene00007218,Public name for WBGene00007218. History: N.A.
C01B4.6,76.29324147,-1.134623959,5.57E-09,2.66E-07,C01B4.6,WBGene00015270,Public name for WBGene00015270. History: N.A.
C01F6.3,305.3585123,0.611005595,6.75E-07,1.89E-05,C01F6.3,WBGene00000374,Sequence name for WBGene00000374(cyp-31A1). History: N.A.
C01G8.2,182.0301115,-0.972070256,3.19E-08,1.25E-06,C01G8.2,WBGene00000540,Sequence name for WBGene00000540(cln-3.2). History: N.A.
C02B8.2,189.0173494,-1.413319229,3.04E-08,1.20E-06,C02B8.2,WBGene00015321,Sequence name for WBGene00015321(fbxc-38). History: N.A.
C02F5.10,178.8647937,-1.662504024,7.84E-25,2.66E-22,C02F5.10,WBGene00015351,Public name for WBGene00015351. History: N.A.
C03A7.14,33.53507259,0.840813992,0.006688021,0.036141448,C03A7.14,WBGene00000031,Sequence name for WBGene00000031(abu-8). History: N.A.
C03A7.8,19.40368147,0.810402572,0.021246041,0.084715384,C03A7.8,WBGene00000030,Sequence name for WBGene00000030(abu-7). History: N.A.
C04F6.1,412.4459749,-2.40050049,1.58E-102,1.07E-98,C04F6.1,WBGene00006929,Sequence name for WBGene00006929(vit-5). History: N.A.
C04G6.1,50.15464427,0.601877138,0.024511429,0.093683981,C04G6.1,WBGene00003402,Sequence name for WBGene00003402(mpk-2). History: N.A.
C05D9.1,29.20283262,0.773569664,0.014202963,0.062824009,C05D9.1,WBGene00004927,Sequence name for WBGene00004927(snx-1). History: Renamed on 2014-09-25
C05G5.1,19.56266041,1.50920944,2.11E-05,0.000335307,C05G5.1,WBGene00007347,Public name for WBGene00007347. History: N.A.
C06C3.10,584.0001983,0.586724986,0.001463018,0.010930694,C06C3.10,WBGene00044169,Public name for WBGene00044169. History: N.A.
C06E4.5,42.15422318,1.101245576,0.000165746,0.001921609,C06E4.5,WBGene00015534,Public name for WBGene00015534. History: N.A.
C06H2.4,13.28544818,1.109090404,0.013607966,0.061028712,C06H2.4,WBGene00007388,Sequence name for WBGene00007388(folt-1). History: Renamed on 2007-05-11
C07A9.9,1512.076152,-0.620218478,1.26E-05,0.000219572,C07A9.9,WBGene00007405,Public name for WBGene00007405. History: N.A.
C07D10.5,84.87396895,-0.756609414,9.29E-05,0.001189225,C07D10.5,WBGene00015569,Public name for WBGene00015569. History: N.A.
C07G1.6,18.30713805,2.626810015,2.01E-10,1.28E-08,C07G1.6,WBGene00015572,Public name for WBGene00015572. History: N.A.
C07G1.7,17.87215581,2.296062785,2.17E-08,8.87E-07,C07G1.7,WBGene00015573,Public name for WBGene00015573. History: N.A.
C07G2.1,160.127375,1.201064591,1.26E-11,1.02E-09,C07G2.1,WBGene00000465,Sequence name for WBGene00000465(cpg-1). History: Renamed on 2006-06-16; Renamed on 2008-01-14
C08B11.9,499.8434445,0.463294705,0.000311475,0.003190799,C08B11.9,WBGene00007436,Public name for WBGene00007436. History: N.A.
C09G12.8,327.3469536,0.384285959,0.001759692,0.012719524,C09G12.8,WBGene00000424,Sequence name for WBGene00000424(ced-10). History: N.A.
C09G5.7,207.1651163,-0.939460123,9.72E-10,5.36E-08,C09G5.7,WBGene00007489,Public name for WBGene00007489. History: N.A.
C11D2.4,105.1730852,0.547123061,0.002263141,0.015609336,C11D2.4,WBGene00015702,Public name for WBGene00015702. History: N.A.
C11G6.1,137.792481,-0.431358027,0.021539026,0.085506273,C11G6.1,WBGene00006384,Sequence name for WBGene00006384(taf-3). History: N.A.
C11G6.3,29.51317254,-0.859133629,0.004774314,0.027818695,C11G6.3,WBGene00006384,"Public name for Dead gene WBGene00007524. History of WBGene00007524: Merged into ""WBGene00006384"" on 2011-01-21"
C13B7.4,115.3246472,-1.526279839,5.99E-17,1.03E-14,C13B7.4,WBGene00005148,Sequence name for WBGene00005148(srd-71). History: N.A.
C14A4.5,309.3489349,0.782804811,0.004858413,0.028209861,C14A4.5,WBGene00000798,Sequence name for WBGene00000798(crn-5). History: Renamed on 2007-06-04
C14B4.2,252.9522878,-0.609446755,1.86E-05,0.000301225,C14B4.2,WBGene00007583,Public name for WBGene00007583. History: N.A.
C14C11.1,88.15924047,-1.027871552,1.45E-05,0.000243783,C14C11.1,WBGene00015765,Public name for WBGene00015765. History: N.A.
C14E2.4,70.22220026,-0.908886125,0.000533382,0.004941162,C14E2.4,WBGene00015773,Public name for WBGene00015773. History: N.A.
C14F11.14,15.58943795,1.331743972,0.00245454,0.016636746,C14F11.14,WBGene00197710,Public name for WBGene00197710. History: N.A.
C15B12.7,318.530804,-0.526763923,0.001723397,0.012523966,C15B12.7,WBGene00000393,Sequence name for WBGene00000393(cdf-1). History: N.A.
C16C8.2,59.16582369,0.500712988,0.021499742,0.085400351,C16C8.2,WBGene00015841,Sequence name for WBGene00015841(skpo-2). History: N.A.
C16H3.3,3214.021407,-0.313522655,0.002923815,0.019207998,C16H3.3,WBGene00015868,Public name for WBGene00015868. History: N.A.
C17F4.5,356.9196762,0.54924237,2.20E-05,0.000348947,C17F4.5,WBGene00015912,Sequence name for WBGene00015912(fbxc-50). History: N.A.
C18A11.5,542.1399112,-0.611490652,5.94E-06,0.000115513,C18A11.5,WBGene00006962,Sequence name for WBGene00006962(xol-1). History: N.A.
C18B2.5,23.8655172,-1.094090398,0.002079894,0.014598033,C18B2.5,WBGene00015956,Public name for WBGene00015956. History: N.A.
C18D4.11,109.7831343,-0.719080687,0.000234905,0.002548971,C18D4.11,WBGene00195060,Sequence name for WBGene00195060(linc-14). History: N.A.
C18G1.9,196.232916,-0.790670135,0.00019609,0.002199772,C18G1.9,WBGene00015987,Public name for WBGene00015987. History: N.A.
C25B8.3,17.06024423,-0.960699656,0.007654013,0.039852033,C25B8.3,WBGene00000786,Sequence name for WBGene00000786(cpr-6). History: N.A.
C25D7.14,72.54155333,-1.578690413,2.15E-06,4.88E-05,C25D7.14,WBGene00014681,Public name for WBGene00014681. History: N.A.
C25D7.2,87.49388478,-1.503125491,4.02E-10,2.42E-08,C25D7.2,WBGene00007715,Public name for WBGene00007715. History: N.A.
C25G4.8,423.0974763,-0.788873898,0.000545052,0.005021155,C25G4.8,WBGene00007735,Public name for WBGene00007735. History: N.A.
C26B9.1,30.74656646,-1.050673337,0.000113292,0.00139459,C26B9.1,WBGene00016131,Public name for WBGene00016131. History: N.A.
C26C6.3,298.0298736,-1.33841628,2.83E-11,2.12E-09,C26C6.3,WBGene00003552,Sequence name for WBGene00003552(nas-36). History: N.A.
C29F9.1,2771.549938,-0.645101512,0.001213473,0.00955065,C29F9.1,WBGene00016216,Sequence name for WBGene00016216(pals-22). History: N.A.
C29F9.10,126.5589571,-1.193861723,8.53E-05,0.001111061,C29F9.10,WBGene00016224,Sequence name for WBGene00016224(fbxa-57). History: N.A.
C30E1.4,119.9714387,-1.00901389,0.001662617,0.012140868,C30E1.4,WBGene00016253,Public name for WBGene00016253. History: N.A.
C30G12.1,252.5755536,-1.289800449,4.88E-15,6.42E-13,C30G12.1,WBGene00016273,Public name for WBGene00016273. History: N.A.
C31E10.8,223.0069409,0.856610189,4.56E-10,2.71E-08,C31E10.8,WBGene00007849,Sequence name for WBGene00007849(tbc-19). History: N.A.
C33D12.6,101.9880323,1.522461546,4.37E-10,2.62E-08,C33D12.6,WBGene00016344,Sequence name for WBGene00016344(rsef-1). History: Renamed on 2014-03-03
C34D10.1,68.2861552,-1.037481236,0.000111544,0.001378082,C34D10.1,WBGene00016406,Public name for WBGene00016406. History: N.A.
C34F6.7,1243.283851,-0.450905277,0.007242736,0.038180006,C34F6.7,WBGene00007941,Public name for WBGene00007941. History: N.A.
C35A5.8,858.0923982,0.447321907,5.32E-06,0.000105206,C35A5.8,WBGene00007952,Public name for WBGene00007952. History: N.A.
C35B8.2,56.16174468,-0.687192094,0.000676231,0.005983036,C35B8.2,WBGene00006887,Sequence name for WBGene00006887(vav-1). History: N.A.
C35D10.10,114.4833665,-0.444244192,0.026371252,0.098216426,C35D10.10,WBGene00016446,Public name for WBGene00016446. History: N.A.
