# mRNA_P0,,
gene,Starved/fed,mean,Input,Suggested Match,History
C07G2.1,12.31,1545.54,C07G2.1,WBGene00000465,Sequence name for WBGene00000465(cpg-1). History: Renamed on 2006-06-16; Renamed on 2008-01-14
Y44A6D.5,3.48,244.58,Y44A6D.5,WBGene00012855,Public name for WBGene00012855. History: N.A.
F21F8.7,2.7,34.7,F21F8.7,WBGene00000219,Sequence name for WBGene00000219(asp-6). History: N.A.
K11D12.2,3.21,102.1,K11D12.2,WBGene00004136,"Sequence name for WBGene00004136(pqn-51). History: Split into K11D12.14(WBGene00303069). History of WBGene00004136: Split into ""WBGene00303069"" on 2018-03-02"
C28C12.2,3.21,124.14,C28C12.2,WBGene00016178,Sequence name for WBGene00016178(mesp-1). History: N.A.
Y48G1BM.9,3.11,24.39,Y48G1BM.9,WBGene00021675,"Public name for Dead gene WBGene00021674. History of WBGene00021674: Merged into ""WBGene00021675"" on 2013-10-17"
Y54E5A.5,3.14,13.38,Y54E5A.5,WBGene00013200,Public name for WBGene00013200. History: N.A.
Y57A10A.15,4.1,159.93,Y57A10A.15,WBGene00013258,Sequence name for WBGene00013258(polg-1). History: N.A.
T07C12.11,2.0,30.86,T07C12.11,WBGene00011575,Sequence name for WBGene00011575(madf-4). History: N.A.
R10H10.7,2.11,791.61,R10H10.7,WBGene00011225,Public name for WBGene00011225. History: N.A.
M01D7.5,3.28,132.08,M01D7.5,WBGene00003750,Sequence name for WBGene00003750(nlp-12). History: N.A.
Y18H1A.14,2.11,44.08,Y18H1A.14,WBGene00044461,Public name for WBGene00044461. History: N.A.
T03E6.6,2.83,106.77,T03E6.6,WBGene00005820,Sequence name for WBGene00005820(srw-73). History: N.A.
T20F10.8,2.62,564.37,T20F10.8,WBGene00077765,Public name for WBGene00077765. History: N.A.
F10C1.7,1.54,41.44,F10C1.7,WBGene00002054,Sequence name for WBGene00002054(ifb-2). History: N.A.
Y22F5A.3,1.89,7.59,Y22F5A.3,WBGene00004364,"Sequence name for WBGene00004364(ric-4). History: Renamed on 2004-09-23. Public name for Dead gene WBGene00012495. History of WBGene00012495: Merged into ""WBGene00004364"" on 2004-09-23"
Y50D4A.6,1.75,31.75,Y50D4A.6,WBGene00195169,Public name for WBGene00195169. History: N.A.
C06A5.6,2.18,61.34,C06A5.6,WBGene00015504,Sequence name for WBGene00015504(simr-1). History: N.A.
Y38F1A.6,2.46,18.19,Y38F1A.6,WBGene00012608,Sequence name for WBGene00012608(hphd-1). History: N.A.
Y71G12B.28,1.72,36.58,Y71G12B.28,WBGene00022163,Public name for WBGene00022163. History: N.A.
T01C8.5,1.71,49.42,T01C8.5,WBGene00020146,Sequence name for WBGene00020146(got-1.2). History: N.A.
K10C2.1,1.57,44.32,K10C2.1,WBGene00019617,Sequence name for WBGene00019617(ctsa-2). History: N.A.
Y55F3AM.11,1.71,294.2,Y55F3AM.11,WBGene00021928,Public name for WBGene00021928. History: N.A.
F54E7.8,2.17,89.28,F54E7.8,WBGene00018830,Sequence name for WBGene00018830(ska-3). History: N.A.
B0001.5,1.66,20.0,B0001.5,WBGene00007090,Public name for WBGene00007090. History: N.A.
Y77E11A.10,1.64,54.07,Y77E11A.10,WBGene00000546,"Sequence name for WBGene00000546(clp-6). History: Split into Y77E11A.23(WBGene00235267). History of WBGene00000546: Split into ""WBGene00235267"" on 2013-09-04"
Y37E11B.2,1.89,90.55,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
R06C1.4,1.58,152.87,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
C17F4.5,1.6,19.13,C17F4.5,WBGene00015912,Sequence name for WBGene00015912(fbxc-50). History: N.A.
R05D3.11,1.8,7.98,R05D3.11,WBGene00019883,Sequence name for WBGene00019883(met-2). History: N.A.
C02B10.4,1.62,57.5,C02B10.4,WBGene00015329,Public name for WBGene00015329. History: N.A.
Y48C3A.10,2.37,39.0,Y48C3A.10,WBGene00012992,Sequence name for WBGene00012992(mrpl-20). History: N.A.
C06A8.5,2.73,31.63,C06A8.5,WBGene00015515,Sequence name for WBGene00015515(spdl-1). History: N.A.
B0336.3,1.87,149.05,B0336.3,WBGene00015143,Sequence name for WBGene00015143(rbm-26). History: N.A.
C01G5.2,0.62,101.83,C01G5.2,WBGene00004179,"Sequence name for WBGene00004179(prg-2). History: Renamed on 2007-11-05. Public name for Dead gene WBGene00015304. History of WBGene00015304: Merged into ""WBGene00004179"" on 2007-11-05"
H40L08.1,1.64,23.55,H40L08.1,WBGene00010433,Public name for WBGene00010433. History: N.A.
Y56A3A.10,1.58,14.93,Y56A3A.10,WBGene00013230,Sequence name for WBGene00013230(fbxb-22). History: N.A.
C16A11.3,1.67,14.25,C16A11.3,WBGene00015816,"Public name for WBGene00015816. History: Split into C16A11.10(WBGene00185089). History of WBGene00015816: Split into ""WBGene00185089"" on 2009-03-13"
Y37E11AR.3,1.74,27.39,Y37E11AR.3,WBGene00021370,Sequence name for WBGene00021370(nape-2). History: N.A.
B0365.3,1.57,836.17,B0365.3,WBGene00001137,Sequence name for WBGene00001137(eat-6). History: N.A.
ZK355.2,0.63,59.3,ZK355.2,WBGene00022712,Public name for WBGene00022712. History: N.A.
C24F3.1,0.61,139.95,C24F3.1,WBGene00007696,Sequence name for WBGene00007696(tram-1). History: N.A.
F21D9.6,0.5,10.78,F21D9.6,WBGene00009020,Public name for WBGene00009020. History: N.A.
T26C11.6,0.57,65.19,T26C11.6,WBGene00000444,Sequence name for WBGene00000444(ceh-21). History: N.A.
F23A7.5,0.33,34.49,F23A7.5,WBGene00009070,Public name for WBGene00009070. History: N.A.
T18H9.7,0.54,42.65,T18H9.7,WBGene00044077,"Sequence name for WBGene00044077(pacs-1). History: Renamed on 2019-07-15. Public name for Dead gene WBGene00020552. History of WBGene00020552: Merged into ""WBGene00044077"" on 2005-10-05"
D2024.10,0.64,68.01,D2024.10,WBGene00044505,Public name for WBGene00044505. History: N.A.
C56E6.3,0.67,52.67,C56E6.3,WBGene00016971,Sequence name for WBGene00016971(toe-2). History: N.A.
R12C12.1,0.64,35.32,R12C12.1,WBGene00020022,Sequence name for WBGene00020022(gldc-1). History: N.A.
Y38H6C.4,0.65,77.69,Y38H6C.4,WBGene00012617,Public name for WBGene00012617. History: N.A.
K07A3.2,0.65,23.26,K07A3.2,WBGene00004226,Sequence name for WBGene00004226(ptr-12). History: N.A.
Y53G8AL.1,0.64,26.72,Y53G8AL.1,WBGene00021799,Public name for WBGene00021799. History: N.A.
C56C10.9,0.64,21.24,C56C10.9,WBGene00016965,Public name for WBGene00016965. History: N.A.
K01B6.1,0.63,43.93,K01B6.1,WBGene00010453,Sequence name for WBGene00010453(fozi-1). History: N.A.
C47G2.3,0.62,31.34,C47G2.3,WBGene00008164,Public name for WBGene00008164. History: N.A.
K08D10.11,1.64,363.69,K08D10.11,WBGene00019534,Public name for WBGene00019534. History: N.A.
Y8G1A.2,0.61,27.87,Y8G1A.2,WBGene00002135,Sequence name for WBGene00002135(inx-13). History: Renamed on 2015-03-05
ZK402.1,0.41,25.05,ZK402.1,WBGene00022728,Public name for WBGene00022728. History: N.A.
Y73B3A.7,0.6,22.85,Y73B3A.7,WBGene00022209,Public name for WBGene00022209. History: N.A.
C01G8.2,0.63,12.85,C01G8.2,WBGene00000540,Sequence name for WBGene00000540(cln-3.2). History: N.A.
VC5.3,0.47,20.13,VC5.3,WBGene00003786,Sequence name for WBGene00003786(npa-1). History: N.A.
F07H5.5,0.57,37.33,F07H5.5,WBGene00014309,Public name for WBGene00014309. History: N.A.
C15H11.5,0.57,27.16,C15H11.5,WBGene00007615,Sequence name for WBGene00007615(set-31). History: Renamed on 2007-05-03
C27F2.4,0.6,48.98,C27F2.4,WBGene00016166,Public name for WBGene00016166. History: N.A.
F09E5.10,0.5,84.77,F09E5.10,WBGene00017288,Public name for WBGene00017288. History: N.A.
Y76B12C.6,0.6,42.29,Y76B12C.6,WBGene00022300,Public name for WBGene00022300. History: N.A.
B0244.2,0.59,33.65,B0244.2,WBGene00002048,Sequence name for WBGene00002048(ida-1). History: N.A.
C34D4.4,0.5,49.21,C34D4.4,WBGene00016400,Public name for WBGene00016400. History: N.A.
