# mRNA_F3,,
gene ID,mean,F3/fed fold change,Input,Suggested Match,History
T06C12.7,5.07,32.75,T06C12.7,WBGene00003674,Sequence name for WBGene00003674(nhr-84). History: N.A.
F11E6.5,59.39,27.25,F11E6.5,WBGene00001240,Sequence name for WBGene00001240(elo-2). History: N.A.
C07G2.1,1198.24,9.32,C07G2.1,WBGene00000465,Sequence name for WBGene00000465(cpg-1). History: Renamed on 2006-06-16; Renamed on 2008-01-14
K05C4.9,8.36,8.28,K05C4.9,WBGene00010585,Public name for WBGene00010585. History: N.A.
Y44A6D.5,390.76,6.16,Y44A6D.5,WBGene00012855,Public name for WBGene00012855. History: N.A.
F21F8.7,61.91,5.6,F21F8.7,WBGene00000219,Sequence name for WBGene00000219(asp-6). History: N.A.
Y54E5A.5,20.4,5.32,Y54E5A.5,WBGene00013200,Public name for WBGene00013200. History: N.A.
Y39A3CL.5,31.38,3.98,Y39A3CL.5,WBGene00000545,Sequence name for WBGene00000545(clp-4). History: N.A.
Y48G1BM.9,28.14,3.74,Y48G1BM.9,WBGene00021675,"Public name for Dead gene WBGene00021674. History of WBGene00021674: Merged into ""WBGene00021675"" on 2013-10-17"
Y57A10A.15,147.53,3.7,Y57A10A.15,WBGene00013258,Sequence name for WBGene00013258(polg-1). History: N.A.
M117.4,6.35,3.7,M117.4,WBGene00010920,Public name for WBGene00010920. History: N.A.
T07C12.11,47.78,3.64,T07C12.11,WBGene00011575,Sequence name for WBGene00011575(madf-4). History: N.A.
C17F4.5,33.16,3.51,C17F4.5,WBGene00015912,Sequence name for WBGene00015912(fbxc-50). History: N.A.
M01D7.5,136.68,3.43,M01D7.5,WBGene00003750,Sequence name for WBGene00003750(nlp-12). History: N.A.
T03E6.6,115.98,3.16,T03E6.6,WBGene00005820,Sequence name for WBGene00005820(srw-73). History: N.A.
T20F10.8,648.66,3.16,T20F10.8,WBGene00077765,Public name for WBGene00077765. History: N.A.
F42H11.1,155.61,3.13,F42H11.1,WBGene00009646,Public name for WBGene00009646. History: N.A.
T24D8.1,5.82,3.08,T24D8.1,WBGene00020767,Sequence name for WBGene00020767(lgc-40). History: N.A.
K11D12.2,97.1,3.0,K11D12.2,WBGene00004136,"Sequence name for WBGene00004136(pqn-51). History: Split into K11D12.14(WBGene00303069). History of WBGene00004136: Split into ""WBGene00303069"" on 2018-03-02"
C50C3.1,54.07,3.0,C50C3.1,WBGene00016799,Public name for WBGene00016799. History: N.A.
T21E3.3,443.25,2.93,T21E3.3,WBGene00003072,Sequence name for WBGene00003072(lrp-2). History: Renamed on 2008-05-09
B0207.4,68.6,2.67,B0207.4,WBGene00000099,Sequence name for WBGene00000099(air-2). History: N.A.
Y17D7C.6,22.75,2.61,Y17D7C.6,WBGene00194680,Public name for WBGene00194680. History: N.A.
Y37E11B.2,111.81,2.56,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
B0454.9,8.37,2.48,B0454.9,WBGene00015200,Sequence name for WBGene00015200(lido-13). History: N.A.
T07D1.4,4.3,2.37,T07D1.4,WBGene00001484,Sequence name for WBGene00001484(fox-1). History: N.A.
F11A1.11,76.45,2.36,F11A1.11,WBGene00197130,Public name for WBGene00197130. History: N.A.
Y48G1BL.5,54.29,2.27,Y48G1BL.5,WBGene00021664,Public name for WBGene00021664. History: N.A.
Y39B6A.20,58.81,2.25,Y39B6A.20,WBGene00000214,Sequence name for WBGene00000214(asp-1). History: N.A.
W01A11.7,448.74,2.21,W01A11.7,WBGene00020912,Public name for WBGene00020912. History: N.A.
C41D11.3,46.97,2.21,C41D11.3,WBGene00016562,Public name for WBGene00016562. History: N.A.
K10C8.2,9.22,2.15,K10C8.2,WBGene00010735,Sequence name for WBGene00010735(frpr-15). History: N.A.
Y71H10A.2,36.28,2.14,Y71H10A.2,WBGene00022200,Sequence name for WBGene00022200(fard-1). History: N.A.
Y56A3A.10,18.08,2.13,Y56A3A.10,WBGene00013230,Sequence name for WBGene00013230(fbxb-22). History: N.A.
T05E12.4,205.06,2.12,T05E12.4,WBGene00005767,Sequence name for WBGene00005767(srw-20). History: N.A.
F27B10.3,101.94,2.1,F27B10.3,WBGene00197483,Public name for WBGene00197483. History: N.A.
K08E4.7,34.53,2.09,K08E4.7,WBGene00045036,Public name for WBGene00045036. History: N.A.
T25G12.11,158.03,2.08,T25G12.11,WBGene00020817,Public name for WBGene00020817. History: N.A.
C11D2.4,51.51,2.01,C11D2.4,WBGene00015702,Public name for WBGene00015702. History: N.A.
Y110A2AL.4,72.05,2.01,Y110A2AL.4,WBGene00022441,Public name for WBGene00022441. History: N.A.
Y37E11AR.3,29.34,1.94,Y37E11AR.3,WBGene00021370,Sequence name for WBGene00021370(nape-2). History: N.A.
F56A8.1,12.46,1.91,F56A8.1,WBGene00010138,Sequence name for WBGene00010138(anoh-1). History: Split into F56A8.9(WBGene00185001). History of WBGene00010138: N.A.
Y48A6B.10,26.64,1.84,Y48A6B.10,WBGene00012973,"Public name for Dead gene WBGene00012971. History of WBGene00012971: Merged into ""WBGene00012973"" on 2016-10-20; Merged into ""WBGene00012973"" on 2016-10-20"
Y53F4B.25,15.48,1.82,Y53F4B.25,WBGene00013171,Public name for WBGene00013171. History: N.A.
Y18H1A.14,39.67,1.8,Y18H1A.14,WBGene00044461,Public name for WBGene00044461. History: N.A.
W09G10.1,29.72,1.75,W09G10.1,WBGene00000648,Sequence name for WBGene00000648(col-72). History: N.A.
F55A3.5,309.67,1.71,F55A3.5,WBGene00018850,Sequence name for WBGene00018850(gpx-8). History: N.A.
B0365.3,868.66,1.67,B0365.3,WBGene00001137,Sequence name for WBGene00001137(eat-6). History: N.A.
Y42A5A.5,53.42,1.65,Y42A5A.5,WBGene00012780,Public name for WBGene00012780. History: N.A.
ZK355.2,96.56,1.65,ZK355.2,WBGene00022712,Public name for WBGene00022712. History: N.A.
T05C3.6,618.76,1.64,T05C3.6,WBGene00020256,Public name for WBGene00020256. History: N.A.
