# Dataset S1. List of genes showing >16-fold reduction in small RNA reads in rsd-2 late-generation compared to early-generation rsd-2.
chromosome_name,gene,public_name,Input,Suggested Match,History
V,WBGene00000219,asp-6,WBGene00000219,WBGene00000219,History: N.A.
II,WBGene00000389,cdc-25.4,WBGene00000389,WBGene00000389,History: N.A.
I,WBGene00000469,ces-2,WBGene00000469,WBGene00000469,History: N.A.
V,WBGene00000541,cln-3.3,WBGene00000541,WBGene00000541,History: N.A.
I,WBGene00000881,cyn-5,WBGene00000881,WBGene00000881,History: N.A.
X,WBGene00000902,daf-6,WBGene00000902,WBGene00000902,History: N.A.
III,WBGene00000903,daf-7,WBGene00000903,WBGene00000903,History: N.A.
X,WBGene00001468,flr-4,WBGene00001468,WBGene00001468,History: N.A.
IV,WBGene00001549,gcy-25,WBGene00001549,WBGene00001549,History: N.A.
V,WBGene00001671,gpa-9,WBGene00001671,WBGene00001671,History: N.A.
IV,WBGene00002117,ins-34,WBGene00002117,WBGene00002117,History: N.A.
I,WBGene00002181,kal-1,WBGene00002181,WBGene00002181,History: N.A.
III,WBGene00002186,kel-10,WBGene00002186,WBGene00002186,History: N.A.
IV,WBGene00002208,kin-26,WBGene00002208,WBGene00002208,History: N.A.
V,WBGene00002246,lag-2,WBGene00002246,WBGene00002246,History: N.A.
II,WBGene00003431,msp-33,WBGene00003431,WBGene00003431,History: N.A.
IV,WBGene00003432,msp-36,WBGene00003432,WBGene00003432,History: N.A.
II,WBGene00003435,msp-40,WBGene00003435,WBGene00003435,History: N.A.
II,WBGene00003438,msp-45,WBGene00003438,WBGene00003438,History: N.A.
IV,WBGene00003458,msp-65,WBGene00003458,WBGene00003458,History: N.A.
IV,WBGene00003467,msp-81,WBGene00003467,WBGene00003467,History: N.A.
III,WBGene00003593,nfm-1,WBGene00003593,WBGene00003593,History: N.A.
V,WBGene00003720,nhr-130,WBGene00003720,WBGene00003720,History: N.A.
X,WBGene00003848,odr-1,WBGene00003848,WBGene00003848,History: N.A.
I,WBGene00003906,paf-1,WBGene00003906,WBGene00003906,History: N.A.
IV,WBGene00003976,pes-1,WBGene00003976,WBGene00003976,History: N.A.
III,WBGene00004165,pqn-84,WBGene00004165,WBGene00004165,History: N.A.
V,WBGene00004909,snf-10,WBGene00004909,WBGene00004909,History: N.A.
V,WBGene00004964,spe-10,WBGene00004964,WBGene00004964,History: N.A.
IV,WBGene00004972,spe-26,WBGene00004972,WBGene00004972,History: N.A.
IV,WBGene00004974,spe-29,WBGene00004974,WBGene00004974,History: N.A.
III,WBGene00005012,F26F4.2,WBGene00005012,WBGene00005012,History: N.A.
IV,WBGene00005725,srv-14,WBGene00005725,WBGene00005725,History: N.A.
IV,WBGene00006038,ssp-9,WBGene00006038,WBGene00006038,History: N.A.
IV,WBGene00006039,ssp-10,WBGene00006039,WBGene00006039,History: N.A.
IV,WBGene00006040,ssp-11,WBGene00006040,WBGene00006040,History: N.A.
I,WBGene00006044,ssp-16,WBGene00006044,WBGene00006044,History: N.A.
I,WBGene00006047,ssp-19,WBGene00006047,WBGene00006047,History: N.A.
IV,WBGene00006051,ssq-2,WBGene00006051,WBGene00006051,History: N.A.
IV,WBGene00006053,ssq-4,WBGene00006053,WBGene00006053,History: N.A.
IV,WBGene00006416,sams-5,WBGene00006416,WBGene00006416,History: Renamed on 2008-09-10
III,WBGene00006509,tag-164,WBGene00006509,WBGene00006509,History: N.A.
I,WBGene00006594,tom-1,WBGene00006594,WBGene00006594,History: Renamed on 2006-02-01
I,WBGene00006689,twk-37,WBGene00006689,WBGene00006689,History: N.A.
II,WBGene00006719,ubc-24,WBGene00006719,WBGene00006719,History: N.A.
IV,WBGene00006809,unc-77,WBGene00006809,WBGene00006809,History: N.A.
V,WBGene00007055,tag-196,WBGene00007055,WBGene00007055,History: N.A.
II,WBGene00007080,sfxn-1.1,WBGene00007080,WBGene00007080,History: N.A.
III,WBGene00007139,mnp-1,WBGene00007139,WBGene00007139,History: N.A.
I,WBGene00007159,B0379.7,WBGene00007159,WBGene00007159,History: N.A.
II,WBGene00007244,C01G12.3,WBGene00007244,WBGene00007244,History: N.A.
I,WBGene00007274,C03C11.1,WBGene00007274,WBGene00007274,History: N.A.
IV,WBGene00007305,C04G2.2,WBGene00007305,WBGene00007305,History: N.A.
IV,WBGene00007308,C04G2.9,WBGene00007308,WBGene00007308,History: N.A.
II,WBGene00007313,clec-147,WBGene00007313,WBGene00007313,History: N.A.
IV,WBGene00007335,C05C12.1,WBGene00007335,WBGene00007335,History: N.A.
IV,WBGene00007337,C05C12.5,WBGene00007337,WBGene00007337,History: N.A.
V,WBGene00007367,nhr-150,WBGene00007367,WBGene00007367,History: N.A.
V,WBGene00007381,C06C6.7,WBGene00007381,WBGene00007381,History: N.A.
V,WBGene00007427,C08B6.6,WBGene00007427,WBGene00007427,History: N.A.
IV,WBGene00007457,C08F11.10,WBGene00007457,WBGene00007457,History: N.A.
II,WBGene00007478,C09F9.1,WBGene00007478,WBGene00007478,History: N.A.
IV,WBGene00007512,C10C6.3,WBGene00007512,WBGene00007512,History: N.A.
II,WBGene00007563,C14A4.13,WBGene00007563,WBGene00007563,History: N.A.
V,WBGene00007566,C14A6.2,WBGene00007566,WBGene00206536,"History: Merged into ""WBGene00206536"" on 2012-07-16"
V,WBGene00007567,C14A6.3,WBGene00007567,WBGene00007567,"History: Split into C14A6.16(WBGene00206536). History of WBGene00007567: Split into ""WBGene00206536"" on 2011-08-01"
V,WBGene00007570,C14A6.6,WBGene00007570,WBGene00007570,History: N.A.
I,WBGene00007597,C15A11.2,WBGene00007597,WBGene00007597,History: N.A.
III,WBGene00007610,C15H7.3,WBGene00007610,WBGene00007610,History: N.A.
V,WBGene00007613,C15H11.1,WBGene00007613,WBGene00007613,"History: Split into C15H11.13(WBGene00077576). History of WBGene00007613: Split into ""WBGene00077576"" on 2008-02-06"
II,WBGene00007633,C16D2.1,WBGene00007633,WBGene00007633,History: N.A.
I,WBGene00007639,C17D12.5,WBGene00007639,WBGene00007639,History: N.A.
I,WBGene00007641,C17E4.1,WBGene00007641,WBGene00007641,"History: Split into C17E4.12(WBGene00044769). History of WBGene00007641: Split into ""WBGene00044769"" on 2006-02-27"
V,WBGene00007674,C18D4.4,WBGene00007674,WBGene00007674,"History: Split into C18D4.12(WBGene00219493). History of WBGene00007674: Split into ""WBGene00219493"" on 2012-05-18"
V,WBGene00007714,C25D7.1,WBGene00007714,WBGene00007714,History: N.A.
IV,WBGene00007777,C27D8.1,WBGene00007777,WBGene00007777,History: N.A.
IV,WBGene00007778,C27D8.2,WBGene00007778,WBGene00007778,History: N.A.
IV,WBGene00007820,clec-199,WBGene00007820,WBGene00007820,History: N.A.
IV,WBGene00007888,ttr-9,WBGene00007888,WBGene00007888,History: N.A.
III,WBGene00007928,C34C12.9,WBGene00007928,WBGene00007928,History: N.A.
IV,WBGene00007987,C36H8.1,WBGene00007987,WBGene00007987,History: N.A.
III,WBGene00008001,C38C10.3,WBGene00008001,WBGene00008001,History: N.A.
V,WBGene00008106,C45B11.5,WBGene00008106,WBGene00008106,History: N.A.
I,WBGene00008157,C47F8.1,WBGene00008157,WBGene00008157,History: N.A.
V,WBGene00008230,C50F4.2,WBGene00008230,WBGene00008230,History: Renamed on 2014-03-03
