# Dataset S2. List of spermatogenesis genes with expression changes in rsd-2 and rsd-6 mutants at different temperatures. Genes upregulated in spr-5 mutants are also marked(2).
...1,rsd-2_pk3307_25C,rsd-2_yp10_25C,rsd-2_yp10_20C,rsd-2_pk3307_20C,rsd-6_pk3300_25C,rsd-6_pk3300_20C,spr-5_upregulated,Input,Suggested Match,History
B0041.1,-0.852789,-0.241923,-0.299259,0.684763,0.164452,-1.17682,1,B0041.1,WBGene00015006,Public name for WBGene00015006. History: N.A.
B0207.1,-0.352517,-0.316953,-0.119687,0.316626,0.104637,-0.648863,0,B0207.1,WBGene00015026,Public name for WBGene00015026. History: N.A.
B0261.6,0.615126,0.490245,-0.362968,-0.681172,-0.0466413,-0.829371,1,B0261.6,WBGene00015094,Public name for WBGene00015094. History: N.A.
B0379.2,-0.00210935,0.438402,0.579578,0.0799558,-0.69612,0.999935,1,B0379.2,WBGene00007156,Public name for WBGene00007156. History: N.A.
B0379.7,0.731523,0.760068,-0.0515365,-0.590695,1.78892,0.373251,0,B0379.7,WBGene00007159,Public name for WBGene00007159. History: N.A.
C03C11.1,1.51789,1.69171,-0.970214,-1.10157,0.509677,-0.217851,0,C03C11.1,WBGene00007274,Public name for WBGene00007274. History: N.A.
C04F12.7,0.996214,2.41531,-0.110655,-0.72219,1.70227,-1.26083,0,C04F12.7,WBGene00007301,Public name for WBGene00007301. History: N.A.
C06A5.2,1.4118,1.71779,-1.01986,-1.42284,0.860973,-1.10723,0,C06A5.2,WBGene00015500,Public name for WBGene00015500. History: N.A.
C09D4.3,-0.409288,0.63619,1.17166,0.410098,-0.349249,0.840656,0,C09D4.3,WBGene00015634,Public name for WBGene00015634. History: N.A.
C10G11.1,0.493851,-0.0537942,0.0783219,-0.00967907,-0.308466,0.200406,0,C10G11.1,WBGene00015685,Public name for WBGene00015685. History: N.A.
