# Note: The workbook which this sheet was a part of contained links which did not update.
gene,OP50_N2_1,OP50_N2_1(rpm),OP50_N2_2,OP50_N2_2(rpm),OP50_hj41_1,OP50_hj41_1(rpm),OP50_hj41_2,OP50_hj41_2(rpm),average of OP50_N2,average of OP50_hj41,average rpm of OP50_N2,average rpm of OP50_hj41,hj41/N2 ratio,Input,Suggested Match,History
T08B6.2,2134,77.1364408450973,2033,73.0262588130356,60,1.76908087137965,54,2.07041853855827,2083.5,57.0,75.0813498290664,1.91974970496896,0.0255689290261769,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
K02E2.6,20705,748.411437534086,20501,736.404983731452,1487,43.8437209290257,1103,42.290215704255,20603.0,1295.0,742.408210632769,43.0669683166404,0.0580098222242633,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
W04B5.2,10794,390.164359176186,11017,395.735510744325,894,26.3593049835568,657,25.1900922191256,10905.5,775.5,392.949934960255,25.7746986013412,0.0655928308117627,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
Y17D7B.4,17353,627.248668221637,16859,605.582733560731,1410,41.5734004774219,1091,41.8301226956865,17106.0,1250.5,616.415700891184,41.7017615865542,0.0676520106906164,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
F07G6.6,3281,118.596374139065,3226,115.879346252264,308,9.08128180641555,208,7.97494548185407,3253.5,258.0,117.237860195664,8.52811364413481,0.072741976268603,F07G6.6,WBGene00017225,Sequence name for WBGene00017225(fbxa-52). History: N.A.
F55C9.3,4507,162.911873893558,4271,153.416208258965,453,13.3565605789164,367,14.0711778453867,4389.0,410.0,158.164041076261,13.7138692121516,0.0867066187663932,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
F52D2.8,170,6.14488985176502,185,6.6452817906599,21,0.619178304982879,17,0.65179842880538,177.5,19.0,6.39508582121246,0.63548836689413,0.0993713586745339,F52D2.8,WBGene00018690,Sequence name for WBGene00018690(fbxa-46). History: N.A.
E01G4.5,2395,86.5706540881012,2501,89.8370257212995,315,9.28767457474318,242,9.27854233946483,2448.0,278.5,88.2038399047004,9.283108457104,0.105246080750384,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
Y37E11B.2,9409,340.101580089747,9476,340.382109450234,1354,39.9222583308008,1062,40.7182312583126,9442.5,1208.0,340.24184476999,40.3202447945567,0.118504661946604,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
ZK402.3,18245,659.491266737957,19045,684.104820016853,3018,88.9847678303966,2432,93.2455164032168,18645.0,2725.0,671.798043377405,91.1151421168067,0.135628769709917,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
F55C9.5,1440,52.0508316855389,1332,47.8460288927513,275,8.10828732715675,149,5.71282152305892,1386.0,212.0,49.9484302891451,6.91055442510783,0.138353785796741,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
ZK380.5,12232,442.142898039939,13250,475.945857979696,2110,62.2126773101845,1761,67.5186490074279,12741.0,1935.5,459.044378009817,64.8656631588062,0.141305865546226,ZK380.5,WBGene00044559,Public name for WBGene00044559. History: N.A.
W04B5.1,13557,490.036892472814,13226,475.083767369016,2487,73.3284021186866,2025,77.640695195935,13391.5,2256.0,482.560329920915,75.4845486573108,0.156425101644144,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
C02B8.2,126,4.55444777248466,90,3.23283979005076,20,0.589693623793218,17,0.65179842880538,108.0,18.5,3.89364378126771,0.620746026299299,0.159425479363496,C02B8.2,WBGene00015321,Sequence name for WBGene00015321(fbxc-38). History: N.A.
ZK402.2,3383,122.283308050124,3367,120.94412859001,711,20.9636083258489,498,19.0938598555929,3375.0,604.5,121.613718320067,20.0287340907209,0.164691404616119,ZK402.2,WBGene00022729,Public name for WBGene00022729. History: N.A.
F31A9.2,559,20.2058436890391,569,20.4387315615432,103,3.03692216253507,101,3.87244948878491,564.0,102.0,20.3222876252911,3.45468582565999,0.169994928196992,F31A9.2,WBGene00017941,Public name for WBGene00017941. History: N.A.
Y7A5A.8,40,1.44585643570942,40,1.43681768446701,11,0.32433149308627,6,0.230046504284252,40.0,8.5,1.44133706008821,0.277188998685261,0.192313794157417,Y7A5A.8,WBGene00012414,Public name for WBGene00012414. History: N.A.
F39E9.7,12831,463.794598164688,12580,451.879161764873,3404,100.365854769606,2512,96.3128031270068,12705.5,2958.0,457.83687996478,98.3393289483062,0.214791191473852,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
C11G6.2,30,1.08439232678206,15,0.538806631675127,8,0.235877449517287,3,0.115023252142126,22.5,5.5,0.811599479228594,0.175450350829707,0.216178491140073,C11G6.2,WBGene00007523,Public name for WBGene00007523. History: N.A.
F55A4.4,1014,36.6524606452337,952,34.1962608903147,242,7.13529284789794,246,9.43190667565433,983.0,244.0,35.4243607677742,8.28359976177613,0.233839075208148,F55A4.4,WBGene00018856,Public name for WBGene00018856. History: N.A.
