# Note: The workbook which this sheet was a part of contained links which did not update.
gene,OP50_N2_1,OP50_N2_1(rpm),OP50_N2_2,OP50_N2_2(rpm),OP50_hj41_1,OP50_hj41_1(rpm),OP50_hj41_2,OP50_hj41_2(rpm),average of OP50_N2,average of OP50_hj41,average rpm of OP50_N2,average rpm of OP50_hj41,N2/hj41 ratio,Input,Suggested Match,History
Y119D3B.8,1345,48.6169226507291,1339,48.097471987533,18,0.530724261413896,18,0.690139512852756,1342.0,18.0,48.3571973191311,0.610431887133326,79.2180066906781,Y119D3B.8,WBGene00022486,Sequence name for WBGene00022486(fbxa-61). History: N.A.
T08B6.2,2134,77.1364408450973,2033,73.0262588130356,60,1.76908087137965,54,2.07041853855827,2083.5,57.0,75.0813498290664,1.91974970496896,39.109968156125,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
T28D6.4,2971,107.390986762317,3153,113.257153978112,206,6.07384432507014,130,4.98434092615879,3062.0,168.0,110.324070370214,5.52909262561447,19.9533771344541,T28D6.4,WBGene00012124,Public name for WBGene00012124. History: N.A.
B0001.5,5925,214.167484539457,6009,215.845936649056,409,12.0592346065713,337,12.9209453239655,5967.0,373.0,215.006710594257,12.4900899652684,17.2141843006842,B0001.5,WBGene00007090,Public name for WBGene00007090. History: N.A.
Y53H1B.1,1588,57.4005004976638,1623,58.2988775472488,172,5.07136516462167,119,4.56258900163766,1605.5,145.5,57.8496890224563,4.81697708312967,12.009542089179,Y53H1B.1,WBGene00013180,Sequence name for WBGene00013180(cutl-10). History: N.A.
F11D11.12,12,0.433756930712825,13,0.466965747451777,2,0.0589693623793218,1,0.0383410840473753,12.5,1.5,0.450361339082301,0.0486552232133485,9.25617661042287,F11D11.12,WBGene00045362,Public name for WBGene00045362. History: N.A.
ZK402.3,18245,659.491266737957,19045,684.104820016853,3018,88.9847678303966,2432,93.2455164032168,18645.0,2725.0,671.798043377405,91.1151421168067,7.37306695429594,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
Y9D1A.1,737,26.639904827946,553,19.8640044877564,121,3.56764642394897,79,3.02894563974265,645.0,100.0,23.2519546578512,3.29829603184581,7.04968699999884,Y9D1A.1,WBGene00021186,Public name for WBGene00021186. History: N.A.
F44E2.2,5125,185.250355825269,5519,198.244920014335,905,26.6836364766431,810,31.056278078374,5322.0,857.5,191.747637919802,28.8699572775086,6.64177075416682,F44E2.2,,Sequence name for Suppressed gene WBGene00018416. History of WBGene00018416: Renamed on 2021-06-14. Remark: Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information.  Therefore this is not a genetic map position based on recombination frequencies or genetic experiments.  This was done on advice of the CGC....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene....Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information. Therefore this is not a genetic map position based on recombination frequencies or genetic experiments. This was done on advice of the CGC.
W04B5.1,13557,490.036892472814,13226,475.083767369016,2487,73.3284021186866,2025,77.640695195935,13391.5,2256.0,482.560329920915,75.4845486573108,6.39283586514732,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
