# Note: The workbook which this sheet was a part of contained links which did not update.
gene,OP50_N2_1,OP50_N2_1(rpm),OP50_N2_2,OP50_N2_2(rpm),OP50_hj41_1,OP50_hj41_1(rpm),OP50_hj41_2,OP50_hj41_2(rpm),average of OP50_N2,average of OP50_hj41,average rpm of OP50_N2,average rpm of OP50_hj41,Input,Suggested Match,History
K11D9.1,8810,318.44988,10222,367.1787593,13086,385.836538,10262,393.4562045,9516.0,11674.0,342.8143196,389.6463713,K11D9.1,WBGene00002219,Sequence name for WBGene00002219(klp-7). History: N.A.
Y17G7A.1,3674,132.8019136,4534,162.8632845,6017,177.4093267,4595,176.1772812,4104.0,5306.0,147.8325991,176.793304,Y17G7A.1,WBGene00001977,Sequence name for WBGene00001977(hmg-12). History: N.A.
C14B9.4,3798,137.2840686,4309,154.7811851,5521,162.7849248,4730,181.3533275,4053.5,5125.5,146.0326268,172.0691262,C14B9.4,WBGene00004042,Sequence name for WBGene00004042(plk-1). History: N.A.
ZK973.8,2690,97.2338453,2746,98.63753404,3776,111.3341562,2831,108.5436089,2718.0,3303.5,97.93568967,109.9388826,ZK973.8,WBGene00022834,Public name for WBGene00022834. History: N.A.
T09A5.11,2679,96.83623478,3043,109.3059053,3502,103.2553535,3026,116.0201203,2861.0,3264.0,103.0710701,109.6377369,T09A5.11,WBGene00011638,Sequence name for WBGene00011638(ostb-1). History: N.A.
C18G1.4,2349,84.90791919,2804,100.7209197,3574,105.3782506,2771,106.2431439,2576.5,3172.5,92.81441943,105.8106972,C18G1.4,WBGene00003994,"Sequence name for WBGene00003994(pgl-3). History: Renamed on 2005-10-06. Public name for Dead gene WBGene00015983. History of WBGene00015983: Merged into ""WBGene00003994"" on 2005-09-06"
T05H10.5,2572,92.96856882,2907,104.4207252,2963,87.36311036,2743,105.1695935,2739.5,2853.0,98.69464702,96.26635195,T05H10.5,WBGene00006734,Sequence name for WBGene00006734(ufd-2). History: N.A.
T21C12.4,1766,63.83456164,1910,68.60804443,2635,77.69213493,2085,79.94116024,1838.0,2360.0,66.22130303,78.81664759,T21C12.4,WBGene00011900,"Public name for WBGene00011900. History: Split into T21C12.8(WBGene00043998). History of WBGene00011900: Split into ""WBGene00043998"" on 2004-11-08"
Y65B4BL.2,1673,60.47294542,1915,68.78764664,2478,73.06303999,2066,79.21267964,1794.0,2272.0,64.63029603,76.13785981,Y65B4BL.2,WBGene00022034,Sequence name for WBGene00022034(deps-1). History: N.A.
F16A11.3,2009,72.61813948,2136,76.72606435,2547,75.09748299,1962,75.2252069,2072.5,2254.5,74.67210192,75.16134495,F16A11.3,WBGene00008878,Sequence name for WBGene00008878(ppfr-1). History: N.A.
C18G1.5,1709,61.77421622,2051,73.67282677,2484,73.23994808,1983,76.03036967,1880.0,2233.5,67.72352149,74.63515887,C18G1.5,WBGene00001855,Sequence name for WBGene00001855(hil-4). History: Renamed on 2010-11-12
R09B3.2,1756,63.47309753,1986,71.33799803,2454,72.35540764,1976,75.76198208,1871.0,2215.0,67.40554778,74.05869486,R09B3.2,WBGene00011155,Sequence name for WBGene00011155(rbm-3.1). History: N.A.
C47B2.3,1372,49.59287574,1541,55.35340129,2427,71.55932125,1945,74.57340847,1456.5,2186.0,52.47313852,73.06636486,C47B2.3,WBGene00006529,Sequence name for WBGene00006529(tba-2). History: N.A.
W03C9.1,1306,47.20721263,1432,51.4380731,2340,68.99415398,1805,69.20565671,1369.0,2072.5,49.32264286,69.09990534,W03C9.1,WBGene00012219,Public name for WBGene00012219. History: N.A.
H34C03.2,1741,62.93090136,1932,69.39829416,2078,61.26916751,1860,71.31441633,1836.5,1969.0,66.16459776,66.29179192,H34C03.2,WBGene00019259,Public name for WBGene00019259. History: N.A.
K10B2.5,1616,58.4126,1838,66.0217726,2006,59.14627047,1825,69.97247839,1727.0,1915.5,62.2171863,64.55937443,K10B2.5,WBGene00019608,Sequence name for WBGene00019608(ani-2). History: N.A.
C41G7.3,1364,49.30370446,1587,57.00574163,1988,58.61554621,1579,60.54057171,1475.5,1783.5,53.15472304,59.57805896,C41G7.3,WBGene00008061,"Sequence name for WBGene00008061(mina-1). History: Split into tspo-1(WBGene00077771). History of WBGene00008061: Split into ""WBGene00077771"" on 2008-06-10"
F33H1.2,1177,42.54432562,1361,48.88772171,1732,51.06746782,1452,55.67125404,1269.0,1592.0,45.71602367,53.36936093,F33H1.2,WBGene00001686,Sequence name for WBGene00001686(gpd-4). History: N.A.
ZK637.8,1356,49.01453317,1491,53.55737919,1660,48.94457077,1490,57.12821523,1423.5,1575.0,51.28595618,53.036393,ZK637.8,WBGene00006768,Sequence name for WBGene00006768(unc-32). History: N.A.
