Gene,eri-1(mg366);dpy-13(e458);GFP::NRDE-3;(dpy-13 RNAi)_No. of Reads,eri-1(mg366);dpy-13(e458);GFP::NRDE-3;(dpy-13 RNAi)_Reads per million,GFP::NRDE-3_No. of Reads,GFP::NRDE-3_Reads per million,Enrichment,fold change,Input,Suggested Match,History
E01G4.5,30.5,104.9975386,80071.47619,113634.9107,1082.262615,1082.262615,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
F39E9.7,46.0,158.3569434,65758.0,93321.67723,589.3121906,589.3121906,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
F55C9.3,67.0,230.6503307,65584.5,93075.45151,403.5348714,403.5348714,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
T16A1.8,86.0,296.0586334,49963.5,70906.62156,239.5019552,239.5019552,T16A1.8,WBGene00020537,"Sequence name for WBGene00020537(fbxb-37). History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
ZC132.4,189.0,650.640485,30831.5,43755.09127,67.24926019,67.24926019,ZC132.4,,Sequence name for Suppressed gene WBGene00022523. Molecular name for Suppressed gene WBGene00022523. Public name for Suppressed gene WBGene00022523. History of WBGene00022523: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y24F12A.3a,323.4,1113.318163,30703.425,43573.33127,39.13825599,39.13825599,,,
Y24F12A.3b,333.4,1147.743586,30526.925,43322.84804,37.74610338,37.74610338,,,
H37A05.4,19.23333333,66.21156258,21186.32937,30066.96966,454.1045172,454.1045172,H37A05.4,WBGene00044200,Public name for WBGene00044200. History: N.A.
Y46H3C.7,44.6,153.5373843,16763.58849,23790.35546,154.9482921,154.9482921,Y46H3C.7,WBGene00021607,Public name for WBGene00021607. History: N.A.
Y51H7C.15,28.03333333,96.50593437,15084.59563,21407.58181,221.8265846,221.8265846,Y51H7C.15,WBGene00044439,Public name for WBGene00044439. History: N.A.
F49B2.3,17.5,60.24448935,14779.0,20973.89014,348.1462017,348.1462017,F49B2.3,WBGene00009863,Public name for WBGene00009863. History: N.A.
W05H12.2,101.0,347.6967671,13896.5,19721.47401,56.72032607,56.72032607,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
Y13C8A.1,40.28333333,138.6770769,12424.30675,17632.18382,127.1456265,127.1456265,Y13C8A.1,WBGene00021188,Public name for WBGene00021188. History: N.A.
C01A2.1a,15.0,51.63813373,12329.33333,17497.40056,338.8464937,338.8464937,C01A2.1a,WBGene00007213,Molecule name for WBGene00007213(C01A2.1). History: N.A.
W04B5.2,6.0,20.65525349,12231.5,17358.55858,840.394362,840.394362,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
F46C3.7,44.38333333,152.7915001,12222.8004,17346.21238,113.5286476,113.5286476,F46C3.7,WBGene00164974,Public name for WBGene00164974. History: N.A.
F29G9.1,41.88333333,144.1851445,12069.3004,17128.37002,118.7942772,118.7942772,F29G9.1,WBGene00017930,Public name for WBGene00017930. History: N.A.
Y46H3C.5,17.5,60.24448935,11778.81667,16716.12469,277.4714313,277.4714313,Y46H3C.5,WBGene00021605,Public name for WBGene00021605. History: N.A.
E01G4.7,12.0,41.31050698,11767.0,16699.35485,404.2398911,404.2398911,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
Y49E10.30,37.55,129.2674614,10921.19683,15499.01769,119.8988324,119.8988324,Y49E10.30,WBGene00194981,Public name for WBGene00194981. History: N.A.
C01A2.1b,12.0,41.31050698,10321.33333,14647.71036,354.5759041,354.5759041,C01A2.1b,WBGene00007213,Molecule name for WBGene00007213(C01A2.1). History: N.A.
VH15N14R.1,25.73333333,88.5880872,9104.713889,12921.12246,145.8562079,145.8562079,VH15N14R.1,WBGene00012151,Public name for WBGene00012151. History: N.A.
F52D2.6,12.0,41.31050698,8143.642857,11557.2008,279.7641967,279.7641967,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
F55A4.4,5.0,17.21271124,7770.166667,11027.17518,640.6413857,640.6413857,F55A4.4,WBGene00018856,Public name for WBGene00018856. History: N.A.
C40A11.10,3.0,10.32762675,6897.0,9788.004621,947.7496488,947.7496488,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
F55C9.5,4.0,13.77016899,6386.5,9063.51914,658.1995576,658.1995576,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
CD4.8,32.33333333,111.308866,6178.083333,8767.740788,78.76947363,78.76947363,CD4.8,WBGene00016993,Public name for WBGene00016993. History: N.A.
K08A2.1,127.0,437.2028656,5921.0,8402.896239,19.21967329,19.21967329,K08A2.1,WBGene00019511,Sequence name for WBGene00019511(lido-8). History: N.A.
Y13C8A.4,2.5,8.606355621,5749.433333,8159.414243,948.068451,948.068451,Y13C8A.4,WBGene00219303,Public name for WBGene00219303. History: N.A.
Y9D1A.1,11.16666667,38.44172178,4565.933333,6479.828413,168.5623878,168.5623878,Y9D1A.1,WBGene00021186,Public name for WBGene00021186. History: N.A.
