# Table S2. Genes depleted for 22G-RNAs in parn-1,prg-1,and parn-1; prg-1 double mutant animals,Related to Figure 6
# # ""FALSE"" indicates  fold change ≤ 2,NA,NA,NA
# # ""TRUE"" indicates  fold change > 2,NA,NA,NA
# #  Genes with Reads Per Million greater than 10 in wild-type were listed,NA,NA,NA
WormBaseID,Gene_symbol_1,Gene_symbol_2,wild-type vs. parn-1,wild-type vs .prg-1,wild-type vs. prg-1; parn-1,wild-type,parn-1,prg-1,prg-1; parn-1,Input,Suggested Match,History
WBGene00000001,aap-1,Y110A7A.10,False,True,True,25.7602094,22.36691579,11.19884852,10.41282247,WBGene00000001,WBGene00000001,History: N.A.
WBGene00000010,aat-9,Y53H1C.1,False,False,False,10.92448671,12.52617954,25.27108581,17.99274471,WBGene00000010,WBGene00000010,History: N.A.
WBGene00000039,acn-1,C42D8.5,False,True,True,12.40805898,27.34911978,0.0,0.200527043,WBGene00000039,WBGene00000039,History: N.A.
WBGene00000041,aco-2,F54H12.1,False,False,False,27.37865188,28.09115016,32.56507268,26.33831566,WBGene00000041,WBGene00000041,History: N.A.
WBGene00000064,act-2,T04C12.5,False,False,False,10.25013568,15.26462499,21.56269518,19.4857597,WBGene00000064,WBGene00000064,History: N.A.
WBGene00000075,adm-4,ZK154.7,True,True,True,17.53312682,7.208295136,0.88411962,0.612518969,WBGene00000075,WBGene00000075,History: N.A.
WBGene00000079,adr-1,H15N14.1,False,False,False,26.02994982,31.05927169,56.87836223,43.00921628,WBGene00000079,WBGene00000079,History: N.A.
WBGene00000080,adr-2,T20H4.4,False,False,False,27.51352209,27.1371111,24.75534937,21.97411801,WBGene00000080,WBGene00000080,History: N.A.
WBGene00000081,ads-1,Y50D7A.7,False,False,False,157.528401,109.7144922,141.5770218,572.3224116,WBGene00000081,WBGene00000081,History: N.A.
WBGene00000089,aex-6,Y87G2A.4,False,False,False,383.7282153,662.2873548,850.6730359,1012.059988,WBGene00000089,WBGene00000089,History: Renamed on 2006-08-30
WBGene00000090,age-1,B0334.8,False,False,False,18.61208847,19.92881597,22.25034378,25.95549131,WBGene00000090,WBGene00000090,History: N.A.
WBGene00000097,aip-1,F58E10.4,False,False,False,24.81611796,40.28164929,42.43774177,43.79510628,WBGene00000097,WBGene00000097,History: N.A.
WBGene00000098,air-1,K07C11.2,False,False,False,19.69105012,30.10523263,28.29182785,18.60526368,WBGene00000098,WBGene00000098,History: N.A.
WBGene00000099,air-2,B0207.4,False,False,False,49.36249551,58.30238713,63.95131919,50.53281494,WBGene00000099,WBGene00000099,History: N.A.
WBGene00000101,aka-1,D1022.7,False,False,False,33.18727618,25.23904533,27.65329701,26.95418263,WBGene00000101,WBGene00000101,History: N.A.
WBGene00000102,akt-1,C12D8.10,False,False,False,22.52332445,22.89693749,34.77537173,33.07602432,WBGene00000102,WBGene00000102,History: N.A.
WBGene00000107,alh-1,F54D8.3,False,True,False,11.59883774,8.480347219,4.273244831,9.391957524,WBGene00000107,WBGene00000107,History: N.A.
WBGene00000109,alh-3,F36H1.6,False,False,False,43.42820643,67.41876039,95.77962552,93.71540225,WBGene00000109,WBGene00000109,History: N.A.
WBGene00000110,alh-4,T05H4.13,False,False,False,27.25964876,27.69278685,23.74499261,23.89845058,WBGene00000110,WBGene00000110,History: N.A.
WBGene00000112,alh-6,F56D12.1,False,True,True,46.9348318,73.03699043,10.60943544,10.8722117,WBGene00000112,WBGene00000112,History: Renamed on 2017-05-16
WBGene00000115,alh-9,F01F1.6,False,False,False,44.77690849,71.44692532,113.7567245,110.7893685,WBGene00000115,WBGene00000115,History: N.A.
WBGene00000121,aly-2,F23B2.6,False,False,False,17.8927807,21.20086805,15.32474008,10.8722117,WBGene00000121,WBGene00000121,History: Renamed on 2005-04-27
WBGene00000123,ama-1,F36A4.7,False,False,False,85.09234966,120.5976044,226.1965236,179.6377767,WBGene00000123,WBGene00000123,History: Renamed on 2007-10-04
WBGene00000140,anc-1,ZK973.6,False,False,False,97.51115916,72.93098609,152.6579878,90.26998305,WBGene00000140,WBGene00000140,History: N.A.
WBGene00000142,aos-1,C08B6.9,False,False,False,19.2864395,21.41287673,31.9756596,27.33365899,WBGene00000142,WBGene00000142,History: N.A.
WBGene00000143,apc-2,K06H7.6,False,False,False,18.56713174,17.9147335,25.78682226,29.86029974,WBGene00000143,WBGene00000143,History: N.A.
WBGene00000146,ape-1,F46F3.4,False,False,False,23.73715631,24.16898958,47.44775295,35.5261002,WBGene00000146,WBGene00000146,History: N.A.
WBGene00000147,aph-1,VF36H2L.1,False,False,False,16.45416517,16.00665538,12.81973449,9.494044019,WBGene00000147,WBGene00000147,History: N.A.
WBGene00000148,aph-2,ZC434.6,False,False,False,34.79651323,34.13339756,22.69240359,25.6237102,WBGene00000148,WBGene00000148,History: N.A.
WBGene00000151,apn-1,T05H10.2,False,False,False,33.71755158,38.69158419,21.6609307,43.02945757,WBGene00000151,WBGene00000151,History: N.A.
WBGene00000155,app-1,W03G9.4,False,False,False,27.51352209,34.45141058,48.33187257,49.99686084,WBGene00000155,WBGene00000155,History: N.A.
WBGene00000156,42095,K04G2.8,False,False,False,50.98093798,50.88208332,64.83543882,68.52555965,WBGene00000156,WBGene00000156,History: N.A.
WBGene00000158,apg-1,Y105E8A.9,False,False,False,27.10891147,31.93254554,51.87380858,50.01509057,WBGene00000158,WBGene00000158,History: N.A.
WBGene00000159,aps-1,F29G9.3,False,False,False,27.7832625,19.29278992,19.74533818,24.19449927,WBGene00000159,WBGene00000159,History: N.A.
WBGene00000160,apb-1,Y71H2B.10,False,False,False,24.14176693,25.44104166,16.79827278,19.98343136,WBGene00000160,WBGene00000160,History: N.A.
WBGene00000162,apd-3,W09G10.4,False,False,False,19.01669909,22.40072752,25.22196805,25.2645845,WBGene00000162,WBGene00000162,History: N.A.
WBGene00000163,apb-3,R11A5.1,False,False,True,26.30868158,15.02035412,13.91014869,8.664226654,WBGene00000163,WBGene00000163,History: N.A.
WBGene00000177,aqp-9,K07A1.16,False,True,False,30.75040704,75.15707723,2.357652321,117.1442528,WBGene00000177,WBGene00000177,History: N.A.
WBGene00000178,aqp-10,ZK1321.3,False,True,True,11.86857816,23.00294183,0.0,1.684427165,WBGene00000178,WBGene00000178,History: N.A.
WBGene00000182,arf-1.2,B0336.2,False,False,False,20.77001177,30.63525433,73.72575277,55.31811938,WBGene00000182,WBGene00000182,History: Renamed on 2020-09-10
WBGene00000183,arf-3,F57H12.1,False,False,False,13.21728022,11.87248611,20.33475126,14.62389038,WBGene00000183,WBGene00000183,History: Renamed on 2020-09-10
WBGene00000184,arf-6,Y116A8C.12,False,False,False,22.38845425,13.46255121,13.2617943,18.57974206,WBGene00000184,WBGene00000184,History: N.A.
WBGene00000186,ark-1,C01C7.1,False,False,False,41.00054272,40.57846144,35.02096051,35.60266507,WBGene00000186,WBGene00000186,History: N.A.
WBGene00000187,arl-1,F54C9.10,False,False,False,15.98211945,21.14786588,13.85120738,14.16450116,WBGene00000187,WBGene00000187,History: N.A.
WBGene00000192,arl-8,Y57G11C.13,False,False,False,20.23053095,18.02073784,24.75534937,25.65853737,WBGene00000192,WBGene00000192,History: N.A.
WBGene00000197,aars-2,F28H1.3,False,False,False,83.3497875,113.8486614,204.8210453,160.4289266,WBGene00000197,WBGene00000197,History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
WBGene00000199,arx-1,Y71F9AL.16,False,False,False,22.4184254,26.52464158,50.14922957,42.92737107,WBGene00000199,WBGene00000199,History: N.A.
WBGene00000200,arx-2,K07C5.1,False,False,False,22.65819466,21.83689409,12.08296814,12.09724964,WBGene00000200,WBGene00000200,History: N.A.
WBGene00000201,arx-3,Y79H2A.6,False,False,False,14.9031578,18.4447552,35.48056238,31.23846742,WBGene00000201,WBGene00000201,History: N.A.
WBGene00000204,arx-6,C35D10.16,False,False,False,31.69449848,48.01643265,81.38812282,67.10801575,WBGene00000204,WBGene00000204,History: N.A.
WBGene00000207,asb-2,F02E8.1,False,True,True,22.38845425,13.62155772,0.29470654,0.68908384,WBGene00000207,WBGene00000207,History: N.A.
WBGene00000209,asg-1,K07A12.3,False,False,False,10.25013568,13.35654687,9.78425713,9.524669967,WBGene00000209,WBGene00000209,History: N.A.
WBGene00000219,asp-6,F21F8.7,True,False,False,10.51987609,3.710151908,6.483543882,5.665800463,WBGene00000219,WBGene00000219,History: N.A.
WBGene00000221,atf-5,T04C10.4,False,True,True,76.77486494,45.15784894,12.67238122,15.46610397,WBGene00000221,WBGene00000221,"History: Split into T04C10.11(WBGene00303075). History of WBGene00000221: Split into ""WBGene00303075"" on 2018-03-02; Renamed on 2019-07-15"
WBGene00000222,atf-6,F45E6.2,False,False,False,14.83572269,16.43067274,7.662370042,8.575265565,WBGene00000222,WBGene00000222,History: N.A.
WBGene00000223,atf-7,C07G2.2,False,False,False,30.56036266,30.2713061,42.37746089,36.1769016,WBGene00000223,WBGene00000223,"History: Split into C07G2.5(WBGene00303035). History of WBGene00000223: Split into ""WBGene00303035"" on 2018-03-02"
WBGene00000224,atgp-1,F26D10.9,False,False,False,20.63514157,153.918302,1276.472261,876.6677743,WBGene00000224,WBGene00000224,History: Renamed on 2008-02-28
WBGene00000226,atl-1,T06E4.3,False,False,False,78.35958987,114.9087048,188.3174791,154.7376045,WBGene00000226,WBGene00000226,History: N.A.
WBGene00000227,atm-1,Y48G1BL.2,False,False,False,37.99743279,55.351933,83.84401065,65.38639994,WBGene00000227,WBGene00000227,History: N.A.
WBGene00000229,atp-2,C34E10.6,False,False,False,16.99364599,11.66047743,19.47519052,16.86979327,WBGene00000229,WBGene00000229,History: N.A.
WBGene00000231,atx-2,D2045.1,False,False,False,21.08470892,19.30339036,45.24520934,29.34556172,WBGene00000231,WBGene00000231,History: N.A.
WBGene00000236,bag-1,F57B10.11,False,False,True,30.75040704,19.61080294,26.81829515,10.64251709,WBGene00000236,WBGene00000236,History: N.A.
WBGene00000237,bam-2,Y71F9AR.1,False,True,True,12.13831857,42.4017361,1.4735327,1.071908196,WBGene00000237,WBGene00000237,History: N.A.
WBGene00000247,bec-1,T19E7.3,False,False,False,25.39413313,34.39702574,62.87548016,61.63727341,WBGene00000247,WBGene00000247,History: Renamed on 2008-02-29
WBGene00000249,bir-1,T27F2.3,False,False,False,14.56598228,16.11265972,27.11300169,29.01808615,WBGene00000249,WBGene00000249,History: N.A.
WBGene00000250,bir-2,C50B8.2,False,False,False,22.92793507,43.9918012,14.44062046,14.77702013,WBGene00000250,WBGene00000250,History: N.A.
WBGene00000253,bli-3,F56C11.1,True,True,True,14.56598228,1.236717303,0.0,0.0,WBGene00000253,WBGene00000253,History: N.A.
WBGene00000254,bli-4,K04F10.4,False,False,True,31.9642389,34.13339756,18.56651202,13.01602809,WBGene00000254,WBGene00000254,History: N.A.
WBGene00000257,bmk-1,F23B12.8,False,False,False,114.7745456,119.9969132,221.7666714,191.5653075,WBGene00000257,WBGene00000257,History: N.A.
