WormBase Gene,GeneName,ratio,LogRatio,Pvalue,Qvalue,>1.2&SigQ,csr-1 reg (Campbell 2015),Pgran reg (Campbell 2015),CSR-1 Targ (Claycomb 2009),Germline enriched (Reinke 2004),Soma enriched (Reinke 2004),RNAi,Input,Suggested Match,History
WBGene00018682; Dscr: none available; Molecule: F52D1.1; Class: Acid Alpha Glucosidase Relate ...,aagr-4,0.687231323737023,-0.541164958431647,6.66484229290701e-08,0.0003139007423113,Yes,Yes,No,No,No,No,No,aagr-4,WBGene00018682,Public name for WBGene00018682. History: N.A.
WBGene00012928; Dscr: aakb-2 encodes one of two C. elegans AMP kinase (AMPK) beta regulatory subunits.; Molecule: Y47D3A.15; Class: AMP-Activated Kinase Beta subunit ...,aakb-2,0.807010975550562,-0.311402811176739,0.0005477572255402,0.0289868200095443,Yes,No,No,Yes,No,No,No,aakb-2,WBGene00012928,Public name for WBGene00012928. History: N.A.
"WBGene00000196; Dscr: ars-1 encodes an alanyl tRNA synthetase; on the basis of similarity to S. cerevisiae ALA1p, ARS-1 is probably cytoplasmic.; Molecule: W02B12.6a; Class: Alanyl Amino-acyl tRNA Synthetase ...",aars-1,1.26687967650054,0.339946868839608,0.0001922986024375,0.0165876915340713,Yes,No,No,Yes,No,No,No,aars-1,WBGene00000196,Public name for WBGene00000196. History: Renamed on 2010-01-29
"WBGene00000197; Dscr: ars-2 encodes a predicted cytoplasmic alanyl-tRNA synthetase (AlaRS), a class II aminoacyl-tRNA synthetase that catalyzes the attachment of alanine to its cognate tRNA and is thus required for protein biosynthesis; ARS-2 is essential for embryogenesis, and is required for fertility and a normal rate of postembryonic development; ARS-2 expression is likely ubiquitous and detected in hypodermis, intestine, neurons, and the pharynx from late embryogenesis through the adult ...",aars-2,1.40903561138894,0.493219515089345,0.0002121549698501,0.0175916809331033,Yes,No,No,Yes,No,No,No,aars-2,WBGene00000197,Public name for WBGene00000197. History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
WBGene00000012; Dscr: The abf-1 gene encodes a homolog of the antibacterial factor ASABF from Ascaris suum; it is closely related to abf-2.; Molecule: C50F2.9; Class: AntiBacterial Factor related ...,abf-1,2.96829010916972,1.56564523068367,5.70035116225339e-07,0.0009943523668141,Yes,No,No,No,No,No,No,abf-1,WBGene00000012,Public name for WBGene00000012. History: N.A.
WBGene00000013; Dscr: The abf-2 gene encodes an antimicrobial peptide that is homologous to antibacterial factor ASABF from Ascaris suum and closely related to ABF-1.; Molecule: C50F2.10; Class: AntiBacterial Factor related ...,abf-2,3.23667498329489,1.7635718886211,0.0012291882146646,0.0462029581279142,Yes,No,No,No,No,No,No,abf-2,WBGene00000013,Public name for WBGene00000013. History: N.A.
WBGene00000016; Dscr: The abf-5 gene encodes a homolog of the antibacterial factor ASABF from Ascaris suum.; Molecule: T22H6.5; Class: AntiBacterial Factor related ...,abf-5,1.69324111179118,0.762088588679191,3.65923392094622e-06,0.0024273605522355,Yes,No,No,No,No,No,No,abf-5,WBGene00000016,Public name for WBGene00000016. History: N.A.
"WBGene00016943; Dscr: acdh-1 encodes a short-chain acyl-CoA dehydrogenase; ACDH-1 is predicted to be a mitochondrial enzyme that catalyzes the first step of fatty acid beta-oxidation and thus plays a key role in energy production; steady-state acdh-1 mRNA levels are under the control of the MDT-15 mediator complex subunit; in addition, gene expression studies indicate that acdh-1 expression is upregulated in daf-2 mutant animals, but downregulated in fasted animals; loss of acdh-1 activity v ...",acdh-1,0.815289158928422,-0.294796263240487,1.29081073153944e-05,0.004281310129158,Yes,No,No,Yes,No,Yes,No,acdh-1,WBGene00016943,Public name for WBGene00016943. History: Renamed on 2004-08-25
"WBGene00017125; Dscr: E04F6.5 is orthologous to the human gene ACYL-CoA DEHYDROGENASE, VERY LONG-CHAIN (OMIM:201475), which when mutated leads to VLCAD deficiency, an inborn error of mitochondrial beta-oxidation.; Molecule: E04F6.5a; Class: Acyl CoA DeHydrogenase ...",acdh-12,1.10000240205616,0.137340649002617,0.000236235968085,0.0186681906457529,No,No,No,Yes,No,No,No,acdh-12,WBGene00017125,Public name for WBGene00017125. History: N.A.
WBGene00015335; Dscr: none available; Molecule: C02D5.1; Class: Acyl CoA DeHydrogenase ...,acdh-6,0.708689949536492,-0.49365452605257,0.0008023416979437,0.0361960625380803,Yes,No,No,No,No,No,No,acdh-6,WBGene00015335,Public name for WBGene00015335. History: N.A.
WBGene00000045; Dscr: acr-6 encodes a nicotinic acetylcholine receptor (nAChR) alpha subunit that is a member of the UNC-38 subgroup of C. elegans nAChRs; ACR-6 is thus predicted to function in regulation of fast neurotransmission.; Molecule: ZK973.5; Class: AcetylCholine Receptor ...,acr-6,0.426762584544584,-1.22235085649381,0.0013223267968536,0.048503853176178,Yes,No,No,No,No,No,No,acr-6,WBGene00000045,Public name for WBGene00000045. History: N.A.
WBGene00020343; Dscr: none available; Molecule: T08B1.6; Class: fatty Acid CoA Synthetase family ...,acs-3,0.722476776299272,-0.469066940306165,2.25415252128411e-08,0.0002654151886185,Yes,No,No,No,No,No,No,acs-3,WBGene00020343,Public name for WBGene00020343. History: N.A.
WBGene00007228; Dscr: none available; Molecule: C01G6.7; Class: fatty Acid CoA Synthetase family ...,acs-7,0.558170173241902,-0.834906134719418,6.85079996194299e-05,0.0096316112420176,Yes,No,No,No,No,No,No,acs-7,WBGene00007228,Public name for WBGene00007228. History: N.A.
"WBGene00000071; Dscr: acy-4 encodes an adenylate cyclase most similar to vertebrate type V and type VI adenylate cyclases; by homology, ACY-4 is a predicted plasma membrane protein that catalyzes the conversion of ATP to cyclic AMP, a key second messenger in intracellular signaling.; Molecule: T01C2.1; Class: Adenylyl CYclase ...",acy-4,1.19749292425181,0.261397532615552,0.0008770647093124,0.0380018341114966,No,No,No,No,No,No,No,acy-4,WBGene00000071,Public name for WBGene00000071. History: N.A.
WBGene00044440; Dscr: none available; Molecule: Y73E7A.9; Class: ADiPose (Drosophila obesity gene) Related ...,adpr-1,1.14533666592531,0.196138600506801,0.001342989251309,0.0489188768431179,No,No,No,No,No,No,No,adpr-1,WBGene00044440,Public name for WBGene00044440. History: N.A.
WBGene00007081; Dscr: none available; Molecule: AH6.3; Class: not known ...,AH6.3,2.43900140533976,1.33008229728656,0.0009871449543142,0.0406403435824231,Yes,No,No,No,Yes,No,No,AH6.3,WBGene00007081,Public name for WBGene00007081. History: N.A.
WBGene00000109; Dscr: alh-3 encodes an aldehyde dehydrogenase predicted to be mitochondrial.; Molecule: F36H1.6; Class: ALdehyde deHydrogenase ...,alh-3,0.835073101940782,-0.260412311277083,2.34410369637914e-05,0.0056616715842084,No,No,No,Yes,No,No,No,alh-3,WBGene00000109,Public name for WBGene00000109. History: N.A.
"WBGene00018877; Dscr: aman-1 encodes an ortholog of human lysosomal mannosidase (MAN2B1; OMIM:609458, mutated in alpha-mannosidosis); AMAN-1 is predicted to help digest glycoproteins by removing mannose residues from their N-linked oligosaccharides; AMAN-1 has seven predicted N-glycosylation sites; AMAN-1 is biochemically active in vitro, has optimal activity at pH 4-4.5, and is unaffected by Co(II); however, AMAN-1 expressed in Pichia pastoris lacks normal activity, perhaps because it requi ...",aman-1,1.4217474108066,0.508298146267275,9.15645022086224e-05,0.0110294243606693,Yes,No,No,No,No,No,No,aman-1,WBGene00018877,Public name for WBGene00018877. History: N.A.
