gene,mRNA-seq_WT_OP50,mRNA-seq_set-32_OP50,mRNA-seq_met-2set-25set-32_OP50,mRNA-seq_met-2set-25_OP50,mRNA-seq_hrde-1_OP50,GRH loci,GRTS loci,K9(+)_genes,Input,Suggested Match,History
F08E10.6,0,0,0,0,0,no,no,yes,F08E10.6,WBGene00005330,Sequence name for WBGene00005330(srh-111). History: N.A.
F08E10.7,0,0,2.16,0.76,0,no,no,yes,F08E10.7,WBGene00008575,Sequence name for WBGene00008575(scl-24). History: N.A.
F08E10.2,0,0,0,0,0,no,no,yes,F08E10.2,WBGene00008574,Sequence name for WBGene00008574(srbc-61). History: N.A.
F08E10.3,0,0,0,0,0,no,no,yes,F08E10.3,WBGene00005341,Sequence name for WBGene00005341(srh-123). History: N.A.
F08E10.1,0,0,0,0,0,no,no,yes,F08E10.1,WBGene00005442,Sequence name for WBGene00005442(srh-235). History: N.A.
M04C3.1a,7.86,7.66,10.1,12.45,7.71,no,no,yes,M04C3.1a,WBGene00010850,Molecule name for WBGene00010850(M04C3.1). History: N.A.
F46F5.16,0,0,0,0.9,0,no,no,yes,F46F5.16,WBGene00018507,Public name for WBGene00018507. History: N.A.
Y41D4B.8,3.21,3.1,2.37,2.87,5.31,no,no,yes,Y41D4B.8,WBGene00003682,Sequence name for WBGene00003682(nhr-92). History: N.A.
Y82E9BL.6,1.09,0.59,0,0.64,0,no,no,yes,Y82E9BL.6,WBGene00022323,Public name for WBGene00022323. History: N.A.
W04A4.3,0,0,0,0,0,no,no,yes,W04A4.3,WBGene00012232,Public name for WBGene00012232. History: N.A.
W04A4.2,14.32,36.73,12.91,8.38,11.62,no,no,yes,W04A4.2,WBGene00012231,Public name for WBGene00012231. History: N.A.
W04A4.4,0,0,0.49,0.69,0,no,no,yes,W04A4.4,WBGene00012233,Sequence name for WBGene00012233(clpr-1). History: N.A.
T08G5.7,0,0,0,0.86,0,no,yes,yes,T08G5.7,WBGene00011626,Public name for WBGene00011626. History: N.A.
W05G11.6b.1,31.62,62.66,27.92,26.86,28.35,no,no,yes,,,
Y102A5C.24,0,0,0,0,0,no,no,yes,Y102A5C.24,WBGene00005946,Sequence name for WBGene00005946(srx-55). History: N.A.
F58E1.12,3.73,1.86,2.26,1.59,4.09,no,no,yes,F58E1.12,WBGene00019043,Sequence name for WBGene00019043(fbxc-26). History: N.A.
F58E1.13,2.4,1.97,1.5,2.11,1.61,no,no,yes,F58E1.13,WBGene00019044,Public name for WBGene00019044. History: N.A.
C06B8.7,1.69,2.66,2.46,2.49,1.86,no,no,yes,C06B8.7,WBGene00007372,Public name for WBGene00007372. History: N.A.
F13E9.11a,5.52,4.03,4.61,5.23,3.88,no,no,yes,F13E9.11a,WBGene00008760,Molecule name for WBGene00008760(F13E9.11). History: N.A.
F54F11.2,58.94,45.48,83.8,73,66.9,no,no,yes,F54F11.2,WBGene00010070,Sequence name for WBGene00010070(nep-17). History: N.A.
F58H7.7,0.42,0.27,0.2,0.1,1.39,no,yes,yes,F58H7.7,WBGene00019072,"Sequence name for WBGene00019072(fbxc-8). History: Split into F58H7.11(WBGene00271786). History of WBGene00019072: Split into ""WBGene00271786"" on 2017-09-21"
F58H7.5,0,2.77,1.27,0.59,18.29,no,yes,yes,F58H7.5,WBGene00019070,Public name for WBGene00019070. History: N.A.
F58H7.8,4.04,4.16,4.27,6.19,3.56,no,no,yes,F58H7.8,WBGene00019073,Sequence name for WBGene00019073(fbxc-3). History: N.A.
B0393.8,13.38,12.4,23.93,24.51,28.29,no,no,yes,B0393.8,WBGene00007173,Public name for WBGene00007173. History: N.A.
H04D03.1,9.85,11.73,26.74,16.54,15.47,yes,no,yes,H04D03.1,WBGene00010362,Sequence name for WBGene00010362(enu-3.1). History: Renamed on 2014-04-28
H04D03.3,24.22,24.68,22.48,24.62,23.45,yes,no,yes,H04D03.3,WBGene00010364,Sequence name for WBGene00010364(ecps-2). History: N.A.
Y40A1A.3,3.74,2.87,3.75,3.5,3.51,no,no,yes,Y40A1A.3,WBGene00021485,Public name for WBGene00021485. History: N.A.
Y6G8.1,0,0,0,0,0,no,no,yes,Y6G8.1,WBGene00012403,Sequence name for WBGene00012403(srz-45). History: N.A.
K08E4.4,0,0,0,0,0,no,no,yes,K08E4.4,,Public name for Dead gene WBGene00010668. History of WBGene00010668: Killed on 2017-09-21. Remark: No evidence for this gene.
W03H9.2,0,0.74,9.6,0.79,9.06,yes,yes,yes,W03H9.2,WBGene00012228,Public name for WBGene00012228. History: N.A.
W03H9.3,0,0,5.94,1.67,7.62,yes,yes,yes,W03H9.3,WBGene00012228,"Public name for Dead gene WBGene00012229. History of WBGene00012229: Merged into ""WBGene00012228"" on 2011-04-19"
R07C12.4,0,0,1.03,2.89,1.32,no,no,yes,R07C12.4,WBGene00019934,Public name for WBGene00019934. History: N.A.
ZK1025.10,0.2,0.65,1.83,0.47,0.27,no,no,yes,ZK1025.10,WBGene00014189,Sequence name for WBGene00014189(nhr-245). History: N.A.
B0554.3,0,0,0,0,0,no,no,yes,B0554.3,WBGene00015255,"Public name for Dead gene WBGene00015256. History of WBGene00015256: Merged into ""WBGene00015255"" on 2015-04-30"
T28A11.9,0,0,0,0,0,no,no,yes,T28A11.9,WBGene00005596,Sequence name for WBGene00005596(srj-8). History: N.A.
