# Note: In the following rows commas have been replaced with semicolons to work better with r
# In order to determine H3K9me2 marked genes; we employed published H3K9me2 ChIP-seq dataset SRX495107 (Gerstein et al.; 2010)
# and performed peak calling analysis using MACS (Lupien et al.; 2008). We then defined H3K9me2 marked genes as genes for which
# a significant H3K9me2 peak (FDR Qvalue < 0.1) overlaps the 1;000 bp centered around their TSS.
WBGene Name,Input,Suggested Match,History
WBGene00000003,WBGene00000003,WBGene00000003,History: N.A.
WBGene00000004,WBGene00000004,WBGene00000004,History: N.A.
WBGene00000009,WBGene00000009,WBGene00000009,History: N.A.
WBGene00000010,WBGene00000010,WBGene00000010,History: N.A.
WBGene00000019,WBGene00000019,WBGene00000019,History: N.A.
WBGene00000020,WBGene00000020,WBGene00000020,History: N.A.
WBGene00000022,WBGene00000022,WBGene00000022,History: N.A.
WBGene00000024,WBGene00000024,WBGene00000024,History: N.A.
WBGene00000025,WBGene00000025,WBGene00000025,History: N.A.
WBGene00000026,WBGene00000026,WBGene00000026,History: N.A.
WBGene00000027,WBGene00000027,WBGene00000027,History: N.A.
WBGene00000028,WBGene00000028,WBGene00000028,History: N.A.
WBGene00000029,WBGene00000029,WBGene00000029,History: N.A.
WBGene00000030,WBGene00000030,WBGene00000030,History: N.A.
WBGene00000031,WBGene00000031,WBGene00000031,History: N.A.
WBGene00000032,WBGene00000032,WBGene00000032,History: N.A.
WBGene00000033,WBGene00000033,WBGene00000033,History: N.A.
WBGene00000034,WBGene00000034,WBGene00000034,History: N.A.
WBGene00000036,WBGene00000036,WBGene00000036,"History: Split into Y44E3A.7(WBGene00303088). History of WBGene00000036: Split into ""WBGene00303088"" on 2018-03-02; Renamed on 2019-05-20"
WBGene00000037,WBGene00000037,WBGene00000037,History: Renamed on 2019-05-20
WBGene00000038,WBGene00000038,WBGene00000038,History: Renamed on 2019-05-20
WBGene00000039,WBGene00000039,WBGene00000039,History: N.A.
WBGene00000041,WBGene00000041,WBGene00000041,History: N.A.
WBGene00000042,WBGene00000042,WBGene00000042,History: N.A.
WBGene00000054,WBGene00000054,WBGene00000054,History: N.A.
WBGene00000056,WBGene00000056,WBGene00000056,History: N.A.
WBGene00000063,WBGene00000063,WBGene00000063,History: N.A.
WBGene00000065,WBGene00000065,WBGene00000065,History: N.A.
WBGene00000066,WBGene00000066,WBGene00000066,History: N.A.
WBGene00000067,WBGene00000067,WBGene00000067,History: N.A.
WBGene00000070,WBGene00000070,WBGene00000070,History: N.A.
WBGene00000081,WBGene00000081,WBGene00000081,History: N.A.
WBGene00000083,WBGene00000083,WBGene00000083,History: Renamed on 2011-10-20
WBGene00000088,WBGene00000088,WBGene00000088,History: N.A.
WBGene00000090,WBGene00000090,WBGene00000090,History: N.A.
WBGene00000097,WBGene00000097,WBGene00000097,History: N.A.
WBGene00000100,WBGene00000100,WBGene00000100,History: N.A.
WBGene00000105,WBGene00000105,WBGene00000105,History: N.A.
WBGene00000106,WBGene00000106,WBGene00000106,History: N.A.
WBGene00000113,WBGene00000113,WBGene00000113,History: N.A.
WBGene00000114,WBGene00000114,WBGene00000114,History: N.A.
WBGene00000115,WBGene00000115,WBGene00000115,History: N.A.
WBGene00000118,WBGene00000118,WBGene00000118,History: N.A.
WBGene00000145,WBGene00000145,WBGene00000145,History: N.A.
WBGene00000162,WBGene00000162,WBGene00000162,History: N.A.
WBGene00000165,WBGene00000165,WBGene00000165,History: N.A.
WBGene00000166,WBGene00000166,WBGene00000166,History: N.A.
WBGene00000168,WBGene00000168,WBGene00000168,History: N.A.
WBGene00000170,WBGene00000170,WBGene00000170,History: N.A.
WBGene00000175,WBGene00000175,WBGene00000175,History: N.A.
