# EV1.1. Genes with significantly deregulated 26G-RNA mapped reads in the directly cloned libraries.,,,,,,,
Gene stable ID (Ensembl),Gene name (Ensembl),Gene type (Ensembl),Sequence Name (WormBase),logFC (mutant vs. wildype),logCPM,PValue,FDR,Input,Suggested Match,History
WBGene00007307,spch-1,protein_coding,C04G2.8,-10.89595112,6.252610599,1.1837e-48,4.43304e-45,WBGene00007307,WBGene00007307,History: N.A.
WBGene00010102,F55C9.5,protein_coding,F55C9.5,-10.41085538,5.780210067,1.93667e-48,4.43304e-45,WBGene00010102,WBGene00010102,History: N.A.
WBGene00044205,T13F3.8,protein_coding,T13F3.8,-9.659761882,5.045049335,8.10569e-40,2.0958599999999998e-37,WBGene00044205,WBGene00044205,History: N.A.
WBGene00185076,Y7A9A.79,ncRNA,Y7A9A.79,-9.646324577,5.034498026,1.2517599999999998e-39,2.86528e-37,WBGene00185076,WBGene00185076,History: N.A.
WBGene00219728,linc-16,lincRNA,T08E11.10,-9.597183077,7.630627376,1.23822e-40,4.72381e-38,WBGene00219728,WBGene00219728,History: N.A.
WBGene00006044,ssp-16,protein_coding,T27A3.3,-9.559518038,4.952137537,1.45409e-38,2.66273e-36,WBGene00006044,WBGene00006044,History: N.A.
WBGene00010466,K01D12.7,protein_coding,K01D12.7,-9.473790812,4.869223321,1.6620599999999999e-37,2.71747e-35,WBGene00010466,WBGene00010466,History: N.A.
WBGene00022751,ZK484.5,protein_coding,ZK484.5,-9.462862448,4.854281249,2.2361e-37,3.41229e-35,WBGene00022751,WBGene00022751,History: N.A.
WBGene00017542,F17E9.5,protein_coding,F17E9.5,-9.440683684,4.833098435,4.22848e-37,6.04937e-35,WBGene00017542,WBGene00017542,History: N.A.
WBGene00020370,T08H10.3,protein_coding,T08H10.3,-9.396646333,4.796998005,1.60014e-36,2.15455e-34,WBGene00020370,WBGene00020370,History: N.A.
WBGene00017386,nspd-5,protein_coding,F11G11.8,-9.349274123,4.749913509,6.05259e-36,6.92719e-34,WBGene00017386,WBGene00017386,History: N.A.
WBGene00235158,Y37E3.30,protein_coding,Y37E3.30,-9.23987593,7.780871003,7.12664e-39,1.35941e-36,WBGene00235158,WBGene00235158,History: N.A.
WBGene00013979,ZK507.3,protein_coding,ZK507.3,-9.227750617,4.631160466,1.6816300000000002e-34,1.75567e-32,WBGene00013979,WBGene00013979,History: N.A.
WBGene00021633,Y47G6A.3,protein_coding,Y47G6A.3,-9.179143866,4.584573985,6.0939300000000005e-34,6.19956e-32,WBGene00021633,WBGene00021633,History: N.A.
WBGene00194923,linc-121,lincRNA,Y57G11C.1134,-9.167690526,4.573194596,8.934080000000001e-34,8.52088e-32,WBGene00194923,WBGene00194923,History: N.A.
WBGene00016765,C49C8.1,protein_coding,C49C8.1,-9.159812687,4.573463609,1.1066300000000001e-33,1.03391e-31,WBGene00016765,WBGene00016765,History: N.A.
WBGene00219304,F56D6.16,pseudogene,F56D6.16,-9.147024725,4.553726207,1.58249e-33,1.4489299999999999e-31,WBGene00219304,WBGene00219304,History: N.A.
WBGene00185118,K02E2.11,protein_coding,K02E2.11,-9.138313062,7.682994105,2.2608e-39,4.92854e-37,WBGene00185118,WBGene00185118,History: N.A.
WBGene00077772,T02G6.10,pseudogene,T02G6.10,-9.126731411,4.537933857,2.86269e-33,2.52027e-31,WBGene00077772,WBGene00077772,History: N.A.
WBGene00007337,C05C12.5,protein_coding,C05C12.5,-9.112667261,4.52692807,4.26158e-33,3.68104e-31,WBGene00007337,WBGene00007337,History: N.A.
WBGene00009446,F35H8.1,protein_coding,F35H8.1,-9.081791942,4.496695193,9.27808e-33,7.45176e-31,WBGene00009446,WBGene00009446,History: N.A.
WBGene00021398,Y38C1AA.7,protein_coding,Y38C1AA.7,-9.069714896,4.482995062,1.3997e-32,1.1048e-30,WBGene00021398,WBGene00021398,History: N.A.
WBGene00194708,Y36E3A.2,protein_coding,Y36E3A.2,-9.043938643,4.461475764,2.79517e-32,2.16886e-30,WBGene00194708,WBGene00194708,History: N.A.
WBGene00013033,Y49E10.10,protein_coding,Y49E10.10,-9.023678323,4.443284638,5.60602e-32,4.20727e-30,WBGene00013033,WBGene00013033,History: N.A.
WBGene00016058,nspd-3,protein_coding,C24D10.7,-9.007251103,4.426578029,8.977760000000001e-32,6.52384e-30,WBGene00016058,WBGene00016058,History: N.A.
WBGene00012605,Y38F1A.1,protein_coding,Y38F1A.1,-8.982196667,4.396228475,1.8365e-31,1.31367e-29,WBGene00012605,WBGene00012605,History: N.A.
WBGene00219661,linc-45,lincRNA,C44B11.9,-8.977336716,4.394829479,2.32098e-31,1.60991e-29,WBGene00219661,WBGene00219661,History: N.A.
WBGene00018999,F57B9.8,protein_coding,F57B9.8,-8.970788649,4.38948469,2.94355e-31,1.9828200000000002e-29,WBGene00018999,WBGene00018999,History: N.A.
WBGene00017215,F07F6.1,protein_coding,F07F6.1,-8.970263731,4.388657828,2.94521e-31,1.9828200000000002e-29,WBGene00017215,WBGene00017215,History: N.A.
WBGene00007777,C27D8.1,protein_coding,C27D8.1,-8.965780126,4.393006972,3.71371e-31,2.46397e-29,WBGene00007777,WBGene00007777,History: N.A.
WBGene00014197,ZK1053.2,protein_coding,ZK1053.2,-8.953917605,4.374056292,4.76112e-31,3.06991e-29,WBGene00014197,WBGene00014197,History: N.A.
WBGene00010241,F58D2.2,protein_coding,F58D2.2,-8.929870843,4.355767704,9.82115e-31,6.159070000000001e-29,WBGene00010241,WBGene00010241,History: N.A.
WBGene00007081,AH6.3,protein_coding,AH6.3,-8.903609367,4.32716911,2.05499e-30,1.25437e-28,WBGene00007081,WBGene00007081,History: N.A.
WBGene00004906,snf-7,protein_coding,ZK1010.9,-8.847740314,4.276728832,1.17247e-29,6.97086e-28,WBGene00004906,WBGene00004906,History: N.A.
WBGene00019084,F59A6.2,protein_coding,F59A6.2,-8.810928247,4.245939669,4.16207e-29,2.3817399999999997e-27,WBGene00019084,WBGene00019084,History: N.A.
WBGene00043147,nspd-6,protein_coding,C24D10.8,-8.802166238,4.235101914,5.39293e-29,3.048e-27,WBGene00043147,WBGene00043147,History: Killed on 2004-10-04; Resurrected on 2006-10-03
WBGene00016635,C44B11.6,protein_coding,C44B11.6,-8.793354695,7.338466495,3.84656e-41,1.60087e-38,WBGene00016635,WBGene00016635,History: N.A.
WBGene00017672,F21F3.2,protein_coding,F21F3.2,-8.73237394,4.16432709,3.3828800000000003e-28,1.8219800000000002e-26,WBGene00017672,WBGene00017672,History: N.A.
WBGene00019026,F58A6.9,protein_coding,F58A6.9,-8.703938141,4.137376148,7.52251e-28,3.88683e-26,WBGene00019026,WBGene00019026,History: N.A.
WBGene00015689,spch-2,protein_coding,C10G11.9,-8.687549403,5.947101452,4.69594e-47,7.166010000000001e-44,WBGene00015689,WBGene00015689,History: N.A.
WBGene00014154,ZK930.4,protein_coding,ZK930.4,-8.668983908,4.110409175,2.2021e-27,1.09278e-25,WBGene00014154,WBGene00014154,History: N.A.
WBGene00009680,msd-1,protein_coding,F44D12.3,-8.661442669,4.096968312,2.21994e-27,1.09278e-25,WBGene00009680,WBGene00009680,History: N.A.
WBGene00044180,C47E8.11,protein_coding,C47E8.11,-8.644548171,4.084003215,3.8202799999999996e-27,1.8218000000000003e-25,WBGene00044180,WBGene00044180,History: N.A.
WBGene00019642,K11C4.1,protein_coding,K11C4.1,-8.617519676,4.062052126,8.70584e-27,4.07086e-25,WBGene00019642,WBGene00019642,History: N.A.
WBGene00007597,C15A11.2,protein_coding,C15A11.2,-8.615273197,4.06448526,1.1416e-26,5.22624e-25,WBGene00007597,WBGene00007597,History: N.A.
WBGene00044744,F10G7.12,protein_coding,F10G7.12,-8.615013178,4.060380164,8.71438e-27,4.07086e-25,WBGene00044744,WBGene00044744,History: N.A.
WBGene00016942,C55B7.3,protein_coding,C55B7.3,-8.603444639,4.050418539,1.5130900000000002e-26,6.82768e-25,WBGene00016942,WBGene00016942,History: N.A.
WBGene00009079,F23B12.1,protein_coding,F23B12.1,-8.598208572,4.041166919,1.52124e-26,6.82768e-25,WBGene00009079,WBGene00009079,History: N.A.
WBGene00020072,R13H9.6,protein_coding,R13H9.6,-8.580773297,4.029702577,2.65523e-26,1.18016e-24,WBGene00020072,WBGene00020072,History: N.A.
WBGene00015321,fbxc-38,protein_coding,C02B8.2,-8.564835554,4.013325972,3.5353400000000003e-26,1.5158600000000001e-24,WBGene00015321,WBGene00015321,History: N.A.
WBGene00194700,B0025.5,protein_coding,B0025.5,-8.563599691,4.00956971,3.54297e-26,1.5158600000000001e-24,WBGene00194700,WBGene00194700,History: N.A.
WBGene00002208,kin-26,protein_coding,T06C10.6,-8.561087595,4.0123904,4.67094e-26,1.9529100000000002e-24,WBGene00002208,WBGene00002208,History: N.A.
WBGene00010728,K09G1.2,protein_coding,K09G1.2,-8.555912373,4.004332963,4.69244e-26,1.9529100000000002e-24,WBGene00010728,WBGene00010728,History: N.A.
WBGene00235359,F56D6.22,protein_coding,F56D6.22,-8.539898816,3.990263517,8.2764e-26,3.36381e-24,WBGene00235359,WBGene00235359,History: N.A.
WBGene00016462,C35E7.10,protein_coding,C35E7.10,-8.536208198,3.987403002,8.289770000000001e-26,3.36381e-24,WBGene00016462,WBGene00016462,History: N.A.
WBGene00012819,Y43F8B.9,protein_coding,Y43F8B.9,-8.533249404,3.984585047,8.30298e-26,3.36381e-24,WBGene00012819,WBGene00012819,History: N.A.
WBGene00014168,ZK945.6,protein_coding,ZK945.6,-8.521728631,3.972931262,1.10745e-25,4.4473100000000005e-24,WBGene00014168,WBGene00014168,History: N.A.
WBGene00015516,C06A8.6,protein_coding,C06A8.6,-8.489724303,3.941473877,2.64085e-25,1.04223e-23,WBGene00015516,WBGene00015516,History: N.A.
WBGene00014174,ZK970.8,protein_coding,ZK970.8,-8.482328072,3.940671401,3.51761e-25,1.34474e-23,WBGene00014174,WBGene00014174,History: N.A.
WBGene00012010,T25B9.4,protein_coding,T25B9.4,-8.481018784,3.936917321,3.52489e-25,1.34474e-23,WBGene00012010,WBGene00012010,History: N.A.
WBGene00020713,T23B3.5,protein_coding,T23B3.5,-8.466675269,3.921556961,4.7386e-25,1.7636800000000001e-23,WBGene00020713,WBGene00020713,History: N.A.
WBGene00018531,F47B3.7,protein_coding,F47B3.7,-8.460559151,3.915388451,6.34577e-25,2.34282e-23,WBGene00018531,WBGene00018531,History: N.A.
