# EV1.2. Genes with significantly deregulated 26G-RNA mapped reads in the oxidized libraries.,,,,,,,
Gene stable ID (Ensembl),Gene name (Ensembl),Gene type (Ensembl),Sequence Name (WormBase),logFC (mutant vs. wildype),logCPM,PValue,FDR,Input,Suggested Match,History
WBGene00013638,Y105C5A.14,pseudogene,Y105C5A.14,-11.34353976,6.430546717,5.03243e-09,3.28953e-07,WBGene00013638,WBGene00013638,"History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
WBGene00020537,fbxb-37,protein_coding,T16A1.8,-10.77543317,5.870524168,3.79482e-09,2.56608e-07,WBGene00020537,WBGene00020537,"History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
WBGene00194708,Y36E3A.2,protein_coding,Y36E3A.2,-10.37845655,5.48122608,2.16835e-09,1.57486e-07,WBGene00194708,WBGene00194708,History: N.A.
WBGene00015321,fbxc-38,protein_coding,C02B8.2,-10.03603306,5.146973416,6.90775e-10,7.12952e-08,WBGene00015321,WBGene00015321,History: N.A.
WBGene00012819,Y43F8B.9,protein_coding,Y43F8B.9,-9.957488442,5.068202177,5.11464e-10,5.57212e-08,WBGene00012819,WBGene00012819,History: N.A.
WBGene00007213,C01A2.1,protein_coding,C01A2.1,-9.753314638,4.872351856,2.31427e-10,3.02552e-08,WBGene00007213,WBGene00007213,History: N.A.
WBGene00235158,Y37E3.30,protein_coding,Y37E3.30,-9.643499144,8.646277272,2.73465e-07,9.57615e-06,WBGene00235158,WBGene00235158,History: N.A.
WBGene00219756,linc-68,lincRNA,Y49F6A.10,-9.609413871,4.733969059,1.30625e-10,2.56156e-08,WBGene00219756,WBGene00219756,History: N.A.
WBGene00219493,C18D4.12,protein_coding,C18D4.12,-9.447057547,4.576100526,6.5069e-11,1.95842e-08,WBGene00219493,WBGene00219493,History: N.A.
WBGene00219728,linc-16,lincRNA,T08E11.10,-9.398191115,8.594342545,2.91841e-07,9.86724e-06,WBGene00219728,WBGene00219728,History: N.A.
WBGene00007960,C35D6.3,protein_coding,C35D6.3,-9.179748035,4.319972314,2.37019e-11,1.95842e-08,WBGene00007960,WBGene00007960,History: N.A.
WBGene00012290,W05H12.2,protein_coding,W05H12.2,-9.168789485,6.295216622,6.98605e-08,2.79585e-06,WBGene00012290,WBGene00012290,History: N.A.
WBGene00219755,linc-17,lincRNA,Y49F6A.9,-9.117010886,7.60439874,2.55947e-07,9.12569e-06,WBGene00219755,WBGene00219755,History: N.A.
WBGene00007523,C11G6.2,protein_coding,C11G6.2,-9.044797504,4.191845971,3.18167e-11,1.95842e-08,WBGene00007523,WBGene00007523,History: N.A.
WBGene00016635,C44B11.6,protein_coding,C44B11.6,-9.041955441,8.402849885,5.27006e-07,1.62839e-05,WBGene00016635,WBGene00016635,History: N.A.
WBGene00185076,Y7A9A.79,ncRNA,Y7A9A.79,-8.918526339,6.041074893,6.68928e-08,2.73285e-06,WBGene00185076,WBGene00185076,History: N.A.
