# Table S1. WAGO-4-associated siRNAs targeted genes,Related to Figure 5
# The targets were selected using a threshold of 25 reads per million total reads.,NA
Gene ID,number of reads,number of reads per million,Input,Suggested Match,History
Y60A3A.12,68454,5814.4897962304,Y60A3A.12,WBGene00000499,Sequence name for WBGene00000499(chk-2). History: N.A.
Y54G2A.19,58383,4959.0580210553,Y54G2A.19,WBGene00021884,Public name for WBGene00021884. History: N.A.
Y46G5A.4,54191,4602.9891101692,Y46G5A.4,WBGene00012896,Sequence name for WBGene00012896(snrp-200). History: Renamed on 2005-03-17
F32D1.1,53772,4567.3992071011,F32D1.1,WBGene00017981,Sequence name for WBGene00017981(figl-1). History: N.A.
F07A5.1,48419,4112.7148368785,F07A5.1,WBGene00002136,Sequence name for WBGene00002136(inx-14). History: N.A.
B0047.3,44266,3759.9585900011,B0047.3,WBGene00015014,Sequence name for WBGene00015014(bath-24). History: N.A.
Y106G6H.2,36218,3076.3606427656,Y106G6H.2,WBGene00003902,Sequence name for WBGene00003902(pab-1). History: N.A.
T16H12.11,35436,3009.9374823856,T16H12.11,WBGene00011819,Sequence name for WBGene00011819(hal-2). History: N.A.
T05G5.3,34791,2955.1511160875,T05G5.3,WBGene00000405,Sequence name for WBGene00000405(cdk-1). History: N.A.
W09C5.12,34590,2938.0781554271,W09C5.12,WBGene00194660,Public name for WBGene00194660. History: N.A.
F15D3.7,33119,2813.1312642264,F15D3.7,WBGene00008857,Sequence name for WBGene00008857(timm-23). History: N.A.
F10G7.4,31380,2665.4204254786,F10G7.4,WBGene00004737,Sequence name for WBGene00004737(scc-1). History: N.A.
ZK1067.3,28921,2456.5527127236,ZK1067.3,WBGene00014209,Public name for WBGene00014209. History: N.A.
F15B9.4,24131,2049.6896203704,F15B9.4,WBGene00008848,Sequence name for WBGene00008848(inft-2). History: N.A.
Y17D7B.4,23587,2003.4822044539,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
K11D9.1,21395,1817.2934991432,K11D9.1,WBGene00002219,Sequence name for WBGene00002219(klp-7). History: N.A.
M01E11.6,20888,1774.2288670298,M01E11.6,WBGene00002225,Sequence name for WBGene00002225(klp-15). History: N.A.
M163.3,20459,1737.7895629339,M163.3,WBGene00001898,Sequence name for WBGene00001898(his-24). History: Renamed on 2010-11-12
C47G2.8,20128,1709.6743889112,C47G2.8,WBGene00044161,Public name for WBGene00044161. History: Killed on 2007-10-17; Resurrected on 2010-05-27
K11D12.2,19971,1696.3387927735,K11D12.2,WBGene00004136,"Sequence name for WBGene00004136(pqn-51). History: Split into K11D12.14(WBGene00303069). History of WBGene00004136: Split into ""WBGene00303069"" on 2018-03-02"
C06G3.2,19702,1673.4899051236,C06G3.2,WBGene00002228,Sequence name for WBGene00002228(klp-18). History: N.A.
T24H10.5,18994,1613.3523123499,T24H10.5,WBGene00012003,Public name for WBGene00012003. History: N.A.
F46F11.9,18595,1579.4612113376,F46F11.9,WBGene00018512,Sequence name for WBGene00018512(trpp-8). History: N.A.
D2030.6,18445,1566.7201959195,D2030.6,WBGene00004178,"Sequence name for WBGene00004178(prg-1). History: N.A.. Public name for Dead gene WBGene00008416. History of WBGene00008416: Merged into ""WBGene00004178"" on 2007-11-05"
Y46G5A.5,17970,1526.3736470953,Y46G5A.5,WBGene00012897,Sequence name for WBGene00012897(pisy-1). History: N.A.
C26E6.9,17899,1520.3428997974,C26E6.9,WBGene00004782,Sequence name for WBGene00004782(set-2). History: N.A.
R107.6,17828,1514.3121524994,R107.6,WBGene00000549,Sequence name for WBGene00000549(cls-2). History: N.A.
ZK1067.2,17807,1512.5284103409,ZK1067.2,WBGene00014208,Sequence name for WBGene00014208(znfx-1). History: N.A.
D2096.2,17675,1501.3163167729,D2096.2,WBGene00017070,Sequence name for WBGene00017070(praf-3). History: N.A.
