gene_id,gene_name,log2 fold change (MLE): group dpy f3 vs wt f3,Benjamini-Hochberg adjusted p-values,mutant_f1_smRNAseq_rep1,mutant_f1_smRNAseq_rep2,mutant_f1_smRNAseq_rep3,mutant_f1_smRNAseq_rep4,wt_smRNAseq_rep1,wt_smRNAseq_rep2,wt_smRNAseq_rep3,wt_smRNAseq_rep4,Input,Suggested Match,History
WBGene00017853,F27C1.3,-2.85550302246531,3.1207695751247296e-30,1689.65533056729,1160.47962185295,1331.92262455369,797.845331099642,8597.79805355002,8767.79386477767,8110.03173450783,9795.34207164168,WBGene00017853,WBGene00017853,History: N.A.
WBGene00009457,F36A2.10,-2.83242862835857,1.10302132050905e-26,2073.13172782791,1489.98011359409,1118.14344699927,1507.02255712539,11789.0983898971,11339.1888721788,10632.1983897336,11137.6821621529,WBGene00009457,WBGene00009457,History: N.A.
WBGene00019642,K11C4.1,-2.78624453500976,1.10302132050905e-26,1502.21368713994,1029.10327455713,1243.00654822354,851.974802443738,6696.81106439614,7263.86141614126,8150.82666274982,9221.53755429008,WBGene00019642,WBGene00019642,History: N.A.
WBGene00194700,B0025.5,-2.77462560191183,3.3976570045590897e-26,3220.66156150811,3026.9429301073,2977.82327921477,2081.06393151055,15885.1614820975,18851.901429881,18835.6132436878,22315.5872803098,WBGene00194700,WBGene00194700,History: N.A.
WBGene00020990,W03D8.9,-2.99175719060823,7.48763338037257e-26,1512.51404591104,733.282189899492,1021.9590644617,446.375160040626,7311.59519957137,6045.53528579428,7309.51103689595,8046.95950607763,WBGene00020990,WBGene00020990,History: N.A.
WBGene00019084,F59A6.2,-2.38603932164693,2.3577592400290203e-25,9052.27109227,5200.07304601927,7247.22604536565,4449.74767381675,38049.4709938478,31203.0311070029,27927.6556143588,36971.3990775515,WBGene00019084,WBGene00019084,History: N.A.
WBGene00014179,ZK1010.5,-2.61390241064068,1.00186443710633e-24,754.277671666585,764.013103252126,512.675729848214,330.725097829271,3118.48556994166,3315.20836484591,4052.57267006225,3752.00856798473,WBGene00014179,WBGene00014179,History: N.A.
WBGene00014154,ZK930.4,-2.58297281928283,2.43488645627978e-24,3087.31180148857,1667.81845909205,1807.86780153415,1962.83772820038,15462.8944817022,11981.2617927991,9801.6846091473,14305.3706661642,WBGene00014154,WBGene00014154,History: N.A.
WBGene00006044,ssp-16,-2.77498721887106,2.50976899788422e-24,3606.76426332633,1578.59360325585,3960.09137478909,1499.07657913644,15408.8661990967,17946.5780669668,18112.1727563901,17920.6713138223,WBGene00006044,WBGene00006044,History: N.A.
WBGene00012721,Y39E4B.13,-2.53786200328939,3.02158028853864e-24,3271.2513085983,2511.06517355117,2026.09326152,1930.83208761759,12206.8737481216,16057.2969035172,13335.4344688315,14883.3259060284,WBGene00012721,WBGene00012721,History: N.A.
