gene_id,gene_name,log2 fold change (MLE): group dpy f3 vs wt f3,Benjamini-Hochberg adjusted p-values,mutant_f1_smRNAseqRppH_rep1,mutant_f1_smRNAseqRppH_rep2,mutant_f1_smRNAseqRppH_rep3,mutant_f1_smRNAseqRppH_rep4,wt_smRNAseqRppH_rep1,wt_smRNAseqRppH_rep2,wt_smRNAseqRppH_rep3,wt_smRNAseqRppH_rep4,Input,Suggested Match,History
WBGene00219493,C18D4.12,-1.74194823963441,1.68788766982378e-26,285.193377089983,146.650825643998,269.310834607453,207.341745619436,723.228336374351,687.443745511446,773.689906798117,797.133474115956,WBGene00219493,WBGene00219493,History: N.A.
WBGene00219689,linc-41,-1.26734464025915,1.68788766982378e-26,491.523525342219,374.610072764002,500.31792880886,389.746183356006,1087.31717158204,1063.17504766166,960.634155584293,1072.21301320152,WBGene00219689,WBGene00219689,History: N.A.
WBGene00219661,linc-45,-1.15654950988437,3.3989870215576604e-25,712.710204457803,546.168712789374,678.569120998865,539.983538951337,1389.08671159029,1314.8470897913,1358.98395937141,1404.23907954237,WBGene00219661,WBGene00219661,History: N.A.
WBGene00004155,pqn-73,2.18584885251217,4.55059229018137e-24,49.2530467228389,52.2455239674171,41.7785739192915,32.635337192613,9.46666517611815,10.8782356961864,9.367925337738,8.8052568412636,WBGene00004155,WBGene00004155,History: N.A.
WBGene00012176,W01C9.2,2.82778236792596,4.47252474360595e-20,60.4952031190423,31.7130220329314,53.4091352574607,32.1578286224121,7.78759383109766,8.40143265222206,5.49117659550249,3.74747565856049,WBGene00012176,WBGene00012176,History: N.A.
WBGene00235158,Y37E3.30,0.900538476357546,1.4428470465121802e-19,2083.57014323214,1921.25196296739,2140.65643942827,1725.21816596366,1065.41425566391,1179.52171526567,981.977330860881,985.922063227356,WBGene00235158,WBGene00235158,History: N.A.
WBGene00009089,jmjd-3.2,1.17844471581557,2.29049230294409e-16,78.6345400617859,71.3315172306812,76.8580116417317,69.0496192049842,32.9289960343402,35.8765919848929,30.5531758107111,31.1919467306009,WBGene00009089,WBGene00009089,History: N.A.
WBGene00015534,C06E4.5,1.38334061665347,3.6851805029243e-16,409.34511691652,384.488880799897,565.623370799647,334.806963737713,162.815512897503,176.286500003481,170.412532809054,137.20033526231,WBGene00015534,WBGene00015534,History: N.A.
WBGene00012961,Y47H10A.5,0.931257128328292,4.2565026491444e-16,5596.76883533213,4901.74945595842,5971.17182955621,4322.89342947597,2947.31092433276,2992.19259584244,2633.81164251314,2328.19985584855,WBGene00012961,WBGene00012961,History: N.A.
WBGene00219688,linc-21,-1.02720227160007,5.36368329889109e-14,1130.77768353312,917.792599183823,1301.52636025801,815.639471422999,2154.25711648283,2240.41386420108,2067.38118840616,1944.3680117411,WBGene00219688,WBGene00219688,History: N.A.
WBGene00011305,R186.1,1.58361908159509,1.43149884892557e-12,95.0717542843132,93.0325596307287,117.509817154268,72.2270975667394,34.5688459462881,29.2674112002112,34.6087150930712,26.5021985186511,WBGene00011305,WBGene00011305,History: N.A.
WBGene00006815,unc-83,1.24688597278364,2.09982229801634e-12,79.0475365957239,61.4439801888046,115.373005492131,75.4388767652604,40.5573348839943,32.230679952245,35.4126274256141,31.019372673842,WBGene00006815,WBGene00006815,History: N.A.
WBGene00019119,F59E12.3,0.928348248218667,2.09982229801634e-12,361.745117658714,356.262343847014,407.71086937796,335.879669182575,197.002433998651,208.116589947383,151.632355547309,208.81985430824,WBGene00019119,WBGene00019119,History: N.A.
WBGene00019858,R03H10.6,-1.67424627628699,2.66699184746397e-12,16.5406310091281,13.0731872742137,19.5304306556303,29.8714298143293,69.8496150497263,58.5307256183396,56.2799962935652,76.8887463957384,WBGene00019858,WBGene00019858,History: N.A.
WBGene00000819,csp-1,0.747255638833803,3.863393147247599e-12,726.868384415024,740.377091307283,814.489312676276,613.678562877698,473.916071958246,428.473065263325,412.26724283421,407.20338182751,WBGene00000819,WBGene00000819,History: N.A.
WBGene00016111,C25H3.1,1.15754682225535,1.7455612487836197e-11,166.94468257833,167.257715447786,211.816247473031,136.782219696558,71.8169408222508,77.6040651720256,81.7042831398978,71.8818557069884,WBGene00016111,WBGene00016111,History: N.A.
WBGene00019372,K03H9.3,0.811035326723159,5.09441181593552e-11,270.00356919309,251.061424427374,269.729223524505,217.009513637701,145.974689191463,151.882149665952,136.171169611126,137.742036854827,WBGene00019372,WBGene00019372,History: N.A.
WBGene00236806,D2024.18,1.33951258420515,9.0535155480187e-11,513.14168807196,493.174124815752,597.537382207766,349.296282621987,174.446430512134,215.103017022362,221.385709874987,154.868274475235,WBGene00236806,WBGene00236806,History: N.A.
WBGene00007230,C01G10.1,1.03370640877779,1.36384140139984e-10,46.0082945215076,43.8425042270589,50.1528625983313,42.212774031348,22.9655957141458,24.2031566181898,23.4022328887713,18.5354971558222,WBGene00007230,WBGene00007230,History: N.A.
WBGene00194650,C36A4.14,0.594486813587722,2.91223779576362e-10,1533.97093499875,1511.32464207553,1722.81915536957,1417.01062771083,1073.11734803711,1047.06523609244,943.609632537165,1027.29641728603,WBGene00194650,WBGene00194650,History: N.A.
WBGene00016075,C24H12.6,0.790414414687604,3.12819388846877e-10,429.022103752392,454.959893010901,538.803923332619,414.032043513556,267.442367094275,269.896023952634,247.960943140659,271.691985245635,WBGene00016075,WBGene00016075,History: N.A.
WBGene00010138,anoh-1,1.38791022194672,3.32948064749265e-10,52.7516977216996,47.9277657596383,68.2485343123478,41.9487806716061,22.9142439008767,23.8198763850604,20.5572251039267,13.4681868941725,WBGene00010138,WBGene00010138,History: Split into F56A8.9(WBGene00185001). History of WBGene00010138: N.A.
WBGene00015041,cyp-34A6,1.69774422611104,3.73978446866964e-10,44.7021639867913,33.08791631388,39.0016979790229,31.4194643314526,8.95151258965304,13.5199324083961,9.86230822156439,12.6150151386185,WBGene00015041,WBGene00015041,History: N.A.
WBGene00045366,Y17D7C.3,0.527051167120881,6.93556090239412e-10,5318.33935067231,4943.85348366261,5754.6158213372,4842.25840192452,3716.52668755148,3717.77871013579,3516.65391357037,3516.71172939069,WBGene00045366,WBGene00045366,History: N.A.
WBGene00013795,nhr-229,0.702284527038087,1.13577628849192e-09,1521.42563269582,1454.06500565616,1679.79040312953,1258.45363990182,993.212429490358,977.955874594175,775.288893582827,884.844199521633,WBGene00013795,WBGene00013795,History: N.A.
WBGene00045410,E01G4.7,0.586573083281812,1.8363564718913502e-09,3113.385182282,3010.50826627878,3226.29407448762,2740.03695367476,2165.90087190639,2136.5070984281,1759.41281428223,1985.80869036731,WBGene00045410,WBGene00045410,History: N.A.
WBGene00220258,C50C3.19,0.680346572307563,2.4067356484535203e-09,2310.7718055215,2083.09442814189,2381.68590193061,1814.84913409759,1323.88660018937,1365.81252267652,1202.49553714289,1448.62325853491,WBGene00220258,WBGene00220258,History: N.A.
WBGene00011721,T11G6.7,0.803937792852717,3.3714282271595e-09,379.535381473039,346.607067731718,433.399424045101,328.836129489596,207.532544376094,221.377750386051,200.370745979638,217.130524169213,WBGene00011721,WBGene00011721,History: N.A.
WBGene00235355,ZK250.15,1.52816691119255,3.689687566691391e-09,97.2395141539881,117.417377993807,125.098883393808,68.0109560459882,45.7335893509773,37.6810183802022,31.53625646562,26.3535253094441,WBGene00235355,WBGene00235355,History: N.A.
WBGene00012358,W09D6.5,1.15594477444695,3.87348856744182e-09,184.095451496336,128.272535077699,224.37404402278,150.375162745942,81.2223727020879,62.6385295209974,89.5574410730094,71.9508549814936,WBGene00012358,WBGene00012358,History: N.A.
WBGene00022890,fbxa-224,0.748431393279864,3.87348856744182e-09,294.233954032913,320.705044333026,296.254761310058,261.460859594712,172.090807811474,177.09552794986,156.498239890235,188.848177096483,WBGene00022890,WBGene00022890,History: N.A.
WBGene00008243,C50H2.7,0.93280674605498,4.57311440511037e-09,448.790337035947,437.535155630169,405.804704162079,396.581317068656,237.482576290428,275.947055803341,173.51954613913,201.522415516467,WBGene00008243,WBGene00008243,History: N.A.
