gene_id,gene_name,log2 fold change (MLE): group dpy f4 vs wt f3,Benjamini-Hochberg adjusted p-values,Mutant_f2_smRNAseqRppH_rep1,Mutant_f2_smRNAseqRppH_rep2,Mutant_f2_smRNAseqRppH_rep3,Mutant_f2_smRNAseqRppH_rep4,wt_smRNAseqRppH_rep1,wt_smRNAseqRppH_rep2,wt_smRNAseqRppH_rep3,wt_smRNAseqRppH_rep4,Input,Suggested Match,History
WBGene00012452,Y17D7B.4,-6.95632359132426,0.0,25.428165850241,46.6031733960163,22.699962255312,33.0370916844901,4052.06596225823,3821.73240076617,3752.83506822723,3625.39829095113,WBGene00012452,WBGene00012452,History: N.A.
WBGene00077437,Y59H11AR.6,-5.29836161998695,0.0,162.862467044519,136.160962161159,175.005100258528,147.670414855896,6943.85988988524,6816.65344104996,5719.74865524802,5227.50512428671,WBGene00077437,WBGene00077437,History: N.A.
WBGene00219699,linc-22,-7.01080259414898,0.0,17.0520493174055,16.8021203438859,19.8413245783555,19.3658841186634,2532.66355020037,2522.10874720789,2266.66104886353,2153.3324095669,WBGene00219699,WBGene00219699,History: N.A.
WBGene00219707,linc-8,-6.7303438941819,0.0,29.3958864897433,38.3537028463063,41.4743995268371,35.9173185635894,4162.06263818906,4152.47471610931,3613.62065422596,3616.17181461295,WBGene00219707,WBGene00219707,History: N.A.
WBGene00045410,E01G4.7,-3.68832334665018,9.02674594522438e-293,185.860489347143,141.578496714158,169.509005295063,142.479242615203,2236.48575220695,2205.25625653112,1812.72386645074,2043.61515902685,WBGene00045410,WBGene00045410,History: N.A.
WBGene00016635,C44B11.6,-8.04622566139717,2.41431934551108e-289,17.7602488754455,11.6666266279992,36.7007889382815,20.9769882697327,6153.09057898449,6642.69131341705,6049.13400012716,5870.69314883317,WBGene00016635,WBGene00016635,History: N.A.
WBGene00010507,K02E2.6,-8.82419441275532,3.43061059079431e-282,8.71314773889376,8.83073892457787,14.8158261806232,13.2316387547545,5685.79780809788,5486.47528495387,4980.51887834967,5069.37808978263,WBGene00010507,WBGene00010507,History: N.A.
WBGene00021019,W04B5.2,-7.73166234347071,3.2956453502479e-279,9.4036235974476,7.94211110826815,7.99495525973252,7.93343539593245,1853.0113874083,1831.7638801942,1652.46040709348,1739.35812621872,WBGene00021019,WBGene00021019,"History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
WBGene00023036,F39E9.10,-5.71094858474879,2.2652109763111495e-266,41.0558927790349,46.9790054395326,42.3653809452437,34.4136371713439,2576.19697815951,2263.51108675358,1922.26346473419,1900.61822585816,WBGene00023036,WBGene00023036,History: N.A.
WBGene00021375,Y37E11B.2,-7.99463317587371,2.4436464134230897e-258,3.49356547500857,11.3597909129547,11.0455328278628,12.378962001504,2629.56734769114,2573.88792144872,2308.105845766,2205.57147702892,WBGene00021375,WBGene00021375,History: N.A.
WBGene00185118,K02E2.11,-4.96423328305175,8.25644194634881e-229,96.0780130136946,68.7601806887704,86.5221099219987,68.6850692304095,2696.52718184157,2717.844365302,2295.38094314697,2437.89148278262,WBGene00185118,WBGene00185118,History: N.A.
WBGene00045366,Y17D7C.3,-2.91605302567535,2.67341031867351e-200,393.690462505924,476.053921787263,602.345489669462,496.61018999413,3837.6451536721,3837.41049442671,3623.21021390141,3619.08245994281,WBGene00045366,WBGene00045366,History: N.A.
WBGene00013638,Y105C5A.14,-2.68000170962815,4.79160000702837e-180,131.439184688523,141.371697507718,161.98631131923,130.929916899063,921.854262892765,974.730045661472,874.776596985346,882.975690835605,WBGene00013638,WBGene00013638,"History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
WBGene00194650,C36A4.14,-2.82030954873542,3.0965518475351e-160,114.294683141782,177.872540330831,145.67059505199,162.789000145054,1108.08933615629,1080.75801132977,972.201457001861,1057.20079752063,WBGene00194650,WBGene00194650,History: N.A.
WBGene00235158,Y37E3.30,-6.74787594588842,1.47191491205669e-157,4.283926858043,12.6634142219679,10.3574837807531,13.9145392172943,1100.13520650795,1217.47671431454,1011.73171498771,1014.62204481428,WBGene00235158,WBGene00235158,History: N.A.
WBGene00195186,F19G12.10,-5.45919056079889,4.09876086867793e-124,11.0494851606578,16.628234882435,9.71452485531127,11.8643362298087,521.696431725678,573.908148111392,497.784429296412,516.227378305431,WBGene00195186,WBGene00195186,History: N.A.
WBGene00013644,Y105C5A.25,-4.2630405361535,9.63683755880185e-102,15.2860157305838,14.0578397956464,18.9527356616393,14.0424834536781,314.921262610497,325.96322256374,271.946259268594,310.902606170613,WBGene00013644,WBGene00013644,History: N.A.
WBGene00194667,Y105C5A.1271,-5.5337052212788,3.45162943972523e-84,11.7965717861943,12.3985828788869,7.80067431454019,9.28877929273387,481.040122355233,508.253583434665,459.609203661661,424.272738814396,WBGene00194667,WBGene00194667,History: N.A.
WBGene00008447,E01G4.5,-4.69602791545412,3.5314072842229504e-76,7.82405103084337,7.7093752516156,8.73075471358153,6.93085839534758,156.817083202556,218.260354161226,252.115101285007,190.716266062777,WBGene00008447,WBGene00008447,History: N.A.
WBGene00195255,H16D19.7,-3.94739305290037,2.3327321449167003e-69,28.7092195083366,19.3977828911618,33.5617721516709,41.1752608970918,436.230017468104,497.233466946147,477.735638229404,496.237454099652,WBGene00195255,WBGene00195255,History: N.A.
WBGene00021018,W04B5.1,-9.79208968359139,7.37843985094243e-67,1.24126332602292,4.4030532294792,1.84681236386778,1.46608115754679,2131.43037823661,2139.7275766296,1854.28661905637,1521.99036034236,WBGene00021018,WBGene00021018,History: N.A.
WBGene00018199,F39E9.7,-7.83581886691575,7.02407330432643e-64,18.8356784075859,2.78394106308341,3.50308059495555,8.34269992032579,2145.56175258211,2174.95838420843,1822.71620557501,1372.98993958366,WBGene00018199,WBGene00018199,History: N.A.
WBGene00219304,F56D6.16,-10.0775202790218,7.22982479127151e-62,1.60357802659177,0.0,4.77176383745297,1.89401836029018,2730.52870393406,2655.6768478853,2527.76742953088,2384.29952312125,WBGene00219304,WBGene00219304,History: N.A.
