gene_id,gene_name,log2 fold change (MLE): group dpy f3 vs wt f3,Benjamini-Hochberg adjusted p-values,mutant_f1_RNAseq_rep1.robustRPKM,mutant_f1_RNAseq_rep2.robustRPKM,mutant_f1_RNAseq_rep3.robustRPKM,mutant_f1_RNAseq_rep4.robustRPKM,wt_RNAseq_rep1.robustRPKM,wt_RNAseq_rep2.robustRPKM,wt_RNAseq_rep3.robustRPKM,wt_RNAseq_rep4.robustRPKM,Input,Suggested Match,History
WBGene00006044,ssp-16,2.16155230199742,2.09266217013924e-149,264.497065618801,306.526027641008,284.833291267248,290.085337843466,67.0422355641904,67.464136852834,57.6740102286782,63.7893338655411,WBGene00006044,WBGene00006044,History: N.A.
WBGene00014154,ZK930.4,2.8827035286665,1.17344968976997e-138,68.9883923919506,73.7910282930618,66.6881423249622,72.3345904085754,9.78778168742264,10.8827327898462,9.52414847813034,7.8879702661041,WBGene00014154,WBGene00014154,History: N.A.
WBGene00019084,F59A6.2,3.2001095422522,1.08660577147444e-129,103.424445076513,120.834090833575,134.932790529739,118.630637960372,11.8510013299495,15.1040480279134,14.4418460583414,10.4558855245566,WBGene00019084,WBGene00019084,History: N.A.
WBGene00001944,his-70,3.07199588972416,4.79623522496052e-121,84.6526135072278,86.7517372826403,101.630251150261,90.3594332972656,9.22346712284167,11.6445971072744,13.32656517092,8.97689006506996,WBGene00001944,WBGene00001944,History: N.A.
WBGene00008001,C38C10.3,2.74815173514432,2.6297377874391703e-112,42.8495053407554,45.7242868169137,43.5866742350973,43.1038348234127,7.72145356922383,6.99950075912145,5.52240542009238,5.77302204797669,WBGene00008001,WBGene00008001,History: N.A.
WBGene00018783,cbs-2,2.60964700263856,1.27949030228865e-104,22.4075587152141,25.8969762215906,25.4315438631471,25.7352799315245,3.71916680250948,4.90789910130317,3.3258931193471,4.3004045302612,WBGene00018783,WBGene00018783,History: N.A.
WBGene00017736,F23C8.7,2.43778243895314,2.61243195091422e-100,31.5360297424405,35.0574970570053,37.7716297730597,35.2106855261132,6.54770665366276,7.54115603039485,5.62037432808248,5.97926809426714,WBGene00017736,WBGene00017736,History: N.A.
WBGene00002227,klp-17,2.74392066899002,4.63531870877315e-100,25.3840136665305,28.146334995407,23.4817471951885,24.5612819054669,3.21720404947925,4.32951462972102,3.68839702336082,3.90116273036958,WBGene00002227,WBGene00002227,"History: Split into cisd-1(WBGene00044026). History of WBGene00002227: Split into ""WBGene00044026"" on 2004-12-14"
WBGene00002212,kin-31,3.02344349696691,1.61438669050245e-94,28.654467732996,34.0242387085111,32.4722327133349,29.8172198896073,4.25826143252778,5.06883879460131,3.36552096837625,2.57837433096037,WBGene00002212,WBGene00002212,History: N.A.
WBGene00007610,C15H7.3,2.28979862578813,6.315609724864149e-94,41.6715792851263,51.080040831352,45.5012739124786,41.013695131979,8.19340834390556,10.1627597878594,8.97453358571649,9.30111209074675,WBGene00007610,WBGene00007610,History: N.A.
WBGene00000771,cpb-2,2.27861571458734,4.54075053697725e-91,25.8187736032174,28.193122944314,26.0930118475465,24.4580499761735,5.41262607750161,6.30446192856702,4.49651189655098,5.28062667819838,WBGene00000771,WBGene00000771,History: N.A.
WBGene00235294,Y69A2AR.47,3.93968181468146,5.97151151391064e-90,63.7914466833499,76.9763383048604,80.4235175342818,73.2540302425024,3.45921119901228,5.74100466303699,4.70604983625264,5.23637492802393,WBGene00235294,WBGene00235294,History: N.A.
WBGene00018841,F54H5.5,2.6218739942022,7.15608096764571e-90,41.4423745581355,43.7368930069904,39.7374223991119,38.6781386747924,7.49924638255584,7.93966491930873,5.18210841743117,5.84050689657153,WBGene00018841,WBGene00018841,"History: Split into F54H5.14(WBGene00255600). History of WBGene00018841: Split into ""WBGene00255600"" on 2014-11-13"
