gene_id,gene_name,log2 fold change (MLE): group rrf3 YA vs N2 YA,Benjamini-Hochberg adjusted p-values,N2_YA_rep1.robustRPKM,N2_YA_rep2.robustRPKM,N2_YA_rep3.robustRPKM,rrf3_YA_rep1.robustRPKM,rrf3_YA_rep2.robustRPKM,rrf3_YA_rep3.robustRPKM,Input,Suggested Match,History
WBGene00006044,ssp-16,2.1682271897481,1.10437721348443e-116,90.8402270319251,103.947380220739,109.74899663259,434.041435717334,461.943345964687,473.847029838563,WBGene00006044,WBGene00006044,History: N.A.
WBGene00019084,F59A6.2,2.96942847848324,1.15768327814654e-109,20.0770577826263,23.8894115965583,24.7473227700938,177.319091885259,194.296104963103,166.827189590222,WBGene00019084,WBGene00019084,History: N.A.
WBGene00013073,hmit-1.1,-3.73324824722592,2.1154743493719896e-94,23.4718357086007,25.1712824627151,22.5796357490866,1.60344811933117,1.72131515935813,2.07188699253044,WBGene00013073,WBGene00013073,History: N.A.
WBGene00044728,Y53F4B.45,2.82202793356948,7.76509687043098e-90,7.54915165240072,6.40255457678384,8.34710678614063,53.8894070753244,50.693943636871,53.3014814958658,WBGene00044728,WBGene00044728,History: N.A.
WBGene00011414,T04A8.13,2.56240042071203,1.69961279364352e-63,8.66820398828033,11.3772148609428,9.0618437586542,61.5194498627793,54.4614312294048,55.6444218526019,WBGene00011414,WBGene00011414,"History: Split into T04A8.18(WBGene00119203). History of WBGene00011414: Split into ""WBGene00119203"" on 2008-08-26"
WBGene00002212,kin-31,2.17312119593269,1.49501958614681e-58,8.32246635288733,8.54503024915478,8.79740327822424,36.7206745220943,39.4561539349249,39.6841373080895,WBGene00002212,WBGene00002212,History: N.A.
WBGene00008448,E01G4.6,-2.39663453749903,3.84114726721951e-56,20.6413866859348,18.8194284389665,22.65133679145,3.14817842020796,3.89953412591316,4.85019092606774,WBGene00008448,WBGene00008448,History: N.A.
WBGene00012720,Y39E4B.11,2.38665010091887,7.459530086083669e-56,10.0162977294137,10.7335221217219,9.79380405258177,49.8664609619276,54.1607201129112,55.7910063116194,WBGene00012720,WBGene00012720,History: N.A.
WBGene00014154,ZK930.4,2.16118023088087,5.35672415146907e-55,18.2889294987987,22.5604703381007,23.7540966896352,82.7952745495282,102.832404462972,103.893168654045,WBGene00014154,WBGene00014154,History: N.A.
WBGene00019783,M70.1,-2.36969231388683,3.03021258579585e-53,12.8059724500339,13.5373332380497,13.7839513627836,2.66096033136625,2.3804695755409,2.72202375417466,WBGene00019783,WBGene00019783,History: N.A.
WBGene00017736,F23C8.7,1.91018449281283,4.192914852965951e-46,11.0965174514846,9.66548636203131,10.4479211825597,35.1730069687795,40.7015570431732,41.6047019339317,WBGene00017736,WBGene00017736,History: N.A.
WBGene00018120,F36H12.4,1.97687141608946,4.192914852965951e-46,34.5144925926048,43.6710854069032,38.6116924516475,145.796435610403,151.78739638949,162.461838801793,WBGene00018120,WBGene00018120,History: N.A.
WBGene00077437,Y59H11AR.6,2.37019748544369,4.94144556373022e-41,14.1630635038046,19.8823996488071,18.0751120147204,109.229716374891,87.4129548755925,72.2719948335765,WBGene00077437,WBGene00077437,History: N.A.
WBGene00017071,aagr-1,1.76379213791529,1.5788286151574399e-40,10.0470663665702,9.64566429642012,8.36566209743581,25.9090937499367,33.7044011725968,35.7535223771869,WBGene00017071,WBGene00017071,History: N.A.
WBGene00010573,K04H4.2,-2.59492868529896,1.83848876316791e-40,5.65353670374315,5.27961862526855,6.61157251705733,0.966178822036016,0.808733849728759,1.13893031583326,WBGene00010573,WBGene00010573,History: N.A.
WBGene00235294,Y69A2AR.47,3.15925601893659,2.3841716731871197e-40,6.39533245098265,6.75729070874078,8.71536149729389,63.6047782735691,62.9284133675342,69.444472272139,WBGene00235294,WBGene00235294,History: N.A.
WBGene00008001,C38C10.3,1.96512374462101,4.67775729015093e-40,12.290349778249,12.50537566228,17.0157057804309,49.3060296694334,58.2864976952294,56.0880157768095,WBGene00008001,WBGene00008001,History: N.A.
WBGene00011808,T16G12.7,1.83057673282963,1.31842370241491e-39,12.0106559817109,11.7228276603718,14.5065792555518,42.6550198674387,47.4178850716258,46.2005603327831,WBGene00011808,WBGene00011808,History: N.A.
WBGene00012942,Y47D3B.6,-2.27969332127277,3.27865491612387e-39,45.9991218222775,52.2612714244538,45.0944077471923,6.91756237153245,9.30452199324679,13.5979180267231,WBGene00012942,WBGene00012942,History: N.A.
WBGene00007308,C04G2.9,-1.25778309290774,3.8473564223479e-39,328.40983534219,336.5169805577,334.128412743455,119.263155124015,139.684226061278,159.266674044723,WBGene00007308,WBGene00007308,History: N.A.
WBGene00012664,Y39B6A.1,-1.0262819479257,6.24790835727787e-39,270.635843257555,298.417625286002,266.859719880693,130.664077033907,133.487798309364,146.376732851441,WBGene00012664,WBGene00012664,History: N.A.
WBGene00021018,W04B5.1,2.08790939253263,5.58578403424236e-38,11.5529682318342,9.75853190979554,11.7096209796278,47.1123583354656,47.1313055709604,46.2234520440248,WBGene00021018,WBGene00021018,History: N.A.
WBGene00000716,col-143,1.17518797258417,2.01766601077416e-37,257.737652854422,213.075950131294,201.72859371197,494.093976253349,519.579658535384,504.974888716597,WBGene00000716,WBGene00000716,History: N.A.
WBGene00015660,catp-3,-1.92339773787018,4.95559597106141e-37,17.8336573692257,18.2898072651498,20.5982578053963,3.62742297858481,5.51732419773929,5.91399471289323,WBGene00015660,WBGene00015660,History: N.A.
WBGene00004969,spe-15,-1.14261690028967,1.08042054996778e-35,31.4171519099565,31.5521358393364,31.2145449152243,13.9448963829802,13.5997102158313,15.1502940444288,WBGene00004969,WBGene00004969,History: N.A.
WBGene00020414,T10E9.4,-1.11398648716706,8.216028046848111e-35,79.9257035608748,87.473274486353,88.9907578409399,36.8409957877657,39.4205761709573,42.3432284623086,WBGene00020414,WBGene00020414,History: N.A.
WBGene00017937,F30H5.3,-2.43555639549987,3.43281294022647e-34,4.22902305731842,5.37540402248342,4.80791482823486,0.859775041792619,0.764485007288592,1.05035628716813,WBGene00017937,WBGene00017937,History: N.A.
WBGene00022530,ZC155.2,2.61628685829616,2.34409879212307e-33,5.08991814919031,5.28021184084443,5.68783423559348,28.3717420724254,38.0540796472002,32.2489792378091,WBGene00022530,WBGene00022530,History: N.A.
WBGene00013644,Y105C5A.25,2.35340958833356,2.9541486826763298e-33,4.14964319338569,5.08203595114352,5.27800518156729,21.9948176244848,26.9029405083077,25.423417522418,WBGene00013644,WBGene00013644,History: N.A.
WBGene00050940,C25D7.16,2.22788409817041,4.58902879346264e-33,12.092668937555,13.7208424477417,18.9857753298714,67.9127576541758,72.9778993961444,69.5700331608652,WBGene00050940,WBGene00050940,History: N.A.
WBGene00007081,AH6.3,1.59738269764154,6.11623595417657e-33,18.1545396345624,18.1838492415054,18.9904249312256,52.2989712527533,57.0621872618172,58.279337579039,WBGene00007081,WBGene00007081,History: N.A.
