gene_id,gene_name,log2 fold change (MLE): group him5gtsf1 vs him5,Benjamini-Hochberg adjusted p-values,him5_adultmale_smRNA_rep1,him5_adultmale_smRNA_rep2,him5_adultmale_smRNA_rep3,him5gtsf1_adultmale_smRNA_rep1,him5gtsf1_adultmale_smRNA_rep2,him5gtsf1_adultmale_smRNA_rep3,Input,Suggested Match,History
WBGene00020313,T07E3.2,4.07499974174781,9.16966378493529e-36,29773.4663185076,39680.4864127759,41458.9026844592,320.034554034444,1123.63870434226,206.746361107274,WBGene00020313,WBGene00020313,History: N.A.
WBGene00045366,Y17D7C.3,3.9939177999265,3.1755728304201e-35,22155.0850088674,18657.6103077202,23614.4616794096,259.877682975338,473.111033407268,0.0,WBGene00045366,WBGene00045366,History: N.A.
WBGene00015049,B0218.5,3.56348271676108,3.05754981938492e-32,14443.4676113801,17404.3745465596,15083.8536573305,161.136278954405,125.72181307326,69.3973799520921,WBGene00015049,WBGene00015049,History: N.A.
WBGene00050940,C25D7.16,3.43072191565399,3.05754981938492e-32,55622.803445414,65571.7873146632,61561.498876611,0.0,656.139389396942,217.310043791588,WBGene00050940,WBGene00050940,History: N.A.
WBGene00019769,M04F3.3,3.32901566922925,1.2057348963026398e-30,16810.818629828,19434.6785786144,21406.219615905,45.6588267314662,142.495793417249,0.0,WBGene00019769,WBGene00019769,History: N.A.
WBGene00022094,Y69A2AR.23,3.32901566922925,1.50266482879183e-30,21742.9206921781,24458.2336704761,28071.5691776309,221.207883748607,517.772714960915,0.0,WBGene00022094,WBGene00022094,History: N.A.
WBGene00019084,F59A6.2,3.22938623906731,2.9572693102982e-28,109216.822612559,155449.328214999,150506.268568793,150.604496016209,0.0,389.16962090781,WBGene00019084,WBGene00019084,History: N.A.
WBGene00006044,ssp-16,3.20791704382175,1.20997950671332e-26,87952.7132235773,151460.825714745,135281.997648383,320.034554034444,0.0,206.746361107274,WBGene00006044,WBGene00006044,History: N.A.
WBGene00017279,F09C12.8,3.13945594778637,9.93550047534604e-26,19534.1733163748,22718.0535971491,23122.3622206845,119.082624757002,46.4553469495509,76.9288785515439,WBGene00017279,WBGene00017279,History: N.A.
WBGene00009685,F44D12.8,3.13945594778637,1.54840370692293e-22,11869.1204062412,13762.6512393907,12797.4155048902,149.195964758503,38.8019120923947,0.0,WBGene00009685,WBGene00009685,History: N.A.
WBGene00021608,Y46H3D.1,3.10018948782493,2.03958549466524e-22,20094.7717858647,23335.6074153142,26151.2705360218,615.378014879287,640.173979922001,530.055952512418,WBGene00021608,WBGene00021608,History: N.A.
WBGene00022753,ZK484.7,3.04545914537694,2.12742365288072e-22,12258.5760495698,16188.2144931007,16844.4957471677,58.6322847086004,91.4922100227796,75.7543918561005,WBGene00022753,WBGene00022753,History: N.A.
WBGene00022834,ZK973.8,3.02795795696652,1.5513986988131e-21,10057.8775974171,12947.1073491837,13005.9126246087,52.2110752805437,40.7361463809884,134.916054378161,WBGene00022834,WBGene00022834,History: N.A.
WBGene00185118,K02E2.11,2.99930778108571,1.5513986988131e-21,44932.7802005618,40414.9658941746,47766.1940019465,392.769679951363,0.0,507.468340899673,WBGene00185118,WBGene00185118,History: N.A.
WBGene00014179,ZK1010.5,2.96798615665627,7.92187337820662e-21,16463.5661092572,20256.9587564729,20390.6602414548,0.0,0.0,0.0,WBGene00014179,WBGene00014179,History: N.A.
WBGene00018999,F57B9.8,2.91390195899809,8.00277406362431e-21,29931.5317436751,36668.7585866448,28606.5195483133,0.0,0.0,0.0,WBGene00018999,WBGene00018999,History: N.A.
WBGene00014154,ZK930.4,2.91390195899809,1.06656154461291e-20,53229.9627513402,64349.6189338518,62298.7149033999,0.0,0.0,0.0,WBGene00014154,WBGene00014154,History: N.A.
WBGene00008001,C38C10.3,2.91390195899809,3.04381697125606e-20,40579.6865522315,57592.2229157448,33957.7635432991,0.0,0.0,0.0,WBGene00008001,WBGene00008001,History: N.A.
WBGene00007307,spch-1,2.85874951244878,5.717800636732531e-20,58380.4160004991,71785.3427145677,67291.5056123474,192.824166447531,0.0,0.0,WBGene00007307,WBGene00007307,History: N.A.
WBGene00022751,msrp-2,2.85874951244878,7.91010871872036e-20,82013.6822950363,91571.7728456062,103211.483374661,0.0,0.0,0.0,WBGene00022751,WBGene00022751,History: N.A.
WBGene00017215,F07F6.1,2.85874951244878,1.22882471738285e-19,18796.1654519592,25732.6953453328,27030.1964310532,0.0,0.0,0.0,WBGene00017215,WBGene00017215,History: N.A.
WBGene00012721,Y39E4B.13,2.85874951244878,3.0497439123044504e-19,53112.2037013858,65585.5366410159,71623.3534748133,0.0,0.0,0.0,WBGene00012721,WBGene00012721,History: N.A.
WBGene00012169,W01B6.2,2.79599715350032,4.25646443148019e-19,12237.7845111949,16251.9212195648,16184.5551490252,57.272132287854,89.3697726734525,0.0,WBGene00012169,WBGene00012169,History: N.A.
WBGene00020840,spch-3,2.79599715350032,7.10065024743946e-19,30762.8559969364,46530.3532271771,45149.3390936273,0.0,0.0,0.0,WBGene00020840,WBGene00020840,History: N.A.
WBGene00014048,ZK666.8,2.70299683038506,1.1341015922746e-18,18895.8265867552,25329.5994615867,23125.8548515306,0.0,0.0,0.0,WBGene00014048,WBGene00014048,History: N.A.
WBGene00015929,C17H12.3,2.70299683038506,1.1341015922746e-18,11575.645443928,14931.1500819528,14057.0027061077,56.4305825889305,0.0,145.819474283008,WBGene00015929,WBGene00015929,History: N.A.
WBGene00013979,ZK507.3,2.70299683038506,1.46329335491774e-18,24037.6027719174,22934.5029922255,27075.2017531162,0.0,0.0,0.0,WBGene00013979,WBGene00013979,History: N.A.
WBGene00012605,Y38F1A.1,2.70299683038506,1.73485969972382e-18,24715.6036523561,28118.8035899797,29610.9457239519,0.0,0.0,0.0,WBGene00012605,WBGene00012605,History: N.A.
WBGene00006050,ssq-1,2.70299683038506,1.7568288053136e-18,25343.9737071382,27251.4218277548,32515.5460306116,0.0,0.0,0.0,WBGene00006050,WBGene00006050,History: N.A.
WBGene00013033,Y49E10.10,2.70299683038506,3.24661635332467e-18,15473.4622454435,19918.9118947559,19872.5038508449,0.0,0.0,0.0,WBGene00013033,WBGene00013033,History: N.A.
WBGene00000777,cpn-1,2.70299683038506,3.74426838661602e-18,21817.5002580923,28805.3977909795,27643.3098758787,0.0,0.0,0.0,WBGene00000777,WBGene00000777,History: N.A.
WBGene00011155,R09B3.2,2.70299683038506,5.56507357422588e-18,48180.1050978941,55652.0533742831,52116.858310183,0.0,0.0,0.0,WBGene00011155,WBGene00011155,History: N.A.
WBGene00045036,K08E4.7,2.70299683038506,5.56507357422588e-18,11383.1605139544,14956.4621632644,14680.2240698089,0.0,49.4813374389253,163.879684400628,WBGene00045036,WBGene00045036,History: N.A.
WBGene00001944,his-70,2.70299683038506,5.6360673489951794e-18,41474.5997917864,49555.8895030003,46866.8653920386,0.0,0.0,0.0,WBGene00001944,WBGene00001944,History: N.A.
WBGene00012360,tat-3,2.68961783044783,6.50884442353315e-18,1413.662486423,1460.08106840232,1634.30212759382,40.3153948317106,10.4849645817318,17.3628359250277,WBGene00012360,WBGene00012360,History: N.A.
WBGene00010651,K08C9.2,2.65167442791203,6.55439877086249e-18,22940.5353905727,30065.7151745749,32847.1717230502,0.0,0.0,0.0,WBGene00010651,WBGene00010651,History: N.A.
WBGene00019642,K11C4.1,2.65167442791203,6.76633923267734e-18,22038.7706120288,24623.6476907757,24392.1963480036,0.0,0.0,0.0,WBGene00019642,WBGene00019642,History: N.A.
WBGene00235294,Y69A2AR.47,2.59555671836614,6.92960357853242e-18,63762.6227754828,67050.1560585561,76686.5273183851,0.0,0.0,0.0,WBGene00235294,WBGene00235294,History: N.A.
WBGene00010679,K08F4.5,2.58333385977957,8.83840902981919e-18,22583.8275394526,33723.7752151811,30698.6488278827,0.0,0.0,0.0,WBGene00010679,WBGene00010679,History: N.A.
WBGene00018121,F36H12.5,2.56826786913144,9.72196394362358e-18,27862.09158227,33334.4000703978,33346.434336709,0.0,0.0,0.0,WBGene00018121,WBGene00018121,History: N.A.
