gene_id,gene_name,mean of normalized counts for all samples,log2 fold change (MLE): group him5gtsf1 vs him5,Benjamini-Hochberg adjusted p-values,him5_adultmale_smRNA_rep1,him5_adultmale_smRNA_rep2,him5_adultmale_smRNA_rep3,him5gtsf1_adultmale_smRNA_rep1,him5gtsf1_adultmale_smRNA_rep2,him5gtsf1_adultmale_smRNA_rep3,Input,Suggested Match,History
WBGene00010507,K02E2.6,8717.44998391393,-10.1184326879672,0.0,9039.49340305507,9764.47791996952,8967.79954188966,7.74789456290294,7.57750242330513,10.5169980002639,WBGene00010507,WBGene00010507,History: N.A.
WBGene00012452,Y17D7B.4,4805.26481726009,-7.84535420011444,0.0,5211.84801229216,5340.19534482034,5032.30613797327,17.5236819374228,26.8619277081619,22.3110600434171,WBGene00012452,WBGene00012452,History: N.A.
WBGene00013638,Y105C5A.14,2276.03800981055,-7.46325699049836,0.0,1497.16951753851,1568.12430012213,1524.69133379696,7.74494035806198,8.22270843349549,10.807057553652,WBGene00013638,WBGene00013638,"History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
WBGene00013825,Y116F11B.9,1693.46652671438,-6.51328039654917,0.0,640.142652957015,682.863482968539,681.578591945669,7.27000605311759,7.02647515120744,7.89464941752096,WBGene00013825,WBGene00013825,History: N.A.
WBGene00016635,C44B11.6,6381.595224415,-9.10569118878165,0.0,10701.0069228208,10988.3302895472,10514.113135585,14.9153719372957,23.3195734547912,19.2384109760926,WBGene00016635,WBGene00016635,History: N.A.
WBGene00045366,Y17D7C.3,12074.2383067614,-5.20837292784134,0.0,11144.8109549631,11389.2729485189,11054.9943346805,274.706275985632,321.496458594563,311.687973316093,WBGene00045366,WBGene00045366,History: N.A.
WBGene00045410,E01G4.7,4486.18534692804,-4.69711642534481,0.0,3222.20257760008,3477.65368849393,3188.34320906568,121.966551637264,130.232169424398,128.928258617694,WBGene00045410,WBGene00045410,History: N.A.
WBGene00077437,Y59H11AR.6,8350.58592409957,-7.62741987853137,0.0,11604.526839312,12423.4451591827,10986.4310302444,59.9761101429891,57.7313901055768,59.8749608887485,WBGene00077437,WBGene00077437,History: N.A.
WBGene00185118,K02E2.11,2863.3871499868,-5.7058994479598,0.0,6011.86147286262,6319.00139664628,5863.03202276851,103.420556888749,117.702013744354,131.462475003299,WBGene00185118,WBGene00185118,History: N.A.
WBGene00194650,C36A4.14,1549.23189738244,-5.41053794717486,0.0,1070.82154585465,1088.83646310936,1099.02859492924,24.2872925813378,26.1822217542463,26.2180120119894,WBGene00194650,WBGene00194650,History: N.A.
WBGene00219699,linc-22,18243.8683843027,-7.30245180075557,0.0,3485.85911198614,3446.5359573027,3221.04877978118,18.4677593495871,25.442832742577,20.0342224249685,WBGene00219699,WBGene00219699,History: N.A.
WBGene00219707,linc-8,8349.11804079642,-8.12248157373438,0.0,7200.77949047164,7541.20520740959,6862.78411694592,24.3366587271138,29.038800657447,22.3995287704938,WBGene00219707,WBGene00219707,History: N.A.
WBGene00219758,linc-11,2743.79722749771,-2.4377457383618,0.0,1759.21209087755,1819.94522735264,1865.42596689533,310.029889947088,352.870823886006,341.694012348782,WBGene00219758,WBGene00219758,History: N.A.
WBGene00010402,H16D19.4,1132.83961178806,-6.39376110721675,9.49683107857049e-286,2055.20275333007,1985.86983967936,1968.02403003486,23.2762378675445,28.4956042686782,16.3322792474687,WBGene00010402,WBGene00010402,"History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
WBGene00044402,Y82E9BL.18,2508.25900914145,-8.56942505853739,5.3689484868385394e-270,2062.02306313087,2202.68624340107,1969.00309448506,6.91927508193674,4.87629696285981,4.42518495093073,WBGene00044402,WBGene00044402,"History: Split into Y82E9BL.19(WBGene00194735). History of WBGene00044402: Split into ""WBGene00194735"" on 2009-08-21"
WBGene00023036,F39E9.10,4399.60193069555,-9.89133885078448,3.4797267151755e-259,5026.23974503703,5083.65849223107,4801.27180514082,5.29950058591416,5.21682918061054,5.16459723227247,WBGene00023036,WBGene00023036,History: N.A.
WBGene00021019,W04B5.2,3295.90669265454,-9.92744570055159,8.589360477556569e-192,1906.06782845688,1891.8194235387,1867.63659232717,1.19455409433436,2.40528933747532,2.1827731698661,WBGene00021019,WBGene00021019,"History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
WBGene00021375,Y37E11B.2,5006.05643444567,-10.7788232119142,5.69975352859481e-191,3671.87217099136,3859.07531404233,3663.39155502876,3.10654401372528,1.56379213550285,1.70294864577385,WBGene00021375,WBGene00021375,History: N.A.
WBGene00021018,W04B5.1,6518.57694764879,-11.3519270616025,1.7798400133459098e-185,6606.07914775939,7239.79293283646,6873.31757648948,2.20750930961371,1.77796840845456,4.84045933066541,WBGene00021018,WBGene00021018,History: N.A.
WBGene00219770,linc-40,2624.46771787941,-9.52351140251263,2.67395027096822e-185,1865.88441923962,1926.10060261222,1850.18778199879,1.86825327548752,2.40756062108012,3.82346008508179,WBGene00219770,WBGene00219770,History: N.A.
WBGene00195186,F19G12.10,1856.29533000543,-8.82151424189909,1.22039832391663e-181,1587.9342813001,1616.62303290967,1561.60633487039,3.12626671132935,3.5970749121386,3.91716629806671,WBGene00195186,WBGene00195186,History: N.A.
WBGene00195255,H16D19.7,3675.56414314496,-10.7489601292444,1.95860167107566e-142,6326.24909543968,6727.67802664117,6244.88963966679,3.64696814514523,5.14033608412065,1.33279928574773,WBGene00195255,WBGene00195255,History: N.A.
WBGene00219307,F56D6.17,1744.79495803914,-9.45066184720811,1.02636397268633e-127,2972.17154618367,2864.40302179762,3050.82515964442,4.4261302432691,4.99084085124913,2.58807557053475,WBGene00219307,WBGene00219307,History: N.A.
WBGene00007091,eri-12,323.12345210466,-4.98534019100884,2.07079564580696e-116,105.709589003715,102.123884788805,98.39327731264,3.04772305839479,4.2275250122721,1.73258204112179,WBGene00007091,WBGene00007091,History: N.A.
